timeMs,ax,ay,az,q0,q1,q2,q3
2490709,-5603.0,482.0,5031.0,0.441,-0.241,0.445,0.741
2490725,-5183.0,2008.0,4955.0,0.442,-0.233,0.451,0.74
2490741,-4181.0,3374.0,4871.0,0.441,-0.226,0.453,0.741
2490758,-3951.0,3022.0,4421.0,0.435,-0.225,0.45,0.746
2490775,-3769.0,794.0,3975.0,0.426,-0.225,0.446,0.755
2490791,-3521.0,-1080.0,3753.0,0.414,-0.223,0.445,0.762
2490808,-3443.0,-1344.0,3641.0,0.402,-0.22,0.449,0.768
2490825,-3115.0,-484.0,3347.0,0.388,-0.215,0.457,0.771
2490852,-2907.0,1036.0,3159.0,0.372,-0.209,0.466,0.775
2490869,-2907.0,1950.0,3123.0,0.353,-0.203,0.474,0.781
2490886,-2621.0,1782.0,3055.0,0.33,-0.195,0.482,0.788
2490903,-2139.0,2552.0,3175.0,0.305,-0.184,0.49,0.795
2490920,-1527.0,3812.0,3291.0,0.278,-0.173,0.496,0.804
2490936,-1153.0,4682.0,3573.0,0.248,-0.161,0.497,0.816
2490953,-757.0,2898.0,3701.0,0.215,-0.147,0.498,0.827
2490970,529.0,2072.0,4167.0,0.182,-0.128,0.505,0.834
2490987,1871.0,3542.0,4495.0,0.15,-0.108,0.515,0.837
2491003,2543.0,5806.0,4881.0,0.116,-0.088,0.522,0.841
2491029,2741.0,6716.0,5025.0,0.079,-0.07,0.522,0.846
2491046,2679.0,6534.0,5003.0,0.037,-0.051,0.513,0.856
2491062,2241.0,2578.0,5363.0,0.008,0.03,-0.504,-0.863
2491079,4081.0,-410.0,5143.0,0.055,0.005,-0.508,-0.86
2491096,6721.0,2190.0,4531.0,0.101,-0.02,-0.524,-0.845
2491113,9105.0,8050.0,3759.0,0.144,-0.042,-0.546,-0.824
2491130,10831.0,13186.0,2773.0,0.186,-0.063,-0.566,-0.801
2491148,12665.0,15160.0,499.0,0.227,-0.081,-0.582,-0.777
2491165,11631.0,17360.0,-1795.0,0.263,-0.089,-0.595,-0.754
2491182,9069.0,18136.0,-2837.0,0.291,-0.089,-0.602,-0.738
2491198,7321.0,15328.0,-2489.0,0.311,-0.084,-0.608,-0.726
2491214,5793.0,13604.0,-1899.0,0.325,-0.078,-0.615,-0.714
2491231,4905.0,13038.0,-1335.0,0.335,-0.074,-0.623,-0.703
2491257,4285.0,12096.0,-1147.0,0.341,-0.071,-0.63,-0.694
2491273,3677.0,10914.0,-1039.0,0.346,-0.069,-0.634,-0.688
2491289,3419.0,9876.0,-741.0,0.35,-0.069,-0.637,-0.683
2491306,3191.0,9434.0,-327.0,0.354,-0.07,-0.639,-0.679
2491323,3017.0,9438.0,1.0,0.358,-0.071,-0.641,-0.675
2491340,2911.0,9284.0,295.0,0.362,-0.073,-0.641,-0.672
2491356,2865.0,9100.0,453.0,0.365,-0.074,-0.642,-0.67
2491382,2795.0,9064.0,675.0,0.367,-0.076,-0.642,-0.669
2491398,2795.0,8758.0,839.0,0.366,-0.076,-0.643,-0.668
2491414,2857.0,8298.0,833.0,0.365,-0.076,-0.645,-0.667
2491430,2909.0,7932.0,915.0,0.363,-0.076,-0.647,-0.666
2491446,2835.0,7754.0,933.0,0.362,-0.075,-0.649,-0.666
2491462,2777.0,7622.0,853.0,0.36,-0.073,-0.651,-0.665
2491488,2607.0,7236.0,985.0,0.358,-0.072,-0.652,-0.664
2491504,2591.0,7036.0,1027.0,0.357,-0.072,-0.654,-0.663
2491520,2451.0,7062.0,1313.0,0.355,-0.072,-0.656,-0.662
2491536,2523.0,7206.0,1341.0,0.353,-0.072,-0.659,-0.66
2491553,3075.0,7478.0,1243.0,0.351,-0.073,-0.663,-0.657
2491569,3491.0,7802.0,1043.0,0.348,-0.075,-0.667,-0.654
2491585,3801.0,7996.0,1051.0,0.346,-0.075,-0.672,-0.651
2491611,4499.0,7646.0,1413.0,0.342,-0.076,-0.675,-0.649
2491627,4569.0,6582.0,2047.0,0.34,-0.076,-0.68,-0.645
2491644,4931.0,6542.0,2205.0,0.337,-0.074,-0.687,-0.64
2491660,5747.0,6144.0,2399.0,0.335,-0.069,-0.695,-0.633
2491677,5753.0,6812.0,2119.0,0.334,-0.063,-0.703,-0.625
2491694,5505.0,7998.0,1309.0,0.335,-0.058,-0.708,-0.619
2491711,5117.0,7882.0,581.0,0.337,-0.055,-0.711,-0.615
2491728,4839.0,8034.0,-193.0,0.338,-0.053,-0.712,-0.613
2491744,4757.0,8088.0,-661.0,0.338,-0.051,-0.713,-0.613
2491770,4431.0,8504.0,-533.0,0.337,-0.049,-0.713,-0.613
2491787,4175.0,7828.0,-283.0,0.336,-0.048,-0.712,-0.614
2491804,4135.0,7412.0,-491.0,0.335,-0.048,-0.712,-0.616
2491821,4227.0,7224.0,-645.0,0.331,-0.048,-0.712,-0.617
2491841,4143.0,7458.0,-775.0,0.328,-0.048,-0.713,-0.618
2491857,4025.0,7284.0,-639.0,0.324,-0.048,-0.713,-0.62
2491873,3867.0,6926.0,-613.0,0.321,-0.048,-0.712,-0.622
2491890,3331.0,6338.0,-573.0,0.318,-0.049,-0.711,-0.625
2491907,3623.0,5514.0,-269.0,0.315,-0.052,-0.709,-0.628
2491923,3831.0,4630.0,113.0,0.315,-0.055,-0.708,-0.63
2491939,3807.0,4366.0,359.0,0.315,-0.057,-0.708,-0.63
2491965,3839.0,4594.0,65.0,0.315,-0.058,-0.709,-0.628
2491981,3445.0,5100.0,-615.0,0.316,-0.06,-0.712,-0.625
2491998,3677.0,5114.0,-463.0,0.318,-0.063,-0.714,-0.62
2492014,4563.0,5516.0,-9.0,0.321,-0.067,-0.716,-0.616
2492030,4307.0,5158.0,327.0,0.325,-0.071,-0.718,-0.611
2492047,4353.0,4724.0,-117.0,0.33,-0.077,-0.722,-0.604
2492064,4765.0,5458.0,-991.0,0.333,-0.081,-0.729,-0.592
2492081,4799.0,6922.0,-2195.0,0.335,-0.085,-0.74,-0.577
