timeMs,ax,ay,az,q0,q1,q2,q3
2228253,-6843.0,-1910.0,-4933.0,0.307,0.649,0.577,-0.388
2228270,-6455.0,-1524.0,-4899.0,0.309,0.65,0.575,-0.39
2228296,-7991.0,-338.0,-5101.0,0.308,0.651,0.574,-0.389
2228313,-7085.0,-938.0,-3463.0,0.306,0.653,0.572,-0.391
2228329,-7151.0,212.0,-3057.0,0.304,0.656,0.571,-0.39
2228345,-9767.0,408.0,-4591.0,0.305,0.656,0.569,-0.391
2228361,-6811.0,-1190.0,-3601.0,0.306,0.657,0.569,-0.389
2228377,-8045.0,-1838.0,-4373.0,0.307,0.656,0.568,-0.39
2228393,-6623.0,-1602.0,-4701.0,0.307,0.656,0.567,-0.393
2228419,-7205.0,-614.0,-4199.0,0.307,0.656,0.566,-0.394
2228435,-7683.0,-888.0,-2841.0,0.306,0.656,0.564,-0.398
2228451,-6885.0,790.0,-1971.0,0.306,0.655,0.563,-0.4
2228467,-9593.0,950.0,-2961.0,0.31,0.653,0.563,-0.402
2228483,-7057.0,-856.0,-3097.0,0.315,0.649,0.563,-0.403
2228499,-7991.0,-1034.0,-4689.0,0.319,0.647,0.563,-0.404
2228525,-6341.0,-696.0,-4467.0,0.323,0.644,0.562,-0.406
2228541,-5453.0,-70.0,-3753.0,0.326,0.643,0.562,-0.405
2228557,-5929.0,564.0,-4291.0,0.327,0.644,0.563,-0.402
2228573,-3537.0,2126.0,-5955.0,0.327,0.647,0.565,-0.393
2228589,-3647.0,2768.0,-6439.0,0.325,0.654,0.569,-0.377
2228605,-2485.0,954.0,-6217.0,0.321,0.664,0.573,-0.358
2228631,-3825.0,44.0,-7219.0,0.313,0.677,0.576,-0.334
2228648,-1863.0,76.0,-7941.0,0.3,0.692,0.578,-0.312
2228665,89.0,2174.0,-7783.0,0.275,0.705,0.585,-0.291
2228681,-4113.0,-178.0,-9143.0,0.247,0.717,0.59,-0.277
2228698,-4943.0,1072.0,-10073.0,0.209,0.726,0.593,-0.278
2228715,-6199.0,3326.0,-11715.0,0.177,0.735,0.591,-0.281
2228732,-4709.0,3502.0,-11843.0,0.154,0.741,0.589,-0.282
2228749,-4513.0,-1018.0,-12545.0,0.138,0.747,0.587,-0.279
2228766,-2977.0,-5296.0,-14021.0,0.118,0.752,0.585,-0.28
2228783,-3393.0,-4570.0,-13767.0,0.09,0.754,0.583,-0.288
2228810,-7921.0,-282.0,-19721.0,0.061,0.749,0.581,-0.313
2228827,-6909.0,2310.0,-19521.0,0.053,0.738,0.574,-0.35
