timestamp,ax,ay,az,q0,q1,q2,q3
5536431,12385.0,5030.0,2205.0,0.594,0.548,-0.298,0.507
5536457,12477.0,2398.0,3105.0,0.574,0.558,-0.305,0.515
5536473,12191.0,3568.0,1809.0,0.553,0.571,-0.31,0.522
5536489,12057.0,5598.0,1709.0,0.532,0.583,-0.316,0.527
5536505,11069.0,4128.0,1617.0,0.512,0.594,-0.324,0.53
5536521,10883.0,4378.0,557.0,0.49,0.606,-0.33,0.533
5536537,10951.0,4190.0,305.0,0.469,0.615,-0.337,0.536
5536553,10109.0,4600.0,337.0,0.448,0.624,-0.344,0.54
5536580,9989.0,3702.0,389.0,0.427,0.632,-0.352,0.543
5536596,9857.0,3514.0,229.0,0.407,0.639,-0.36,0.545
5536612,9899.0,3698.0,603.0,0.387,0.646,-0.369,0.546
5536628,10095.0,3700.0,245.0,0.367,0.651,-0.378,0.546
5536644,10321.0,3964.0,271.0,0.348,0.656,-0.387,0.546
5536660,10431.0,4028.0,327.0,0.331,0.659,-0.397,0.546
5536686,10179.0,3748.0,603.0,0.316,0.661,-0.407,0.545
5536702,10225.0,3896.0,377.0,0.301,0.663,-0.416,0.545
5536718,10351.0,4206.0,689.0,0.288,0.664,-0.426,0.543
5536734,10157.0,4124.0,1043.0,0.278,0.664,-0.435,0.541
5536750,9937.0,3292.0,1095.0,0.27,0.665,-0.444,0.537
5536766,10187.0,4246.0,1171.0,0.264,0.665,-0.451,0.533
5536792,9363.0,5032.0,1425.0,0.262,0.665,-0.458,0.528
5536808,8757.0,3718.0,2885.0,0.263,0.664,-0.466,0.522
5536824,8543.0,3278.0,2391.0,0.264,0.664,-0.472,0.517
5536841,8683.0,5524.0,2097.0,0.267,0.663,-0.476,0.512
5536857,9999.0,5182.0,2181.0,0.274,0.662,-0.48,0.506
5536874,9853.0,3732.0,2485.0,0.284,0.659,-0.482,0.503
5536890,10847.0,2772.0,2927.0,0.296,0.657,-0.479,0.502
5536916,10965.0,5166.0,2543.0,0.311,0.654,-0.471,0.503
5536932,11297.0,5666.0,3809.0,0.33,0.65,-0.464,0.504
