timestamp,ax,ay,az,q0,q1,q2,q3
1176819,884.0,3200.0,7686.0,0.716,0.198,0.077,0.665
1176835,968.0,3178.0,7670.0,0.715,0.198,0.077,0.666
1176851,936.0,3236.0,7672.0,0.715,0.199,0.077,0.666
1176867,1046.0,3226.0,7600.0,0.715,0.199,0.077,0.666
1176883,1048.0,3312.0,7596.0,0.715,0.199,0.077,0.666
1176900,1082.0,3328.0,7640.0,0.715,0.2,0.077,0.665
1176926,1100.0,3390.0,7666.0,0.716,0.2,0.077,0.665
1176942,1114.0,3328.0,7574.0,0.716,0.2,0.077,0.665
1176958,1106.0,3388.0,7624.0,0.716,0.2,0.077,0.664
1176974,1086.0,3274.0,7660.0,0.716,0.2,0.076,0.664
1176990,1084.0,3336.0,7628.0,0.717,0.199,0.076,0.664
1177016,1030.0,3268.0,7666.0,0.717,0.199,0.075,0.664
1177033,986.0,3222.0,7638.0,0.717,0.199,0.075,0.664
1177049,938.0,3168.0,7734.0,0.717,0.198,0.074,0.664
1177065,996.0,3122.0,7710.0,0.717,0.198,0.073,0.664
1177081,1022.0,3106.0,7732.0,0.717,0.197,0.073,0.664
1177097,1032.0,3112.0,7730.0,0.717,0.197,0.072,0.664
1177113,1046.0,3094.0,7768.0,0.718,0.196,0.071,0.664
1177139,1036.0,3012.0,7774.0,0.718,0.196,0.071,0.664
1177155,1102.0,3054.0,7768.0,0.718,0.196,0.07,0.664
1177171,1060.0,3090.0,7718.0,0.718,0.196,0.07,0.664
1177187,1116.0,3094.0,7740.0,0.718,0.196,0.069,0.664
1177203,1126.0,3080.0,7722.0,0.718,0.195,0.069,0.664
1177219,1076.0,3106.0,7734.0,0.718,0.195,0.069,0.664
1177245,1076.0,3106.0,7714.0,0.718,0.195,0.069,0.664
1177261,1080.0,3128.0,7782.0,0.718,0.195,0.069,0.664
1177277,1026.0,3088.0,7744.0,0.718,0.195,0.069,0.665
1177293,1060.0,3078.0,7682.0,0.718,0.195,0.069,0.665
1177309,1038.0,3102.0,7690.0,0.718,0.195,0.069,0.665
1177325,1044.0,3122.0,7734.0,0.717,0.195,0.069,0.665
1177351,1022.0,3162.0,7672.0,0.717,0.195,0.069,0.665
1177367,1064.0,3154.0,7704.0,0.717,0.195,0.07,0.665
1177383,1084.0,3154.0,7674.0,0.717,0.195,0.07,0.665
1177399,1118.0,3236.0,7706.0,0.717,0.195,0.07,0.666
1177415,1074.0,3152.0,7666.0,0.717,0.195,0.07,0.666
1177431,1074.0,3170.0,7658.0,0.717,0.195,0.07,0.666
1177457,1124.0,3158.0,7704.0,0.717,0.195,0.071,0.666
1177473,1048.0,3160.0,7738.0,0.717,0.195,0.071,0.666
