timestamp,ax,ay,az,q0,q1,q2,q3
5232487,3094.0,1851.0,7198.0,0.958,0.191,-0.197,0.081
5232503,3032.0,3017.0,6996.0,0.958,0.195,-0.191,0.083
5232519,2568.0,3367.0,7034.0,0.959,0.196,-0.186,0.085
5232535,2144.0,3435.0,7898.0,0.96,0.196,-0.182,0.087
5232561,2298.0,2363.0,7852.0,0.96,0.196,-0.18,0.089
5232577,2570.0,2869.0,7460.0,0.96,0.197,-0.178,0.091
5232593,2814.0,3177.0,7382.0,0.96,0.198,-0.177,0.093
5232609,2942.0,2833.0,7416.0,0.96,0.198,-0.176,0.095
5232625,3050.0,2593.0,7388.0,0.96,0.199,-0.175,0.096
5232641,2980.0,2723.0,7262.0,0.96,0.2,-0.174,0.096
5232668,2808.0,2731.0,7236.0,0.96,0.2,-0.172,0.096
5232684,2830.0,2631.0,7150.0,0.96,0.202,-0.17,0.096
5232700,2498.0,2481.0,6742.0,0.96,0.203,-0.168,0.096
5232716,2178.0,2543.0,6074.0,0.96,0.205,-0.166,0.096
5232733,2612.0,3155.0,6776.0,0.96,0.207,-0.164,0.096
5232749,2802.0,3283.0,7558.0,0.96,0.209,-0.162,0.096
5232765,2604.0,3039.0,7288.0,0.96,0.211,-0.159,0.097
5232791,2522.0,2981.0,7294.0,0.959,0.213,-0.157,0.098
5232807,2546.0,3227.0,7442.0,0.959,0.215,-0.155,0.099
5232823,2518.0,3293.0,7376.0,0.959,0.217,-0.153,0.1
5232839,2382.0,3073.0,7276.0,0.959,0.218,-0.151,0.101
5232855,2244.0,3343.0,7256.0,0.959,0.219,-0.149,0.102
5232871,2180.0,3229.0,7202.0,0.959,0.22,-0.147,0.103
5232897,2126.0,2929.0,7192.0,0.959,0.22,-0.146,0.104
5232914,2032.0,2723.0,7112.0,0.959,0.22,-0.145,0.105
5232930,2160.0,2539.0,7030.0,0.959,0.221,-0.145,0.107
5232946,2372.0,2619.0,7218.0,0.958,0.221,-0.144,0.109
5232962,2668.0,3083.0,7540.0,0.958,0.222,-0.144,0.111
5232978,2634.0,3413.0,7780.0,0.958,0.223,-0.143,0.112
5233004,2390.0,3459.0,7674.0,0.958,0.224,-0.141,0.113
5233020,2154.0,3371.0,7310.0,0.957,0.225,-0.139,0.115
5233036,2042.0,3189.0,7074.0,0.957,0.227,-0.137,0.116
5233052,1926.0,3385.0,6656.0,0.957,0.229,-0.135,0.117
5233069,2112.0,3453.0,6922.0,0.956,0.231,-0.134,0.119
5233085,2220.0,3461.0,6986.0,0.956,0.233,-0.133,0.12
5233101,2222.0,3789.0,7058.0,0.955,0.235,-0.131,0.122
5233128,2294.0,3567.0,7174.0,0.955,0.236,-0.13,0.123
5233144,2258.0,3325.0,7206.0,0.955,0.236,-0.129,0.124
5233161,2108.0,3607.0,7244.0,0.955,0.238,-0.128,0.125
5233178,2074.0,3683.0,7264.0,0.954,0.239,-0.128,0.126
5233194,2162.0,3645.0,7232.0,0.954,0.24,-0.127,0.126
5233211,2146.0,3555.0,7152.0,0.954,0.24,-0.126,0.127
5233228,2032.0,3491.0,7132.0,0.954,0.241,-0.125,0.128
5233244,1990.0,3443.0,7192.0,0.954,0.241,-0.125,0.128
5233260,2028.0,3307.0,7170.0,0.954,0.242,-0.124,0.129
5233286,2092.0,3453.0,7052.0,0.954,0.242,-0.124,0.13
5233302,2086.0,3425.0,7038.0,0.953,0.243,-0.124,0.13
5233318,2064.0,3485.0,6962.0,0.953,0.243,-0.123,0.131
5233334,2254.0,3319.0,7064.0,0.953,0.243,-0.123,0.131
5233350,2238.0,3525.0,6996.0,0.953,0.243,-0.123,0.131
5233376,2246.0,3563.0,7150.0,0.953,0.242,-0.123,0.132
5233393,2220.0,3159.0,7268.0,0.953,0.242,-0.123,0.132
5233409,2192.0,3577.0,7132.0,0.953,0.242,-0.123,0.133
5233426,2104.0,3521.0,7176.0,0.953,0.243,-0.122,0.134
5233443,2128.0,3587.0,7214.0,0.953,0.243,-0.122,0.134
