timestamp,ax,ay,az,q0,q1,q2,q3
3446930,36.0,7444.0,225.0,0.665,0.657,0.259,0.243
3446946,6.0,7866.0,-67.0,0.663,0.656,0.264,0.245
3446962,-394.0,8508.0,307.0,0.662,0.655,0.269,0.246
3446978,-526.0,8388.0,331.0,0.661,0.652,0.275,0.248
3447004,-614.0,7750.0,145.0,0.66,0.65,0.28,0.25
3447021,-848.0,7774.0,79.0,0.658,0.649,0.287,0.251
3447037,-984.0,8346.0,123.0,0.657,0.648,0.293,0.251
3447053,-1196.0,8352.0,419.0,0.655,0.647,0.299,0.251
3447070,-1310.0,8614.0,375.0,0.654,0.645,0.303,0.252
3447087,-1418.0,7998.0,-91.0,0.654,0.644,0.308,0.252
3447104,-1454.0,7878.0,217.0,0.653,0.643,0.311,0.252
3447121,-1664.0,8328.0,605.0,0.652,0.642,0.314,0.252
3447138,-1762.0,8608.0,537.0,0.652,0.641,0.316,0.252
3447155,-1728.0,8084.0,301.0,0.653,0.64,0.317,0.251
3447182,-1662.0,7796.0,381.0,0.654,0.639,0.318,0.251
3447198,-1764.0,7898.0,449.0,0.655,0.638,0.317,0.251
3447215,-1924.0,7788.0,695.0,0.656,0.638,0.316,0.251
3447231,-2020.0,7632.0,819.0,0.657,0.638,0.314,0.25
3447248,-1886.0,7728.0,905.0,0.657,0.64,0.311,0.25
3447264,-2012.0,8246.0,845.0,0.658,0.641,0.307,0.249
3447281,-1798.0,8260.0,399.0,0.658,0.643,0.303,0.249
3447297,-1540.0,8288.0,455.0,0.659,0.645,0.298,0.248
3447323,-1418.0,8148.0,415.0,0.659,0.647,0.294,0.248
3447340,-1290.0,7974.0,411.0,0.659,0.648,0.29,0.247
3447356,-1324.0,8008.0,457.0,0.659,0.65,0.286,0.247
3447372,-1246.0,7926.0,503.0,0.658,0.652,0.284,0.247
3447389,-954.0,7846.0,497.0,0.657,0.654,0.281,0.247
3447405,-732.0,7750.0,93.0,0.656,0.656,0.28,0.247
3447422,-478.0,8178.0,-179.0,0.655,0.657,0.281,0.247
3447438,-586.0,8410.0,-137.0,0.653,0.658,0.282,0.248
3447464,-494.0,8822.0,-499.0,0.652,0.657,0.283,0.25
3447481,-482.0,8734.0,-67.0,0.652,0.656,0.285,0.252
3447498,-674.0,7700.0,439.0,0.653,0.653,0.287,0.255
3447514,-836.0,7318.0,263.0,0.652,0.652,0.289,0.257
3447530,-892.0,7622.0,161.0,0.652,0.65,0.293,0.258
3447546,-764.0,7746.0,191.0,0.651,0.649,0.296,0.259
3447562,-754.0,8094.0,131.0,0.649,0.648,0.3,0.261
3447588,-836.0,8366.0,63.0,0.648,0.647,0.304,0.262
3447604,-858.0,8376.0,85.0,0.647,0.645,0.308,0.263
3447620,-994.0,8180.0,-161.0,0.647,0.644,0.312,0.265
3447636,-1062.0,8108.0,27.0,0.646,0.641,0.316,0.266
3447653,-1338.0,8058.0,269.0,0.646,0.639,0.32,0.267
3447669,-1242.0,8256.0,305.0,0.647,0.637,0.323,0.268
3447686,-1470.0,8256.0,377.0,0.647,0.635,0.326,0.269
3447713,-1430.0,8170.0,275.0,0.647,0.633,0.327,0.27
3447730,-1420.0,8262.0,183.0,0.648,0.632,0.329,0.27
3447747,-1422.0,8254.0,261.0,0.649,0.63,0.329,0.27
3447765,-1520.0,7974.0,437.0,0.65,0.629,0.329,0.27
3447782,-1550.0,8008.0,497.0,0.651,0.629,0.329,0.27
3447798,-1512.0,8136.0,443.0,0.652,0.628,0.328,0.269
3447814,-1434.0,7990.0,317.0,0.654,0.628,0.326,0.268
3447831,-1398.0,8034.0,291.0,0.655,0.627,0.325,0.268
3447848,-1282.0,7998.0,281.0,0.656,0.627,0.324,0.267
3447865,-1338.0,8062.0,315.0,0.658,0.626,0.323,0.267
3447882,-1396.0,8060.0,415.0,0.659,0.625,0.322,0.267
3447899,-1408.0,8118.0,293.0,0.66,0.624,0.321,0.267
3447916,-1448.0,8082.0,375.0,0.662,0.623,0.32,0.268
3447943,-1406.0,8166.0,401.0,0.663,0.622,0.319,0.268
3447960,-1380.0,7928.0,399.0,0.665,0.62,0.318,0.269
3447977,-1400.0,7946.0,485.0,0.666,0.618,0.318,0.27
3447993,-1464.0,7980.0,521.0,0.668,0.616,0.318,0.271
3448009,-1370.0,7904.0,551.0,0.669,0.614,0.317,0.272
3448026,-1464.0,7958.0,643.0,0.671,0.612,0.317,0.273
3448043,-1476.0,8014.0,651.0,0.672,0.61,0.317,0.274
3448060,-1424.0,7888.0,629.0,0.674,0.609,0.316,0.275
3448077,-1586.0,7776.0,913.0,0.675,0.607,0.316,0.274
3448094,-1534.0,8002.0,845.0,0.676,0.606,0.316,0.274
3448111,-1328.0,8250.0,713.0,0.678,0.605,0.315,0.274
3448137,-1250.0,8036.0,781.0,0.68,0.603,0.314,0.273
3448153,-1444.0,7896.0,865.0,0.682,0.601,0.314,0.273
3448169,-1358.0,7660.0,1117.0,0.684,0.6,0.313,0.273
3448186,-1464.0,7836.0,1025.0,0.685,0.599,0.312,0.271
3448202,-1462.0,8288.0,1045.0,0.687,0.598,0.311,0.271
3448218,-1254.0,8182.0,1099.0,0.69,0.597,0.309,0.27
3448235,-1346.0,7998.0,1251.0,0.692,0.595,0.308,0.269
3448261,-1212.0,7762.0,1289.0,0.694,0.594,0.306,0.268
3448277,-1478.0,7808.0,1477.0,0.695,0.594,0.305,0.267
3448293,-1266.0,8032.0,1295.0,0.697,0.593,0.303,0.265
3448310,-976.0,7938.0,1199.0,0.699,0.592,0.302,0.265
3448326,-1176.0,7872.0,1311.0,0.701,0.591,0.301,0.264
3448343,-1196.0,7940.0,1425.0,0.702,0.59,0.299,0.263
3448359,-1174.0,7570.0,1679.0,0.704,0.589,0.298,0.263
3448385,-1376.0,7712.0,1687.0,0.705,0.588,0.298,0.262
3448401,-1252.0,7952.0,1583.0,0.706,0.587,0.297,0.262
3448418,-1276.0,7904.0,1623.0,0.707,0.587,0.297,0.261
3448435,-1426.0,7874.0,1763.0,0.707,0.586,0.297,0.262
3448452,-1312.0,7812.0,1685.0,0.708,0.585,0.297,0.262
3448470,-1318.0,7670.0,1599.0,0.708,0.585,0.297,0.262
3448486,-1280.0,7712.0,1555.0,0.708,0.585,0.297,0.262
3448503,-1358.0,7744.0,1537.0,0.708,0.584,0.298,0.263
3448520,-1556.0,7696.0,1851.0,0.707,0.585,0.299,0.263
3448537,-1450.0,7818.0,1765.0,0.707,0.585,0.299,0.263
3448554,-1430.0,7802.0,1849.0,0.706,0.585,0.3,0.263
3448580,-1322.0,7704.0,1627.0,0.705,0.586,0.301,0.264
3448596,-1330.0,7784.0,1515.0,0.704,0.587,0.302,0.264
3448612,-1344.0,7818.0,1469.0,0.702,0.588,0.303,0.264
3448628,-1336.0,7862.0,1491.0,0.7,0.589,0.305,0.265
3448645,-1312.0,7880.0,1407.0,0.699,0.589,0.307,0.265
3448662,-1380.0,7994.0,1317.0,0.697,0.59,0.309,0.266
3448678,-1438.0,7872.0,1279.0,0.695,0.591,0.31,0.267
3448695,-1438.0,7686.0,1287.0,0.693,0.592,0.312,0.268
3448722,-1510.0,7856.0,1201.0,0.691,0.593,0.314,0.268
3448739,-1536.0,7830.0,1175.0,0.688,0.595,0.316,0.268
3448755,-1584.0,8034.0,1119.0,0.686,0.597,0.317,0.269
3448775,-1466.0,8108.0,881.0,0.684,0.599,0.318,0.269
3448791,-1526.0,8178.0,639.0,0.681,0.601,0.319,0.269
3448807,-1708.0,8722.0,489.0,0.68,0.603,0.319,0.269
3448823,-1818.0,8350.0,703.0,0.679,0.604,0.318,0.271
3448839,-1798.0,8400.0,829.0,0.678,0.605,0.317,0.272
3448856,-1382.0,8120.0,961.0,0.678,0.606,0.315,0.274
3448873,-1310.0,7750.0,1013.0,0.678,0.607,0.312,0.275
3448899,-1420.0,8032.0,829.0,0.678,0.608,0.308,0.275
3448915,-1130.0,7836.0,627.0,0.679,0.609,0.305,0.275
3448931,-968.0,7550.0,623.0,0.679,0.61,0.301,0.275
