timestamp,ax,ay,az,q0,q1,q2,q3
3380530,2470.0,1561.0,7614.0,0.879,0.172,-0.12,0.429
3380547,2512.0,1631.0,7652.0,0.878,0.173,-0.119,0.429
3380563,2432.0,1539.0,7644.0,0.878,0.173,-0.118,0.43
3380579,2360.0,1703.0,7712.0,0.878,0.174,-0.118,0.43
3380595,2344.0,1641.0,7780.0,0.878,0.174,-0.117,0.43
3380611,2282.0,1637.0,7760.0,0.878,0.174,-0.117,0.431
3380637,2304.0,1719.0,7730.0,0.878,0.175,-0.117,0.431
3380654,2328.0,1647.0,7754.0,0.877,0.175,-0.117,0.431
3380670,2376.0,1707.0,7658.0,0.877,0.175,-0.117,0.431
3380686,2390.0,1685.0,7586.0,0.877,0.175,-0.116,0.431
3380703,2402.0,1703.0,7666.0,0.877,0.175,-0.116,0.432
3380720,2438.0,1627.0,7634.0,0.877,0.175,-0.116,0.432
3380736,2456.0,1659.0,7626.0,0.877,0.175,-0.116,0.432
3380752,2426.0,1583.0,7682.0,0.877,0.175,-0.116,0.433
3380778,2436.0,1619.0,7706.0,0.877,0.175,-0.116,0.433
3380795,2410.0,1617.0,7728.0,0.877,0.175,-0.116,0.433
3380812,2364.0,1663.0,7704.0,0.876,0.175,-0.115,0.433
3380829,2358.0,1659.0,7694.0,0.876,0.175,-0.115,0.434
3380845,2402.0,1657.0,7684.0,0.876,0.176,-0.115,0.434
3380862,2416.0,1691.0,7662.0,0.876,0.176,-0.114,0.434
3380879,2362.0,1631.0,7628.0,0.876,0.176,-0.114,0.435
3380896,2422.0,1675.0,7632.0,0.876,0.176,-0.114,0.435
3380912,2396.0,1701.0,7702.0,0.876,0.176,-0.113,0.435
3380938,2356.0,1661.0,7646.0,0.875,0.176,-0.113,0.436
3380955,2316.0,1737.0,7686.0,0.875,0.176,-0.112,0.436
3380972,2290.0,1721.0,7678.0,0.875,0.176,-0.112,0.436
3380989,2336.0,1763.0,7690.0,0.875,0.177,-0.111,0.436
3381006,2334.0,1717.0,7678.0,0.875,0.177,-0.111,0.437
