timestamp,ax,ay,az,q0,q1,q2,q3
6298131,4403.0,3960.0,5587.0,0.89,0.338,-0.25,0.178
6298157,4429.0,4040.0,5589.0,0.89,0.338,-0.251,0.178
6298173,4501.0,4190.0,5511.0,0.89,0.337,-0.251,0.178
6298189,4517.0,4050.0,5543.0,0.89,0.337,-0.251,0.179
6298205,4573.0,4008.0,5531.0,0.889,0.337,-0.252,0.179
6298221,4629.0,4026.0,5501.0,0.889,0.337,-0.252,0.179
6298237,4655.0,4092.0,5457.0,0.889,0.337,-0.252,0.18
6298263,4695.0,3934.0,5461.0,0.889,0.337,-0.252,0.18
6298279,4667.0,3940.0,5417.0,0.889,0.337,-0.252,0.18
6298295,4563.0,4008.0,5503.0,0.889,0.338,-0.252,0.181
6298311,4593.0,3968.0,5505.0,0.889,0.338,-0.251,0.181
6298327,4537.0,3988.0,5491.0,0.889,0.338,-0.251,0.181
6298343,4495.0,4078.0,5419.0,0.888,0.339,-0.25,0.182
6298369,4493.0,4234.0,5427.0,0.888,0.34,-0.25,0.182
6298385,4447.0,4126.0,5489.0,0.888,0.34,-0.249,0.183
6298401,4435.0,4170.0,5551.0,0.888,0.341,-0.249,0.184
6298417,4443.0,4252.0,5449.0,0.888,0.341,-0.249,0.184
6298433,4465.0,4268.0,5419.0,0.887,0.341,-0.248,0.185
6298449,4505.0,4236.0,5441.0,0.887,0.342,-0.248,0.185
6298475,4521.0,4286.0,5439.0,0.887,0.342,-0.248,0.185
6298491,4517.0,4216.0,5415.0,0.887,0.342,-0.248,0.185
6298507,4481.0,4230.0,5411.0,0.887,0.342,-0.248,0.185
6298523,4475.0,4222.0,5435.0,0.887,0.342,-0.248,0.186
6298539,4457.0,4132.0,5467.0,0.888,0.341,-0.248,0.186
6298555,4503.0,4094.0,5477.0,0.888,0.341,-0.248,0.186
6298581,4583.0,4074.0,5413.0,0.888,0.341,-0.248,0.186
6298598,4547.0,4058.0,5437.0,0.888,0.341,-0.248,0.186
6298614,4497.0,4018.0,5433.0,0.887,0.341,-0.248,0.186
