timestamp,ax,ay,az,q0,q1,q2,q3
5370960,2684.0,7531.0,-305.0,0.661,0.716,-0.198,0.102
5370976,2942.0,7607.0,-495.0,0.661,0.716,-0.198,0.102
5370992,3206.0,7595.0,-551.0,0.662,0.716,-0.198,0.103
5371018,3362.0,7447.0,-489.0,0.662,0.716,-0.198,0.103
5371035,3464.0,7337.0,-525.0,0.662,0.715,-0.198,0.103
5371051,3540.0,7341.0,-567.0,0.662,0.715,-0.198,0.104
5371068,3450.0,7489.0,-589.0,0.662,0.716,-0.198,0.104
5371085,3374.0,7507.0,-543.0,0.662,0.716,-0.197,0.104
5371102,3264.0,7487.0,-497.0,0.662,0.716,-0.197,0.105
5371118,3214.0,7481.0,-499.0,0.662,0.716,-0.197,0.105
5371134,3166.0,7451.0,-431.0,0.662,0.716,-0.197,0.105
5371150,3124.0,7521.0,-415.0,0.662,0.716,-0.196,0.105
5371177,3082.0,7521.0,-431.0,0.662,0.716,-0.196,0.106
5371194,3006.0,7561.0,-495.0,0.662,0.716,-0.196,0.106
5371211,2898.0,7619.0,-459.0,0.662,0.716,-0.195,0.106
5371227,2928.0,7523.0,-277.0,0.662,0.716,-0.195,0.106
5371244,3062.0,7553.0,-289.0,0.662,0.716,-0.195,0.106
5371260,3144.0,7539.0,-423.0,0.662,0.716,-0.194,0.106
5371276,3212.0,7551.0,-545.0,0.661,0.717,-0.194,0.107
5371292,3310.0,7565.0,-665.0,0.661,0.717,-0.194,0.107
5371319,3396.0,7541.0,-685.0,0.661,0.717,-0.194,0.107
5371336,3492.0,7393.0,-683.0,0.661,0.717,-0.194,0.108
5371353,3410.0,7387.0,-617.0,0.661,0.717,-0.194,0.108
5371369,3286.0,7461.0,-549.0,0.661,0.717,-0.194,0.108
5371385,3098.0,7541.0,-525.0,0.661,0.717,-0.193,0.107
5371402,2994.0,7595.0,-429.0,0.661,0.717,-0.193,0.107
5371419,2970.0,7581.0,-389.0,0.661,0.717,-0.192,0.107
5371436,3032.0,7409.0,-227.0,0.662,0.717,-0.192,0.107
5371452,3146.0,7345.0,-405.0,0.662,0.717,-0.192,0.108
5371478,3190.0,7563.0,-551.0,0.661,0.717,-0.191,0.108
5371494,3206.0,7625.0,-613.0,0.661,0.717,-0.191,0.108
5371511,3134.0,7615.0,-591.0,0.661,0.717,-0.191,0.109
5371528,3002.0,7717.0,-763.0,0.661,0.718,-0.191,0.108
5371545,3158.0,7753.0,-611.0,0.661,0.718,-0.192,0.108
5371562,3104.0,7379.0,-631.0,0.661,0.717,-0.192,0.107
5371579,3078.0,7629.0,-655.0,0.661,0.717,-0.193,0.106
5371596,3358.0,7561.0,-507.0,0.662,0.717,-0.193,0.105
5371613,3218.0,7269.0,-381.0,0.662,0.716,-0.193,0.104
5371630,3358.0,7311.0,-205.0,0.663,0.716,-0.193,0.104
5371647,3260.0,7367.0,-395.0,0.663,0.716,-0.193,0.105
5371664,3224.0,7529.0,-551.0,0.663,0.716,-0.192,0.105
5371681,3222.0,7499.0,-513.0,0.663,0.716,-0.192,0.105
5371708,3156.0,7441.0,-447.0,0.663,0.716,-0.191,0.106
5371724,3208.0,7417.0,-453.0,0.663,0.716,-0.19,0.106
5371741,3202.0,7399.0,-513.0,0.663,0.716,-0.19,0.107
5371757,3132.0,7525.0,-577.0,0.663,0.716,-0.189,0.107
5371774,3068.0,7697.0,-537.0,0.663,0.717,-0.189,0.107
5371791,2990.0,7763.0,-641.0,0.663,0.717,-0.189,0.107
5371807,2980.0,7681.0,-503.0,0.663,0.717,-0.189,0.107
5371824,3024.0,7583.0,-489.0,0.663,0.717,-0.189,0.107
5371841,3086.0,7547.0,-541.0,0.663,0.716,-0.189,0.107
5371858,3034.0,7557.0,-573.0,0.664,0.716,-0.188,0.106
5371885,3142.0,7471.0,-383.0,0.664,0.716,-0.188,0.106
5371902,3062.0,7393.0,-331.0,0.665,0.715,-0.188,0.106
5371918,3036.0,7401.0,-289.0,0.665,0.715,-0.188,0.106
5371935,3152.0,7501.0,-381.0,0.665,0.715,-0.187,0.106
5371952,3258.0,7479.0,-413.0,0.665,0.715,-0.187,0.107
5371969,3216.0,7569.0,-459.0,0.665,0.715,-0.186,0.108
5371986,3284.0,7493.0,-515.0,0.664,0.716,-0.186,0.108
5372002,3370.0,7299.0,-561.0,0.664,0.716,-0.186,0.109
5372018,3272.0,7447.0,-701.0,0.663,0.717,-0.186,0.109
5372035,3204.0,7563.0,-673.0,0.663,0.717,-0.186,0.109
5372062,3082.0,7639.0,-605.0,0.663,0.717,-0.186,0.109
5372078,2996.0,7729.0,-599.0,0.662,0.718,-0.185,0.109
5372095,2956.0,7649.0,-573.0,0.663,0.718,-0.185,0.109
5372112,2910.0,7493.0,-525.0,0.663,0.717,-0.185,0.108
5372129,3016.0,7441.0,-343.0,0.663,0.717,-0.185,0.109
5372145,3192.0,7527.0,-331.0,0.663,0.717,-0.184,0.109
5372161,3176.0,7503.0,-507.0,0.663,0.717,-0.184,0.11
5372177,3180.0,7551.0,-529.0,0.663,0.717,-0.184,0.11
5372204,3180.0,7539.0,-507.0,0.663,0.717,-0.183,0.111
5372220,3152.0,7547.0,-533.0,0.663,0.717,-0.183,0.111
5372236,3166.0,7519.0,-569.0,0.663,0.718,-0.183,0.111
5372252,3210.0,7485.0,-545.0,0.663,0.718,-0.183,0.111
5372268,3144.0,7481.0,-489.0,0.663,0.718,-0.183,0.111
5372284,3110.0,7529.0,-503.0,0.663,0.718,-0.182,0.111
5372310,3060.0,7509.0,-511.0,0.663,0.718,-0.182,0.111
5372327,3122.0,7519.0,-497.0,0.663,0.718,-0.182,0.111
5372344,3160.0,7515.0,-525.0,0.663,0.718,-0.181,0.111
5372360,3140.0,7523.0,-549.0,0.663,0.718,-0.181,0.111
5372376,3162.0,7499.0,-551.0,0.663,0.718,-0.181,0.111
5372392,3068.0,7509.0,-523.0,0.663,0.718,-0.18,0.111
5372408,3036.0,7551.0,-449.0,0.663,0.718,-0.18,0.111
5372434,2986.0,7497.0,-483.0,0.663,0.718,-0.18,0.111
5372450,3030.0,7551.0,-535.0,0.663,0.719,-0.18,0.111
5372467,3010.0,7603.0,-547.0,0.662,0.719,-0.18,0.11
5372483,3060.0,7619.0,-523.0,0.662,0.719,-0.18,0.11
5372499,3128.0,7591.0,-587.0,0.662,0.719,-0.18,0.111
5372516,3166.0,7521.0,-601.0,0.662,0.719,-0.18,0.111
5372532,3198.0,7591.0,-571.0,0.662,0.719,-0.18,0.111
5372558,3252.0,7493.0,-519.0,0.662,0.719,-0.18,0.111
5372574,3230.0,7523.0,-579.0,0.661,0.719,-0.18,0.111
5372591,3208.0,7561.0,-633.0,0.661,0.72,-0.18,0.111
5372608,3236.0,7511.0,-601.0,0.661,0.72,-0.18,0.111
5372624,3184.0,7537.0,-585.0,0.661,0.72,-0.18,0.111
5372641,3152.0,7573.0,-629.0,0.662,0.719,-0.179,0.112
5372658,3144.0,7545.0,-625.0,0.662,0.719,-0.179,0.112
5372675,3164.0,7571.0,-595.0,0.662,0.719,-0.179,0.112
5372692,3132.0,7587.0,-553.0,0.662,0.719,-0.178,0.112
5372708,3178.0,7565.0,-499.0,0.663,0.719,-0.178,0.113
5372735,3166.0,7561.0,-497.0,0.663,0.718,-0.177,0.113
5372751,3152.0,7577.0,-537.0,0.664,0.718,-0.177,0.113
5372768,3124.0,7515.0,-493.0,0.664,0.718,-0.176,0.114
5372785,3130.0,7545.0,-497.0,0.664,0.717,-0.176,0.114
5372802,3036.0,7523.0,-523.0,0.665,0.717,-0.176,0.114
5372818,3048.0,7517.0,-489.0,0.665,0.717,-0.175,0.114
