timestamp,ax,ay,az,q0,q1,q2,q3
2095791,4624.0,4572.0,60.0,0.704,0.589,-0.104,0.384
2095808,4250.0,4376.0,348.0,0.719,0.576,-0.115,0.372
2095824,4312.0,4274.0,670.0,0.733,0.563,-0.128,0.36
2095840,4732.0,4524.0,808.0,0.747,0.549,-0.141,0.348
2095856,5310.0,4292.0,1506.0,0.76,0.533,-0.154,0.337
2095883,6128.0,3206.0,3112.0,0.773,0.517,-0.167,0.327
2095899,6534.0,3482.0,4408.0,0.785,0.501,-0.178,0.318
2095915,6888.0,4484.0,5242.0,0.797,0.484,-0.187,0.309
2095931,6666.0,2746.0,6148.0,0.807,0.468,-0.194,0.303
2095947,6338.0,2466.0,5626.0,0.816,0.454,-0.2,0.297
2095963,5974.0,4176.0,4594.0,0.824,0.441,-0.204,0.292
2095989,5356.0,5480.0,4244.0,0.832,0.428,-0.208,0.286
2096005,4448.0,3970.0,4308.0,0.84,0.413,-0.213,0.28
2096022,4296.0,3464.0,4084.0,0.846,0.401,-0.219,0.274
2096039,4630.0,4062.0,3284.0,0.851,0.391,-0.226,0.268
2096056,4758.0,3982.0,3284.0,0.856,0.381,-0.232,0.262
2096072,4912.0,3176.0,3196.0,0.861,0.371,-0.238,0.255
2096088,4588.0,3620.0,3742.0,0.865,0.362,-0.243,0.249
2096104,4364.0,3694.0,4224.0,0.868,0.354,-0.249,0.242
2096130,4628.0,3268.0,4342.0,0.872,0.346,-0.254,0.236
2096146,5020.0,2814.0,4630.0,0.875,0.339,-0.26,0.23
2096162,5820.0,3492.0,4660.0,0.878,0.332,-0.263,0.224
2096178,6068.0,3226.0,5484.0,0.882,0.322,-0.265,0.218
2096194,6466.0,2736.0,6484.0,0.889,0.308,-0.265,0.213
2096210,5954.0,1418.0,7262.0,0.896,0.292,-0.262,0.209
2096236,5420.0,860.0,7632.0,0.903,0.275,-0.256,0.206
2096252,4870.0,876.0,7244.0,0.911,0.259,-0.248,0.204
2096272,3664.0,1156.0,6834.0,0.918,0.243,-0.237,0.203
2096288,2506.0,790.0,8060.0,0.924,0.23,-0.227,0.203
2096304,1632.0,622.0,9096.0,0.928,0.223,-0.219,0.204
2096321,1964.0,1604.0,8910.0,0.928,0.223,-0.215,0.207
2096337,2304.0,1988.0,8178.0,0.927,0.225,-0.212,0.211
2096353,3004.0,2616.0,7824.0,0.925,0.23,-0.213,0.215
2096369,4184.0,3008.0,7616.0,0.922,0.235,-0.217,0.218
2096396,5226.0,4700.0,6336.0,0.919,0.24,-0.222,0.221
2096412,5696.0,4206.0,5354.0,0.917,0.241,-0.228,0.223
2096428,6030.0,3330.0,4680.0,0.916,0.239,-0.231,0.225
2096444,5866.0,2962.0,4378.0,0.917,0.235,-0.232,0.225
2096460,5426.0,2738.0,4372.0,0.919,0.229,-0.23,0.225
2096477,4910.0,2922.0,4532.0,0.923,0.22,-0.224,0.223
2096493,4294.0,2748.0,4904.0,0.928,0.208,-0.217,0.222
2096519,3682.0,1740.0,6160.0,0.933,0.195,-0.208,0.22
2096535,2886.0,792.0,7278.0,0.938,0.182,-0.198,0.218
2096552,2216.0,-732.0,8414.0,0.942,0.173,-0.188,0.217
2096569,2042.0,340.0,8778.0,0.944,0.171,-0.179,0.218
2096585,1946.0,2426.0,8066.0,0.945,0.172,-0.171,0.219
2096601,2134.0,2398.0,7914.0,0.945,0.172,-0.167,0.221
2096617,2510.0,1072.0,7834.0,0.945,0.173,-0.164,0.223
2096643,2526.0,960.0,7764.0,0.944,0.176,-0.161,0.226
2096660,2600.0,1256.0,7866.0,0.944,0.179,-0.159,0.228
2096677,2760.0,1426.0,8146.0,0.943,0.184,-0.157,0.23
2096694,2912.0,1844.0,8340.0,0.942,0.189,-0.155,0.232
2096710,3062.0,1814.0,8464.0,0.94,0.192,-0.154,0.235
2096726,3230.0,1848.0,8238.0,0.939,0.195,-0.154,0.238
2096742,3170.0,1938.0,7796.0,0.937,0.198,-0.154,0.241
2096768,3156.0,1800.0,7398.0,0.936,0.201,-0.155,0.244
2096784,3172.0,2022.0,6990.0,0.935,0.203,-0.156,0.247
2096800,3162.0,1958.0,7028.0,0.933,0.206,-0.156,0.25
2096816,3302.0,1762.0,7216.0,0.931,0.209,-0.157,0.254
2096832,3328.0,1714.0,7248.0,0.929,0.214,-0.157,0.257
2096849,3388.0,2118.0,7280.0,0.927,0.219,-0.157,0.261
2096865,3644.0,2356.0,7262.0,0.924,0.226,-0.157,0.265
2096891,3746.0,2668.0,7170.0,0.921,0.232,-0.157,0.269
2096907,3868.0,3110.0,6954.0,0.919,0.239,-0.157,0.273
2096923,3868.0,3206.0,6756.0,0.916,0.245,-0.156,0.277
2096940,3956.0,3402.0,6622.0,0.913,0.252,-0.155,0.281
2096957,3884.0,3710.0,6542.0,0.91,0.258,-0.153,0.285
2096973,3880.0,3904.0,6478.0,0.908,0.264,-0.152,0.288
2096989,3794.0,4114.0,6464.0,0.905,0.269,-0.151,0.292
2097015,3806.0,4136.0,6502.0,0.903,0.273,-0.15,0.295
2097031,3784.0,4188.0,6610.0,0.902,0.276,-0.149,0.297
2097048,3650.0,4192.0,6596.0,0.9,0.279,-0.148,0.299
2097065,3606.0,4196.0,6528.0,0.899,0.28,-0.147,0.301
2097082,3452.0,4168.0,6584.0,0.899,0.281,-0.147,0.303
2097098,3520.0,4068.0,6624.0,0.898,0.282,-0.146,0.304
2097115,3554.0,3848.0,6668.0,0.898,0.282,-0.146,0.305
2097132,3608.0,3768.0,6666.0,0.897,0.282,-0.146,0.306
2097148,3644.0,3782.0,6662.0,0.897,0.282,-0.145,0.307
2097175,3650.0,3640.0,6668.0,0.897,0.282,-0.145,0.307
2097192,3628.0,3532.0,6708.0,0.897,0.282,-0.145,0.307
2097208,3602.0,3510.0,6662.0,0.897,0.282,-0.144,0.307
2097224,3494.0,3558.0,6702.0,0.897,0.282,-0.143,0.307
2097240,3436.0,3592.0,6696.0,0.897,0.283,-0.142,0.307
2097256,3382.0,3572.0,6722.0,0.897,0.283,-0.141,0.307
2097272,3288.0,3616.0,6754.0,0.897,0.284,-0.14,0.307
2097298,3266.0,3688.0,6726.0,0.897,0.285,-0.14,0.307
2097314,3180.0,3692.0,6760.0,0.897,0.285,-0.139,0.307
2097331,3146.0,3806.0,6750.0,0.897,0.285,-0.138,0.307
2097347,3130.0,3654.0,6768.0,0.898,0.285,-0.138,0.307
2097364,3230.0,3742.0,6754.0,0.898,0.284,-0.138,0.307
2097381,3216.0,3636.0,6854.0,0.898,0.284,-0.138,0.307
2097397,3304.0,3554.0,6772.0,0.898,0.283,-0.138,0.307
2097423,3392.0,3500.0,6730.0,0.898,0.283,-0.138,0.307
2097440,3380.0,3374.0,6774.0,0.898,0.282,-0.138,0.307
2097457,3452.0,3374.0,6814.0,0.898,0.281,-0.139,0.307
2097474,3476.0,3278.0,6872.0,0.898,0.281,-0.139,0.307
2097491,3540.0,3172.0,6856.0,0.899,0.28,-0.14,0.307
2097508,3556.0,3206.0,6864.0,0.899,0.28,-0.14,0.307
2097525,3626.0,3026.0,6820.0,0.899,0.28,-0.14,0.307
2097542,3600.0,3226.0,6770.0,0.899,0.28,-0.141,0.307
2097558,3616.0,3074.0,6772.0,0.898,0.28,-0.141,0.307
2097574,3668.0,3070.0,6774.0,0.898,0.28,-0.141,0.308
2097600,3634.0,3252.0,6732.0,0.898,0.281,-0.141,0.308
2097616,3634.0,3228.0,6806.0,0.898,0.281,-0.141,0.308
2097632,3538.0,3368.0,6728.0,0.897,0.282,-0.141,0.309
2097648,3528.0,3338.0,6762.0,0.897,0.282,-0.141,0.309
2097664,3552.0,3342.0,6736.0,0.897,0.283,-0.141,0.31
2097681,3450.0,3448.0,6710.0,0.897,0.284,-0.14,0.31
2097697,3462.0,3444.0,6718.0,0.896,0.284,-0.14,0.311
2097724,3442.0,3478.0,6742.0,0.896,0.284,-0.14,0.311
2097740,3424.0,3578.0,6736.0,0.896,0.285,-0.139,0.311
2097756,3408.0,3542.0,6768.0,0.896,0.285,-0.139,0.312
2097773,3368.0,3540.0,6784.0,0.895,0.286,-0.138,0.312
2097789,3348.0,3624.0,6702.0,0.895,0.286,-0.138,0.312
2097805,3376.0,3632.0,6730.0,0.895,0.287,-0.138,0.313
2097821,3350.0,3606.0,6734.0,0.895,0.287,-0.138,0.313
2097847,3344.0,3618.0,6710.0,0.895,0.287,-0.138,0.313
2097863,3314.0,3648.0,6770.0,0.894,0.288,-0.138,0.313
2097880,3444.0,3542.0,6744.0,0.894,0.288,-0.139,0.313
2097896,3500.0,3596.0,6680.0,0.894,0.288,-0.139,0.313
2097913,3518.0,3552.0,6678.0,0.894,0.288,-0.14,0.313
2097929,3480.0,3536.0,6708.0,0.894,0.288,-0.14,0.314
2097945,3530.0,3512.0,6700.0,0.894,0.288,-0.14,0.314
2097971,3484.0,3462.0,6686.0,0.894,0.288,-0.14,0.314
2097987,3536.0,3424.0,6676.0,0.894,0.288,-0.141,0.314
2098003,3570.0,3458.0,6698.0,0.894,0.288,-0.141,0.314
2098019,3602.0,3440.0,6740.0,0.894,0.288,-0.141,0.314
2098035,3586.0,3448.0,6682.0,0.893,0.288,-0.141,0.315
2098052,3594.0,3444.0,6694.0,0.893,0.288,-0.141,0.315
2098078,3602.0,3394.0,6716.0,0.893,0.288,-0.141,0.315
2098094,3564.0,3394.0,6706.0,0.893,0.288,-0.141,0.315
2098110,3550.0,3560.0,6632.0,0.893,0.288,-0.141,0.316
2098127,3544.0,3572.0,6628.0,0.893,0.288,-0.141,0.316
2098143,3532.0,3726.0,6614.0,0.893,0.287,-0.141,0.316
2098159,3616.0,3968.0,6498.0,0.894,0.286,-0.141,0.315
2098175,3524.0,3462.0,6732.0,0.895,0.284,-0.142,0.314
2098201,3602.0,3298.0,6924.0,0.895,0.283,-0.144,0.313
2098218,3726.0,3410.0,7036.0,0.896,0.282,-0.147,0.31
2098234,3776.0,3648.0,6460.0,0.897,0.282,-0.15,0.307
2098250,3850.0,3658.0,6474.0,0.898,0.281,-0.155,0.302
2098267,3738.0,3360.0,7240.0,0.899,0.28,-0.162,0.296
2098283,3642.0,2078.0,8074.0,0.899,0.282,-0.172,0.288
2098300,4016.0,3246.0,6912.0,0.898,0.286,-0.182,0.279
2098316,4190.0,3378.0,6774.0,0.897,0.291,-0.194,0.269
2098343,4018.0,3666.0,6290.0,0.896,0.295,-0.207,0.259
2098360,3900.0,4236.0,6238.0,0.895,0.298,-0.221,0.248
2098376,3564.0,2150.0,7940.0,0.893,0.3,-0.237,0.237
2098392,3644.0,1666.0,7374.0,0.889,0.306,-0.253,0.227
2098408,4230.0,2152.0,6286.0,0.883,0.316,-0.268,0.22
2098424,4820.0,3748.0,4870.0,0.877,0.327,-0.28,0.214
2098440,5100.0,4576.0,4548.0,0.872,0.334,-0.291,0.208
2098466,4948.0,4018.0,4394.0,0.868,0.338,-0.301,0.202
2098482,5076.0,3298.0,4410.0,0.866,0.34,-0.309,0.198
2098498,4980.0,3376.0,4438.0,0.864,0.343,-0.314,0.196
2098514,4888.0,3838.0,4362.0,0.862,0.345,-0.316,0.195
2098531,4942.0,3544.0,4462.0,0.861,0.347,-0.316,0.195
2098547,5082.0,2742.0,4118.0,0.861,0.349,-0.312,0.198
2098573,5416.0,2356.0,4272.0,0.861,0.353,-0.305,0.202
2098589,5582.0,2336.0,4716.0,0.861,0.358,-0.294,0.209
2098605,5988.0,1978.0,4620.0,0.861,0.366,-0.28,0.217
2098621,6068.0,2804.0,4010.0,0.86,0.376,-0.262,0.226
2098638,6426.0,5794.0,4268.0,0.86,0.385,-0.238,0.236
2098654,5466.0,12018.0,3588.0,0.863,0.39,-0.212,0.243
2098671,5636.0,9454.0,3502.0,0.869,0.383,-0.19,0.25
2098688,7386.0,7122.0,3514.0,0.875,0.37,-0.17,0.261
2098715,6286.0,8966.0,2032.0,0.88,0.356,-0.15,0.276
2098731,3892.0,8024.0,4742.0,0.884,0.337,-0.134,0.294
2098747,316.0,2776.0,8188.0,0.885,0.323,-0.128,0.31
2098763,-878.0,2588.0,8770.0,0.882,0.32,-0.131,0.319
2098780,1946.0,2590.0,8110.0,0.88,0.321,-0.142,0.319
2098796,3280.0,2294.0,7320.0,0.879,0.322,-0.158,0.314
2098812,4084.0,2696.0,6696.0,0.879,0.325,-0.175,0.302
2098839,4256.0,3060.0,6024.0,0.879,0.326,-0.193,0.288
2098855,5806.0,4874.0,5860.0,0.881,0.325,-0.213,0.27
2098871,4780.0,2654.0,5186.0,0.883,0.32,-0.232,0.252
2098887,4672.0,4274.0,5214.0,0.886,0.315,-0.247,0.236
2098903,4048.0,4736.0,5058.0,0.888,0.308,-0.259,0.223
2098919,3814.0,4392.0,5528.0,0.891,0.297,-0.269,0.212
2098945,4106.0,2324.0,5836.0,0.895,0.284,-0.278,0.202
2098961,4296.0,654.0,6134.0,0.898,0.275,-0.283,0.195
2098978,4706.0,1308.0,6346.0,0.9,0.27,-0.285,0.19
2098995,4792.0,1746.0,6734.0,0.901,0.266,-0.287,0.187
2099012,5344.0,1084.0,6868.0,0.902,0.265,-0.287,0.187
2099028,5690.0,1460.0,6470.0,0.901,0.266,-0.286,0.188
