timestamp,ax,ay,az,q0,q1,q2,q3
3312653,3506.0,2289.0,7306.0,0.813,0.207,-0.106,0.533
3312669,3362.0,2357.0,7334.0,0.814,0.205,-0.105,0.533
3312685,3110.0,2213.0,7360.0,0.815,0.203,-0.105,0.532
3312701,2964.0,1849.0,7258.0,0.817,0.201,-0.105,0.53
3312717,2898.0,2269.0,7176.0,0.819,0.198,-0.105,0.528
3312733,2772.0,2133.0,7382.0,0.822,0.194,-0.106,0.525
3312759,2516.0,1765.0,7592.0,0.824,0.189,-0.108,0.522
3312775,2570.0,1753.0,7626.0,0.827,0.184,-0.11,0.519
3312792,2484.0,1723.0,7634.0,0.83,0.18,-0.113,0.515
3312809,2630.0,1461.0,7694.0,0.833,0.175,-0.117,0.512
3312826,2676.0,1449.0,7648.0,0.836,0.17,-0.12,0.508
3312843,2692.0,1405.0,7820.0,0.838,0.166,-0.123,0.504
3312860,2796.0,1121.0,7840.0,0.841,0.161,-0.126,0.501
3312877,2924.0,973.0,7716.0,0.843,0.157,-0.13,0.498
3312894,2978.0,971.0,7622.0,0.845,0.153,-0.132,0.495
3312910,3004.0,815.0,7584.0,0.847,0.149,-0.135,0.492
3312936,3174.0,795.0,7512.0,0.849,0.145,-0.137,0.489
3312952,3176.0,779.0,7608.0,0.851,0.141,-0.138,0.486
3312968,3286.0,667.0,7570.0,0.853,0.138,-0.14,0.484
3312985,3400.0,247.0,7544.0,0.854,0.135,-0.14,0.482
3313001,3380.0,405.0,7364.0,0.856,0.133,-0.14,0.48
3313017,3026.0,671.0,7672.0,0.857,0.13,-0.138,0.479
3313033,2824.0,217.0,7988.0,0.858,0.128,-0.136,0.478
3313059,2714.0,255.0,8042.0,0.859,0.128,-0.134,0.477
3313076,2702.0,325.0,7732.0,0.859,0.129,-0.131,0.477
3313092,2518.0,575.0,7740.0,0.86,0.13,-0.127,0.478
3313108,2250.0,633.0,7784.0,0.86,0.131,-0.123,0.478
3313125,1892.0,811.0,8048.0,0.859,0.133,-0.119,0.479
3313142,1748.0,879.0,8010.0,0.859,0.136,-0.116,0.48
3313158,1796.0,903.0,7754.0,0.858,0.14,-0.112,0.482
3313184,1708.0,1245.0,7904.0,0.857,0.144,-0.109,0.483
3313201,1812.0,1133.0,8058.0,0.855,0.149,-0.107,0.485
3313218,2130.0,1193.0,8022.0,0.854,0.153,-0.105,0.486
3313235,2382.0,1387.0,7736.0,0.852,0.159,-0.103,0.488
