timestamp,ax,ay,az,q0,q1,q2,q3
6516736,3991.0,5728.0,4367.0,0.867,0.437,-0.203,0.127
6516752,3929.0,5730.0,4397.0,0.867,0.438,-0.201,0.127
6516769,3901.0,5546.0,4339.0,0.867,0.439,-0.199,0.127
6516785,4007.0,5652.0,4307.0,0.867,0.44,-0.197,0.128
6516801,4131.0,5372.0,4321.0,0.866,0.441,-0.195,0.129
6516827,4101.0,5488.0,4307.0,0.866,0.444,-0.192,0.13
6516843,4097.0,5554.0,4233.0,0.865,0.446,-0.189,0.131
6516859,4279.0,4988.0,4683.0,0.864,0.449,-0.186,0.133
6516875,3969.0,5718.0,4353.0,0.862,0.454,-0.183,0.135
6516891,3947.0,5688.0,4315.0,0.859,0.459,-0.18,0.137
6516918,3931.0,5612.0,4175.0,0.857,0.464,-0.177,0.139
6516934,3965.0,5442.0,4137.0,0.854,0.47,-0.173,0.141
6516951,3995.0,5268.0,4229.0,0.851,0.477,-0.168,0.144
6516967,3685.0,5696.0,4167.0,0.846,0.485,-0.164,0.147
6516983,3397.0,6486.0,4027.0,0.841,0.495,-0.159,0.151
6517000,3195.0,6548.0,4091.0,0.835,0.505,-0.156,0.154
6517016,2957.0,6448.0,3889.0,0.828,0.516,-0.154,0.157
6517032,3047.0,6096.0,3563.0,0.821,0.526,-0.153,0.16
6517058,3627.0,6242.0,3481.0,0.813,0.537,-0.154,0.162
6517074,3835.0,6402.0,2987.0,0.805,0.548,-0.155,0.164
6517091,3813.0,6380.0,2125.0,0.798,0.558,-0.156,0.167
6517108,3851.0,5120.0,1921.0,0.792,0.565,-0.156,0.171
6517124,3925.0,4306.0,1943.0,0.785,0.572,-0.156,0.177
6517144,4449.0,4732.0,1787.0,0.779,0.579,-0.155,0.184
6517160,5471.0,4502.0,1643.0,0.773,0.586,-0.153,0.192
6517176,4951.0,4008.0,1453.0,0.766,0.592,-0.15,0.201
6517192,5095.0,3982.0,1239.0,0.758,0.6,-0.145,0.212
6517218,5149.0,4964.0,915.0,0.748,0.608,-0.14,0.224
6517234,5087.0,6526.0,713.0,0.739,0.617,-0.134,0.237
6517251,4733.0,6548.0,985.0,0.729,0.623,-0.129,0.25
6517267,4983.0,5764.0,643.0,0.72,0.63,-0.125,0.264
6517284,5447.0,5490.0,505.0,0.71,0.636,-0.12,0.277
6517300,5231.0,5168.0,-73.0,0.7,0.641,-0.115,0.292
6517316,5219.0,5796.0,-355.0,0.689,0.647,-0.109,0.307
6517333,5191.0,5894.0,-243.0,0.678,0.652,-0.104,0.323
6517359,5051.0,5992.0,-263.0,0.666,0.657,-0.1,0.339
6517376,4811.0,6330.0,-1035.0,0.655,0.66,-0.097,0.355
6517393,5485.0,5596.0,225.0,0.646,0.661,-0.096,0.371
6517409,5179.0,4734.0,-607.0,0.635,0.663,-0.095,0.386
6517425,5691.0,6056.0,-1009.0,0.622,0.665,-0.095,0.401
6517441,5419.0,6324.0,-721.0,0.611,0.667,-0.097,0.415
6517457,6343.0,5466.0,-469.0,0.6,0.667,-0.1,0.429
6517483,5889.0,5750.0,-771.0,0.589,0.668,-0.104,0.442
6517500,6335.0,5870.0,-689.0,0.578,0.669,-0.109,0.454
6517517,6043.0,6354.0,-631.0,0.568,0.668,-0.116,0.466
6517534,6351.0,5896.0,-609.0,0.558,0.667,-0.123,0.478
6517551,6339.0,5842.0,-479.0,0.549,0.666,-0.132,0.488
6517568,6719.0,5780.0,-437.0,0.54,0.664,-0.142,0.498
6517584,6919.0,5776.0,-371.0,0.531,0.661,-0.153,0.507
6517600,7185.0,5450.0,-495.0,0.523,0.658,-0.164,0.516
6517617,7353.0,5396.0,-395.0,0.515,0.654,-0.176,0.525
6517634,7393.0,5202.0,-283.0,0.507,0.651,-0.189,0.533
6517661,7633.0,5118.0,-163.0,0.5,0.646,-0.202,0.54
6517678,7691.0,4884.0,47.0,0.493,0.642,-0.216,0.545
6517695,7907.0,4726.0,89.0,0.487,0.638,-0.231,0.55
