timestamp,ax,ay,az,q0,q1,q2,q3
5268741,3930.0,5367.0,4606.0,0.889,0.385,-0.222,0.111
5268758,4034.0,5449.0,4750.0,0.888,0.385,-0.225,0.111
5268774,3958.0,5573.0,4708.0,0.888,0.384,-0.227,0.111
5268790,4010.0,5563.0,4716.0,0.887,0.384,-0.229,0.111
5268806,4114.0,5573.0,4730.0,0.887,0.384,-0.231,0.111
5268823,4108.0,5569.0,4622.0,0.887,0.384,-0.233,0.11
5268839,4054.0,5575.0,4496.0,0.886,0.384,-0.234,0.11
5268856,3946.0,5535.0,4574.0,0.886,0.384,-0.235,0.11
5268873,3908.0,5501.0,4572.0,0.886,0.383,-0.236,0.109
5268899,4020.0,5477.0,4640.0,0.886,0.382,-0.237,0.109
5268915,4116.0,5481.0,4606.0,0.887,0.382,-0.237,0.108
5268931,4262.0,5383.0,4672.0,0.887,0.381,-0.238,0.108
5268947,4314.0,5311.0,4622.0,0.887,0.38,-0.238,0.108
5268963,4202.0,5341.0,4626.0,0.888,0.379,-0.237,0.108
5268980,4096.0,5373.0,4626.0,0.888,0.379,-0.236,0.108
5269006,3958.0,5399.0,4626.0,0.889,0.379,-0.235,0.107
5269022,3962.0,5309.0,4484.0,0.889,0.378,-0.233,0.107
5269039,4048.0,5151.0,4512.0,0.89,0.378,-0.232,0.107
5269056,4120.0,5119.0,4566.0,0.891,0.377,-0.23,0.108
5269072,4102.0,5435.0,4694.0,0.891,0.377,-0.228,0.108
5269089,4056.0,5541.0,4948.0,0.892,0.376,-0.227,0.109
5269105,4050.0,5353.0,5032.0,0.893,0.375,-0.225,0.109
5269121,3876.0,5297.0,5102.0,0.894,0.373,-0.224,0.109
5269147,3870.0,5115.0,5208.0,0.894,0.372,-0.222,0.109
5269163,3994.0,5505.0,5178.0,0.895,0.372,-0.221,0.109
5269180,3852.0,5101.0,5104.0,0.896,0.371,-0.22,0.109
5269196,3650.0,4951.0,5096.0,0.896,0.37,-0.219,0.109
5269213,3574.0,5021.0,5084.0,0.897,0.37,-0.218,0.108
5269229,3552.0,5167.0,5080.0,0.897,0.37,-0.217,0.108
5269246,3502.0,5207.0,4998.0,0.897,0.371,-0.216,0.107
5269272,3596.0,5119.0,4990.0,0.897,0.371,-0.216,0.107
5269289,3690.0,5201.0,5058.0,0.897,0.372,-0.215,0.106
5269305,3690.0,5335.0,4958.0,0.896,0.374,-0.214,0.106
5269322,3658.0,5447.0,5002.0,0.896,0.375,-0.213,0.105
5269338,3710.0,5327.0,5082.0,0.896,0.376,-0.213,0.104
5269354,3728.0,5439.0,5034.0,0.896,0.377,-0.212,0.104
5269370,3778.0,5569.0,4938.0,0.896,0.378,-0.211,0.103
5269386,3808.0,5517.0,4882.0,0.896,0.378,-0.21,0.103
5269413,3786.0,5387.0,4964.0,0.896,0.378,-0.21,0.102
5269429,3746.0,5499.0,4966.0,0.896,0.379,-0.209,0.101
5269445,3708.0,5689.0,4890.0,0.896,0.379,-0.208,0.101
5269461,3690.0,5421.0,4864.0,0.897,0.378,-0.207,0.1
5269477,3702.0,5463.0,4948.0,0.897,0.378,-0.205,0.099
5269503,3556.0,5535.0,5002.0,0.898,0.378,-0.204,0.098
5269521,3418.0,5503.0,4900.0,0.898,0.378,-0.202,0.097
5269537,3406.0,5417.0,4986.0,0.899,0.378,-0.201,0.096
5269553,3488.0,5393.0,5044.0,0.899,0.378,-0.199,0.096
5269569,3506.0,5349.0,5082.0,0.899,0.378,-0.198,0.095
5269585,3444.0,5415.0,5036.0,0.9,0.378,-0.196,0.094
5269601,3482.0,5399.0,4988.0,0.9,0.379,-0.195,0.093
5269617,3312.0,5445.0,5088.0,0.9,0.379,-0.193,0.092
5269643,3326.0,5353.0,4998.0,0.9,0.38,-0.192,0.092
5269659,3296.0,5455.0,5020.0,0.9,0.381,-0.19,0.091
5269675,3324.0,5483.0,5128.0,0.9,0.381,-0.189,0.091
5269691,3386.0,5521.0,5228.0,0.9,0.382,-0.188,0.09
5269708,3322.0,5507.0,5162.0,0.9,0.383,-0.187,0.09
5269725,3208.0,5527.0,5116.0,0.9,0.383,-0.185,0.089
5269741,3146.0,5499.0,5134.0,0.9,0.384,-0.184,0.089
5269758,3028.0,5473.0,5044.0,0.9,0.385,-0.183,0.089
5269784,3046.0,5625.0,5046.0,0.9,0.386,-0.182,0.089
5269800,3072.0,5399.0,5132.0,0.9,0.386,-0.181,0.089
5269816,3096.0,5615.0,5190.0,0.9,0.387,-0.18,0.089
5269832,3088.0,5773.0,5318.0,0.9,0.388,-0.179,0.09
5269848,3110.0,5803.0,5270.0,0.899,0.389,-0.179,0.09
5269865,3132.0,5767.0,5130.0,0.899,0.389,-0.178,0.091
5269891,3134.0,5761.0,5016.0,0.899,0.39,-0.177,0.091
