timestamp,ax,ay,az,q0,q1,q2,q3
5521422,3786.0,4724.0,5114.0,0.864,0.393,-0.254,0.186
5521438,3286.0,4298.0,3884.0,0.863,0.394,-0.256,0.188
5521464,3778.0,4942.0,3912.0,0.863,0.392,-0.257,0.189
5521480,4050.0,5926.0,4368.0,0.864,0.388,-0.258,0.189
5521496,3968.0,5910.0,4592.0,0.867,0.382,-0.259,0.189
5521513,3962.0,5362.0,4588.0,0.87,0.374,-0.26,0.187
5521529,4402.0,4926.0,4150.0,0.874,0.366,-0.261,0.184
5521545,4826.0,4866.0,4146.0,0.878,0.358,-0.261,0.181
5521561,5230.0,4654.0,4484.0,0.883,0.349,-0.26,0.177
5521588,5732.0,5260.0,4768.0,0.888,0.338,-0.257,0.173
5521604,5764.0,5620.0,5278.0,0.895,0.326,-0.254,0.168
5521621,6410.0,4580.0,5820.0,0.901,0.314,-0.251,0.165
5521637,6604.0,5318.0,5620.0,0.907,0.301,-0.247,0.162
5521654,5706.0,6244.0,5606.0,0.912,0.287,-0.245,0.16
5521670,4912.0,4950.0,5754.0,0.917,0.272,-0.246,0.157
5521686,4954.0,3952.0,5714.0,0.92,0.259,-0.25,0.154
5521703,5050.0,3510.0,5296.0,0.923,0.246,-0.254,0.15
5521730,5048.0,2562.0,5488.0,0.926,0.233,-0.258,0.145
5521747,4896.0,2684.0,5532.0,0.929,0.222,-0.261,0.139
5521763,4450.0,2650.0,5596.0,0.933,0.211,-0.261,0.132
5521779,4172.0,2772.0,5660.0,0.936,0.199,-0.261,0.124
5521795,3866.0,2616.0,6076.0,0.94,0.187,-0.26,0.117
5521811,3298.0,1712.0,6754.0,0.944,0.174,-0.258,0.11
5521828,3648.0,1120.0,7242.0,0.947,0.162,-0.256,0.105
5521845,3776.0,1138.0,7224.0,0.95,0.153,-0.253,0.1
5521862,3316.0,1352.0,7180.0,0.953,0.144,-0.249,0.095
5521888,3302.0,1330.0,6890.0,0.956,0.136,-0.244,0.091
5521904,3220.0,620.0,7210.0,0.959,0.128,-0.239,0.087
5521920,3062.0,648.0,7256.0,0.961,0.121,-0.234,0.083
5521936,2614.0,624.0,7582.0,0.963,0.115,-0.229,0.081
5521953,2540.0,334.0,7770.0,0.965,0.111,-0.224,0.079
5521969,2226.0,728.0,7412.0,0.967,0.11,-0.219,0.077
5521995,1998.0,740.0,7354.0,0.968,0.109,-0.215,0.076
5522011,1922.0,478.0,7228.0,0.968,0.109,-0.211,0.075
5522027,2228.0,128.0,7428.0,0.969,0.109,-0.209,0.074
5522043,2646.0,102.0,8104.0,0.969,0.109,-0.208,0.073
5522059,3452.0,-94.0,9292.0,0.97,0.108,-0.207,0.074
5522075,4068.0,-1544.0,10002.0,0.97,0.106,-0.207,0.076
5522101,4022.0,-896.0,9094.0,0.97,0.105,-0.206,0.078
5522117,3540.0,164.0,7978.0,0.97,0.106,-0.205,0.079
5522133,3168.0,834.0,7050.0,0.97,0.106,-0.203,0.08
5522149,2982.0,1088.0,6788.0,0.97,0.106,-0.202,0.082
5522165,2814.0,1224.0,6816.0,0.97,0.107,-0.2,0.083
5522181,2676.0,1316.0,7092.0,0.97,0.108,-0.199,0.084
5522207,2832.0,1670.0,7320.0,0.97,0.11,-0.198,0.085
5522223,2864.0,1986.0,7734.0,0.97,0.112,-0.196,0.087
5522239,2972.0,1888.0,8182.0,0.971,0.114,-0.193,0.088
5522255,2990.0,1696.0,8296.0,0.971,0.115,-0.191,0.091
5522271,3038.0,1862.0,8040.0,0.971,0.116,-0.188,0.093
5522287,2902.0,2006.0,7526.0,0.971,0.116,-0.186,0.096
5522313,2848.0,1896.0,7202.0,0.971,0.116,-0.184,0.099
5522329,2810.0,1970.0,6922.0,0.971,0.115,-0.182,0.101
5522345,2562.0,2196.0,6730.0,0.972,0.113,-0.181,0.103
5522361,2514.0,1914.0,7048.0,0.972,0.11,-0.179,0.105
5522377,2322.0,1766.0,7470.0,0.972,0.107,-0.179,0.108
5522403,2482.0,1636.0,7722.0,0.972,0.104,-0.178,0.109
5522419,2552.0,1760.0,7774.0,0.972,0.101,-0.179,0.111
5522435,2666.0,1750.0,7760.0,0.973,0.098,-0.179,0.112
5522451,2798.0,1292.0,7782.0,0.973,0.095,-0.179,0.113
5522467,2746.0,1106.0,7776.0,0.973,0.092,-0.18,0.114
5522483,2874.0,694.0,7702.0,0.973,0.089,-0.18,0.114
5522509,2774.0,440.0,7598.0,0.973,0.087,-0.179,0.115
5522525,2728.0,478.0,7822.0,0.973,0.086,-0.178,0.116
5522541,2466.0,376.0,8060.0,0.974,0.086,-0.176,0.117
5522557,2314.0,766.0,8262.0,0.974,0.088,-0.173,0.117
5522574,2188.0,1156.0,8354.0,0.974,0.092,-0.17,0.118
5522590,2088.0,1416.0,8226.0,0.974,0.096,-0.167,0.119
5522606,2002.0,1520.0,8002.0,0.974,0.099,-0.164,0.12
5522632,1916.0,1676.0,7746.0,0.974,0.103,-0.162,0.121
5522648,1820.0,1732.0,7616.0,0.974,0.106,-0.159,0.121
5522664,1800.0,1780.0,7620.0,0.974,0.108,-0.157,0.122
5522680,1886.0,1978.0,7698.0,0.974,0.11,-0.155,0.122
5522696,1896.0,1988.0,7768.0,0.974,0.112,-0.154,0.122
5522712,1948.0,2036.0,7802.0,0.974,0.112,-0.153,0.122
5522738,1960.0,1948.0,7874.0,0.974,0.113,-0.151,0.121
5522754,1964.0,1852.0,7840.0,0.975,0.113,-0.151,0.12
5522770,1980.0,1642.0,7732.0,0.975,0.112,-0.15,0.119
5522786,2018.0,1580.0,7716.0,0.975,0.112,-0.15,0.118
5522802,2252.0,1382.0,7830.0,0.975,0.111,-0.15,0.117
5522818,2226.0,1410.0,7718.0,0.976,0.11,-0.151,0.115
5522844,2398.0,1192.0,7744.0,0.976,0.109,-0.152,0.114
5522860,2534.0,892.0,7808.0,0.976,0.107,-0.152,0.112
5522876,2628.0,736.0,7870.0,0.976,0.106,-0.153,0.111
5522892,2616.0,642.0,7794.0,0.976,0.106,-0.153,0.11
5522908,3148.0,300.0,8416.0,0.976,0.107,-0.153,0.11
5522924,2396.0,664.0,7476.0,0.976,0.109,-0.153,0.109
5522951,2448.0,1144.0,7462.0,0.976,0.111,-0.153,0.108
5522967,2524.0,1022.0,7624.0,0.976,0.113,-0.153,0.108
5522983,2730.0,1272.0,7864.0,0.976,0.115,-0.153,0.108
5522999,2734.0,1416.0,8018.0,0.975,0.117,-0.153,0.108
5523015,2782.0,1430.0,8114.0,0.975,0.118,-0.153,0.109
5523031,2854.0,1502.0,8050.0,0.975,0.12,-0.153,0.11
5523057,2772.0,1610.0,7844.0,0.975,0.121,-0.152,0.112
5523073,2698.0,1698.0,7700.0,0.974,0.122,-0.151,0.113
5523089,2642.0,1638.0,7552.0,0.974,0.123,-0.15,0.114
5523105,2368.0,1980.0,7540.0,0.974,0.124,-0.149,0.115
5523121,2324.0,1800.0,7638.0,0.974,0.125,-0.148,0.116
5523137,2298.0,1698.0,7734.0,0.974,0.125,-0.147,0.117
5523163,2224.0,1736.0,7698.0,0.974,0.126,-0.147,0.118
5523179,2270.0,1712.0,7752.0,0.974,0.126,-0.146,0.118
5523195,2220.0,1732.0,7710.0,0.974,0.126,-0.146,0.119
5523211,2200.0,1706.0,7638.0,0.974,0.126,-0.146,0.12
5523227,2256.0,1662.0,7546.0,0.974,0.126,-0.147,0.121
5523243,2320.0,1586.0,7654.0,0.974,0.125,-0.147,0.122
5523269,2352.0,1622.0,7712.0,0.973,0.124,-0.148,0.123
5523285,2356.0,1508.0,7744.0,0.973,0.123,-0.149,0.124
5523301,2204.0,1470.0,7710.0,0.973,0.122,-0.15,0.124
5523317,2136.0,1382.0,7692.0,0.973,0.121,-0.151,0.126
5523333,2192.0,1350.0,7680.0,0.973,0.12,-0.153,0.127
5523349,2150.0,1494.0,7650.0,0.972,0.12,-0.154,0.128
5523375,2108.0,1572.0,7596.0,0.972,0.119,-0.156,0.129
5523391,2120.0,1696.0,7684.0,0.972,0.118,-0.157,0.13
5523407,2086.0,1714.0,7630.0,0.972,0.117,-0.159,0.13
5523423,2234.0,1560.0,7698.0,0.971,0.115,-0.161,0.131
5523439,2186.0,1526.0,7622.0,0.971,0.114,-0.163,0.131
5523455,2326.0,1692.0,7654.0,0.971,0.113,-0.166,0.131
5523481,2450.0,1700.0,7780.0,0.971,0.112,-0.169,0.131
5523497,2368.0,1458.0,7778.0,0.97,0.11,-0.171,0.13
5523513,2364.0,1346.0,7618.0,0.97,0.109,-0.175,0.13
5523529,2616.0,1188.0,7658.0,0.97,0.107,-0.178,0.129
5523545,2766.0,960.0,7848.0,0.969,0.107,-0.181,0.129
5523571,2884.0,1168.0,7982.0,0.969,0.107,-0.184,0.128
