timestamp,ax,ay,az,q0,q1,q2,q3
7091481,3637.0,3172.0,6751.0,0.918,0.268,-0.213,0.2
7091497,3785.0,3160.0,6847.0,0.917,0.268,-0.214,0.202
7091513,3683.0,3530.0,6901.0,0.917,0.269,-0.213,0.204
7091529,3683.0,3426.0,6853.0,0.917,0.269,-0.213,0.205
7091555,3655.0,3460.0,6817.0,0.916,0.27,-0.212,0.206
7091572,3671.0,3452.0,6709.0,0.916,0.271,-0.21,0.207
7091588,3515.0,3542.0,6593.0,0.916,0.272,-0.209,0.208
7091604,3451.0,3500.0,6527.0,0.916,0.273,-0.207,0.208
7091620,3433.0,3530.0,6579.0,0.916,0.274,-0.205,0.209
7091636,3465.0,3500.0,6523.0,0.916,0.275,-0.204,0.209
7091662,3489.0,3530.0,6531.0,0.916,0.275,-0.202,0.209
7091678,3557.0,3444.0,6595.0,0.917,0.275,-0.201,0.209
7091694,3635.0,3410.0,6699.0,0.917,0.276,-0.199,0.209
7091710,3627.0,3464.0,6779.0,0.917,0.276,-0.198,0.209
7091727,3723.0,3402.0,6829.0,0.918,0.275,-0.197,0.209
7091743,3665.0,3422.0,6813.0,0.918,0.275,-0.195,0.208
7091759,3545.0,3166.0,6681.0,0.919,0.274,-0.194,0.207
7091786,3161.0,2742.0,6381.0,0.919,0.275,-0.193,0.206
7091802,3221.0,2844.0,6353.0,0.92,0.275,-0.192,0.205
7091818,3507.0,3536.0,6783.0,0.92,0.276,-0.19,0.204
7091834,3525.0,3662.0,6987.0,0.92,0.276,-0.189,0.202
7091850,3485.0,3044.0,6977.0,0.921,0.276,-0.189,0.202
7091866,3455.0,2688.0,6677.0,0.921,0.276,-0.189,0.201
7091892,3571.0,2660.0,6405.0,0.921,0.276,-0.189,0.201
7091908,3543.0,2828.0,6321.0,0.921,0.276,-0.189,0.201
7091924,3351.0,2984.0,6427.0,0.921,0.276,-0.189,0.201
7091940,3333.0,3022.0,6561.0,0.921,0.276,-0.189,0.202
7091956,3327.0,3084.0,6761.0,0.921,0.276,-0.188,0.202
7091973,3531.0,3152.0,6901.0,0.921,0.276,-0.188,0.203
7091999,3641.0,3088.0,6961.0,0.92,0.276,-0.189,0.204
7092015,3621.0,2930.0,6757.0,0.92,0.277,-0.189,0.205
7092032,3541.0,2792.0,6553.0,0.919,0.277,-0.189,0.206
7092048,3547.0,2868.0,6503.0,0.919,0.277,-0.19,0.208
7092064,3645.0,3146.0,6711.0,0.918,0.277,-0.19,0.209
7092080,3663.0,3496.0,6967.0,0.918,0.278,-0.19,0.211
7092097,3701.0,3586.0,7005.0,0.917,0.278,-0.19,0.212
7092114,3549.0,3596.0,6839.0,0.917,0.279,-0.19,0.213
7092140,3423.0,3452.0,6617.0,0.916,0.28,-0.189,0.214
7092156,3383.0,3554.0,6401.0,0.916,0.281,-0.189,0.215
7092172,3403.0,3480.0,6347.0,0.916,0.281,-0.188,0.216
7092189,3415.0,3506.0,6465.0,0.915,0.282,-0.188,0.217
7092205,3437.0,3438.0,6701.0,0.915,0.282,-0.188,0.218
7092221,3457.0,3514.0,6713.0,0.915,0.282,-0.188,0.218
7092238,3473.0,3486.0,6681.0,0.915,0.282,-0.188,0.218
7092255,3441.0,3378.0,6689.0,0.915,0.282,-0.187,0.219
7092281,3489.0,3432.0,6669.0,0.915,0.282,-0.187,0.219
7092297,3451.0,3380.0,6651.0,0.915,0.282,-0.187,0.219
7092313,3461.0,3320.0,6671.0,0.915,0.282,-0.187,0.219
