timestamp,ax,ay,az,q0,q1,q2,q3
7870593,-476.0,8240.0,-656.0,0.584,0.622,0.398,0.338
7870610,-492.0,8260.0,-700.0,0.584,0.622,0.398,0.338
7870626,-478.0,8242.0,-740.0,0.584,0.622,0.397,0.338
7870642,-480.0,8186.0,-710.0,0.583,0.623,0.397,0.338
7870669,-462.0,8120.0,-636.0,0.583,0.623,0.397,0.338
7870685,-404.0,8150.0,-650.0,0.583,0.623,0.397,0.338
7870701,-402.0,8210.0,-748.0,0.583,0.623,0.397,0.338
7870717,-420.0,8244.0,-714.0,0.583,0.623,0.397,0.339
7870733,-462.0,8226.0,-730.0,0.583,0.623,0.397,0.339
7870749,-378.0,8302.0,-748.0,0.582,0.623,0.397,0.339
7870775,-402.0,8202.0,-722.0,0.582,0.623,0.397,0.339
7870791,-384.0,8134.0,-752.0,0.582,0.623,0.397,0.339
7870808,-334.0,8152.0,-754.0,0.582,0.623,0.397,0.34
7870824,-378.0,8156.0,-772.0,0.581,0.623,0.397,0.34
7870840,-372.0,8218.0,-718.0,0.581,0.623,0.398,0.34
7870856,-314.0,8260.0,-808.0,0.581,0.623,0.398,0.34
7870882,-380.0,8302.0,-822.0,0.581,0.623,0.398,0.34
7870899,-450.0,8212.0,-694.0,0.581,0.623,0.399,0.34
7870916,-412.0,8208.0,-714.0,0.58,0.623,0.399,0.34
7870933,-392.0,8214.0,-742.0,0.58,0.623,0.399,0.34
7870950,-456.0,8188.0,-708.0,0.58,0.623,0.399,0.34
7870966,-436.0,8206.0,-692.0,0.58,0.623,0.399,0.34
7870982,-516.0,8236.0,-702.0,0.58,0.623,0.399,0.34
7870998,-536.0,8232.0,-654.0,0.58,0.624,0.399,0.339
7871014,-630.0,8154.0,-668.0,0.581,0.624,0.399,0.339
7871040,-808.0,7988.0,-770.0,0.581,0.623,0.399,0.338
7871057,-466.0,8198.0,-910.0,0.581,0.624,0.399,0.337
7871074,-382.0,8108.0,-828.0,0.581,0.624,0.399,0.337
7871091,-460.0,8116.0,-796.0,0.581,0.624,0.4,0.337
7871108,-412.0,8218.0,-858.0,0.581,0.624,0.4,0.337
7871125,-416.0,8176.0,-874.0,0.58,0.623,0.401,0.338
7871141,-394.0,8340.0,-874.0,0.58,0.623,0.401,0.338
7871158,-440.0,8280.0,-752.0,0.58,0.623,0.401,0.338
7871174,-404.0,8240.0,-708.0,0.579,0.623,0.402,0.339
7871191,-402.0,8210.0,-726.0,0.579,0.623,0.402,0.339
7871217,-408.0,8188.0,-652.0,0.579,0.623,0.403,0.339
7871233,-370.0,8166.0,-656.0,0.579,0.623,0.403,0.338
7871250,-296.0,8216.0,-768.0,0.579,0.624,0.403,0.337
7871266,-288.0,8200.0,-906.0,0.578,0.624,0.403,0.337
7871282,-246.0,8170.0,-900.0,0.578,0.624,0.404,0.336
7871299,-364.0,8228.0,-834.0,0.578,0.624,0.405,0.335
7871315,-480.0,8134.0,-786.0,0.578,0.624,0.405,0.335
7871341,-490.0,8260.0,-908.0,0.577,0.625,0.406,0.334
7871357,-408.0,8448.0,-1054.0,0.577,0.625,0.407,0.333
7871373,-344.0,8470.0,-1096.0,0.577,0.625,0.407,0.333
7871389,-414.0,8408.0,-1136.0,0.576,0.625,0.408,0.334
7871406,-552.0,8206.0,-960.0,0.576,0.624,0.408,0.334
7871422,-488.0,8170.0,-992.0,0.576,0.624,0.408,0.335
7871448,-392.0,8386.0,-1104.0,0.576,0.624,0.408,0.335
7871464,-402.0,8384.0,-1126.0,0.577,0.623,0.408,0.336
7871481,-404.0,8266.0,-1084.0,0.577,0.622,0.408,0.336
7871497,-528.0,8136.0,-1034.0,0.578,0.621,0.408,0.337
