timestamp,ax,ay,az,q0,q1,q2,q3
2841460,4025.0,3039.0,6224.0,0.895,0.276,-0.216,0.274
2841476,3975.0,3001.0,6250.0,0.895,0.276,-0.215,0.274
2841492,3955.0,3095.0,6292.0,0.895,0.276,-0.215,0.275
2841508,3903.0,3035.0,6374.0,0.895,0.276,-0.215,0.275
2841524,3931.0,3023.0,6330.0,0.895,0.276,-0.215,0.275
2841540,3917.0,3049.0,6318.0,0.895,0.277,-0.215,0.275
2841566,3987.0,3025.0,6268.0,0.895,0.277,-0.215,0.275
2841582,3933.0,3035.0,6266.0,0.895,0.277,-0.215,0.275
2841598,4031.0,3067.0,6290.0,0.895,0.277,-0.215,0.276
2841614,4071.0,3081.0,6276.0,0.895,0.277,-0.215,0.276
2841630,4031.0,3025.0,6276.0,0.895,0.277,-0.215,0.276
2841646,3981.0,3013.0,6330.0,0.895,0.277,-0.215,0.276
2841672,3963.0,3043.0,6340.0,0.895,0.277,-0.215,0.276
2841688,3995.0,2969.0,6284.0,0.895,0.277,-0.215,0.276
2841704,4049.0,2979.0,6292.0,0.895,0.277,-0.215,0.277
2841720,4103.0,2943.0,6268.0,0.895,0.277,-0.215,0.277
2841736,4153.0,2941.0,6210.0,0.895,0.277,-0.215,0.277
2841752,4163.0,2885.0,6218.0,0.895,0.277,-0.214,0.277
2841778,4161.0,2949.0,6252.0,0.895,0.277,-0.214,0.277
2841795,4051.0,2945.0,6288.0,0.895,0.277,-0.214,0.278
2841811,3965.0,2915.0,6328.0,0.895,0.277,-0.213,0.278
2841827,3923.0,2927.0,6372.0,0.895,0.277,-0.213,0.278
2841843,3857.0,3013.0,6342.0,0.895,0.277,-0.213,0.278
2841859,3853.0,3057.0,6392.0,0.895,0.278,-0.213,0.278
2841885,3809.0,3071.0,6354.0,0.894,0.278,-0.213,0.279
2841901,3919.0,3131.0,6270.0,0.894,0.279,-0.213,0.279
2841917,3945.0,3173.0,6280.0,0.894,0.279,-0.213,0.279
2841933,3935.0,3117.0,6260.0,0.894,0.279,-0.213,0.279
2841949,3931.0,3165.0,6230.0,0.894,0.279,-0.213,0.279
2841966,3959.0,3117.0,6222.0,0.893,0.28,-0.214,0.279
2841983,3925.0,3135.0,6226.0,0.893,0.28,-0.214,0.279
2842000,3973.0,3121.0,6340.0,0.893,0.28,-0.215,0.279
2842027,4013.0,3121.0,6272.0,0.893,0.28,-0.215,0.279
2842044,4127.0,3071.0,6220.0,0.893,0.28,-0.216,0.28
2842060,4167.0,2971.0,6198.0,0.893,0.28,-0.216,0.28
2842076,4223.0,2997.0,6156.0,0.893,0.28,-0.216,0.28
2842092,4297.0,2987.0,6062.0,0.892,0.279,-0.216,0.28
2842108,4265.0,2969.0,6048.0,0.893,0.279,-0.216,0.281
2842124,4219.0,2945.0,6198.0,0.893,0.279,-0.216,0.281
2842150,4169.0,2985.0,6238.0,0.893,0.278,-0.215,0.281
2842167,4087.0,2969.0,6294.0,0.893,0.278,-0.214,0.282
2842183,4035.0,2989.0,6364.0,0.893,0.277,-0.214,0.282
2842199,3921.0,2945.0,6354.0,0.893,0.277,-0.214,0.283
2842215,3905.0,2875.0,6366.0,0.893,0.277,-0.214,0.283
2842231,3921.0,2915.0,6352.0,0.893,0.277,-0.214,0.283
2842257,3933.0,2917.0,6296.0,0.893,0.277,-0.215,0.283
2842273,4011.0,2907.0,6342.0,0.893,0.277,-0.215,0.283
2842289,4099.0,2887.0,6314.0,0.893,0.277,-0.216,0.283
2842306,4095.0,2947.0,6250.0,0.892,0.277,-0.216,0.283
2842323,4141.0,2901.0,6228.0,0.892,0.278,-0.216,0.283
2842339,4161.0,2935.0,6188.0,0.892,0.278,-0.217,0.283
2842356,4143.0,2925.0,6232.0,0.892,0.279,-0.217,0.283
2842372,4165.0,2991.0,6178.0,0.892,0.279,-0.217,0.283
2842398,4137.0,2971.0,6204.0,0.892,0.279,-0.217,0.283
2842415,4079.0,3033.0,6174.0,0.891,0.28,-0.216,0.283
2842431,4037.0,3047.0,6274.0,0.891,0.28,-0.216,0.283
2842447,4083.0,3017.0,6290.0,0.891,0.281,-0.216,0.283
2842463,4045.0,3077.0,6264.0,0.891,0.282,-0.216,0.283
2842480,4081.0,3171.0,6232.0,0.891,0.282,-0.216,0.283
2842496,4061.0,3081.0,6184.0,0.891,0.283,-0.217,0.283
2842513,4095.0,3059.0,6186.0,0.891,0.283,-0.217,0.283
2842539,4101.0,3167.0,6122.0,0.89,0.283,-0.217,0.283
2842555,4177.0,3167.0,6120.0,0.89,0.283,-0.217,0.283
2842571,4177.0,3079.0,6152.0,0.89,0.284,-0.217,0.283
2842587,4221.0,3025.0,6170.0,0.89,0.284,-0.217,0.283
2842603,4247.0,3013.0,6178.0,0.89,0.284,-0.218,0.283
