timestamp,ax,ay,az,q0,q1,q2,q3
3694735,-2944.0,8382.0,629.0,0.645,0.66,0.324,0.209
3694751,-2408.0,8542.0,583.0,0.643,0.664,0.32,0.209
3694767,-1678.0,8994.0,-87.0,0.64,0.668,0.317,0.21
3694783,-1220.0,8720.0,-467.0,0.638,0.671,0.314,0.211
3694799,-1858.0,9846.0,-1189.0,0.636,0.673,0.311,0.214
3694825,-2098.0,10868.0,-641.0,0.636,0.674,0.307,0.218
3694841,-1526.0,10964.0,-363.0,0.638,0.671,0.302,0.224
3694857,-528.0,5168.0,-577.0,0.642,0.668,0.298,0.23
3694873,428.0,3410.0,-1077.0,0.641,0.668,0.298,0.233
3694889,-24.0,7308.0,-1503.0,0.637,0.67,0.301,0.233
3694915,144.0,8520.0,-1577.0,0.634,0.672,0.304,0.234
3694931,6.0,8734.0,-1705.0,0.633,0.671,0.306,0.234
3694948,-368.0,8774.0,-1273.0,0.634,0.669,0.309,0.235
3694964,-768.0,8780.0,-1163.0,0.635,0.666,0.313,0.235
3694980,-1020.0,8706.0,-949.0,0.638,0.662,0.317,0.235
3694996,-1256.0,8284.0,-1097.0,0.64,0.657,0.321,0.235
3695012,-1488.0,8116.0,-779.0,0.643,0.652,0.325,0.235
3695038,-1612.0,7846.0,-377.0,0.647,0.647,0.329,0.234
3695055,-1698.0,7534.0,-383.0,0.649,0.643,0.332,0.233
3695071,-1778.0,7536.0,3.0,0.652,0.639,0.336,0.232
3695087,-1878.0,7544.0,245.0,0.653,0.636,0.34,0.231
3695103,-2002.0,7642.0,519.0,0.655,0.633,0.344,0.23
3695119,-2094.0,7642.0,741.0,0.656,0.63,0.347,0.23
3695145,-2136.0,7724.0,591.0,0.656,0.627,0.35,0.23
3695161,-2262.0,7844.0,577.0,0.657,0.625,0.354,0.231
3695177,-2354.0,7804.0,593.0,0.657,0.622,0.357,0.232
3695193,-2492.0,7982.0,571.0,0.657,0.62,0.36,0.234
3695209,-2386.0,8224.0,515.0,0.657,0.617,0.363,0.237
3695225,-2350.0,8058.0,69.0,0.657,0.614,0.365,0.241
3695251,-2496.0,7318.0,261.0,0.658,0.61,0.366,0.246
3695267,-2616.0,7596.0,1021.0,0.659,0.607,0.368,0.25
3695283,-2440.0,7236.0,1147.0,0.659,0.604,0.368,0.255
3695299,-2222.0,8192.0,897.0,0.66,0.602,0.367,0.259
3695315,-2448.0,8008.0,907.0,0.66,0.6,0.366,0.264
3695331,-2580.0,8270.0,821.0,0.661,0.598,0.365,0.269
3695357,-2340.0,7836.0,655.0,0.661,0.596,0.364,0.273
3695373,-2600.0,8060.0,787.0,0.661,0.595,0.363,0.277
3695389,-2488.0,8306.0,233.0,0.662,0.594,0.362,0.28
3695405,-2082.0,8800.0,863.0,0.662,0.593,0.361,0.284
3695421,-2114.0,8512.0,729.0,0.661,0.592,0.359,0.287
3695437,-1658.0,8550.0,127.0,0.661,0.593,0.357,0.29
3695463,-288.0,12828.0,239.0,0.66,0.594,0.354,0.293
3695479,-1770.0,15750.0,2575.0,0.665,0.59,0.346,0.301
3695495,-3408.0,9696.0,651.0,0.68,0.574,0.332,0.311
3695512,-1826.0,2526.0,-561.0,0.694,0.561,0.319,0.32
3695528,-1018.0,1420.0,-471.0,0.702,0.552,0.312,0.324
