timestamp,ax,ay,az,q0,q1,q2,q3
6954441,2295.0,1280.0,5669.0,0.799,0.399,0.015,0.45
6954467,2389.0,7096.0,4587.0,0.796,0.405,0.019,0.449
6954484,2115.0,7056.0,4319.0,0.796,0.406,0.02,0.448
6954500,2381.0,5984.0,5281.0,0.798,0.405,0.019,0.446
6954516,2301.0,5328.0,5709.0,0.8,0.403,0.018,0.444
6954532,2193.0,4572.0,6059.0,0.802,0.402,0.017,0.442
6954548,1811.0,5538.0,5335.0,0.803,0.402,0.017,0.441
6954564,2091.0,5320.0,5789.0,0.803,0.401,0.017,0.44
6954591,2131.0,4966.0,5897.0,0.804,0.4,0.016,0.44
6954607,2179.0,5876.0,5313.0,0.804,0.4,0.016,0.441
6954623,2019.0,5820.0,5393.0,0.804,0.398,0.015,0.441
6954639,2153.0,5406.0,5695.0,0.805,0.396,0.014,0.442
6954655,1987.0,5022.0,5859.0,0.805,0.393,0.013,0.444
6954672,1821.0,5428.0,5745.0,0.805,0.391,0.012,0.447
6954688,2171.0,5432.0,6093.0,0.804,0.389,0.011,0.449
6954714,2835.0,4848.0,6433.0,0.804,0.387,0.01,0.45
6954731,2015.0,4690.0,5925.0,0.804,0.386,0.009,0.451
6954748,2287.0,5420.0,5753.0,0.804,0.385,0.009,0.452
6954764,2129.0,5100.0,6119.0,0.804,0.385,0.008,0.453
6954780,1891.0,5014.0,6137.0,0.803,0.386,0.007,0.454
6954796,1629.0,5626.0,6287.0,0.802,0.387,0.006,0.454
6954815,1651.0,5434.0,6281.0,0.802,0.388,0.003,0.454
6954831,1615.0,5574.0,6013.0,0.801,0.389,-0.0,0.455
6954857,1511.0,5380.0,6155.0,0.8,0.39,-0.004,0.455
6954874,1261.0,5726.0,6635.0,0.8,0.39,-0.01,0.456
6954891,1545.0,5616.0,7207.0,0.799,0.39,-0.017,0.457
6954908,1975.0,5694.0,6541.0,0.799,0.389,-0.025,0.458
6954925,2315.0,5632.0,6271.0,0.798,0.389,-0.033,0.459
6954941,3091.0,5094.0,5591.0,0.797,0.388,-0.041,0.461
6954957,3265.0,4910.0,4969.0,0.797,0.387,-0.048,0.462
6954973,3749.0,4780.0,4845.0,0.797,0.385,-0.054,0.463
6954990,4695.0,4600.0,5057.0,0.797,0.383,-0.059,0.463
6955016,3911.0,4416.0,4249.0,0.798,0.379,-0.062,0.464
6955033,4715.0,3432.0,4585.0,0.8,0.374,-0.065,0.465
6955049,5405.0,3100.0,5077.0,0.802,0.37,-0.065,0.465
6955065,4131.0,4598.0,4977.0,0.803,0.366,-0.063,0.466
6955082,4179.0,4156.0,5597.0,0.806,0.36,-0.061,0.466
6955098,4015.0,3574.0,6371.0,0.808,0.356,-0.058,0.466
6955114,3633.0,4252.0,6549.0,0.81,0.352,-0.054,0.466
6955140,3317.0,4450.0,6777.0,0.812,0.35,-0.05,0.465
6955156,2903.0,4436.0,6735.0,0.813,0.348,-0.047,0.464
6955172,2717.0,4324.0,6807.0,0.814,0.347,-0.044,0.464
6955188,2529.0,4354.0,6685.0,0.814,0.347,-0.041,0.464
6955205,2363.0,4236.0,6699.0,0.814,0.348,-0.038,0.464
6955222,2415.0,4472.0,6953.0,0.813,0.349,-0.036,0.464
6955238,2359.0,4344.0,6993.0,0.813,0.351,-0.035,0.463
6955264,2371.0,4182.0,6349.0,0.812,0.354,-0.034,0.463
6955281,2631.0,4502.0,6061.0,0.811,0.356,-0.033,0.463
6955298,2601.0,4508.0,6105.0,0.81,0.358,-0.031,0.464
6955314,2615.0,4406.0,6069.0,0.809,0.359,-0.03,0.464
6955330,2595.0,4634.0,6147.0,0.808,0.36,-0.028,0.465
6955346,2583.0,4790.0,6309.0,0.808,0.361,-0.026,0.466
6955362,2553.0,4698.0,6159.0,0.807,0.362,-0.025,0.466
6955388,2681.0,4738.0,6063.0,0.806,0.363,-0.023,0.467
6955404,2705.0,4740.0,5999.0,0.806,0.363,-0.022,0.468
6955420,2693.0,4638.0,6033.0,0.805,0.362,-0.021,0.469
6955436,2651.0,4642.0,6071.0,0.805,0.362,-0.019,0.47
6955452,2633.0,4688.0,6215.0,0.804,0.361,-0.018,0.472
6955468,2479.0,4674.0,6245.0,0.804,0.36,-0.016,0.473
6955485,2473.0,4806.0,6279.0,0.803,0.36,-0.015,0.474
6955511,2483.0,4782.0,6211.0,0.803,0.36,-0.014,0.476
6955528,2499.0,4692.0,6093.0,0.802,0.359,-0.012,0.477
6955544,2535.0,4514.0,6061.0,0.801,0.359,-0.011,0.478
6955560,2567.0,4752.0,6159.0,0.8,0.359,-0.009,0.48
6955576,2507.0,4928.0,6251.0,0.8,0.359,-0.008,0.481
6955592,2607.0,4884.0,6303.0,0.799,0.36,-0.007,0.482
6955609,2625.0,4858.0,6357.0,0.798,0.36,-0.006,0.483
6955635,2633.0,4888.0,6165.0,0.797,0.36,-0.004,0.484
6955651,2651.0,4906.0,6067.0,0.797,0.361,-0.003,0.485
6955667,2585.0,4964.0,6011.0,0.796,0.361,-0.002,0.486
6955683,2515.0,4850.0,6001.0,0.795,0.362,-0.001,0.486
6955700,2387.0,4802.0,6057.0,0.795,0.362,-0.0,0.487
6955716,2379.0,4900.0,6131.0,0.795,0.362,0.001,0.487
6955733,2331.0,4828.0,6185.0,0.794,0.363,0.002,0.487
6955759,2373.0,4976.0,6179.0,0.794,0.363,0.003,0.487
6955775,2413.0,4968.0,6209.0,0.794,0.363,0.003,0.488
6955791,2485.0,4972.0,6207.0,0.794,0.363,0.004,0.488
6955807,2513.0,4948.0,6171.0,0.793,0.363,0.004,0.489
6955823,2561.0,5000.0,6207.0,0.793,0.363,0.004,0.489
6955839,2549.0,4896.0,6133.0,0.793,0.362,0.004,0.489
6955865,2497.0,4866.0,6149.0,0.793,0.362,0.004,0.49
6955881,2493.0,4902.0,6127.0,0.793,0.361,0.004,0.49
6955897,2441.0,4812.0,6115.0,0.794,0.361,0.004,0.49
6955913,2485.0,4858.0,6171.0,0.794,0.36,0.003,0.49
6955929,2469.0,4692.0,6061.0,0.794,0.36,0.003,0.49
6955945,2431.0,4822.0,6157.0,0.794,0.36,0.003,0.49
6955971,2473.0,4782.0,6173.0,0.794,0.359,0.003,0.49
6955987,2565.0,4744.0,6265.0,0.794,0.359,0.003,0.49
6956003,2571.0,4752.0,6197.0,0.794,0.359,0.003,0.49
6956020,2527.0,4666.0,6225.0,0.794,0.359,0.003,0.49
6956036,2485.0,4716.0,6245.0,0.794,0.358,0.003,0.491
6956052,2455.0,4746.0,6225.0,0.794,0.358,0.003,0.491
6956078,2469.0,4768.0,6259.0,0.794,0.358,0.004,0.491
6956094,2447.0,4772.0,6213.0,0.794,0.358,0.004,0.491
6956110,2505.0,4834.0,6199.0,0.794,0.358,0.004,0.491
6956126,2507.0,4770.0,6181.0,0.794,0.358,0.004,0.492
6956143,2527.0,4844.0,6159.0,0.793,0.358,0.004,0.492
6956159,2559.0,4776.0,6161.0,0.793,0.358,0.004,0.492
6956175,2565.0,4808.0,6171.0,0.793,0.358,0.004,0.492
6956201,2537.0,4864.0,6253.0,0.793,0.358,0.004,0.493
6956217,2489.0,4838.0,6213.0,0.793,0.358,0.004,0.493
6956233,2539.0,4844.0,6169.0,0.793,0.358,0.004,0.493
6956249,2515.0,4802.0,6175.0,0.793,0.358,0.004,0.493
6956266,2419.0,4774.0,6177.0,0.793,0.358,0.004,0.493
6956283,2417.0,4728.0,6145.0,0.793,0.358,0.004,0.493
6956299,2415.0,4754.0,6139.0,0.793,0.357,0.004,0.493
6956325,2455.0,4784.0,6203.0,0.793,0.357,0.004,0.493
6956341,2391.0,4722.0,6219.0,0.793,0.357,0.005,0.493
6956357,2459.0,4780.0,6221.0,0.793,0.357,0.005,0.493
6956373,2433.0,4712.0,6167.0,0.793,0.357,0.005,0.493
6956389,2495.0,4806.0,6229.0,0.793,0.357,0.005,0.493
6956405,2489.0,4810.0,6213.0,0.793,0.357,0.005,0.493
6956431,2517.0,4786.0,6265.0,0.793,0.357,0.006,0.494
6956447,2601.0,4782.0,6177.0,0.793,0.357,0.006,0.494
6956463,2557.0,4750.0,6167.0,0.793,0.357,0.006,0.494
6956479,2519.0,4764.0,6159.0,0.793,0.356,0.006,0.494
6956495,2485.0,4796.0,6179.0,0.793,0.356,0.006,0.495
6956511,2477.0,4764.0,6165.0,0.793,0.356,0.007,0.495
6956538,2473.0,4828.0,6203.0,0.792,0.356,0.007,0.495
6956554,2451.0,4788.0,6213.0,0.792,0.356,0.007,0.495
6956571,2467.0,4834.0,6223.0,0.792,0.356,0.007,0.496
6956587,2385.0,4834.0,6217.0,0.792,0.356,0.007,0.496
6956603,2395.0,4820.0,6205.0,0.792,0.356,0.007,0.496
6956619,2413.0,4740.0,6195.0,0.792,0.356,0.007,0.496
6956635,2413.0,4838.0,6217.0,0.792,0.355,0.007,0.496
6956662,2427.0,4736.0,6199.0,0.792,0.355,0.007,0.497
6956678,2463.0,4776.0,6195.0,0.792,0.355,0.008,0.497
6956694,2507.0,4782.0,6181.0,0.792,0.355,0.008,0.497
6956710,2499.0,4820.0,6211.0,0.792,0.355,0.008,0.497
6956726,2541.0,4750.0,6205.0,0.792,0.355,0.008,0.497
6956742,2491.0,4726.0,6213.0,0.792,0.355,0.008,0.497
6956759,2543.0,4742.0,6257.0,0.792,0.355,0.008,0.497
6956785,2499.0,4792.0,6199.0,0.792,0.354,0.008,0.497
6956801,2471.0,4724.0,6209.0,0.792,0.354,0.008,0.498
6956820,2475.0,4746.0,6189.0,0.792,0.354,0.008,0.498
6956836,2445.0,4794.0,6221.0,0.791,0.354,0.008,0.498
6956852,2427.0,4702.0,6219.0,0.791,0.354,0.008,0.498
6956868,2479.0,4810.0,6241.0,0.791,0.354,0.008,0.499
6956884,2481.0,4734.0,6209.0,0.791,0.354,0.008,0.499
6956910,2507.0,4698.0,6241.0,0.791,0.354,0.008,0.499
6956926,2505.0,4634.0,6061.0,0.791,0.354,0.009,0.499
6956942,2463.0,4824.0,6189.0,0.791,0.355,0.009,0.499
6956959,2423.0,4716.0,6189.0,0.79,0.355,0.01,0.499
6956975,2443.0,4794.0,6195.0,0.79,0.355,0.01,0.499
6956991,2421.0,4740.0,6097.0,0.79,0.355,0.011,0.499
6957008,2423.0,4856.0,6183.0,0.79,0.356,0.011,0.499
6957025,2407.0,4816.0,6187.0,0.79,0.356,0.011,0.499
6957051,2497.0,4844.0,6189.0,0.79,0.356,0.011,0.5
6957067,2533.0,4856.0,6179.0,0.79,0.356,0.012,0.5
6957083,2559.0,4818.0,6187.0,0.79,0.356,0.012,0.5
6957099,2597.0,4856.0,6189.0,0.79,0.355,0.011,0.5
6957115,2585.0,4844.0,6215.0,0.79,0.355,0.011,0.5
6957132,2563.0,4808.0,6219.0,0.79,0.355,0.011,0.5
6957149,2465.0,4806.0,6217.0,0.79,0.355,0.011,0.5
