timestamp,ax,ay,az,q0,q1,q2,q3
6666178,4665.0,4872.0,5770.0,0.872,0.402,-0.21,0.184
6666194,4961.0,4254.0,5990.0,0.873,0.401,-0.209,0.184
6666210,4627.0,4126.0,5276.0,0.873,0.4,-0.208,0.185
6666236,4377.0,4548.0,4826.0,0.874,0.399,-0.207,0.186
6666252,4393.0,5026.0,4742.0,0.875,0.395,-0.206,0.186
6666268,4375.0,4916.0,4838.0,0.877,0.392,-0.206,0.186
6666285,4321.0,4754.0,4952.0,0.879,0.387,-0.206,0.186
6666301,4331.0,4584.0,5140.0,0.881,0.382,-0.207,0.186
6666317,4371.0,4642.0,5336.0,0.883,0.378,-0.208,0.185
6666343,4373.0,4548.0,5574.0,0.885,0.373,-0.208,0.185
6666359,4429.0,4166.0,6008.0,0.887,0.367,-0.209,0.184
6666375,4473.0,3112.0,6592.0,0.89,0.362,-0.21,0.184
6666391,4319.0,2320.0,6910.0,0.891,0.358,-0.21,0.184
6666407,4261.0,1624.0,6860.0,0.892,0.357,-0.209,0.185
6666423,3699.0,2746.0,6412.0,0.891,0.357,-0.207,0.187
6666449,3561.0,3038.0,6192.0,0.89,0.359,-0.206,0.189
6666465,3405.0,3544.0,5914.0,0.889,0.363,-0.204,0.191
6666481,3329.0,3944.0,5738.0,0.887,0.368,-0.202,0.193
6666497,3217.0,4558.0,5520.0,0.884,0.374,-0.199,0.195
6666513,3257.0,5002.0,5374.0,0.881,0.381,-0.197,0.198
6666529,3461.0,5192.0,5376.0,0.879,0.387,-0.195,0.201
6666555,3545.0,5468.0,5274.0,0.876,0.393,-0.193,0.203
6666572,3633.0,5642.0,5292.0,0.874,0.398,-0.19,0.206
6666588,3687.0,5644.0,5344.0,0.871,0.402,-0.188,0.208
6666604,3813.0,5634.0,5318.0,0.87,0.406,-0.186,0.21
6666620,3709.0,5680.0,5286.0,0.868,0.409,-0.184,0.212
6666636,3813.0,5460.0,5248.0,0.867,0.411,-0.182,0.214
6666662,3711.0,5422.0,5076.0,0.867,0.412,-0.181,0.216
