timestamp,ax,ay,az,q0,q1,q2,q3
1867780,3444.0,3496.0,6822.0,0.853,0.284,-0.101,0.425
1867796,3400.0,3560.0,6864.0,0.853,0.285,-0.101,0.426
1867812,3202.0,3242.0,7082.0,0.852,0.286,-0.1,0.426
1867828,3436.0,3460.0,7050.0,0.851,0.288,-0.1,0.427
1867844,3524.0,3628.0,6714.0,0.85,0.29,-0.1,0.428
1867860,3444.0,3602.0,6444.0,0.85,0.291,-0.099,0.428
1867886,3508.0,3726.0,6284.0,0.849,0.292,-0.098,0.428
1867902,3378.0,3626.0,6494.0,0.849,0.293,-0.097,0.428
1867919,3276.0,3782.0,6722.0,0.85,0.293,-0.096,0.428
1867936,3184.0,3856.0,6898.0,0.85,0.293,-0.095,0.428
1867953,3298.0,3780.0,6762.0,0.849,0.293,-0.094,0.428
1867970,3292.0,3780.0,6666.0,0.849,0.293,-0.093,0.429
1867986,3150.0,3698.0,6732.0,0.849,0.293,-0.092,0.429
1868002,3118.0,3722.0,6756.0,0.85,0.293,-0.091,0.429
1868019,3170.0,3714.0,6704.0,0.85,0.293,-0.09,0.429
1868038,3168.0,3788.0,6722.0,0.85,0.293,-0.089,0.429
1868054,3204.0,3722.0,6752.0,0.85,0.292,-0.089,0.429
1868080,3190.0,3596.0,6808.0,0.85,0.292,-0.088,0.429
1868096,3218.0,3624.0,6818.0,0.85,0.291,-0.088,0.43
1868112,3260.0,3632.0,6890.0,0.85,0.291,-0.087,0.429
1868128,3282.0,3656.0,6810.0,0.851,0.291,-0.087,0.429
1868144,3372.0,3784.0,6806.0,0.851,0.291,-0.086,0.429
1868160,3316.0,3860.0,6910.0,0.851,0.29,-0.085,0.429
1868186,3310.0,3632.0,6812.0,0.852,0.29,-0.085,0.428
1868202,3314.0,3386.0,6682.0,0.852,0.29,-0.084,0.428
1868218,3328.0,3544.0,6598.0,0.852,0.29,-0.083,0.427
1868234,3272.0,3642.0,6638.0,0.853,0.289,-0.081,0.427
1868250,3130.0,3552.0,6654.0,0.854,0.288,-0.08,0.427
1868276,3102.0,3480.0,6834.0,0.854,0.287,-0.078,0.426
1868292,3032.0,3478.0,6958.0,0.855,0.286,-0.077,0.426
1868308,3004.0,3486.0,6958.0,0.855,0.285,-0.075,0.426
1868324,2980.0,3574.0,7028.0,0.855,0.285,-0.073,0.426
1868340,2958.0,3602.0,7034.0,0.856,0.284,-0.071,0.427
1868356,2948.0,3574.0,6920.0,0.856,0.283,-0.07,0.427
1868382,2918.0,3602.0,6912.0,0.857,0.282,-0.068,0.427
1868399,2874.0,3512.0,6896.0,0.857,0.281,-0.066,0.427
1868415,2870.0,3506.0,6954.0,0.857,0.28,-0.065,0.428
1868431,2830.0,3346.0,6920.0,0.857,0.279,-0.064,0.428
1868447,2764.0,3294.0,6876.0,0.857,0.278,-0.062,0.428
1868463,2788.0,3324.0,6930.0,0.857,0.278,-0.061,0.429
1868479,2812.0,3500.0,6994.0,0.857,0.278,-0.059,0.429
1868505,2780.0,3470.0,7010.0,0.857,0.278,-0.057,0.43
1868522,2696.0,3582.0,7008.0,0.857,0.279,-0.055,0.43
1868538,2650.0,3618.0,6906.0,0.857,0.28,-0.053,0.43
1868554,2536.0,3774.0,6866.0,0.856,0.281,-0.051,0.43
1868570,2340.0,3930.0,6892.0,0.856,0.283,-0.048,0.43
1868586,2262.0,4062.0,6904.0,0.856,0.284,-0.047,0.43
1868612,2174.0,4176.0,6918.0,0.855,0.286,-0.045,0.43
1868628,2076.0,4320.0,6936.0,0.855,0.287,-0.044,0.43
1868644,2096.0,4360.0,6906.0,0.855,0.288,-0.044,0.43
1868660,2162.0,4402.0,6926.0,0.854,0.289,-0.044,0.43
1868676,2208.0,4462.0,6890.0,0.854,0.29,-0.044,0.429
1868692,2308.0,4370.0,6892.0,0.854,0.29,-0.045,0.429
1868718,2312.0,4098.0,6852.0,0.854,0.289,-0.047,0.429
1868734,2622.0,4158.0,6854.0,0.854,0.289,-0.048,0.429
1868750,2772.0,4132.0,6872.0,0.855,0.288,-0.05,0.429
1868766,2888.0,3936.0,6896.0,0.855,0.287,-0.052,0.429
1868782,3046.0,3716.0,6838.0,0.855,0.287,-0.054,0.428
1868798,3228.0,3998.0,6826.0,0.855,0.286,-0.055,0.428
1868824,3252.0,3990.0,6758.0,0.856,0.286,-0.056,0.427
1868841,3320.0,3840.0,6816.0,0.856,0.285,-0.057,0.427
1868858,3248.0,3728.0,6810.0,0.857,0.284,-0.058,0.426
1868874,3242.0,3780.0,6782.0,0.857,0.283,-0.058,0.426
1868890,3066.0,3714.0,6816.0,0.858,0.282,-0.059,0.425
1868906,2950.0,3696.0,6892.0,0.859,0.282,-0.059,0.424
1868922,2754.0,3652.0,6922.0,0.859,0.281,-0.059,0.424
