timestamp,ax,ay,az,q0,q1,q2,q3
7165129,1842.0,2494.0,7661.0,0.859,0.218,-0.031,0.461
7165145,1794.0,2632.0,7653.0,0.859,0.218,-0.028,0.463
7165171,1822.0,2452.0,7773.0,0.858,0.22,-0.025,0.463
7165187,2114.0,2422.0,7707.0,0.858,0.224,-0.022,0.463
7165203,2222.0,2562.0,7579.0,0.857,0.229,-0.019,0.462
7165219,2170.0,2956.0,7357.0,0.856,0.236,-0.015,0.46
7165235,1836.0,3376.0,7137.0,0.855,0.243,-0.01,0.459
7165251,1644.0,3818.0,6903.0,0.854,0.249,-0.006,0.457
7165277,1642.0,4300.0,6641.0,0.852,0.255,-0.003,0.457
7165293,1672.0,4536.0,6481.0,0.852,0.258,-0.001,0.456
7165309,1732.0,4696.0,6513.0,0.851,0.26,-0.0,0.456
7165325,1814.0,4104.0,6881.0,0.852,0.26,-0.001,0.455
7165341,1850.0,3590.0,7113.0,0.853,0.259,-0.002,0.454
7165357,1964.0,3308.0,7297.0,0.853,0.259,-0.002,0.453
7165383,2028.0,3224.0,7293.0,0.854,0.26,-0.002,0.451
7165399,1906.0,3312.0,7191.0,0.854,0.261,-0.001,0.45
7165415,1824.0,3490.0,7091.0,0.854,0.263,-0.0,0.449
7165431,1804.0,3896.0,7057.0,0.854,0.265,0.001,0.449
7165447,1882.0,3922.0,7003.0,0.853,0.267,0.002,0.448
7165463,1888.0,3926.0,7055.0,0.853,0.268,0.003,0.447
7165489,1758.0,3752.0,7023.0,0.853,0.269,0.004,0.446
7165505,1686.0,4064.0,6873.0,0.853,0.271,0.005,0.446
7165521,1724.0,4228.0,6885.0,0.853,0.271,0.006,0.445
7165537,1744.0,4096.0,6921.0,0.854,0.272,0.006,0.444
7165553,1826.0,3940.0,7017.0,0.854,0.273,0.007,0.443
7165579,1738.0,3836.0,7087.0,0.854,0.273,0.007,0.442
7165595,1780.0,3720.0,7117.0,0.855,0.274,0.007,0.441
