timestamp,ax,ay,az,q0,q1,q2,q3
622496,7580.0,2190.0,1618.0,0.571,0.53,-0.321,0.539
622512,7350.0,2464.0,1676.0,0.569,0.531,-0.327,0.536
622528,7746.0,2316.0,1704.0,0.569,0.531,-0.336,0.53
622554,7744.0,1520.0,1570.0,0.567,0.532,-0.344,0.526
622571,8092.0,1828.0,1448.0,0.565,0.534,-0.35,0.523
622587,8048.0,1876.0,1392.0,0.563,0.536,-0.356,0.519
622603,8112.0,1658.0,1302.0,0.561,0.537,-0.363,0.515
622619,8408.0,1832.0,1118.0,0.559,0.538,-0.369,0.512
622636,8394.0,1830.0,1294.0,0.557,0.539,-0.375,0.508
622652,8368.0,1748.0,1324.0,0.555,0.54,-0.381,0.505
622678,8496.0,1674.0,1084.0,0.553,0.541,-0.387,0.501
622694,8540.0,1830.0,1170.0,0.551,0.542,-0.393,0.498
622710,8488.0,1606.0,1116.0,0.55,0.542,-0.399,0.495
622726,8518.0,1652.0,832.0,0.548,0.543,-0.404,0.492
622742,8504.0,2126.0,1168.0,0.546,0.543,-0.409,0.489
622768,8470.0,1890.0,1108.0,0.545,0.543,-0.416,0.486
622784,8662.0,1798.0,902.0,0.544,0.542,-0.422,0.482
622800,8852.0,2098.0,742.0,0.543,0.54,-0.429,0.479
622816,8910.0,2188.0,738.0,0.542,0.537,-0.437,0.476
622832,9202.0,2972.0,1206.0,0.543,0.533,-0.446,0.472
622848,9514.0,1542.0,604.0,0.543,0.527,-0.457,0.467
622874,10178.0,1038.0,270.0,0.545,0.52,-0.469,0.461
622891,10498.0,420.0,90.0,0.545,0.514,-0.479,0.457
622907,10724.0,752.0,328.0,0.546,0.509,-0.488,0.452
622923,9716.0,-130.0,336.0,0.546,0.503,-0.497,0.448
622939,9918.0,-492.0,106.0,0.548,0.498,-0.505,0.443
622956,9710.0,230.0,72.0,0.549,0.494,-0.512,0.438
622973,9304.0,498.0,214.0,0.552,0.49,-0.518,0.433
622989,8736.0,498.0,126.0,0.554,0.486,-0.523,0.428
623015,8274.0,-186.0,36.0,0.557,0.483,-0.527,0.422
623031,7672.0,204.0,264.0,0.561,0.481,-0.53,0.417
623047,7092.0,426.0,206.0,0.564,0.479,-0.533,0.411
623064,6924.0,450.0,136.0,0.567,0.477,-0.535,0.406
623080,6762.0,460.0,78.0,0.571,0.475,-0.537,0.4
623096,6676.0,664.0,-94.0,0.574,0.473,-0.538,0.396
623112,6648.0,652.0,-100.0,0.578,0.47,-0.54,0.393
623139,6640.0,486.0,-134.0,0.581,0.466,-0.541,0.391
623155,6586.0,498.0,-298.0,0.585,0.462,-0.541,0.39
623171,6598.0,334.0,-176.0,0.588,0.458,-0.541,0.39
623187,6960.0,432.0,-224.0,0.59,0.455,-0.54,0.392
623203,7494.0,540.0,-390.0,0.593,0.451,-0.539,0.394
623219,8104.0,336.0,-398.0,0.595,0.448,-0.536,0.398
623245,8430.0,462.0,-256.0,0.596,0.445,-0.533,0.403
623263,8396.0,672.0,74.0,0.598,0.443,-0.53,0.407
623279,8324.0,646.0,222.0,0.599,0.441,-0.527,0.411
623295,8226.0,634.0,290.0,0.6,0.44,-0.525,0.414
623311,8392.0,448.0,118.0,0.6,0.439,-0.523,0.416
623327,8468.0,448.0,-58.0,0.6,0.439,-0.521,0.418
623343,8162.0,614.0,98.0,0.6,0.44,-0.519,0.421
623360,7854.0,952.0,146.0,0.599,0.442,-0.517,0.422
623386,7666.0,1068.0,312.0,0.599,0.443,-0.515,0.423
623402,7618.0,1224.0,136.0,0.599,0.444,-0.513,0.424
623418,7718.0,796.0,10.0,0.601,0.444,-0.512,0.423
623434,7964.0,1002.0,-86.0,0.601,0.446,-0.51,0.424
623451,8024.0,1210.0,-160.0,0.602,0.448,-0.507,0.424
623467,7964.0,1444.0,60.0,0.603,0.449,-0.504,0.424
623493,7784.0,1566.0,282.0,0.605,0.45,-0.503,0.423
623509,7630.0,1520.0,550.0,0.607,0.451,-0.5,0.422
623525,7746.0,1520.0,696.0,0.61,0.452,-0.499,0.419
623541,7918.0,1606.0,680.0,0.612,0.452,-0.498,0.415
623557,8060.0,1466.0,566.0,0.615,0.454,-0.498,0.41
623573,8006.0,1120.0,566.0,0.617,0.456,-0.497,0.406
623599,7884.0,1400.0,898.0,0.618,0.459,-0.496,0.402
623615,7744.0,2088.0,1282.0,0.62,0.462,-0.495,0.396
623631,7640.0,3012.0,2198.0,0.621,0.465,-0.496,0.389
623648,8168.0,4004.0,2330.0,0.622,0.467,-0.5,0.379
623664,8720.0,3540.0,1184.0,0.625,0.467,-0.506,0.367
623680,9056.0,2166.0,430.0,0.629,0.465,-0.512,0.355
623696,8936.0,1202.0,264.0,0.633,0.462,-0.516,0.345
623722,8668.0,1442.0,914.0,0.637,0.459,-0.519,0.337
623738,8084.0,2014.0,1592.0,0.642,0.457,-0.521,0.329
623754,8154.0,2390.0,1438.0,0.646,0.455,-0.522,0.321
623770,8394.0,1550.0,938.0,0.651,0.453,-0.523,0.313
623786,8254.0,1628.0,846.0,0.655,0.451,-0.523,0.307
623802,8288.0,1816.0,892.0,0.66,0.449,-0.522,0.301
623829,8130.0,1880.0,1200.0,0.664,0.447,-0.521,0.295
623845,8144.0,1520.0,888.0,0.67,0.444,-0.52,0.289
623861,8086.0,1506.0,820.0,0.675,0.442,-0.519,0.283
