timestamp,ax,ay,az,q0,q1,q2,q3
7198853,3688.0,3506.0,6873.0,0.957,0.177,-0.216,0.077
7198869,3428.0,3118.0,7031.0,0.958,0.176,-0.214,0.08
7198885,3288.0,3018.0,7047.0,0.958,0.176,-0.212,0.082
7198901,3408.0,2958.0,6977.0,0.957,0.179,-0.211,0.085
7198917,3428.0,3174.0,6829.0,0.957,0.182,-0.208,0.087
7198943,3438.0,3514.0,6913.0,0.957,0.185,-0.206,0.089
7198959,3228.0,3328.0,7127.0,0.957,0.188,-0.203,0.09
7198975,3054.0,3064.0,7461.0,0.957,0.19,-0.199,0.091
7198991,2950.0,2862.0,7493.0,0.957,0.193,-0.196,0.091
7199008,2902.0,3054.0,7267.0,0.957,0.197,-0.193,0.092
7199024,2790.0,3364.0,7047.0,0.956,0.201,-0.191,0.093
7199041,2788.0,3278.0,7031.0,0.956,0.204,-0.188,0.094
7199067,2858.0,3030.0,6925.0,0.956,0.206,-0.187,0.095
7199084,2744.0,3220.0,6831.0,0.956,0.208,-0.185,0.096
7199101,2720.0,3126.0,6773.0,0.956,0.209,-0.185,0.097
7199118,2764.0,3094.0,6809.0,0.955,0.209,-0.184,0.098
7199134,2842.0,3124.0,6807.0,0.955,0.209,-0.185,0.099
7199151,2962.0,3192.0,6827.0,0.955,0.208,-0.185,0.1
7199167,3014.0,3224.0,6937.0,0.955,0.208,-0.185,0.1
7199183,3026.0,3190.0,6995.0,0.955,0.207,-0.185,0.1
7199209,2966.0,3284.0,6993.0,0.956,0.206,-0.185,0.1
7199225,2942.0,3120.0,6997.0,0.956,0.205,-0.185,0.1
7199241,3014.0,3030.0,6965.0,0.956,0.205,-0.185,0.1
7199257,2976.0,3138.0,6999.0,0.956,0.204,-0.185,0.1
7199274,3024.0,3176.0,6945.0,0.956,0.204,-0.185,0.099
7199290,3030.0,3108.0,7039.0,0.956,0.204,-0.185,0.099
7199306,3098.0,3054.0,7021.0,0.956,0.205,-0.185,0.099
7199332,3240.0,3104.0,7019.0,0.956,0.205,-0.185,0.099
7199348,3262.0,3332.0,6903.0,0.956,0.206,-0.184,0.099
7199364,3320.0,3306.0,6801.0,0.956,0.207,-0.184,0.1
7199380,3298.0,3352.0,6745.0,0.956,0.207,-0.184,0.1
7199396,3266.0,3390.0,6731.0,0.956,0.208,-0.184,0.1
7199412,3190.0,3298.0,6749.0,0.956,0.208,-0.183,0.1
7199438,3100.0,3354.0,6717.0,0.956,0.208,-0.183,0.1
7199455,3052.0,3118.0,6813.0,0.956,0.207,-0.182,0.1
7199471,2968.0,3108.0,6989.0,0.956,0.207,-0.182,0.1
7199487,2952.0,2998.0,7009.0,0.956,0.207,-0.182,0.1
7199503,2932.0,3024.0,7001.0,0.956,0.207,-0.181,0.099
7199520,2962.0,2986.0,7009.0,0.956,0.207,-0.181,0.099
7199537,3074.0,3048.0,6963.0,0.956,0.207,-0.181,0.099
7199554,3032.0,3210.0,6925.0,0.956,0.207,-0.181,0.1
7199581,3120.0,3114.0,6987.0,0.956,0.207,-0.181,0.1
7199598,3194.0,3050.0,6997.0,0.956,0.207,-0.18,0.101
7199615,3242.0,3100.0,7053.0,0.956,0.208,-0.18,0.101
7199631,3246.0,3126.0,6949.0,0.956,0.208,-0.18,0.102
7199647,3306.0,3146.0,6911.0,0.956,0.208,-0.18,0.103
7199663,3202.0,3096.0,6911.0,0.956,0.209,-0.18,0.103
7199680,3014.0,3128.0,6809.0,0.956,0.209,-0.179,0.104
7199696,2862.0,3002.0,6871.0,0.956,0.21,-0.179,0.104
7199722,2806.0,3032.0,6909.0,0.956,0.21,-0.178,0.105
7199738,2760.0,3060.0,6913.0,0.955,0.211,-0.178,0.105
7199754,2666.0,3206.0,7005.0,0.955,0.212,-0.177,0.104
7199771,2742.0,3336.0,6949.0,0.955,0.213,-0.177,0.104
7199787,2760.0,3400.0,6967.0,0.955,0.214,-0.176,0.104
7199803,2894.0,3454.0,6951.0,0.955,0.214,-0.176,0.104
7199819,2886.0,3600.0,6861.0,0.955,0.214,-0.175,0.104
7199845,2906.0,3520.0,6925.0,0.955,0.214,-0.175,0.104
7199861,3060.0,3420.0,7017.0,0.955,0.214,-0.175,0.104
7199878,3150.0,3266.0,7073.0,0.955,0.213,-0.175,0.105
7199895,3268.0,3242.0,6983.0,0.955,0.213,-0.176,0.105
7199911,3324.0,3204.0,6807.0,0.955,0.213,-0.176,0.106
7199927,3452.0,3212.0,6725.0,0.955,0.213,-0.177,0.107
7199943,3426.0,3192.0,6589.0,0.955,0.213,-0.177,0.108
7199969,3396.0,3202.0,6657.0,0.955,0.213,-0.177,0.108
7199985,3226.0,3164.0,6739.0,0.955,0.213,-0.176,0.109
7200001,3042.0,3038.0,6891.0,0.955,0.212,-0.176,0.109
7200017,2898.0,2956.0,7155.0,0.955,0.212,-0.175,0.109
7200033,2798.0,2812.0,7287.0,0.955,0.213,-0.175,0.109
7200059,2830.0,2820.0,7165.0,0.955,0.214,-0.175,0.109
7200075,2868.0,2972.0,6955.0,0.955,0.216,-0.175,0.109
7200091,2870.0,3170.0,6875.0,0.954,0.217,-0.174,0.109
7200107,2928.0,3394.0,6789.0,0.954,0.219,-0.174,0.109
7200124,2920.0,3356.0,6813.0,0.954,0.22,-0.173,0.11
7200140,2978.0,3432.0,6787.0,0.953,0.222,-0.172,0.11
7200156,2924.0,3548.0,6729.0,0.953,0.223,-0.171,0.111
7200182,2882.0,3606.0,6721.0,0.953,0.224,-0.17,0.112
7200198,2894.0,3640.0,6831.0,0.953,0.224,-0.169,0.113
7200215,2842.0,3578.0,6973.0,0.953,0.224,-0.168,0.113
7200231,2838.0,3546.0,7075.0,0.954,0.223,-0.167,0.114
7200247,2794.0,3630.0,7095.0,0.954,0.223,-0.167,0.115
7200263,2702.0,3462.0,7103.0,0.954,0.222,-0.167,0.115
7200289,2792.0,3374.0,6971.0,0.954,0.221,-0.167,0.115
7200305,2768.0,3222.0,6879.0,0.954,0.221,-0.167,0.114
7200321,2840.0,3340.0,6811.0,0.954,0.22,-0.168,0.114
7200337,2870.0,3332.0,6745.0,0.954,0.22,-0.169,0.113
7200353,3056.0,3226.0,6713.0,0.954,0.22,-0.17,0.113
7200370,3202.0,3324.0,6641.0,0.954,0.22,-0.17,0.112
7200386,3310.0,3436.0,6743.0,0.954,0.22,-0.17,0.112
7200412,3298.0,3362.0,6879.0,0.954,0.219,-0.17,0.112
7200428,3236.0,3218.0,7067.0,0.954,0.218,-0.17,0.113
