timestamp,ax,ay,az,q0,q1,q2,q3
7754925,118.0,4336.0,-142.0,0.647,0.671,0.283,0.226
7754941,8.0,4466.0,208.0,0.651,0.671,0.274,0.226
7754957,352.0,4996.0,-402.0,0.654,0.672,0.265,0.227
7754973,128.0,7164.0,-196.0,0.655,0.673,0.258,0.228
7754989,-1066.0,10614.0,680.0,0.654,0.675,0.253,0.228
7755015,-1468.0,12974.0,696.0,0.654,0.676,0.251,0.228
7755031,-1660.0,10982.0,398.0,0.657,0.674,0.249,0.228
7755047,-918.0,8130.0,0.0,0.659,0.672,0.248,0.227
7755063,-466.0,6562.0,-204.0,0.661,0.671,0.247,0.227
7755079,-494.0,6422.0,34.0,0.663,0.671,0.245,0.227
7755095,-418.0,6698.0,176.0,0.663,0.67,0.243,0.227
7755121,-412.0,7578.0,226.0,0.663,0.671,0.242,0.228
7755137,-476.0,8804.0,222.0,0.662,0.671,0.242,0.229
7755153,-910.0,9082.0,356.0,0.661,0.671,0.243,0.23
7755169,-1070.0,9130.0,164.0,0.661,0.671,0.244,0.231
7755185,-876.0,8410.0,-6.0,0.661,0.67,0.245,0.232
7755201,-678.0,7500.0,-32.0,0.661,0.67,0.246,0.233
7755227,-714.0,7198.0,-116.0,0.66,0.669,0.247,0.235
7755243,-690.0,7676.0,-22.0,0.659,0.67,0.248,0.236
7755259,-918.0,8308.0,196.0,0.657,0.671,0.249,0.236
7755275,-1190.0,8606.0,256.0,0.655,0.673,0.25,0.236
7755291,-1342.0,9016.0,154.0,0.655,0.674,0.249,0.236
7755307,-1392.0,8632.0,338.0,0.655,0.674,0.247,0.236
7755333,-1444.0,8160.0,618.0,0.656,0.674,0.244,0.234
7755349,-1320.0,8204.0,504.0,0.658,0.675,0.24,0.232
7755365,-1164.0,8204.0,212.0,0.66,0.676,0.234,0.229
7755381,-866.0,8230.0,-326.0,0.662,0.677,0.229,0.226
7755397,-626.0,8980.0,-106.0,0.663,0.679,0.224,0.224
7755413,-774.0,8852.0,254.0,0.665,0.679,0.218,0.222
7755439,-728.0,8262.0,294.0,0.668,0.679,0.212,0.221
7755455,-598.0,7852.0,382.0,0.67,0.678,0.206,0.22
7755471,-650.0,7804.0,502.0,0.673,0.678,0.2,0.219
7755487,-438.0,7962.0,378.0,0.675,0.678,0.195,0.218
7755503,-306.0,7580.0,22.0,0.676,0.677,0.192,0.218
7755520,24.0,7070.0,-74.0,0.677,0.677,0.19,0.218
7755546,96.0,8422.0,-104.0,0.676,0.678,0.189,0.218
7755563,-352.0,8936.0,386.0,0.677,0.677,0.189,0.219
