timestamp,ax,ay,az,q0,q1,q2,q3
1801899,4388.0,2020.0,8042.0,0.866,0.238,-0.218,0.382
1801915,4742.0,2454.0,7794.0,0.863,0.244,-0.216,0.385
1801931,4860.0,1770.0,7686.0,0.86,0.25,-0.215,0.388
1801947,5322.0,690.0,6504.0,0.858,0.256,-0.215,0.39
1801963,5586.0,3126.0,5122.0,0.856,0.264,-0.213,0.391
1801981,5654.0,4888.0,5446.0,0.855,0.267,-0.211,0.392
1801998,5896.0,4466.0,6288.0,0.855,0.267,-0.21,0.392
1802015,5238.0,4164.0,6968.0,0.855,0.267,-0.211,0.392
1802041,4138.0,2898.0,6776.0,0.854,0.266,-0.215,0.391
1802058,5728.0,2690.0,6020.0,0.852,0.27,-0.22,0.391
1802075,6574.0,2542.0,5750.0,0.85,0.273,-0.222,0.391
1802091,7266.0,5416.0,5530.0,0.849,0.277,-0.221,0.391
1802107,5836.0,5780.0,5646.0,0.85,0.276,-0.221,0.39
1802123,4932.0,2336.0,5532.0,0.852,0.272,-0.221,0.388
1802139,4628.0,872.0,5438.0,0.855,0.27,-0.218,0.386
1802165,3990.0,2404.0,5008.0,0.858,0.268,-0.213,0.384
1802181,3484.0,2398.0,4618.0,0.861,0.263,-0.207,0.382
1802198,3034.0,3594.0,4864.0,0.866,0.255,-0.201,0.381
1802215,2870.0,2966.0,5548.0,0.872,0.241,-0.195,0.379
1802231,2424.0,1984.0,6810.0,0.879,0.224,-0.189,0.377
1802247,1940.0,436.0,8156.0,0.885,0.206,-0.184,0.375
1802263,1604.0,-620.0,9328.0,0.89,0.192,-0.179,0.373
1802290,1336.0,-1042.0,10190.0,0.893,0.184,-0.174,0.373
1802306,2068.0,-640.0,9728.0,0.893,0.183,-0.17,0.374
1802323,2204.0,1836.0,7996.0,0.892,0.186,-0.167,0.377
1802339,2346.0,2148.0,7456.0,0.891,0.189,-0.166,0.379
1802355,2860.0,1220.0,7662.0,0.889,0.191,-0.167,0.38
1802371,3386.0,782.0,7818.0,0.888,0.194,-0.168,0.381
1802387,4044.0,1072.0,7496.0,0.887,0.199,-0.169,0.382
1802413,4176.0,1930.0,7320.0,0.885,0.205,-0.17,0.381
1802430,4574.0,1960.0,7198.0,0.884,0.212,-0.171,0.38
1802447,4830.0,1990.0,6814.0,0.883,0.218,-0.172,0.378
1802463,4796.0,2618.0,6678.0,0.882,0.223,-0.172,0.377
1802479,4762.0,2534.0,6624.0,0.882,0.227,-0.172,0.376
1802495,4916.0,2278.0,6710.0,0.881,0.231,-0.172,0.375
1802512,4874.0,2340.0,6636.0,0.88,0.235,-0.172,0.375
1802538,4804.0,2534.0,6696.0,0.88,0.238,-0.17,0.375
1802554,4810.0,2944.0,6616.0,0.879,0.24,-0.169,0.375
1802570,4410.0,3428.0,6692.0,0.879,0.241,-0.167,0.376
1802586,4256.0,2898.0,7106.0,0.879,0.242,-0.166,0.377
1802603,4020.0,2692.0,7116.0,0.878,0.243,-0.165,0.378
1802619,3914.0,2886.0,6994.0,0.877,0.244,-0.163,0.38
1802636,3782.0,2830.0,6990.0,0.877,0.245,-0.162,0.381
1802652,3686.0,2716.0,6986.0,0.876,0.246,-0.16,0.383
1802678,3526.0,2622.0,6998.0,0.875,0.247,-0.159,0.385
1802694,3506.0,2856.0,6978.0,0.874,0.248,-0.157,0.386
1802710,3448.0,2912.0,7048.0,0.874,0.249,-0.156,0.388
