timestamp,ax,ay,az,q0,q1,q2,q3
5823412,2420.0,6519.0,4408.0,0.787,0.472,0.05,0.394
5823428,2416.0,6437.0,4462.0,0.787,0.471,0.05,0.394
5823444,2362.0,6429.0,4506.0,0.787,0.471,0.05,0.394
5823460,2410.0,6421.0,4488.0,0.787,0.471,0.05,0.394
5823476,2342.0,6503.0,4440.0,0.787,0.471,0.051,0.394
5823492,2358.0,6467.0,4460.0,0.787,0.471,0.051,0.394
5823518,2406.0,6457.0,4482.0,0.787,0.472,0.051,0.394
5823534,2320.0,6489.0,4492.0,0.787,0.472,0.051,0.394
5823550,2350.0,6453.0,4476.0,0.787,0.472,0.051,0.393
5823566,2350.0,6427.0,4526.0,0.787,0.473,0.052,0.393
5823582,2334.0,6447.0,4492.0,0.787,0.473,0.052,0.393
5823598,2366.0,6519.0,4404.0,0.787,0.474,0.053,0.393
5823624,2294.0,6611.0,4288.0,0.786,0.474,0.053,0.393
5823641,2338.0,6565.0,4272.0,0.786,0.475,0.053,0.392
5823657,2386.0,6633.0,4322.0,0.786,0.475,0.053,0.392
5823673,2400.0,6625.0,4278.0,0.786,0.475,0.054,0.392
5823689,2344.0,6503.0,4312.0,0.786,0.475,0.054,0.392
5823705,2386.0,6567.0,4338.0,0.786,0.475,0.054,0.392
5823731,2328.0,6615.0,4352.0,0.786,0.475,0.054,0.392
5823747,2290.0,6629.0,4330.0,0.786,0.475,0.053,0.391
5823763,2332.0,6565.0,4404.0,0.787,0.475,0.053,0.391
5823779,2342.0,6497.0,4502.0,0.787,0.475,0.053,0.39
5823795,2366.0,6453.0,4502.0,0.787,0.475,0.053,0.39
5823811,2330.0,6491.0,4484.0,0.787,0.475,0.053,0.389
5823837,2358.0,6475.0,4390.0,0.787,0.475,0.053,0.389
5823853,2366.0,6465.0,4464.0,0.787,0.476,0.053,0.389
5823869,2362.0,6487.0,4502.0,0.787,0.476,0.054,0.389
5823885,2266.0,6507.0,4382.0,0.787,0.476,0.054,0.389
5823901,2266.0,6549.0,4336.0,0.787,0.476,0.054,0.389
5823918,2284.0,6609.0,4312.0,0.787,0.476,0.054,0.389
5823944,2328.0,6703.0,4300.0,0.787,0.476,0.054,0.39
5823960,2282.0,6683.0,4272.0,0.787,0.476,0.054,0.39
5823976,2324.0,6685.0,4336.0,0.787,0.475,0.053,0.39
5823992,2388.0,6517.0,4404.0,0.787,0.475,0.053,0.39
5824008,2390.0,6429.0,4478.0,0.787,0.474,0.053,0.391
5824024,2400.0,6465.0,4446.0,0.787,0.474,0.052,0.391
5824050,2360.0,6503.0,4410.0,0.787,0.474,0.052,0.391
5824066,2382.0,6547.0,4394.0,0.787,0.474,0.052,0.391
5824082,2288.0,6529.0,4408.0,0.787,0.474,0.052,0.391
5824098,2400.0,6535.0,4408.0,0.787,0.474,0.052,0.391
5824114,2338.0,6585.0,4354.0,0.787,0.473,0.052,0.391
5824130,2410.0,6543.0,4404.0,0.787,0.473,0.052,0.391
5824156,2362.0,6527.0,4408.0,0.788,0.473,0.051,0.392
5824172,2356.0,6407.0,4426.0,0.788,0.472,0.051,0.392
5824188,2394.0,6463.0,4462.0,0.788,0.472,0.051,0.392
5824204,2420.0,6475.0,4460.0,0.788,0.472,0.05,0.393
5824220,2410.0,6519.0,4528.0,0.788,0.472,0.05,0.393
5824236,2396.0,6415.0,4616.0,0.788,0.472,0.05,0.393
5824262,2438.0,6411.0,4526.0,0.788,0.472,0.051,0.393
5824278,2328.0,6419.0,4512.0,0.787,0.472,0.051,0.393
5824294,2330.0,6461.0,4500.0,0.787,0.473,0.052,0.393
5824310,2306.0,6525.0,4368.0,0.786,0.474,0.052,0.393
5824327,2322.0,6533.0,4282.0,0.786,0.474,0.053,0.393
5824343,2300.0,6581.0,4246.0,0.786,0.475,0.053,0.393
5824359,2348.0,6669.0,4288.0,0.786,0.475,0.053,0.393
5824385,2404.0,6543.0,4342.0,0.786,0.474,0.053,0.393
5824402,2458.0,6495.0,4416.0,0.786,0.474,0.053,0.393
5824418,2444.0,6551.0,4456.0,0.786,0.474,0.053,0.393
5824434,2438.0,6527.0,4378.0,0.786,0.475,0.053,0.393
5824450,2374.0,6545.0,4346.0,0.786,0.475,0.053,0.393
5824466,2360.0,6565.0,4294.0,0.786,0.475,0.053,0.393
5824492,2386.0,6573.0,4356.0,0.786,0.475,0.053,0.393
5824508,2366.0,6525.0,4464.0,0.786,0.475,0.053,0.392
5824524,2416.0,6373.0,4476.0,0.786,0.475,0.053,0.392
5824540,2358.0,6499.0,4448.0,0.786,0.475,0.053,0.392
5824556,2360.0,6563.0,4372.0,0.786,0.476,0.054,0.391
5824572,2278.0,6589.0,4430.0,0.786,0.476,0.054,0.391
5824598,2274.0,6565.0,4316.0,0.786,0.476,0.054,0.391
5824614,2326.0,6591.0,4292.0,0.786,0.476,0.054,0.391
5824630,2354.0,6491.0,4374.0,0.786,0.476,0.054,0.391
5824646,2368.0,6433.0,4444.0,0.786,0.476,0.054,0.391
5824663,2328.0,6509.0,4376.0,0.786,0.476,0.054,0.391
5824679,2324.0,6587.0,4370.0,0.786,0.476,0.054,0.391
5824705,2332.0,6573.0,4362.0,0.786,0.476,0.054,0.391
5824721,2334.0,6623.0,4384.0,0.786,0.476,0.054,0.391
5824737,2326.0,6555.0,4342.0,0.786,0.476,0.054,0.391
5824753,2334.0,6521.0,4346.0,0.786,0.476,0.054,0.391
5824769,2330.0,6493.0,4392.0,0.786,0.475,0.054,0.392
5824785,2312.0,6505.0,4404.0,0.786,0.475,0.054,0.392
5824811,2348.0,6503.0,4372.0,0.786,0.475,0.054,0.392
5824828,2360.0,6523.0,4354.0,0.786,0.475,0.054,0.392
5824844,2350.0,6497.0,4390.0,0.786,0.475,0.054,0.392
5824860,2390.0,6545.0,4400.0,0.786,0.476,0.054,0.392
5824876,2348.0,6543.0,4348.0,0.786,0.476,0.054,0.392
5824892,2340.0,6551.0,4338.0,0.786,0.476,0.054,0.392
5824908,2306.0,6641.0,4368.0,0.786,0.476,0.054,0.392
5824934,2372.0,6543.0,4412.0,0.786,0.476,0.054,0.392
5824950,2274.0,6369.0,4502.0,0.786,0.476,0.054,0.392
5824966,2322.0,6367.0,4514.0,0.786,0.476,0.055,0.392
5824982,2378.0,6521.0,4394.0,0.785,0.476,0.055,0.392
5824998,2416.0,6639.0,4288.0,0.785,0.477,0.055,0.392
5825014,2366.0,6663.0,4292.0,0.784,0.478,0.056,0.392
5825040,2352.0,6679.0,4276.0,0.784,0.478,0.056,0.391
5825056,2320.0,6613.0,4220.0,0.784,0.479,0.057,0.391
5825073,2342.0,6601.0,4244.0,0.784,0.479,0.057,0.391
5825089,2314.0,6703.0,4236.0,0.784,0.479,0.057,0.391
5825105,2322.0,6711.0,4246.0,0.784,0.479,0.057,0.39
5825121,2352.0,6675.0,4288.0,0.784,0.479,0.057,0.389
5825147,2372.0,6621.0,4342.0,0.785,0.479,0.057,0.389
5825163,2322.0,6553.0,4246.0,0.785,0.48,0.057,0.388
5825179,2372.0,6651.0,4184.0,0.785,0.48,0.057,0.387
5825195,2356.0,6565.0,4268.0,0.785,0.48,0.057,0.387
5825211,2314.0,6595.0,4454.0,0.785,0.48,0.057,0.386
5825227,2310.0,6453.0,4380.0,0.786,0.481,0.057,0.386
5825253,2274.0,6441.0,4356.0,0.786,0.481,0.057,0.386
5825270,2260.0,6547.0,4350.0,0.786,0.48,0.057,0.386
5825286,2216.0,6685.0,4278.0,0.785,0.48,0.057,0.386
5825303,2246.0,6717.0,4264.0,0.785,0.48,0.057,0.386
5825319,2328.0,6655.0,4210.0,0.785,0.48,0.057,0.387
5825335,2268.0,6613.0,4258.0,0.785,0.48,0.057,0.387
5825351,2298.0,6563.0,4302.0,0.785,0.48,0.057,0.387
5825377,2270.0,6627.0,4260.0,0.785,0.48,0.057,0.388
5825393,2272.0,6693.0,4244.0,0.785,0.48,0.057,0.388
5825410,2268.0,6637.0,4282.0,0.785,0.479,0.057,0.388
5825426,2300.0,6551.0,4292.0,0.785,0.479,0.057,0.388
5825442,2266.0,6467.0,4366.0,0.785,0.479,0.057,0.388
5825458,2302.0,6531.0,4350.0,0.786,0.479,0.056,0.388
5825484,2286.0,6595.0,4340.0,0.786,0.478,0.056,0.388
5825500,2280.0,6657.0,4314.0,0.786,0.478,0.056,0.389
5825516,2300.0,6513.0,4418.0,0.786,0.478,0.056,0.389
5825532,2320.0,6479.0,4362.0,0.786,0.477,0.055,0.39
5825548,2306.0,6569.0,4366.0,0.786,0.477,0.055,0.39
5825564,2362.0,6567.0,4422.0,0.786,0.477,0.055,0.39
5825590,2336.0,6537.0,4410.0,0.786,0.476,0.055,0.391
5825606,2352.0,6527.0,4358.0,0.786,0.476,0.055,0.391
5825622,2348.0,6583.0,4350.0,0.785,0.476,0.055,0.392
5825638,2374.0,6579.0,4370.0,0.785,0.476,0.055,0.392
5825654,2406.0,6537.0,4372.0,0.785,0.476,0.055,0.392
5825670,2324.0,6539.0,4298.0,0.785,0.476,0.055,0.392
5825696,2374.0,6585.0,4296.0,0.785,0.476,0.055,0.392
5825712,2332.0,6585.0,4334.0,0.785,0.476,0.055,0.393
5825729,2396.0,6625.0,4306.0,0.785,0.476,0.055,0.393
5825745,2394.0,6603.0,4382.0,0.785,0.476,0.055,0.393
5825761,2388.0,6583.0,4394.0,0.785,0.476,0.055,0.392
5825777,2334.0,6459.0,4426.0,0.785,0.476,0.055,0.392
5825793,2390.0,6505.0,4458.0,0.785,0.477,0.055,0.392
5825819,2382.0,6515.0,4420.0,0.785,0.477,0.056,0.392
5825835,2368.0,6583.0,4332.0,0.785,0.477,0.056,0.392
5825851,2286.0,6609.0,4324.0,0.784,0.478,0.057,0.391
5825867,2292.0,6669.0,4234.0,0.784,0.478,0.057,0.391
5825883,2310.0,6681.0,4282.0,0.784,0.479,0.057,0.39
5825899,2256.0,6555.0,4328.0,0.784,0.479,0.058,0.39
5825925,2282.0,6589.0,4342.0,0.784,0.48,0.058,0.389
5825941,2294.0,6639.0,4318.0,0.784,0.48,0.058,0.389
5825957,2386.0,6671.0,4272.0,0.784,0.481,0.059,0.388
5825973,2294.0,6659.0,4200.0,0.784,0.481,0.059,0.388
5825989,2284.0,6655.0,4198.0,0.784,0.482,0.06,0.388
5826015,2264.0,6655.0,4248.0,0.784,0.482,0.06,0.387
5826031,2216.0,6643.0,4232.0,0.784,0.482,0.06,0.387
5826047,2260.0,6659.0,4236.0,0.784,0.482,0.06,0.387
5826063,2302.0,6605.0,4274.0,0.784,0.482,0.06,0.388
5826079,2310.0,6683.0,4258.0,0.784,0.482,0.06,0.388
5826096,2298.0,6691.0,4252.0,0.784,0.482,0.059,0.388
5826112,2276.0,6631.0,4296.0,0.784,0.481,0.059,0.388
5826138,2324.0,6603.0,4338.0,0.784,0.481,0.059,0.388
5826154,2250.0,6601.0,4308.0,0.784,0.481,0.059,0.388
5826170,2250.0,6585.0,4254.0,0.784,0.481,0.059,0.388
5826186,2270.0,6697.0,4246.0,0.784,0.481,0.059,0.388
5826202,2258.0,6713.0,4264.0,0.784,0.481,0.059,0.389
5826219,2336.0,6609.0,4292.0,0.784,0.481,0.059,0.389
5826245,2340.0,6577.0,4324.0,0.784,0.481,0.059,0.389
5826261,2354.0,6583.0,4320.0,0.784,0.481,0.059,0.389
5826277,2316.0,6543.0,4366.0,0.784,0.481,0.059,0.389
5826294,2302.0,6605.0,4310.0,0.784,0.481,0.059,0.389
5826310,2332.0,6715.0,4264.0,0.784,0.481,0.059,0.389
5826326,2312.0,6669.0,4290.0,0.784,0.48,0.059,0.389
5826342,2358.0,6569.0,4336.0,0.784,0.481,0.059,0.389
5826368,2334.0,6601.0,4352.0,0.784,0.481,0.059,0.389
