timestamp,ax,ay,az,q0,q1,q2,q3
6551431,4115.0,2934.0,6587.0,0.948,0.215,-0.223,0.07
6551447,4159.0,2808.0,6627.0,0.949,0.213,-0.223,0.07
6551463,4075.0,2654.0,6653.0,0.949,0.212,-0.223,0.069
6551479,4009.0,2560.0,6671.0,0.949,0.212,-0.222,0.069
6551495,3839.0,2396.0,6813.0,0.949,0.212,-0.221,0.069
6551521,3703.0,2474.0,6817.0,0.95,0.213,-0.22,0.07
6551537,3685.0,2610.0,6835.0,0.95,0.214,-0.218,0.07
6551553,3529.0,2778.0,6817.0,0.95,0.216,-0.216,0.071
6551569,3423.0,2828.0,6873.0,0.95,0.217,-0.214,0.071
6551585,3357.0,2920.0,6967.0,0.95,0.219,-0.212,0.072
6551601,3303.0,3084.0,6977.0,0.95,0.221,-0.21,0.073
6551627,3225.0,3256.0,6945.0,0.949,0.224,-0.208,0.074
6551643,3089.0,3396.0,6913.0,0.949,0.226,-0.206,0.075
6551659,3049.0,3448.0,6835.0,0.949,0.228,-0.204,0.076
6551675,2979.0,3458.0,6727.0,0.949,0.23,-0.203,0.077
6551691,2925.0,3558.0,6653.0,0.948,0.232,-0.202,0.077
6551707,2967.0,3510.0,6699.0,0.948,0.233,-0.202,0.078
6551733,2961.0,3668.0,6625.0,0.948,0.235,-0.201,0.079
6551749,3013.0,3774.0,6645.0,0.948,0.235,-0.201,0.079
6551765,3073.0,3740.0,6711.0,0.948,0.236,-0.201,0.079
6551781,3101.0,3624.0,6693.0,0.947,0.235,-0.201,0.079
6551798,3085.0,3640.0,6669.0,0.948,0.235,-0.202,0.079
6551814,3163.0,3550.0,6615.0,0.948,0.234,-0.203,0.079
6551830,3205.0,3468.0,6629.0,0.948,0.233,-0.204,0.078
6551856,3203.0,3298.0,6723.0,0.948,0.231,-0.204,0.078
6551872,3169.0,3224.0,6709.0,0.948,0.229,-0.205,0.077
6551888,3187.0,3138.0,6727.0,0.949,0.228,-0.206,0.077
6551904,3177.0,3078.0,6895.0,0.949,0.226,-0.207,0.077
6551921,3183.0,3092.0,6907.0,0.949,0.225,-0.208,0.077
6551937,3285.0,3020.0,6971.0,0.949,0.224,-0.209,0.077
6551963,3373.0,2960.0,6885.0,0.949,0.224,-0.21,0.077
6551980,3431.0,3074.0,6831.0,0.949,0.223,-0.211,0.077
6551996,3543.0,2992.0,6889.0,0.948,0.223,-0.212,0.077
6552013,3585.0,2992.0,6819.0,0.948,0.222,-0.213,0.078
6552029,3615.0,3054.0,6763.0,0.948,0.223,-0.213,0.078
6552046,3623.0,3048.0,6717.0,0.948,0.223,-0.214,0.079
6552062,3565.0,3120.0,6641.0,0.948,0.223,-0.214,0.079
6552079,3641.0,3124.0,6627.0,0.947,0.224,-0.215,0.08
6552105,3661.0,3218.0,6677.0,0.947,0.224,-0.215,0.08
6552121,3667.0,3160.0,6661.0,0.947,0.224,-0.215,0.081
6552138,3603.0,3260.0,6693.0,0.947,0.225,-0.214,0.081
