timestamp,ax,ay,az,q0,q1,q2,q3
6583962,4007.0,3990.0,6513.0,0.932,0.25,-0.262,0.022
6583978,4093.0,3474.0,6743.0,0.932,0.248,-0.262,0.022
6583994,4013.0,3266.0,6933.0,0.933,0.247,-0.261,0.023
6584010,3815.0,3370.0,7003.0,0.933,0.248,-0.26,0.025
6584036,3665.0,3442.0,6609.0,0.933,0.25,-0.259,0.026
6584052,3399.0,3810.0,6449.0,0.933,0.252,-0.258,0.028
6584068,3397.0,3692.0,6467.0,0.932,0.253,-0.256,0.03
6584084,3293.0,3584.0,6583.0,0.932,0.254,-0.255,0.032
6584100,3493.0,3766.0,6297.0,0.932,0.255,-0.255,0.034
6584116,3689.0,4344.0,6215.0,0.932,0.256,-0.255,0.036
6584133,3747.0,4390.0,6345.0,0.932,0.255,-0.256,0.037
6584160,4171.0,4168.0,6967.0,0.932,0.253,-0.258,0.038
6584177,3795.0,3582.0,6961.0,0.931,0.252,-0.261,0.039
6584193,4087.0,4966.0,6867.0,0.93,0.252,-0.266,0.038
6584210,4087.0,4982.0,5877.0,0.929,0.251,-0.27,0.036
6584226,4289.0,4360.0,5271.0,0.928,0.248,-0.274,0.032
6584242,4413.0,3408.0,5177.0,0.929,0.244,-0.278,0.029
6584258,4607.0,2652.0,5143.0,0.929,0.24,-0.28,0.026
6584284,4453.0,1964.0,5051.0,0.93,0.237,-0.28,0.023
6584301,4305.0,1652.0,5461.0,0.931,0.234,-0.279,0.021
6584318,4375.0,2202.0,5989.0,0.932,0.232,-0.277,0.02
6584334,4329.0,2588.0,6357.0,0.933,0.231,-0.274,0.02
6584351,4249.0,2502.0,6835.0,0.935,0.229,-0.27,0.02
6584367,4209.0,1948.0,7101.0,0.936,0.228,-0.266,0.021
6584383,3931.0,2156.0,6893.0,0.937,0.229,-0.263,0.022
6584400,3875.0,2848.0,6715.0,0.937,0.232,-0.259,0.024
6584426,3809.0,3372.0,6563.0,0.937,0.235,-0.257,0.025
6584442,3625.0,3498.0,6513.0,0.937,0.238,-0.254,0.026
6584459,3417.0,3394.0,6619.0,0.937,0.24,-0.252,0.026
6584476,3073.0,3362.0,6777.0,0.937,0.243,-0.251,0.027
6584492,2839.0,3616.0,7175.0,0.936,0.245,-0.25,0.027
6584508,2969.0,4208.0,6971.0,0.935,0.249,-0.251,0.027
6584524,2887.0,3976.0,6981.0,0.934,0.251,-0.253,0.027
6584550,3031.0,3492.0,6907.0,0.933,0.254,-0.256,0.027
6584567,3541.0,3728.0,6275.0,0.931,0.257,-0.259,0.027
6584584,3985.0,4104.0,5803.0,0.929,0.26,-0.262,0.027
6584601,4229.0,4072.0,5683.0,0.928,0.262,-0.265,0.027
6584617,4293.0,4678.0,5165.0,0.927,0.264,-0.266,0.027
6584634,4555.0,5056.0,5559.0,0.927,0.262,-0.266,0.027
6584650,4383.0,4026.0,5589.0,0.928,0.26,-0.266,0.027
6584666,4731.0,3220.0,6015.0,0.929,0.257,-0.265,0.027
6584682,4417.0,3198.0,5927.0,0.93,0.256,-0.263,0.027
6584708,4367.0,3716.0,6083.0,0.93,0.256,-0.261,0.028
6584724,4089.0,3756.0,5925.0,0.931,0.256,-0.26,0.029
6584741,4113.0,3760.0,6171.0,0.931,0.255,-0.259,0.029
6584757,4071.0,3254.0,6443.0,0.932,0.254,-0.257,0.03
6584773,4155.0,3396.0,6623.0,0.932,0.254,-0.257,0.031
6584790,4049.0,3106.0,6591.0,0.932,0.254,-0.256,0.032
6584807,4007.0,3260.0,6447.0,0.932,0.254,-0.255,0.034
6584833,3855.0,3142.0,6347.0,0.932,0.255,-0.254,0.034
6584849,3713.0,3098.0,6045.0,0.932,0.256,-0.254,0.035
6584865,3757.0,3506.0,6045.0,0.932,0.258,-0.253,0.036
6584881,3623.0,3646.0,5963.0,0.932,0.259,-0.252,0.036
6584897,3527.0,3588.0,6021.0,0.931,0.26,-0.252,0.037
6584913,3597.0,3524.0,6097.0,0.931,0.262,-0.252,0.037
6584939,3679.0,3544.0,6247.0,0.931,0.263,-0.252,0.038
6584955,3901.0,3752.0,6485.0,0.93,0.264,-0.252,0.038
6584971,4119.0,4012.0,6675.0,0.93,0.265,-0.252,0.039
6584987,4157.0,4184.0,6571.0,0.93,0.266,-0.251,0.04
6585003,4019.0,4140.0,6279.0,0.93,0.266,-0.251,0.041
6585019,3809.0,3822.0,6031.0,0.93,0.265,-0.25,0.042
6585045,3755.0,3710.0,5941.0,0.931,0.265,-0.249,0.043
6585061,3647.0,3522.0,5957.0,0.931,0.265,-0.248,0.044
6585077,3647.0,3776.0,5957.0,0.931,0.265,-0.248,0.045
6585093,3731.0,3900.0,6135.0,0.931,0.265,-0.247,0.045
6585109,3747.0,3884.0,6343.0,0.931,0.265,-0.246,0.046
6585135,3713.0,3914.0,6541.0,0.931,0.265,-0.246,0.047
6585151,3725.0,3898.0,6353.0,0.932,0.264,-0.245,0.047
6585167,3615.0,3484.0,6399.0,0.932,0.263,-0.245,0.047
6585183,3565.0,3556.0,6303.0,0.932,0.263,-0.244,0.047
6585199,3465.0,3608.0,6315.0,0.932,0.263,-0.244,0.047
6585216,3493.0,3646.0,6309.0,0.932,0.264,-0.243,0.048
6585232,3613.0,3834.0,6209.0,0.932,0.265,-0.243,0.048
6585258,3671.0,3910.0,6163.0,0.932,0.266,-0.243,0.048
6585274,3777.0,3854.0,6147.0,0.931,0.266,-0.243,0.048
6585290,3689.0,3678.0,6109.0,0.931,0.267,-0.243,0.048
6585307,3639.0,3684.0,6063.0,0.931,0.267,-0.244,0.048
6585324,3663.0,3784.0,6207.0,0.931,0.267,-0.244,0.048
6585340,3653.0,3722.0,6323.0,0.931,0.267,-0.245,0.048
6585357,3817.0,3816.0,6561.0,0.931,0.267,-0.245,0.049
6585373,3955.0,4006.0,6603.0,0.93,0.268,-0.245,0.049
6585399,3885.0,3856.0,6413.0,0.93,0.268,-0.246,0.049
6585415,3775.0,3762.0,6303.0,0.93,0.267,-0.246,0.05
6585431,3683.0,3614.0,6277.0,0.93,0.267,-0.246,0.05
6585447,3739.0,3386.0,6263.0,0.93,0.267,-0.246,0.05
6585463,3807.0,3534.0,6139.0,0.93,0.267,-0.247,0.051
6585480,3949.0,3776.0,6141.0,0.929,0.268,-0.248,0.052
