timestamp,ax,ay,az,q0,q1,q2,q3
4616132,8041.0,1486.0,-583.0,0.486,0.588,-0.445,0.468
4616148,8001.0,1520.0,-403.0,0.487,0.588,-0.446,0.468
4616164,7841.0,1356.0,-473.0,0.487,0.587,-0.446,0.467
4616181,8083.0,1556.0,-581.0,0.488,0.587,-0.447,0.467
4616198,8011.0,1470.0,-631.0,0.489,0.586,-0.447,0.466
4616215,8007.0,1490.0,-583.0,0.489,0.586,-0.448,0.466
4616232,8017.0,1420.0,-541.0,0.49,0.585,-0.449,0.465
4616249,8133.0,1418.0,-585.0,0.491,0.584,-0.45,0.464
4616266,8105.0,1434.0,-643.0,0.492,0.583,-0.451,0.464
4616282,8075.0,1432.0,-625.0,0.493,0.582,-0.452,0.463
4616309,8059.0,1322.0,-581.0,0.495,0.581,-0.452,0.462
4616325,8101.0,1358.0,-591.0,0.496,0.579,-0.453,0.462
4616341,8121.0,1310.0,-623.0,0.497,0.578,-0.454,0.461
4616357,8063.0,1414.0,-577.0,0.499,0.577,-0.454,0.461
4616373,7935.0,1350.0,-553.0,0.5,0.576,-0.455,0.46
4616389,7773.0,1280.0,-883.0,0.501,0.574,-0.456,0.459
4616415,8095.0,1334.0,-707.0,0.503,0.573,-0.457,0.459
4616433,8203.0,1446.0,-639.0,0.505,0.571,-0.458,0.458
4616450,8039.0,1394.0,-623.0,0.506,0.57,-0.459,0.457
4616466,8051.0,1286.0,-497.0,0.508,0.568,-0.46,0.457
4616482,8067.0,1364.0,-469.0,0.509,0.566,-0.46,0.456
4616498,8133.0,1400.0,-579.0,0.511,0.565,-0.461,0.455
4616514,8025.0,1424.0,-559.0,0.512,0.564,-0.462,0.455
4616531,8089.0,1338.0,-561.0,0.513,0.562,-0.463,0.454
4616557,8045.0,1368.0,-575.0,0.514,0.561,-0.464,0.454
4616574,8055.0,1374.0,-603.0,0.515,0.56,-0.464,0.453
4616591,8007.0,1334.0,-477.0,0.516,0.559,-0.465,0.453
4616608,8003.0,1346.0,-583.0,0.517,0.558,-0.466,0.452
4616625,8031.0,1340.0,-585.0,0.517,0.557,-0.466,0.452
4616642,8011.0,1318.0,-567.0,0.518,0.557,-0.467,0.452
4616658,8029.0,1338.0,-571.0,0.519,0.556,-0.467,0.452
4616675,7999.0,1286.0,-495.0,0.519,0.555,-0.467,0.452
4616691,8061.0,1294.0,-591.0,0.519,0.555,-0.467,0.452
4616708,8005.0,1310.0,-539.0,0.519,0.555,-0.467,0.452
4616725,8089.0,1290.0,-565.0,0.519,0.555,-0.467,0.452
4616742,8047.0,1256.0,-595.0,0.519,0.555,-0.467,0.452
4616769,8061.0,1274.0,-577.0,0.519,0.555,-0.467,0.452
4616785,7985.0,1440.0,-467.0,0.519,0.555,-0.467,0.452
4616801,8105.0,1288.0,-567.0,0.519,0.556,-0.466,0.453
4616817,8051.0,1314.0,-655.0,0.518,0.556,-0.466,0.453
4616833,8025.0,1330.0,-681.0,0.518,0.556,-0.466,0.453
4616849,8049.0,1336.0,-631.0,0.517,0.557,-0.466,0.453
4616875,7985.0,1480.0,-519.0,0.517,0.557,-0.466,0.453
4616891,8003.0,1318.0,-589.0,0.516,0.558,-0.466,0.453
4616907,7971.0,1300.0,-553.0,0.516,0.558,-0.465,0.453
4616923,8063.0,1340.0,-527.0,0.515,0.559,-0.465,0.454
4616939,8003.0,1384.0,-535.0,0.515,0.56,-0.465,0.454
4616955,8009.0,1338.0,-569.0,0.514,0.56,-0.464,0.454
4616981,7907.0,1022.0,-303.0,0.514,0.561,-0.464,0.454
4616997,8109.0,1298.0,-509.0,0.513,0.562,-0.464,0.454
4617014,8037.0,1316.0,-599.0,0.512,0.562,-0.464,0.455
4617030,8073.0,1390.0,-557.0,0.511,0.563,-0.463,0.455
4617046,8057.0,1370.0,-547.0,0.511,0.564,-0.463,0.455
4617063,7985.0,1394.0,-467.0,0.51,0.565,-0.462,0.455
4617080,8013.0,1304.0,-491.0,0.509,0.566,-0.462,0.455
4617097,8177.0,1372.0,-641.0,0.508,0.567,-0.462,0.455
4617123,8121.0,1516.0,-591.0,0.508,0.567,-0.462,0.455
4617139,8091.0,1318.0,-529.0,0.507,0.568,-0.461,0.455
4617155,8133.0,1276.0,-591.0,0.507,0.569,-0.461,0.455
4617172,8073.0,1392.0,-599.0,0.506,0.569,-0.461,0.456
4617188,8005.0,1382.0,-533.0,0.505,0.57,-0.46,0.456
4617204,8011.0,1340.0,-513.0,0.505,0.57,-0.46,0.456
4617220,8037.0,1320.0,-599.0,0.504,0.571,-0.46,0.456
4617246,7871.0,1072.0,-341.0,0.504,0.571,-0.46,0.456
4617263,8099.0,1442.0,-479.0,0.504,0.572,-0.459,0.457
4617280,8033.0,1460.0,-521.0,0.503,0.572,-0.459,0.457
4617297,7969.0,1352.0,-507.0,0.503,0.572,-0.459,0.457
4617313,8065.0,1432.0,-545.0,0.503,0.573,-0.459,0.457
4617330,8031.0,1420.0,-515.0,0.502,0.573,-0.459,0.457
4617347,8071.0,1386.0,-485.0,0.502,0.573,-0.459,0.457
4617363,8147.0,1444.0,-557.0,0.502,0.573,-0.459,0.457
4617380,8171.0,1446.0,-601.0,0.502,0.572,-0.46,0.457
4617406,8105.0,1394.0,-583.0,0.502,0.572,-0.46,0.457
4617423,8105.0,1416.0,-509.0,0.503,0.572,-0.46,0.457
4617439,8039.0,1388.0,-483.0,0.503,0.572,-0.461,0.456
4617455,8091.0,1370.0,-571.0,0.503,0.571,-0.461,0.456
4617472,8111.0,1334.0,-605.0,0.503,0.571,-0.461,0.456
4617488,8015.0,1378.0,-561.0,0.503,0.571,-0.462,0.456
4617504,8033.0,1366.0,-529.0,0.504,0.57,-0.462,0.455
4617521,7999.0,1152.0,-413.0,0.504,0.57,-0.463,0.455
4617547,8103.0,1352.0,-645.0,0.504,0.57,-0.463,0.455
4617564,8053.0,1396.0,-537.0,0.505,0.569,-0.463,0.455
4617581,8035.0,1384.0,-633.0,0.505,0.569,-0.464,0.455
4617597,8061.0,1324.0,-631.0,0.505,0.568,-0.464,0.455
4617613,8135.0,1306.0,-647.0,0.505,0.568,-0.464,0.455
