timestamp,ax,ay,az,q0,q1,q2,q3
6783457,2706.0,3581.0,5837.0,0.923,0.324,-0.204,0.016
6783483,2620.0,3775.0,5989.0,0.924,0.322,-0.204,0.017
6783499,2702.0,4185.0,6133.0,0.925,0.32,-0.204,0.018
6783515,2710.0,4089.0,6463.0,0.926,0.317,-0.205,0.019
6783531,2830.0,4077.0,6675.0,0.927,0.314,-0.206,0.019
6783547,2842.0,4193.0,6781.0,0.927,0.311,-0.207,0.02
6783563,2888.0,4173.0,6883.0,0.928,0.309,-0.208,0.021
6783589,2802.0,4143.0,6869.0,0.928,0.307,-0.208,0.021
6783605,2820.0,4115.0,6639.0,0.928,0.308,-0.209,0.022
6783622,2736.0,4207.0,6445.0,0.927,0.309,-0.209,0.023
6783639,2688.0,4431.0,6223.0,0.927,0.311,-0.21,0.024
6783655,2716.0,4507.0,6225.0,0.926,0.313,-0.21,0.025
6783672,2798.0,4513.0,6241.0,0.925,0.316,-0.21,0.026
6783689,2864.0,4547.0,6169.0,0.924,0.32,-0.21,0.027
6783706,2968.0,4503.0,6141.0,0.922,0.323,-0.21,0.027
6783723,3172.0,4419.0,5971.0,0.921,0.326,-0.211,0.028
6783749,3384.0,4067.0,5807.0,0.92,0.329,-0.212,0.029
6783766,3634.0,4195.0,5757.0,0.919,0.33,-0.214,0.031
6783783,3600.0,4827.0,5693.0,0.918,0.331,-0.215,0.031
6783800,3174.0,5445.0,5785.0,0.918,0.331,-0.216,0.032
6783816,3052.0,5127.0,5949.0,0.918,0.33,-0.217,0.032
6783832,3046.0,4771.0,6391.0,0.919,0.329,-0.217,0.033
6783848,3136.0,4435.0,6501.0,0.918,0.33,-0.217,0.033
6783864,2974.0,4767.0,6327.0,0.918,0.332,-0.216,0.034
6783890,2760.0,4743.0,6295.0,0.917,0.335,-0.214,0.035
6783906,2656.0,4459.0,6195.0,0.917,0.337,-0.212,0.036
6783923,2666.0,4315.0,6241.0,0.916,0.339,-0.21,0.036
6783939,2656.0,4491.0,6197.0,0.916,0.341,-0.209,0.037
6783955,2746.0,4387.0,6257.0,0.915,0.343,-0.208,0.038
6783971,2718.0,4401.0,5919.0,0.914,0.346,-0.207,0.039
6783997,2802.0,4727.0,5609.0,0.913,0.348,-0.208,0.04
6784013,2898.0,4899.0,5557.0,0.913,0.35,-0.208,0.041
6784029,3030.0,4953.0,5595.0,0.912,0.351,-0.209,0.042
6784045,3180.0,4989.0,5685.0,0.911,0.353,-0.209,0.043
6784061,3372.0,5441.0,5957.0,0.91,0.354,-0.21,0.043
6784078,3462.0,5219.0,6087.0,0.91,0.355,-0.211,0.044
6784095,3472.0,5109.0,5883.0,0.909,0.356,-0.211,0.045
6784112,3590.0,5093.0,5683.0,0.909,0.356,-0.212,0.045
6784130,3476.0,4961.0,5503.0,0.909,0.355,-0.213,0.045
6784156,3412.0,5019.0,5519.0,0.91,0.354,-0.214,0.045
6784172,3354.0,4777.0,5733.0,0.91,0.352,-0.214,0.045
6784189,3294.0,4931.0,5713.0,0.91,0.35,-0.215,0.045
6784205,3376.0,5023.0,5709.0,0.911,0.349,-0.216,0.044
6784222,3384.0,4693.0,5835.0,0.911,0.347,-0.217,0.044
6784238,3400.0,4637.0,5811.0,0.912,0.347,-0.217,0.044
6784254,3350.0,4669.0,5689.0,0.912,0.346,-0.217,0.045
6784280,3312.0,4703.0,5755.0,0.912,0.346,-0.216,0.045
6784297,3350.0,4711.0,5837.0,0.912,0.346,-0.216,0.045
6784314,3332.0,4669.0,5851.0,0.912,0.346,-0.215,0.046
6784330,3322.0,4765.0,5821.0,0.912,0.346,-0.214,0.047
6784346,3280.0,4741.0,5819.0,0.913,0.346,-0.213,0.048
6784363,3232.0,4755.0,5867.0,0.913,0.346,-0.212,0.049
6784380,3114.0,4863.0,5841.0,0.913,0.346,-0.211,0.05
6784396,3072.0,4849.0,5777.0,0.913,0.347,-0.21,0.051
6784422,3090.0,4899.0,5855.0,0.913,0.347,-0.208,0.052
6784439,3048.0,4883.0,5859.0,0.913,0.348,-0.207,0.053
6784455,3080.0,4961.0,5845.0,0.913,0.349,-0.205,0.054
6784471,2942.0,4787.0,5871.0,0.913,0.35,-0.204,0.056
6784487,2922.0,4829.0,5837.0,0.912,0.351,-0.202,0.057
6784503,2892.0,4867.0,5897.0,0.912,0.352,-0.201,0.058
6784520,2904.0,4883.0,5863.0,0.912,0.353,-0.2,0.058
6784536,2846.0,4905.0,5863.0,0.912,0.353,-0.199,0.059
6784563,2898.0,4827.0,5907.0,0.912,0.353,-0.198,0.059
6784579,2878.0,4861.0,5893.0,0.913,0.353,-0.198,0.06
6784595,2902.0,4895.0,5941.0,0.913,0.352,-0.198,0.06
6784612,2978.0,4831.0,5849.0,0.913,0.352,-0.198,0.06
6784629,2992.0,4839.0,5889.0,0.913,0.351,-0.198,0.06
6784645,3032.0,4889.0,5891.0,0.914,0.35,-0.198,0.059
6784662,3082.0,4837.0,5857.0,0.914,0.35,-0.198,0.059
6784679,3106.0,4833.0,5931.0,0.914,0.349,-0.199,0.059
6784705,3076.0,4659.0,5981.0,0.914,0.348,-0.199,0.059
6784721,3062.0,4713.0,5975.0,0.914,0.348,-0.199,0.059
6784738,3142.0,4659.0,5953.0,0.914,0.348,-0.199,0.059
6784755,3190.0,4717.0,5845.0,0.914,0.348,-0.2,0.059
6784771,3178.0,4725.0,5779.0,0.914,0.348,-0.2,0.06
6784787,3172.0,4799.0,5787.0,0.914,0.349,-0.2,0.06
6784803,3172.0,4839.0,5771.0,0.914,0.349,-0.2,0.06
6784820,3104.0,4851.0,5797.0,0.914,0.348,-0.2,0.061
6784846,3090.0,4901.0,5877.0,0.914,0.348,-0.2,0.061
6784862,3048.0,4787.0,5915.0,0.914,0.348,-0.199,0.061
6784878,2984.0,4773.0,5929.0,0.914,0.348,-0.199,0.062
6784895,3018.0,4785.0,5829.0,0.914,0.349,-0.199,0.062
6784911,3030.0,4755.0,5815.0,0.914,0.349,-0.199,0.062
6784927,3092.0,4827.0,5771.0,0.914,0.349,-0.198,0.062
6784953,3102.0,4865.0,5823.0,0.914,0.35,-0.198,0.063
6784970,3156.0,4937.0,5823.0,0.914,0.35,-0.198,0.063
6784987,3092.0,4929.0,5909.0,0.914,0.35,-0.197,0.064
6785003,3112.0,4965.0,5907.0,0.914,0.35,-0.197,0.064
6785019,3074.0,4925.0,5951.0,0.914,0.35,-0.196,0.065
6785036,3086.0,4869.0,5859.0,0.914,0.35,-0.196,0.066
6785052,3056.0,4883.0,5849.0,0.914,0.35,-0.196,0.066
6785068,3020.0,4723.0,5889.0,0.914,0.349,-0.195,0.066
6785094,3006.0,4809.0,5851.0,0.914,0.349,-0.195,0.067
6785110,3062.0,4735.0,5825.0,0.914,0.349,-0.195,0.067
6785127,3040.0,4645.0,5899.0,0.914,0.349,-0.195,0.067
6785143,3070.0,4775.0,5861.0,0.914,0.348,-0.195,0.067
6785159,2980.0,4693.0,5909.0,0.914,0.348,-0.195,0.067
6785176,2960.0,4709.0,5921.0,0.914,0.349,-0.195,0.066
6785193,3010.0,4689.0,5939.0,0.914,0.349,-0.195,0.066
6785210,3058.0,4749.0,5905.0,0.914,0.349,-0.195,0.066
6785236,3068.0,4821.0,5885.0,0.914,0.349,-0.195,0.066
6785252,3116.0,4833.0,5849.0,0.914,0.35,-0.195,0.066
6785268,3096.0,4977.0,5799.0,0.914,0.351,-0.195,0.066
6785284,3154.0,5029.0,5797.0,0.914,0.351,-0.195,0.067
6785301,3070.0,4981.0,5721.0,0.913,0.351,-0.194,0.067
6785317,3098.0,4959.0,5847.0,0.913,0.351,-0.194,0.068
6785333,2976.0,4857.0,5855.0,0.913,0.351,-0.194,0.068
6785359,2902.0,4751.0,5949.0,0.913,0.351,-0.194,0.069
6785376,2978.0,4807.0,5915.0,0.913,0.351,-0.193,0.07
6785392,3070.0,4755.0,5897.0,0.913,0.352,-0.194,0.07
6785408,3192.0,4765.0,5859.0,0.913,0.352,-0.194,0.07
6785425,3204.0,4847.0,5747.0,0.913,0.352,-0.194,0.071
6785441,3248.0,4945.0,5709.0,0.913,0.353,-0.194,0.071
6785457,3270.0,4859.0,5669.0,0.913,0.353,-0.194,0.071
6785484,3238.0,4915.0,5697.0,0.913,0.353,-0.193,0.072
6785500,3066.0,4867.0,5739.0,0.913,0.353,-0.193,0.072
6785516,3014.0,4885.0,5781.0,0.913,0.353,-0.193,0.072
6785533,2950.0,4937.0,5825.0,0.913,0.353,-0.192,0.072
6785549,2958.0,4955.0,5861.0,0.913,0.353,-0.192,0.072
6785565,2892.0,4967.0,5931.0,0.913,0.353,-0.192,0.072
6785582,2944.0,4977.0,5873.0,0.913,0.353,-0.191,0.072
