timestamp,ax,ay,az,q0,q1,q2,q3
4280193,2937.0,7665.0,-137.0,0.696,0.691,-0.176,0.084
4280209,2887.0,7727.0,-131.0,0.696,0.691,-0.176,0.084
4280225,2985.0,7665.0,-139.0,0.696,0.691,-0.176,0.084
4280241,2965.0,7639.0,-141.0,0.696,0.691,-0.176,0.084
4280267,2969.0,7633.0,-149.0,0.696,0.691,-0.176,0.084
4280284,2987.0,7737.0,-181.0,0.696,0.691,-0.176,0.084
4280300,3077.0,7763.0,-159.0,0.696,0.691,-0.176,0.085
4280317,3151.0,7879.0,-175.0,0.696,0.691,-0.176,0.085
4280334,3163.0,7935.0,-101.0,0.696,0.691,-0.176,0.085
4280351,3433.0,8043.0,41.0,0.695,0.691,-0.176,0.086
4280368,3311.0,8181.0,11.0,0.695,0.691,-0.176,0.087
4280384,3713.0,8335.0,115.0,0.696,0.691,-0.176,0.088
4280400,3511.0,8055.0,399.0,0.696,0.69,-0.175,0.089
4280426,5283.0,10011.0,849.0,0.698,0.69,-0.172,0.09
4280442,5651.0,11497.0,2387.0,0.706,0.681,-0.167,0.094
4280458,3801.0,9257.0,2739.0,0.719,0.669,-0.161,0.099
4280474,3669.0,7303.0,1811.0,0.734,0.653,-0.156,0.103
4280491,3911.0,5429.0,2067.0,0.746,0.64,-0.152,0.109
4280507,4507.0,6737.0,2757.0,0.755,0.628,-0.147,0.114
4280523,5461.0,7573.0,3777.0,0.764,0.618,-0.14,0.121
4280549,5731.0,8619.0,4963.0,0.776,0.604,-0.13,0.13
4280565,5003.0,6515.0,4581.0,0.789,0.586,-0.12,0.141
4280582,4201.0,5107.0,4143.0,0.799,0.571,-0.11,0.152
4280598,4463.0,5137.0,4263.0,0.807,0.558,-0.101,0.164
4280615,4521.0,4707.0,4171.0,0.812,0.549,-0.092,0.176
4280631,4817.0,4851.0,3909.0,0.813,0.544,-0.082,0.188
4280647,4931.0,5295.0,3791.0,0.812,0.544,-0.071,0.201
4280674,5023.0,5813.0,3657.0,0.809,0.545,-0.06,0.214
4280690,5141.0,5995.0,3421.0,0.804,0.547,-0.047,0.228
4280706,5047.0,5883.0,3025.0,0.799,0.549,-0.033,0.244
4280722,4845.0,5855.0,2701.0,0.792,0.552,-0.018,0.26
4280739,4605.0,5747.0,2431.0,0.785,0.554,-0.003,0.277
4280755,4467.0,5565.0,2285.0,0.777,0.557,0.012,0.294
4280781,4569.0,5579.0,2113.0,0.767,0.56,0.027,0.312
4280797,4517.0,5371.0,1865.0,0.756,0.564,0.043,0.329
4280813,4591.0,5589.0,1707.0,0.744,0.569,0.059,0.347
4280830,4529.0,5779.0,1603.0,0.729,0.574,0.075,0.365
4280846,4453.0,6019.0,1573.0,0.714,0.579,0.092,0.382
4280863,4515.0,6111.0,1229.0,0.698,0.584,0.109,0.4
4280880,4443.0,6271.0,1137.0,0.681,0.588,0.127,0.416
4280896,4701.0,6269.0,1067.0,0.664,0.593,0.145,0.433
4280912,4953.0,6079.0,743.0,0.645,0.596,0.163,0.449
4280938,4929.0,6141.0,449.0,0.626,0.6,0.182,0.464
4280954,4405.0,6287.0,-213.0,0.606,0.602,0.202,0.479
4280971,4039.0,6053.0,-519.0,0.586,0.604,0.223,0.493
4280987,3983.0,6789.0,-765.0,0.565,0.605,0.242,0.507
4281004,3977.0,7141.0,-1063.0,0.544,0.605,0.259,0.521
4281021,4005.0,7197.0,-1215.0,0.524,0.603,0.275,0.535
4281037,4023.0,7207.0,-1433.0,0.504,0.599,0.29,0.551
4281063,3869.0,7197.0,-1699.0,0.484,0.595,0.303,0.566
4281080,3757.0,7045.0,-2171.0,0.464,0.59,0.317,0.58
4281097,3645.0,6949.0,-2551.0,0.443,0.586,0.331,0.592
4281114,3459.0,7305.0,-2545.0,0.423,0.583,0.344,0.602
4281131,3343.0,7703.0,-2381.0,0.403,0.579,0.356,0.612
