timestamp,ax,ay,az,q0,q1,q2,q3
4548159,4248.0,4562.0,5254.0,0.84,0.425,-0.118,0.314
4548176,4306.0,4406.0,5616.0,0.842,0.423,-0.118,0.315
4548202,4036.0,4122.0,5834.0,0.842,0.422,-0.117,0.315
4548218,3564.0,4154.0,5718.0,0.842,0.423,-0.114,0.316
4548234,3456.0,4574.0,5410.0,0.84,0.426,-0.111,0.318
4548250,3250.0,5162.0,5098.0,0.838,0.43,-0.107,0.319
4548266,3056.0,5594.0,4944.0,0.835,0.434,-0.103,0.32
4548282,2952.0,5908.0,4730.0,0.833,0.439,-0.099,0.321
4548308,2876.0,5940.0,4900.0,0.832,0.442,-0.096,0.322
4548324,2768.0,6384.0,4522.0,0.83,0.445,-0.092,0.322
4548341,2682.0,6718.0,4462.0,0.83,0.447,-0.089,0.323
4548358,2710.0,6984.0,4560.0,0.83,0.446,-0.088,0.324
4548375,2730.0,6896.0,4692.0,0.831,0.444,-0.087,0.324
4548392,2666.0,6686.0,4938.0,0.833,0.44,-0.087,0.325
4548409,2658.0,6302.0,5136.0,0.835,0.434,-0.088,0.327
4548426,2902.0,5864.0,5250.0,0.838,0.428,-0.09,0.327
4548443,3010.0,5092.0,5404.0,0.84,0.422,-0.093,0.327
4548460,3296.0,5018.0,5546.0,0.843,0.415,-0.097,0.327
4548477,3546.0,3582.0,6024.0,0.846,0.41,-0.1,0.327
4548503,3812.0,3356.0,5782.0,0.847,0.407,-0.103,0.327
4548520,4026.0,3776.0,5600.0,0.847,0.407,-0.104,0.326
4548537,4198.0,4156.0,5634.0,0.846,0.409,-0.105,0.326
4548554,4024.0,4596.0,5530.0,0.845,0.411,-0.105,0.325
4548570,3824.0,4830.0,5390.0,0.843,0.415,-0.104,0.324
4548587,3516.0,5024.0,5260.0,0.842,0.42,-0.103,0.324
4548603,3234.0,5292.0,5104.0,0.84,0.425,-0.101,0.323
4548624,3182.0,5508.0,5082.0,0.838,0.429,-0.098,0.323
4548641,3080.0,5790.0,5012.0,0.835,0.434,-0.095,0.324
4548658,3098.0,6050.0,5020.0,0.833,0.438,-0.093,0.324
4548674,3164.0,6078.0,5016.0,0.832,0.442,-0.09,0.324
4548691,3078.0,6060.0,4818.0,0.83,0.445,-0.088,0.323
4548708,2976.0,6140.0,4736.0,0.829,0.448,-0.085,0.323
4548724,3016.0,6150.0,4778.0,0.829,0.449,-0.083,0.323
4548741,3116.0,6128.0,4856.0,0.828,0.45,-0.082,0.324
4548768,3144.0,5964.0,4894.0,0.828,0.451,-0.08,0.323
4548785,2884.0,5862.0,4718.0,0.828,0.451,-0.079,0.323
4548801,2604.0,5894.0,4828.0,0.828,0.452,-0.079,0.323
4548818,2676.0,6104.0,4994.0,0.828,0.452,-0.078,0.323
4548835,2776.0,6024.0,5030.0,0.828,0.452,-0.078,0.323
4548851,2978.0,6022.0,5024.0,0.828,0.453,-0.078,0.322
4548868,2980.0,5954.0,4896.0,0.828,0.453,-0.078,0.322
4548884,3056.0,5918.0,4790.0,0.828,0.454,-0.078,0.321
4548910,3102.0,5882.0,4694.0,0.828,0.454,-0.078,0.32
4548927,3052.0,5814.0,4528.0,0.828,0.455,-0.078,0.319
4548944,3304.0,6006.0,4712.0,0.828,0.455,-0.078,0.318
4548961,3358.0,5962.0,4786.0,0.829,0.454,-0.078,0.318
4548977,3362.0,5708.0,4774.0,0.83,0.453,-0.078,0.317
4548994,3452.0,5574.0,4766.0,0.831,0.452,-0.078,0.316
4549010,3456.0,5512.0,4814.0,0.832,0.451,-0.078,0.315
4549026,3412.0,5378.0,5024.0,0.833,0.449,-0.078,0.314
4549042,3328.0,5314.0,5194.0,0.834,0.448,-0.078,0.314
4549068,3324.0,5156.0,5248.0,0.834,0.447,-0.078,0.313
4549084,3190.0,5170.0,5212.0,0.834,0.448,-0.078,0.313
4549100,3104.0,5208.0,5232.0,0.833,0.449,-0.077,0.313
4549116,3048.0,5514.0,5160.0,0.832,0.451,-0.076,0.313
4549132,2964.0,5900.0,4926.0,0.831,0.454,-0.075,0.314
4549148,3006.0,6282.0,4790.0,0.829,0.456,-0.074,0.314
4549174,3122.0,6422.0,4716.0,0.828,0.458,-0.073,0.314
4549190,3228.0,6330.0,4598.0,0.828,0.46,-0.072,0.314
4549206,3256.0,6256.0,4462.0,0.827,0.461,-0.071,0.314
4549222,3194.0,6188.0,4536.0,0.827,0.461,-0.07,0.314
4549238,3184.0,6100.0,4590.0,0.827,0.462,-0.07,0.314
4549264,3220.0,6222.0,4648.0,0.827,0.461,-0.07,0.315
4549281,3098.0,5944.0,4554.0,0.827,0.461,-0.07,0.315
4549297,2704.0,5752.0,4330.0,0.827,0.461,-0.07,0.315
4549313,2366.0,6124.0,4240.0,0.826,0.462,-0.07,0.315
4549330,2042.0,6324.0,4190.0,0.826,0.463,-0.07,0.314
4549346,1992.0,6466.0,4410.0,0.827,0.462,-0.072,0.313
4549362,2104.0,6410.0,4770.0,0.828,0.46,-0.075,0.312
4549388,2362.0,6080.0,5076.0,0.83,0.457,-0.078,0.31
4549404,2734.0,5628.0,5330.0,0.832,0.454,-0.082,0.31
4549420,3262.0,5380.0,5660.0,0.833,0.45,-0.086,0.309
4549436,4110.0,5734.0,6190.0,0.835,0.447,-0.088,0.31
4549452,3952.0,5996.0,5934.0,0.836,0.443,-0.09,0.31
4549468,4086.0,4368.0,5504.0,0.838,0.44,-0.09,0.311
4549494,3756.0,4360.0,4760.0,0.837,0.441,-0.089,0.312
4549510,3682.0,4986.0,4240.0,0.834,0.446,-0.087,0.313
4549526,3560.0,6026.0,3858.0,0.831,0.452,-0.085,0.314
4549542,3556.0,6824.0,3934.0,0.828,0.457,-0.084,0.314
4549558,3582.0,7254.0,4200.0,0.827,0.458,-0.084,0.314
4549574,3574.0,7308.0,4478.0,0.828,0.458,-0.084,0.313
4549591,3440.0,7050.0,4822.0,0.829,0.456,-0.085,0.312
4549617,3236.0,6638.0,4880.0,0.831,0.452,-0.086,0.311
4549633,3074.0,5868.0,4906.0,0.835,0.447,-0.087,0.31
4549650,3026.0,5260.0,5060.0,0.838,0.441,-0.089,0.309
4549666,2934.0,4842.0,5246.0,0.84,0.436,-0.091,0.309
4549682,3000.0,4716.0,5402.0,0.843,0.432,-0.093,0.309
4549698,3112.0,4490.0,5462.0,0.844,0.428,-0.095,0.309
4549724,3118.0,4574.0,5382.0,0.845,0.426,-0.096,0.31
4549740,3222.0,4868.0,5344.0,0.845,0.424,-0.098,0.31
4549757,3264.0,5062.0,5238.0,0.845,0.424,-0.1,0.311
4549773,3356.0,5294.0,5172.0,0.845,0.423,-0.101,0.312
4549789,3444.0,5528.0,5078.0,0.844,0.423,-0.102,0.313
4549805,3448.0,5674.0,5108.0,0.844,0.422,-0.103,0.314
4549821,3446.0,5748.0,5008.0,0.844,0.421,-0.105,0.314
4549847,3448.0,5844.0,4984.0,0.845,0.419,-0.106,0.315
4549863,3440.0,5706.0,5206.0,0.846,0.416,-0.108,0.314
4549879,3592.0,5456.0,5494.0,0.848,0.413,-0.11,0.314
4549895,3570.0,5126.0,5556.0,0.849,0.41,-0.111,0.314
4549911,3492.0,4740.0,5564.0,0.85,0.407,-0.112,0.313
4549927,3396.0,4398.0,5540.0,0.851,0.406,-0.113,0.313
4549953,3304.0,4316.0,5476.0,0.851,0.405,-0.113,0.314
4549969,3282.0,4404.0,5516.0,0.851,0.405,-0.113,0.314
4549985,3086.0,4530.0,5350.0,0.85,0.407,-0.113,0.315
4550001,3048.0,4604.0,5204.0,0.848,0.409,-0.113,0.316
4550017,3312.0,4554.0,5338.0,0.846,0.413,-0.112,0.317
4550033,3500.0,4740.0,5466.0,0.844,0.416,-0.111,0.319
4550059,3424.0,4486.0,5236.0,0.842,0.421,-0.109,0.321
4550075,3196.0,5022.0,4768.0,0.838,0.427,-0.106,0.323
4550091,3362.0,5942.0,4862.0,0.834,0.433,-0.103,0.325
4550107,4000.0,7410.0,5452.0,0.831,0.439,-0.1,0.326
4550123,4030.0,8034.0,5670.0,0.83,0.442,-0.097,0.327
4550140,3294.0,7174.0,4776.0,0.829,0.443,-0.095,0.328
