timestamp,ax,ay,az,q0,q1,q2,q3
7266533,3992.0,3728.0,6143.0,0.925,0.273,-0.254,0.071
7266549,4020.0,3658.0,6187.0,0.925,0.273,-0.254,0.071
7266575,4082.0,3704.0,6121.0,0.925,0.273,-0.254,0.071
7266591,4030.0,3768.0,6091.0,0.925,0.273,-0.254,0.071
7266608,4056.0,3682.0,6117.0,0.925,0.273,-0.253,0.071
7266624,4018.0,3752.0,6145.0,0.925,0.273,-0.253,0.071
7266640,4038.0,3770.0,6133.0,0.926,0.273,-0.253,0.071
7266656,3984.0,3646.0,6143.0,0.926,0.272,-0.253,0.071
7266682,3942.0,3714.0,6199.0,0.926,0.272,-0.252,0.07
7266698,3874.0,3662.0,6151.0,0.926,0.271,-0.252,0.07
7266714,3758.0,3554.0,6265.0,0.926,0.271,-0.252,0.07
7266731,3826.0,3560.0,6235.0,0.926,0.271,-0.252,0.07
7266747,3882.0,3596.0,6239.0,0.926,0.271,-0.252,0.07
7266763,3922.0,3554.0,6217.0,0.926,0.271,-0.252,0.07
7266779,4014.0,3402.0,6159.0,0.926,0.271,-0.252,0.071
7266805,4052.0,3516.0,6207.0,0.926,0.271,-0.252,0.071
7266821,4098.0,3508.0,6169.0,0.926,0.272,-0.252,0.071
7266838,4136.0,3558.0,6045.0,0.926,0.273,-0.251,0.072
7266854,3984.0,3670.0,6037.0,0.926,0.273,-0.25,0.072
7266871,3876.0,3656.0,6105.0,0.926,0.274,-0.249,0.073
7266887,3816.0,3720.0,6179.0,0.926,0.275,-0.247,0.073
7266903,3774.0,3804.0,6217.0,0.926,0.275,-0.246,0.073
7266930,3796.0,3834.0,6255.0,0.926,0.276,-0.245,0.073
7266946,3738.0,3846.0,6241.0,0.927,0.277,-0.244,0.073
7266962,3734.0,3922.0,6233.0,0.927,0.277,-0.243,0.073
7266978,3818.0,4016.0,6227.0,0.927,0.277,-0.243,0.073
7266994,3784.0,4070.0,6185.0,0.927,0.277,-0.242,0.072
7267010,3758.0,4032.0,6155.0,0.928,0.276,-0.241,0.072
7267036,3750.0,3972.0,6133.0,0.928,0.275,-0.241,0.071
7267052,3732.0,3854.0,6159.0,0.928,0.274,-0.24,0.07
7267068,3708.0,3848.0,6151.0,0.929,0.273,-0.24,0.07
7267084,3670.0,3798.0,6193.0,0.929,0.273,-0.24,0.069
7267100,3686.0,3776.0,6221.0,0.929,0.272,-0.24,0.068
7267116,3674.0,3674.0,6289.0,0.93,0.27,-0.241,0.068
7267142,3720.0,3698.0,6323.0,0.93,0.269,-0.241,0.067
7267159,3754.0,3518.0,6343.0,0.93,0.268,-0.242,0.066
7267175,3836.0,3454.0,6345.0,0.93,0.267,-0.243,0.066
7267191,3906.0,3434.0,6267.0,0.93,0.266,-0.244,0.065
7267207,4036.0,3374.0,6237.0,0.93,0.265,-0.244,0.065
