timestamp,ax,ay,az,q0,q1,q2,q3
8071848,-1980.0,8482.0,986.0,0.67,0.613,0.32,0.269
8071864,-1960.0,8710.0,814.0,0.672,0.609,0.322,0.27
8071880,-2004.0,8484.0,882.0,0.675,0.605,0.323,0.271
8071896,-1924.0,8222.0,884.0,0.678,0.601,0.324,0.272
8071922,-1862.0,8156.0,930.0,0.681,0.598,0.325,0.272
8071938,-1786.0,8312.0,920.0,0.683,0.595,0.325,0.273
8071955,-1782.0,8026.0,950.0,0.686,0.591,0.324,0.273
8071971,-1640.0,7876.0,888.0,0.689,0.588,0.323,0.273
8071987,-1638.0,6834.0,1190.0,0.692,0.586,0.322,0.273
8072004,-2036.0,6292.0,1130.0,0.692,0.586,0.322,0.271
8072020,-1616.0,7948.0,1388.0,0.693,0.585,0.322,0.271
8072046,-2220.0,9094.0,1364.0,0.694,0.585,0.321,0.271
8072062,-1950.0,8542.0,1330.0,0.696,0.583,0.319,0.272
8072078,-1320.0,7480.0,544.0,0.698,0.581,0.317,0.273
8072094,-1750.0,7156.0,1038.0,0.699,0.58,0.318,0.274
8072111,-2288.0,7652.0,1744.0,0.699,0.579,0.318,0.275
8072128,-2836.0,8158.0,2190.0,0.699,0.578,0.318,0.276
8072144,-2764.0,7596.0,2136.0,0.699,0.579,0.316,0.276
8072170,-2430.0,8050.0,1954.0,0.7,0.579,0.314,0.276
8072187,-2242.0,7722.0,1770.0,0.7,0.58,0.312,0.276
8072204,-2060.0,7656.0,1824.0,0.7,0.581,0.31,0.277
8072220,-1806.0,7842.0,1604.0,0.699,0.582,0.307,0.278
8072237,-1648.0,7576.0,1592.0,0.699,0.584,0.305,0.279
8072253,-1408.0,7966.0,1606.0,0.698,0.585,0.303,0.281
8072269,-1396.0,7986.0,1494.0,0.698,0.586,0.301,0.282
8072285,-1324.0,8016.0,1472.0,0.697,0.587,0.3,0.284
8072311,-1212.0,8066.0,1528.0,0.696,0.588,0.298,0.286
8072327,-1150.0,8094.0,1356.0,0.695,0.588,0.297,0.288
8072343,-1262.0,7832.0,1542.0,0.694,0.589,0.296,0.29
8072359,-1104.0,7644.0,1434.0,0.693,0.59,0.295,0.292
8072375,-860.0,8046.0,1238.0,0.692,0.591,0.294,0.293
8072391,-854.0,8044.0,1206.0,0.69,0.592,0.293,0.294
8072417,-842.0,7934.0,1246.0,0.689,0.594,0.291,0.295
8072433,-672.0,8002.0,1264.0,0.689,0.595,0.29,0.296
8072449,-922.0,7954.0,1326.0,0.688,0.597,0.289,0.296
8072466,-938.0,8086.0,1296.0,0.687,0.599,0.287,0.296
8072482,-688.0,8326.0,1166.0,0.686,0.6,0.286,0.296
8072499,-570.0,8418.0,1142.0,0.685,0.602,0.284,0.296
8072515,-460.0,8280.0,1052.0,0.685,0.603,0.283,0.296
8072541,-464.0,8176.0,1050.0,0.684,0.604,0.281,0.296
8072557,-564.0,8066.0,1076.0,0.684,0.605,0.28,0.296
8072573,-636.0,8022.0,1252.0,0.683,0.606,0.279,0.296
8072590,-446.0,7948.0,1380.0,0.682,0.608,0.279,0.296
8072606,-398.0,8038.0,1224.0,0.682,0.609,0.278,0.295
8072622,-386.0,8148.0,1182.0,0.681,0.61,0.278,0.295
8072648,-212.0,8336.0,1040.0,0.68,0.611,0.278,0.294
8072664,-190.0,8228.0,1092.0,0.68,0.612,0.278,0.293
