timestamp,ax,ay,az,q0,q1,q2,q3
7554709,8113.0,1597.0,286.0,0.548,0.548,-0.436,0.457
7554735,8131.0,1571.0,306.0,0.549,0.548,-0.437,0.456
7554751,8149.0,1597.0,316.0,0.549,0.548,-0.437,0.455
7554767,8013.0,1705.0,310.0,0.55,0.547,-0.438,0.454
7554783,8141.0,1645.0,308.0,0.551,0.546,-0.439,0.453
7554799,7973.0,1565.0,332.0,0.552,0.546,-0.44,0.452
7554825,8071.0,1477.0,376.0,0.552,0.545,-0.441,0.451
7554841,8209.0,1521.0,266.0,0.553,0.544,-0.442,0.45
7554857,8167.0,1593.0,220.0,0.554,0.543,-0.443,0.449
7554874,7987.0,1547.0,344.0,0.555,0.542,-0.444,0.448
7554890,8199.0,1573.0,356.0,0.555,0.542,-0.445,0.448
7554906,8253.0,1673.0,230.0,0.556,0.541,-0.446,0.447
7554922,8201.0,1511.0,186.0,0.557,0.54,-0.447,0.447
7554948,7959.0,1587.0,370.0,0.557,0.539,-0.447,0.446
7554964,8027.0,1599.0,454.0,0.558,0.538,-0.448,0.446
7554980,8175.0,1603.0,386.0,0.558,0.537,-0.449,0.446
7554996,8223.0,1553.0,214.0,0.559,0.536,-0.45,0.445
7555012,8209.0,1529.0,226.0,0.559,0.535,-0.45,0.445
7555028,8097.0,1605.0,256.0,0.56,0.534,-0.451,0.445
7555054,8071.0,1653.0,300.0,0.56,0.533,-0.451,0.446
7555070,8109.0,1577.0,288.0,0.561,0.532,-0.452,0.446
7555086,7981.0,1503.0,326.0,0.561,0.531,-0.452,0.446
7555102,8069.0,1509.0,304.0,0.561,0.53,-0.453,0.446
7555118,8115.0,1691.0,234.0,0.562,0.529,-0.453,0.447
7555134,8143.0,1555.0,182.0,0.562,0.528,-0.453,0.447
7555160,7865.0,1455.0,354.0,0.562,0.527,-0.453,0.447
7555176,8129.0,1491.0,350.0,0.563,0.527,-0.454,0.448
7555193,8189.0,1531.0,166.0,0.563,0.526,-0.454,0.448
7555209,8147.0,1497.0,192.0,0.563,0.526,-0.454,0.448
7555226,7999.0,1595.0,302.0,0.563,0.525,-0.454,0.449
7555242,8039.0,1589.0,394.0,0.563,0.525,-0.453,0.449
7555258,8177.0,1437.0,266.0,0.563,0.525,-0.453,0.45
7555284,8135.0,1533.0,162.0,0.563,0.525,-0.453,0.45
7555300,8117.0,1635.0,154.0,0.563,0.525,-0.453,0.451
7555317,8075.0,1641.0,192.0,0.563,0.525,-0.452,0.451
7555333,8001.0,1613.0,238.0,0.562,0.525,-0.452,0.452
7555350,8071.0,1439.0,216.0,0.562,0.525,-0.451,0.452
7555367,8057.0,1605.0,188.0,0.562,0.525,-0.451,0.453
7555383,8085.0,1555.0,226.0,0.562,0.525,-0.45,0.453
7555409,7975.0,1635.0,228.0,0.562,0.526,-0.45,0.454
7555425,8035.0,1559.0,232.0,0.562,0.526,-0.449,0.454
7555442,7989.0,1487.0,248.0,0.561,0.526,-0.449,0.454
7555458,8181.0,1593.0,234.0,0.561,0.527,-0.448,0.455
7555474,8053.0,1717.0,182.0,0.561,0.528,-0.448,0.455
7555490,7999.0,1435.0,268.0,0.56,0.528,-0.447,0.455
7555506,8125.0,1487.0,212.0,0.56,0.529,-0.447,0.455
7555533,8115.0,1695.0,182.0,0.559,0.53,-0.446,0.456
7555549,8085.0,1619.0,188.0,0.559,0.53,-0.445,0.456
7555565,8107.0,1693.0,180.0,0.559,0.531,-0.445,0.456
7555581,8041.0,1681.0,258.0,0.558,0.532,-0.444,0.456
7555597,8013.0,1535.0,240.0,0.558,0.532,-0.444,0.456
7555613,8039.0,1585.0,240.0,0.558,0.533,-0.444,0.456
7555630,8049.0,1569.0,250.0,0.557,0.533,-0.443,0.456
7555656,8055.0,1681.0,284.0,0.557,0.534,-0.443,0.456
7555672,8051.0,1513.0,268.0,0.557,0.534,-0.443,0.456
7555688,8077.0,1507.0,302.0,0.557,0.535,-0.443,0.456
7555704,8113.0,1587.0,280.0,0.556,0.536,-0.443,0.455
7555720,8081.0,1625.0,238.0,0.556,0.536,-0.442,0.455
7555736,8085.0,1407.0,328.0,0.556,0.537,-0.442,0.455
7555762,8099.0,1559.0,274.0,0.556,0.538,-0.442,0.455
7555778,8165.0,1545.0,260.0,0.555,0.539,-0.442,0.454
7555794,8145.0,1653.0,256.0,0.555,0.539,-0.441,0.454
7555810,8077.0,1857.0,288.0,0.555,0.54,-0.441,0.454
7555827,8039.0,1745.0,298.0,0.554,0.54,-0.441,0.454
7555843,8069.0,1547.0,208.0,0.554,0.541,-0.441,0.454
7555869,8103.0,1543.0,286.0,0.554,0.541,-0.441,0.453
7555885,8013.0,1663.0,244.0,0.554,0.541,-0.441,0.453
7555901,8119.0,1637.0,252.0,0.554,0.541,-0.442,0.453
7555917,8037.0,1529.0,256.0,0.554,0.541,-0.442,0.453
7555933,8009.0,1523.0,380.0,0.553,0.541,-0.442,0.453
7555949,8189.0,1567.0,302.0,0.553,0.541,-0.442,0.453
7555975,8141.0,1627.0,208.0,0.553,0.541,-0.442,0.453
7555991,8097.0,1405.0,320.0,0.553,0.541,-0.442,0.453
7556008,8165.0,1565.0,330.0,0.553,0.541,-0.443,0.453
7556024,8139.0,1659.0,270.0,0.553,0.541,-0.443,0.454
7556040,8165.0,1431.0,294.0,0.553,0.541,-0.443,0.454
7556056,8029.0,1541.0,374.0,0.553,0.541,-0.443,0.454
7556073,8223.0,1599.0,278.0,0.553,0.541,-0.443,0.454
7556090,8215.0,1563.0,194.0,0.553,0.541,-0.443,0.454
7556116,8133.0,1531.0,234.0,0.553,0.54,-0.443,0.454
7556132,8153.0,1665.0,304.0,0.553,0.54,-0.443,0.454
7556148,8093.0,1651.0,292.0,0.553,0.54,-0.443,0.454
7556164,8137.0,1549.0,292.0,0.553,0.54,-0.443,0.454
7556180,8097.0,1581.0,228.0,0.553,0.539,-0.444,0.454
7556196,7939.0,1645.0,364.0,0.554,0.539,-0.444,0.454
7556222,8135.0,1575.0,336.0,0.554,0.538,-0.444,0.454
7556238,8149.0,1529.0,234.0,0.554,0.538,-0.444,0.454
7556255,8085.0,1645.0,276.0,0.554,0.537,-0.444,0.455
7556272,8145.0,1635.0,264.0,0.555,0.537,-0.444,0.455
7556288,8063.0,1593.0,292.0,0.555,0.536,-0.444,0.455
7556305,8089.0,1553.0,250.0,0.555,0.536,-0.445,0.455
7556321,7959.0,1585.0,282.0,0.556,0.535,-0.445,0.455
7556347,8119.0,1659.0,234.0,0.556,0.535,-0.445,0.455
7556363,8085.0,1691.0,212.0,0.556,0.534,-0.445,0.455
7556379,8115.0,1657.0,260.0,0.556,0.534,-0.446,0.455
7556395,8147.0,1495.0,254.0,0.557,0.533,-0.446,0.455
7556411,8015.0,1597.0,188.0,0.557,0.533,-0.446,0.455
7556428,8079.0,1607.0,174.0,0.557,0.532,-0.446,0.455
7556445,8059.0,1673.0,250.0,0.557,0.532,-0.446,0.455
7556471,8039.0,1595.0,238.0,0.557,0.531,-0.447,0.456
7556488,8007.0,1595.0,244.0,0.557,0.531,-0.447,0.456
7556504,8049.0,1483.0,194.0,0.558,0.531,-0.447,0.456
7556520,8083.0,1615.0,254.0,0.558,0.53,-0.447,0.456
7556536,8123.0,1657.0,160.0,0.558,0.53,-0.447,0.455
7556552,8135.0,1615.0,158.0,0.558,0.53,-0.447,0.455
7556568,8103.0,1593.0,218.0,0.558,0.53,-0.447,0.455
7556594,8075.0,1565.0,268.0,0.559,0.53,-0.447,0.455
7556610,8157.0,1553.0,224.0,0.559,0.53,-0.447,0.455
7556626,8105.0,1565.0,208.0,0.559,0.53,-0.447,0.455
7556643,8059.0,1587.0,292.0,0.559,0.53,-0.447,0.455
7556659,8051.0,1611.0,254.0,0.559,0.53,-0.446,0.455
7556676,8075.0,1597.0,230.0,0.559,0.53,-0.446,0.455
7556693,8051.0,1537.0,300.0,0.559,0.531,-0.446,0.454
7556709,8097.0,1583.0,260.0,0.56,0.531,-0.446,0.454
7556735,8103.0,1647.0,234.0,0.56,0.532,-0.445,0.454
7556753,8139.0,1563.0,254.0,0.56,0.532,-0.445,0.453
7556769,8095.0,1587.0,276.0,0.56,0.533,-0.445,0.453
7556785,8117.0,1649.0,310.0,0.559,0.533,-0.445,0.453
7556802,8193.0,1699.0,296.0,0.559,0.534,-0.444,0.452
7556818,8159.0,1683.0,238.0,0.559,0.535,-0.444,0.452
7556834,8093.0,1747.0,264.0,0.559,0.535,-0.443,0.452
7556860,8087.0,1731.0,246.0,0.559,0.536,-0.443,0.452
7556876,7883.0,1655.0,334.0,0.559,0.536,-0.443,0.451
7556893,8085.0,1613.0,374.0,0.559,0.537,-0.443,0.451
7556909,8093.0,1729.0,196.0,0.559,0.537,-0.443,0.451
7556925,7979.0,1707.0,286.0,0.559,0.537,-0.443,0.451
7556941,8085.0,1575.0,308.0,0.559,0.537,-0.443,0.451
7556958,8111.0,1521.0,262.0,0.558,0.538,-0.443,0.451
7556984,8105.0,1597.0,214.0,0.558,0.538,-0.443,0.451
7557000,8093.0,1601.0,288.0,0.558,0.538,-0.443,0.451
7557016,8083.0,1693.0,368.0,0.558,0.538,-0.443,0.451
7557032,8101.0,1595.0,310.0,0.558,0.538,-0.443,0.45
7557048,8073.0,1535.0,292.0,0.558,0.538,-0.443,0.45
7557064,8247.0,1617.0,252.0,0.558,0.538,-0.444,0.45
7557090,8153.0,1623.0,270.0,0.558,0.537,-0.444,0.45
7557106,8109.0,1643.0,292.0,0.558,0.537,-0.444,0.45
7557122,8083.0,1593.0,290.0,0.559,0.537,-0.444,0.45
7557138,8101.0,1519.0,314.0,0.559,0.537,-0.445,0.45
7557154,8009.0,1577.0,354.0,0.559,0.537,-0.445,0.449
7557170,8175.0,1633.0,242.0,0.559,0.536,-0.445,0.449
7557196,7999.0,1579.0,284.0,0.559,0.536,-0.445,0.449
7557212,8141.0,1583.0,310.0,0.559,0.536,-0.446,0.449
7557228,8117.0,1619.0,242.0,0.56,0.535,-0.446,0.448
7557244,8021.0,1631.0,278.0,0.56,0.535,-0.446,0.448
7557261,8085.0,1625.0,314.0,0.56,0.534,-0.447,0.448
7557277,8111.0,1661.0,272.0,0.561,0.534,-0.447,0.448
7557303,8075.0,1549.0,300.0,0.561,0.533,-0.448,0.448
7557319,8089.0,1587.0,282.0,0.561,0.533,-0.448,0.447
7557336,8055.0,1671.0,294.0,0.562,0.532,-0.449,0.447
7557352,8123.0,1687.0,286.0,0.562,0.532,-0.449,0.447
7557369,8129.0,1645.0,228.0,0.563,0.531,-0.45,0.447
7557385,8019.0,1671.0,246.0,0.563,0.53,-0.45,0.446
7557401,8129.0,1569.0,276.0,0.564,0.529,-0.451,0.446
7557417,8017.0,1633.0,248.0,0.564,0.529,-0.451,0.446
7557444,8003.0,1645.0,280.0,0.565,0.528,-0.452,0.446
7557461,8103.0,1471.0,220.0,0.565,0.527,-0.452,0.445
7557477,8027.0,1663.0,246.0,0.565,0.527,-0.453,0.445
7557493,8141.0,1603.0,278.0,0.566,0.526,-0.453,0.445
7557509,7979.0,1601.0,272.0,0.566,0.525,-0.454,0.445
7557525,8085.0,1627.0,266.0,0.566,0.525,-0.454,0.445
7557541,8061.0,1617.0,212.0,0.566,0.524,-0.455,0.444
7557567,8113.0,1627.0,220.0,0.567,0.524,-0.455,0.444
7557583,8031.0,1547.0,266.0,0.567,0.524,-0.455,0.444
7557599,8059.0,1595.0,248.0,0.567,0.524,-0.455,0.444
7557615,8037.0,1565.0,274.0,0.567,0.523,-0.455,0.444
7557631,8019.0,1651.0,264.0,0.567,0.523,-0.455,0.444
7557657,8065.0,1663.0,266.0,0.568,0.523,-0.455,0.444
7557674,8109.0,1641.0,248.0,0.568,0.523,-0.455,0.444
7557690,8087.0,1535.0,212.0,0.568,0.523,-0.456,0.444
7557706,8051.0,1565.0,310.0,0.568,0.523,-0.456,0.444
7557722,8129.0,1579.0,258.0,0.568,0.522,-0.456,0.443
7557738,8091.0,1659.0,324.0,0.568,0.523,-0.456,0.443
7557755,8125.0,1625.0,272.0,0.568,0.523,-0.456,0.443
7557772,8071.0,1499.0,294.0,0.568,0.523,-0.456,0.443
7557798,8031.0,1587.0,300.0,0.568,0.523,-0.455,0.443
7557814,8107.0,1621.0,302.0,0.568,0.523,-0.455,0.443
7557830,8161.0,1619.0,236.0,0.568,0.524,-0.455,0.442
7557847,8131.0,1537.0,228.0,0.568,0.524,-0.455,0.442
7557863,8095.0,1661.0,330.0,0.568,0.524,-0.455,0.442
7557879,8043.0,1707.0,310.0,0.568,0.524,-0.455,0.442
7557895,8039.0,1551.0,334.0,0.568,0.524,-0.455,0.442
7557921,8069.0,1599.0,296.0,0.568,0.525,-0.455,0.441
7557937,8137.0,1603.0,286.0,0.568,0.525,-0.455,0.441
7557953,8099.0,1543.0,230.0,0.569,0.525,-0.455,0.441
7557969,8109.0,1633.0,220.0,0.569,0.525,-0.455,0.441
7557985,8067.0,1687.0,278.0,0.569,0.525,-0.454,0.44
7558011,8051.0,1635.0,354.0,0.569,0.526,-0.454,0.44
7558027,8077.0,1571.0,300.0,0.569,0.526,-0.454,0.44
7558043,8085.0,1649.0,268.0,0.569,0.526,-0.454,0.44
7558059,8065.0,1669.0,412.0,0.569,0.526,-0.454,0.44
7558075,8057.0,1543.0,366.0,0.569,0.526,-0.454,0.44
7558091,8163.0,1585.0,268.0,0.569,0.526,-0.455,0.439
7558117,8167.0,1529.0,274.0,0.569,0.526,-0.455,0.439
7558133,8115.0,1651.0,354.0,0.569,0.526,-0.455,0.439
7558149,8163.0,1597.0,294.0,0.569,0.526,-0.455,0.439
7558165,8063.0,1535.0,358.0,0.569,0.526,-0.455,0.439
7558181,8043.0,1599.0,344.0,0.569,0.526,-0.455,0.439
7558197,8117.0,1681.0,296.0,0.568,0.526,-0.455,0.439
7558223,8087.0,1685.0,284.0,0.568,0.526,-0.456,0.439
7558239,8097.0,1467.0,284.0,0.568,0.526,-0.456,0.439
7558255,8097.0,1525.0,236.0,0.568,0.526,-0.456,0.439
7558271,8031.0,1633.0,272.0,0.568,0.526,-0.456,0.439
7558287,8061.0,1681.0,314.0,0.568,0.526,-0.456,0.439
7558303,8065.0,1539.0,290.0,0.568,0.526,-0.456,0.439
7558329,8067.0,1527.0,292.0,0.568,0.525,-0.456,0.439
7558345,8127.0,1523.0,258.0,0.568,0.525,-0.456,0.439
7558361,8079.0,1571.0,288.0,0.568,0.525,-0.456,0.44
7558377,8095.0,1699.0,304.0,0.568,0.525,-0.457,0.44
7558393,8139.0,1637.0,284.0,0.568,0.525,-0.457,0.44
7558409,8067.0,1595.0,268.0,0.568,0.524,-0.457,0.44
7558435,8117.0,1507.0,274.0,0.568,0.524,-0.457,0.44
7558451,8119.0,1661.0,306.0,0.568,0.524,-0.457,0.44
7558467,8073.0,1647.0,254.0,0.568,0.524,-0.457,0.44
7558483,8107.0,1657.0,302.0,0.568,0.524,-0.457,0.44
7558499,8131.0,1547.0,266.0,0.568,0.524,-0.457,0.44
7558515,8059.0,1533.0,330.0,0.568,0.524,-0.457,0.44
7558541,8123.0,1663.0,242.0,0.568,0.524,-0.457,0.44
7558557,8057.0,1611.0,292.0,0.568,0.524,-0.457,0.441
