timestamp,ax,ay,az,q0,q1,q2,q3
3828515,4676.0,7155.0,1718.0,0.732,0.572,-0.157,0.335
3828531,4806.0,7281.0,1542.0,0.73,0.574,-0.157,0.336
3828557,4960.0,7167.0,1592.0,0.73,0.573,-0.158,0.337
3828573,5012.0,6821.0,1844.0,0.731,0.571,-0.16,0.336
3828589,5010.0,6537.0,2218.0,0.734,0.568,-0.163,0.336
3828605,5118.0,6175.0,2468.0,0.737,0.563,-0.166,0.335
3828621,5208.0,5829.0,2632.0,0.74,0.559,-0.169,0.334
3828637,5174.0,5637.0,2838.0,0.742,0.556,-0.172,0.334
3828654,5100.0,5435.0,2960.0,0.744,0.553,-0.174,0.333
3828680,5060.0,5415.0,3058.0,0.745,0.551,-0.176,0.333
3828696,4914.0,5451.0,3036.0,0.746,0.55,-0.178,0.332
3828712,5062.0,5515.0,2954.0,0.746,0.549,-0.18,0.333
3828728,5022.0,5599.0,2888.0,0.745,0.548,-0.181,0.333
3828744,5062.0,5651.0,2810.0,0.745,0.548,-0.183,0.334
3828761,5072.0,5685.0,2752.0,0.744,0.547,-0.185,0.335
3828787,5140.0,5861.0,2718.0,0.744,0.547,-0.187,0.336
3828803,5230.0,5819.0,2768.0,0.744,0.546,-0.189,0.336
3828820,5104.0,5703.0,2762.0,0.744,0.544,-0.191,0.337
3828836,5224.0,5499.0,2852.0,0.745,0.543,-0.192,0.338
3828852,5216.0,5441.0,2608.0,0.745,0.542,-0.194,0.338
3828868,5526.0,5543.0,2646.0,0.745,0.541,-0.195,0.338
3828884,5736.0,5545.0,2774.0,0.746,0.539,-0.196,0.339
3828911,5700.0,5503.0,2836.0,0.746,0.538,-0.196,0.339
3828927,5674.0,5493.0,2974.0,0.747,0.537,-0.196,0.34
3828944,5614.0,5625.0,3036.0,0.747,0.537,-0.196,0.341
3828960,5470.0,5685.0,2918.0,0.746,0.536,-0.195,0.342
3828976,5454.0,5753.0,2854.0,0.746,0.536,-0.195,0.342
3828992,5346.0,5685.0,2796.0,0.746,0.536,-0.195,0.342
3829008,5282.0,5581.0,2900.0,0.747,0.536,-0.195,0.342
3829034,5342.0,5465.0,2902.0,0.747,0.535,-0.196,0.342
3829050,5304.0,5353.0,2960.0,0.747,0.535,-0.197,0.342
3829067,5332.0,5315.0,3046.0,0.748,0.534,-0.197,0.341
3829084,5224.0,5327.0,3092.0,0.748,0.534,-0.198,0.341
3829101,5216.0,5393.0,3134.0,0.748,0.534,-0.198,0.341
3829118,5592.0,5399.0,3046.0,0.747,0.535,-0.198,0.341
3829134,5656.0,5431.0,2956.0,0.747,0.536,-0.197,0.341
3829151,5848.0,5605.0,3136.0,0.745,0.538,-0.196,0.341
3829167,6088.0,5555.0,3276.0,0.743,0.541,-0.194,0.341
3829194,6552.0,5531.0,3198.0,0.741,0.546,-0.191,0.341
3829210,6596.0,5461.0,3010.0,0.737,0.553,-0.187,0.341
3829226,6732.0,5757.0,2840.0,0.732,0.561,-0.18,0.341
3829243,6920.0,6077.0,2798.0,0.728,0.569,-0.173,0.341
3829259,6758.0,6391.0,2644.0,0.724,0.577,-0.165,0.342
3829275,6966.0,7037.0,2322.0,0.72,0.583,-0.156,0.342
3829291,6928.0,7389.0,2112.0,0.718,0.588,-0.147,0.342
3829317,6342.0,6761.0,2058.0,0.718,0.591,-0.137,0.341
3829334,5632.0,6371.0,2130.0,0.719,0.593,-0.127,0.34
3829351,5194.0,6167.0,2128.0,0.721,0.594,-0.117,0.338
3829367,5168.0,6509.0,2138.0,0.722,0.596,-0.108,0.336
3829384,4864.0,6737.0,2096.0,0.723,0.596,-0.1,0.334
3829401,4110.0,6181.0,2028.0,0.727,0.594,-0.094,0.333
3829417,3442.0,5341.0,1972.0,0.731,0.59,-0.087,0.332
3829433,2714.0,4321.0,2000.0,0.735,0.586,-0.081,0.332
3829459,2148.0,3805.0,1990.0,0.737,0.583,-0.076,0.332
3829476,1850.0,4521.0,1898.0,0.738,0.582,-0.073,0.334
3829492,2392.0,5919.0,1980.0,0.738,0.581,-0.072,0.336
3829509,2780.0,7345.0,1940.0,0.739,0.579,-0.074,0.336
3829525,3180.0,8699.0,1630.0,0.741,0.577,-0.076,0.334
3829542,3338.0,9283.0,1712.0,0.744,0.576,-0.076,0.328
3829558,3350.0,9833.0,1556.0,0.748,0.577,-0.076,0.319
3829584,3078.0,9653.0,1556.0,0.753,0.576,-0.076,0.307
3829600,1988.0,9297.0,1112.0,0.76,0.574,-0.079,0.293
3829617,1494.0,8947.0,932.0,0.77,0.568,-0.086,0.276
3829633,1768.0,7567.0,-34.0,0.781,0.56,-0.096,0.258
3829649,2378.0,6527.0,-586.0,0.792,0.549,-0.109,0.242
3829665,2502.0,8095.0,-16.0,0.804,0.537,-0.121,0.226
3829681,2608.0,7591.0,796.0,0.818,0.52,-0.134,0.206
3829707,3654.0,5229.0,1646.0,0.831,0.503,-0.146,0.185
3829723,3574.0,4025.0,3002.0,0.841,0.492,-0.154,0.163
3829739,3284.0,3457.0,4194.0,0.846,0.49,-0.158,0.142
3829756,4116.0,2417.0,6038.0,0.847,0.492,-0.157,0.125
3829772,3080.0,2727.0,6792.0,0.846,0.499,-0.152,0.112
3829788,3042.0,2845.0,7874.0,0.842,0.509,-0.144,0.105
3829814,1564.0,4435.0,7548.0,0.837,0.52,-0.135,0.103
3829830,918.0,5889.0,6016.0,0.83,0.533,-0.129,0.105
3829846,1708.0,7907.0,5104.0,0.823,0.544,-0.125,0.106
3829862,2360.0,7539.0,4240.0,0.817,0.553,-0.121,0.105
3829878,1608.0,7901.0,3462.0,0.811,0.565,-0.117,0.1
3829894,1040.0,9791.0,960.0,0.805,0.575,-0.116,0.091
3829920,1698.0,7587.0,176.0,0.798,0.585,-0.117,0.08
3829936,1906.0,9111.0,-866.0,0.795,0.591,-0.121,0.065
3829953,4596.0,6675.0,370.0,0.793,0.593,-0.129,0.049
3829969,6620.0,5003.0,4220.0,0.789,0.598,-0.134,0.035
3829985,6840.0,7591.0,4388.0,0.784,0.606,-0.136,0.025
3830001,4304.0,10089.0,1628.0,0.779,0.611,-0.138,0.019
3830018,3464.0,8657.0,882.0,0.777,0.613,-0.14,0.016
3830044,1622.0,8571.0,916.0,0.775,0.616,-0.14,0.013
3830060,1502.0,8055.0,1574.0,0.773,0.618,-0.14,0.009
3830076,1650.0,7059.0,2090.0,0.773,0.619,-0.141,0.005
3830093,2544.0,7365.0,2100.0,0.772,0.619,-0.143,0.0
3830110,2936.0,7509.0,1362.0,0.772,0.62,-0.144,-0.004
3830127,2422.0,7703.0,1476.0,0.771,0.621,-0.143,-0.007
3830144,1980.0,8109.0,1612.0,0.769,0.623,-0.143,-0.009
3830161,972.0,9071.0,718.0,0.768,0.625,-0.142,-0.01
3830178,482.0,9241.0,250.0,0.767,0.625,-0.142,-0.011
