timestamp,ax,ay,az,q0,q1,q2,q3
1342113,4480.0,3792.0,6552.0,0.819,0.3,-0.165,0.46
1342129,5074.0,4240.0,6044.0,0.817,0.304,-0.169,0.46
1342155,5522.0,3890.0,5780.0,0.815,0.305,-0.173,0.461
1342171,5796.0,2612.0,5964.0,0.814,0.304,-0.177,0.462
1342188,5916.0,1500.0,6052.0,0.814,0.304,-0.179,0.463
1342204,5780.0,1696.0,5714.0,0.812,0.305,-0.179,0.463
1342220,5662.0,3264.0,5638.0,0.812,0.308,-0.176,0.464
1342236,5840.0,3994.0,5798.0,0.812,0.307,-0.174,0.464
1342262,5772.0,3734.0,5932.0,0.813,0.305,-0.171,0.465
1342278,5390.0,3648.0,6436.0,0.815,0.301,-0.169,0.465
1342294,4710.0,2952.0,7056.0,0.817,0.297,-0.167,0.466
1342311,4350.0,2374.0,7330.0,0.818,0.293,-0.167,0.467
1342327,4216.0,2382.0,7170.0,0.819,0.289,-0.166,0.467
1342343,4014.0,2508.0,6722.0,0.82,0.286,-0.166,0.468
1342360,3584.0,1922.0,6874.0,0.821,0.281,-0.166,0.468
1342377,3186.0,1544.0,7434.0,0.822,0.277,-0.167,0.469
1342394,3270.0,1982.0,7388.0,0.823,0.274,-0.168,0.469
1342420,3572.0,2482.0,7048.0,0.823,0.27,-0.17,0.469
1342437,3642.0,1650.0,6912.0,0.824,0.266,-0.173,0.47
1342453,3746.0,1184.0,6876.0,0.825,0.261,-0.175,0.47
1342470,3680.0,1236.0,6862.0,0.826,0.257,-0.175,0.47
1342487,3840.0,1434.0,6826.0,0.827,0.253,-0.175,0.471
1342503,3956.0,1404.0,6994.0,0.828,0.249,-0.174,0.471
1342519,3780.0,1504.0,7432.0,0.829,0.245,-0.171,0.473
1342545,3202.0,1660.0,8064.0,0.829,0.244,-0.169,0.474
1342562,3546.0,1826.0,7958.0,0.829,0.243,-0.167,0.475
1342579,3800.0,1706.0,7582.0,0.828,0.244,-0.166,0.476
1342596,3902.0,1462.0,7294.0,0.828,0.246,-0.164,0.478
1342613,3640.0,1438.0,7222.0,0.827,0.248,-0.161,0.479
1342630,3658.0,1890.0,7210.0,0.826,0.25,-0.158,0.48
1342647,3548.0,2016.0,7348.0,0.825,0.253,-0.155,0.48
1342664,3436.0,2074.0,7348.0,0.825,0.255,-0.153,0.481
1342681,3448.0,2144.0,7220.0,0.824,0.258,-0.151,0.482
1342697,3428.0,2366.0,7264.0,0.823,0.26,-0.149,0.482
1342713,3550.0,2324.0,7312.0,0.822,0.262,-0.148,0.483
1342739,3614.0,2270.0,7232.0,0.822,0.263,-0.148,0.483
1342756,3610.0,2386.0,7156.0,0.822,0.264,-0.148,0.483
1342772,3746.0,2456.0,7184.0,0.821,0.265,-0.148,0.483
1342789,3814.0,2442.0,7098.0,0.821,0.264,-0.148,0.483
1342805,3872.0,2316.0,7176.0,0.822,0.264,-0.149,0.483
1342821,3934.0,2292.0,7138.0,0.822,0.262,-0.15,0.483
1342837,4034.0,2230.0,7146.0,0.822,0.261,-0.151,0.483
1342864,4010.0,2120.0,7146.0,0.823,0.259,-0.153,0.482
1342880,3906.0,2076.0,7138.0,0.823,0.257,-0.153,0.482
1342896,3854.0,2010.0,7190.0,0.824,0.255,-0.154,0.482
1342912,3866.0,1818.0,7250.0,0.824,0.254,-0.155,0.482
1342928,3748.0,1848.0,7122.0,0.825,0.252,-0.155,0.482
1342944,3680.0,1678.0,7164.0,0.825,0.251,-0.155,0.482
1342970,3576.0,1692.0,7260.0,0.826,0.25,-0.155,0.482
1342986,3556.0,1620.0,7282.0,0.826,0.249,-0.154,0.482
1343003,3444.0,1740.0,7342.0,0.826,0.249,-0.153,0.482
1343019,3426.0,1730.0,7384.0,0.826,0.249,-0.152,0.482
1343036,3430.0,1734.0,7384.0,0.826,0.25,-0.151,0.482
1343056,3432.0,1840.0,7378.0,0.826,0.251,-0.15,0.482
1343073,3472.0,1786.0,7374.0,0.825,0.252,-0.149,0.483
1343090,3558.0,1912.0,7284.0,0.825,0.253,-0.147,0.483
1343106,3592.0,1970.0,7186.0,0.825,0.255,-0.146,0.484
1343122,3586.0,2074.0,7254.0,0.824,0.256,-0.145,0.484
1343138,3556.0,2120.0,7244.0,0.824,0.257,-0.144,0.484
1343164,3532.0,2302.0,7240.0,0.823,0.259,-0.142,0.484
1343180,3584.0,2306.0,7208.0,0.823,0.26,-0.142,0.485
1343196,3586.0,2286.0,7194.0,0.823,0.261,-0.141,0.485
1343213,3666.0,2304.0,7214.0,0.823,0.261,-0.14,0.485
1343230,3658.0,2302.0,7192.0,0.822,0.262,-0.14,0.485
1343246,3678.0,2324.0,7192.0,0.822,0.263,-0.139,0.485
