timestamp,ax,ay,az,q0,q1,q2,q3
5718533,4460.0,1134.0,6864.0,0.886,0.172,-0.247,0.353
5718549,4396.0,1078.0,6800.0,0.886,0.172,-0.247,0.353
5718565,4444.0,1020.0,6742.0,0.886,0.172,-0.247,0.353
5718591,4416.0,1062.0,6828.0,0.886,0.171,-0.247,0.353
5718607,4400.0,1056.0,6820.0,0.886,0.171,-0.247,0.353
5718623,4398.0,1034.0,6746.0,0.886,0.171,-0.246,0.353
5718639,4384.0,1058.0,6756.0,0.886,0.171,-0.247,0.354
5718655,4436.0,1040.0,6828.0,0.886,0.171,-0.247,0.354
5718672,4454.0,1146.0,6832.0,0.886,0.171,-0.247,0.354
5718689,4410.0,1152.0,6768.0,0.886,0.171,-0.247,0.354
5718715,4480.0,1252.0,6750.0,0.885,0.171,-0.247,0.355
5718732,4474.0,1248.0,6792.0,0.885,0.171,-0.247,0.355
5718749,4442.0,1204.0,6776.0,0.885,0.171,-0.247,0.355
5718765,4392.0,1168.0,6776.0,0.885,0.171,-0.247,0.355
5718782,4398.0,1114.0,6814.0,0.885,0.171,-0.247,0.355
5718799,4426.0,1118.0,6874.0,0.885,0.171,-0.247,0.355
5718816,4452.0,1136.0,6822.0,0.885,0.171,-0.247,0.356
5718833,4456.0,1080.0,6798.0,0.885,0.171,-0.247,0.356
5718849,4466.0,1046.0,6820.0,0.885,0.171,-0.247,0.356
5718866,4430.0,1050.0,6784.0,0.885,0.17,-0.247,0.356
5718883,4446.0,1044.0,6736.0,0.885,0.17,-0.247,0.356
5718910,4434.0,1090.0,6784.0,0.885,0.17,-0.247,0.356
5718927,4522.0,1114.0,6796.0,0.885,0.17,-0.247,0.356
5718944,4512.0,1068.0,6804.0,0.885,0.17,-0.247,0.357
5718960,4526.0,1134.0,6812.0,0.885,0.17,-0.247,0.357
5718976,4518.0,1172.0,6800.0,0.885,0.17,-0.247,0.357
5718992,4508.0,1208.0,6792.0,0.884,0.17,-0.247,0.357
5719008,4496.0,1270.0,6732.0,0.885,0.17,-0.247,0.357
5719034,4464.0,1308.0,6780.0,0.885,0.17,-0.246,0.358
5719050,4368.0,1258.0,6754.0,0.885,0.17,-0.246,0.357
5719066,4268.0,1384.0,6502.0,0.885,0.17,-0.246,0.357
5719083,4336.0,1066.0,6894.0,0.885,0.169,-0.247,0.357
5719099,4440.0,1084.0,6884.0,0.885,0.169,-0.247,0.357
5719115,4408.0,1090.0,6818.0,0.885,0.168,-0.247,0.356
5719131,4380.0,964.0,6778.0,0.885,0.168,-0.247,0.356
5719157,4348.0,928.0,6750.0,0.886,0.167,-0.248,0.356
5719173,4350.0,894.0,6790.0,0.886,0.167,-0.248,0.356
5719189,4294.0,894.0,6712.0,0.885,0.166,-0.248,0.356
5719205,4404.0,812.0,6838.0,0.885,0.166,-0.249,0.356
5719221,4442.0,830.0,6906.0,0.885,0.166,-0.249,0.356
5719238,4536.0,784.0,6856.0,0.885,0.167,-0.249,0.357
