timestamp,ax,ay,az,q0,q1,q2,q3
4178538,4900.0,214.0,10659.0,0.914,0.289,-0.118,0.258
4178554,3820.0,2188.0,8223.0,0.911,0.3,-0.117,0.259
4178570,2726.0,3708.0,6085.0,0.907,0.31,-0.117,0.258
4178586,2694.0,4686.0,5091.0,0.905,0.319,-0.118,0.256
4178602,2428.0,5702.0,4633.0,0.903,0.326,-0.121,0.252
4178628,2912.0,6336.0,4029.0,0.903,0.33,-0.126,0.247
4178644,3526.0,5878.0,4721.0,0.903,0.329,-0.132,0.242
4178661,4344.0,5710.0,5433.0,0.905,0.325,-0.138,0.238
4178677,4648.0,4618.0,5353.0,0.907,0.321,-0.143,0.234
4178693,4688.0,3748.0,5681.0,0.909,0.315,-0.145,0.232
4178709,4994.0,2644.0,6551.0,0.911,0.31,-0.144,0.232
4178735,4280.0,2508.0,6503.0,0.912,0.307,-0.14,0.233
4178751,3336.0,2898.0,6433.0,0.913,0.306,-0.136,0.234
4178767,3126.0,2762.0,6549.0,0.913,0.306,-0.131,0.234
4178784,3412.0,4012.0,6995.0,0.913,0.308,-0.126,0.234
4178801,3252.0,3848.0,7169.0,0.914,0.309,-0.12,0.234
4178818,2750.0,3252.0,7225.0,0.915,0.31,-0.112,0.234
4178835,2634.0,4810.0,7171.0,0.915,0.311,-0.104,0.235
4178851,2290.0,5154.0,7261.0,0.917,0.309,-0.096,0.235
4178877,1522.0,4184.0,6827.0,0.919,0.305,-0.089,0.234
4178893,1954.0,4422.0,6943.0,0.921,0.301,-0.084,0.233
4178909,1810.0,3696.0,7029.0,0.923,0.295,-0.079,0.232
4178926,1526.0,3650.0,7101.0,0.926,0.289,-0.074,0.231
4178942,1300.0,3300.0,7207.0,0.929,0.281,-0.07,0.231
4178958,1936.0,3294.0,7641.0,0.932,0.272,-0.066,0.23
4178974,2274.0,2406.0,8159.0,0.935,0.264,-0.06,0.229
4179000,2360.0,2036.0,8079.0,0.937,0.259,-0.052,0.227
4179016,1232.0,1256.0,7237.0,0.939,0.257,-0.043,0.225
4179033,884.0,902.0,7243.0,0.939,0.259,-0.035,0.224
4179051,626.0,1344.0,7113.0,0.938,0.264,-0.025,0.223
4179068,1156.0,2256.0,7445.0,0.937,0.269,-0.016,0.222
4179085,494.0,2718.0,7257.0,0.936,0.273,-0.006,0.222
4179103,112.0,2174.0,6871.0,0.935,0.276,0.002,0.223
4179119,-192.0,1480.0,6649.0,0.934,0.277,0.008,0.227
4179135,-144.0,1064.0,6521.0,0.932,0.279,0.012,0.231
4179151,-468.0,1174.0,6271.0,0.93,0.281,0.016,0.236
4179177,-374.0,1526.0,6349.0,0.927,0.286,0.019,0.243
4179194,-474.0,2294.0,6159.0,0.923,0.291,0.02,0.25
4179211,188.0,3706.0,6369.0,0.92,0.296,0.019,0.258
4179228,1358.0,4250.0,7429.0,0.916,0.3,0.018,0.266
4179245,1624.0,6222.0,8123.0,0.911,0.309,0.02,0.272
4179262,1174.0,10200.0,7527.0,0.907,0.319,0.025,0.275
4179279,-630.0,8470.0,6667.0,0.904,0.328,0.031,0.274
4179296,82.0,6916.0,6353.0,0.901,0.334,0.034,0.273
4179314,142.0,7586.0,5567.0,0.901,0.335,0.034,0.274
4179331,1008.0,5436.0,5907.0,0.903,0.328,0.032,0.274
4179347,334.0,4560.0,6113.0,0.906,0.319,0.029,0.276
4179363,1754.0,3448.0,7351.0,0.908,0.311,0.026,0.28
4179389,1972.0,2774.0,8467.0,0.907,0.31,0.024,0.284
4179405,2956.0,2702.0,8587.0,0.904,0.318,0.028,0.285
4179421,2540.0,5642.0,7283.0,0.899,0.331,0.037,0.285
4179437,2450.0,5960.0,6643.0,0.894,0.345,0.049,0.284
4179453,1522.0,5272.0,5781.0,0.888,0.358,0.063,0.281
4179479,512.0,5666.0,5061.0,0.882,0.371,0.079,0.278
4179495,38.0,5390.0,4889.0,0.877,0.383,0.093,0.274
4179511,-200.0,5766.0,4845.0,0.872,0.393,0.105,0.271
4179527,-204.0,6182.0,4605.0,0.868,0.401,0.115,0.268
4179543,-274.0,5418.0,4747.0,0.864,0.41,0.123,0.267
4179560,930.0,10738.0,6557.0,0.858,0.42,0.134,0.265
4179577,554.0,14138.0,5681.0,0.855,0.424,0.144,0.261
4179603,-1118.0,8996.0,5245.0,0.856,0.421,0.152,0.257
4179620,-2012.0,3848.0,5197.0,0.859,0.416,0.157,0.255
4179636,-2150.0,2038.0,4565.0,0.86,0.413,0.161,0.254
4179652,-2124.0,1046.0,4593.0,0.861,0.41,0.164,0.253
4179668,-2248.0,400.0,4431.0,0.86,0.41,0.166,0.254
4179684,-2620.0,492.0,4509.0,0.858,0.413,0.166,0.257
4179700,-2610.0,1388.0,4639.0,0.853,0.42,0.165,0.261
4179726,-2312.0,3476.0,4597.0,0.848,0.43,0.164,0.264
4179742,-1384.0,6144.0,5135.0,0.842,0.44,0.162,0.268
4179759,-1366.0,7738.0,5187.0,0.836,0.449,0.162,0.271
4179776,-670.0,8254.0,5303.0,0.83,0.459,0.164,0.273
4179792,-1054.0,9146.0,5003.0,0.822,0.47,0.167,0.274
4179808,-1706.0,10712.0,4833.0,0.814,0.482,0.173,0.273
4179825,-1472.0,12580.0,4763.0,0.809,0.489,0.18,0.271
4179842,-1526.0,11224.0,4263.0,0.808,0.49,0.185,0.27
4179868,-1778.0,8800.0,3689.0,0.809,0.488,0.188,0.269
4179884,-1912.0,6758.0,3285.0,0.809,0.487,0.192,0.266
4179901,-1578.0,6568.0,3267.0,0.809,0.488,0.197,0.261
4179917,-1920.0,6510.0,3083.0,0.808,0.49,0.201,0.256
4179934,-1698.0,6638.0,3111.0,0.808,0.492,0.205,0.25
4179956,-1612.0,6598.0,2897.0,0.809,0.493,0.207,0.246
4179972,-1402.0,6656.0,3033.0,0.81,0.493,0.208,0.241
4179989,-1208.0,6702.0,3215.0,0.811,0.492,0.208,0.238
4180005,-1378.0,6394.0,3341.0,0.813,0.491,0.207,0.235
4180021,-1278.0,6310.0,3017.0,0.814,0.49,0.206,0.232
4180037,-1140.0,8070.0,2923.0,0.817,0.488,0.205,0.23
4180063,-1238.0,6846.0,3361.0,0.82,0.484,0.202,0.228
4180080,-1218.0,5330.0,3723.0,0.823,0.482,0.2,0.226
4180096,-1232.0,6318.0,4015.0,0.823,0.484,0.2,0.223
4180113,-1850.0,7340.0,3367.0,0.822,0.486,0.199,0.219
4180130,-1844.0,9900.0,3517.0,0.825,0.483,0.196,0.218
4180147,-2186.0,8536.0,4161.0,0.832,0.474,0.189,0.218
4180163,-2212.0,7228.0,4223.0,0.84,0.463,0.181,0.217
4180179,-1830.0,5762.0,4823.0,0.847,0.453,0.172,0.216
4180195,-1544.0,6464.0,5115.0,0.853,0.448,0.165,0.212
4180221,-1466.0,6944.0,5545.0,0.857,0.444,0.158,0.206
4180238,-1518.0,6526.0,5733.0,0.862,0.441,0.152,0.2
4180254,-1106.0,6286.0,6143.0,0.866,0.439,0.147,0.192
4180270,-1048.0,9100.0,5251.0,0.871,0.431,0.14,0.187
4180286,-1516.0,7568.0,5417.0,0.881,0.415,0.132,0.184
4180302,-1430.0,3624.0,5683.0,0.891,0.396,0.122,0.183
4180328,-1052.0,1610.0,5985.0,0.899,0.383,0.114,0.18
4180344,-922.0,804.0,6067.0,0.902,0.378,0.107,0.177
4180360,-850.0,364.0,5837.0,0.902,0.381,0.102,0.174
4180376,-1072.0,3264.0,5611.0,0.901,0.387,0.096,0.173
4180392,-356.0,5382.0,5631.0,0.9,0.39,0.089,0.174
4180408,-150.0,9100.0,4633.0,0.903,0.383,0.078,0.177
4180434,-148.0,7482.0,4991.0,0.912,0.364,0.063,0.182
4180450,-288.0,2612.0,5265.0,0.92,0.342,0.046,0.187
4180466,1406.0,-1484.0,7219.0,0.923,0.334,0.034,0.19
4180482,796.0,926.0,6191.0,0.92,0.341,0.026,0.192
4180498,1074.0,3184.0,5791.0,0.914,0.357,0.021,0.194
4180514,1678.0,8894.0,5269.0,0.908,0.37,0.015,0.197
4180531,1696.0,13626.0,4317.0,0.909,0.364,0.002,0.204
4180557,1854.0,9354.0,4253.0,0.917,0.337,-0.018,0.213
4180573,3118.0,142.0,6197.0,0.922,0.315,-0.036,0.222
4180589,2456.0,1236.0,6327.0,0.922,0.309,-0.046,0.23
4180605,2996.0,7046.0,5791.0,0.921,0.307,-0.055,0.232
4180621,2528.0,8744.0,6085.0,0.924,0.297,-0.068,0.233
4180647,3624.0,7006.0,8023.0,0.928,0.28,-0.081,0.234
4180663,4010.0,4236.0,8659.0,0.932,0.264,-0.091,0.233
4180683,3862.0,2236.0,8651.0,0.935,0.251,-0.098,0.23
4180699,3732.0,1478.0,8769.0,0.938,0.243,-0.1,0.227
4180715,3546.0,1854.0,8651.0,0.939,0.24,-0.099,0.225
4180731,3646.0,2458.0,8593.0,0.94,0.239,-0.096,0.223
4180747,3432.0,1690.0,8483.0,0.941,0.241,-0.09,0.221
4180763,2742.0,2010.0,7933.0,0.941,0.245,-0.082,0.22
4180779,2174.0,2796.0,7049.0,0.94,0.252,-0.075,0.219
4180805,1840.0,3442.0,6389.0,0.938,0.258,-0.069,0.219
4180821,1800.0,4296.0,5945.0,0.937,0.263,-0.064,0.219
4180837,2104.0,4890.0,6027.0,0.937,0.267,-0.062,0.219
4180853,2440.0,6040.0,6547.0,0.937,0.266,-0.061,0.217
4180869,2796.0,6766.0,6805.0,0.94,0.259,-0.062,0.215
4180885,2524.0,5128.0,7121.0,0.943,0.25,-0.063,0.212
4180911,2500.0,3322.0,7367.0,0.945,0.242,-0.063,0.21
4180927,2334.0,2606.0,7193.0,0.947,0.236,-0.063,0.207
4180943,2608.0,712.0,7589.0,0.949,0.233,-0.062,0.204
4180959,2570.0,1678.0,4181.0,0.948,0.235,-0.06,0.205
4180975,1816.0,2686.0,6989.0,0.948,0.238,-0.055,0.206
4181001,2290.0,2674.0,7293.0,0.947,0.24,-0.051,0.207
4181017,1800.0,2580.0,6497.0,0.946,0.243,-0.048,0.208
4181033,1326.0,3132.0,6231.0,0.946,0.245,-0.044,0.21
4181049,1780.0,3332.0,6915.0,0.945,0.246,-0.039,0.211
4181065,1452.0,4166.0,7173.0,0.945,0.245,-0.034,0.213
4181081,748.0,3446.0,7335.0,0.945,0.242,-0.029,0.216
4181107,-76.0,2272.0,7611.0,0.946,0.238,-0.025,0.22
4181123,-816.0,2354.0,8509.0,0.946,0.234,-0.021,0.224
4181139,712.0,2302.0,8539.0,0.946,0.232,-0.016,0.228
4181155,208.0,1450.0,7529.0,0.944,0.233,-0.01,0.233
4181171,-794.0,2784.0,7577.0,0.943,0.235,-0.003,0.237
4181187,-428.0,3042.0,7841.0,0.942,0.236,0.003,0.241
4181213,-1208.0,2988.0,7587.0,0.941,0.235,0.008,0.244
4181229,-1002.0,2730.0,7193.0,0.94,0.235,0.01,0.247
4181245,-814.0,3318.0,7327.0,0.939,0.235,0.012,0.25
4181262,24.0,3684.0,7267.0,0.939,0.233,0.012,0.251
4181278,-40.0,3190.0,7641.0,0.94,0.231,0.013,0.252
4181294,122.0,2704.0,8105.0,0.94,0.23,0.014,0.251
4181310,-160.0,2888.0,8327.0,0.94,0.23,0.015,0.25
4181336,54.0,3074.0,8153.0,0.941,0.231,0.016,0.248
4181352,34.0,3686.0,7891.0,0.941,0.232,0.018,0.246
4181368,616.0,4604.0,7681.0,0.942,0.231,0.018,0.243
4181384,264.0,4038.0,7767.0,0.943,0.227,0.019,0.241
4181400,32.0,2790.0,8095.0,0.945,0.222,0.02,0.239
4181426,152.0,2210.0,8109.0,0.946,0.22,0.021,0.237
4181442,-90.0,-208.0,9519.0,0.946,0.22,0.024,0.235
4181458,546.0,2936.0,7895.0,0.946,0.221,0.027,0.234
4181474,284.0,5270.0,7619.0,0.947,0.217,0.03,0.234
4181491,302.0,5322.0,7977.0,0.95,0.204,0.031,0.235
4181507,-264.0,2608.0,7717.0,0.953,0.185,0.03,0.237
4181533,-270.0,474.0,7423.0,0.956,0.17,0.031,0.239
4181549,-554.0,1770.0,6907.0,0.957,0.159,0.032,0.239
4181566,-628.0,2340.0,6995.0,0.959,0.148,0.033,0.239
4181582,-1032.0,2216.0,7293.0,0.961,0.137,0.032,0.24
4181598,-68.0,562.0,7061.0,0.962,0.126,0.03,0.24
4181614,-762.0,-596.0,6495.0,0.963,0.118,0.027,0.24
4181631,-1180.0,1992.0,6733.0,0.964,0.113,0.024,0.24
4181647,-96.0,-318.0,6999.0,0.965,0.108,0.02,0.239
4181664,-70.0,1100.0,7929.0,0.965,0.106,0.016,0.238
4181690,1300.0,1898.0,8113.0,0.966,0.103,0.012,0.236
4181706,862.0,2030.0,8219.0,0.967,0.101,0.009,0.234
4181722,320.0,520.0,7909.0,0.967,0.102,0.006,0.231
4181738,572.0,2896.0,7733.0,0.968,0.103,0.003,0.228
4181754,798.0,2266.0,8475.0,0.969,0.101,-0.001,0.225
4181771,1204.0,1186.0,9237.0,0.97,0.099,-0.004,0.222
4181797,1688.0,1014.0,9007.0,0.971,0.097,-0.004,0.218
4181813,1300.0,1054.0,9405.0,0.972,0.094,-0.003,0.216
4181830,424.0,-1202.0,9201.0,0.972,0.094,0.0,0.215
4181846,130.0,-842.0,8913.0,0.971,0.098,0.005,0.217
4181862,-142.0,-70.0,8669.0,0.97,0.105,0.009,0.218
4181879,514.0,424.0,7991.0,0.968,0.116,0.016,0.22
4181895,480.0,990.0,7807.0,0.966,0.128,0.025,0.222
4181922,-52.0,3512.0,7693.0,0.964,0.14,0.034,0.223
4181938,-720.0,3850.0,7583.0,0.962,0.147,0.043,0.224
4181954,-812.0,2022.0,8143.0,0.961,0.153,0.05,0.226
4181971,-142.0,3850.0,7553.0,0.959,0.16,0.059,0.227
4181987,-868.0,3440.0,7735.0,0.957,0.164,0.067,0.228
4182003,-1742.0,1050.0,7147.0,0.955,0.169,0.074,0.231
4182019,-1122.0,2168.0,6999.0,0.953,0.176,0.08,0.233
4182045,-1256.0,2462.0,7071.0,0.951,0.182,0.084,0.234
4182061,-626.0,4020.0,7407.0,0.95,0.187,0.088,0.235
4182078,-626.0,4542.0,7961.0,0.949,0.189,0.091,0.236
4182095,-1286.0,3456.0,8221.0,0.949,0.189,0.094,0.236
4182111,-1464.0,2414.0,8195.0,0.948,0.19,0.096,0.236
4182128,-1698.0,3042.0,7345.0,0.947,0.193,0.099,0.236
4182145,-992.0,3272.0,7387.0,0.946,0.197,0.102,0.236
4182161,-1230.0,2532.0,8055.0,0.945,0.203,0.108,0.233
4182187,-1344.0,2614.0,8197.0,0.943,0.214,0.115,0.229
4182203,-1536.0,3300.0,8045.0,0.94,0.227,0.123,0.224
4182219,-1358.0,3802.0,7937.0,0.936,0.243,0.132,0.219
4182235,-1120.0,3504.0,7721.0,0.931,0.261,0.143,0.211
4182252,-1740.0,3948.0,7869.0,0.924,0.282,0.157,0.203
4182268,-2136.0,4136.0,7513.0,0.917,0.304,0.172,0.195
4182285,-2384.0,4294.0,6569.0,0.908,0.327,0.189,0.185
