timestamp,ax,ay,az,q0,q1,q2,q3
1275170,2800.0,4768.0,6212.0,0.748,0.355,-0.017,0.56
1275196,2770.0,5120.0,6094.0,0.746,0.352,-0.015,0.565
1275212,2872.0,5284.0,6264.0,0.744,0.347,-0.015,0.571
1275228,2736.0,5508.0,6256.0,0.742,0.341,-0.016,0.576
1275244,2930.0,5140.0,6594.0,0.741,0.335,-0.018,0.582
1275260,2932.0,4698.0,6924.0,0.741,0.328,-0.021,0.586
1275286,3156.0,4438.0,7108.0,0.741,0.321,-0.024,0.59
1275302,3416.0,4498.0,7186.0,0.741,0.315,-0.028,0.593
1275318,3556.0,4430.0,7058.0,0.741,0.31,-0.031,0.595
1275334,3632.0,4264.0,7066.0,0.742,0.304,-0.034,0.596
1275350,3642.0,4086.0,6952.0,0.744,0.3,-0.037,0.596
1275367,3562.0,3930.0,6820.0,0.746,0.295,-0.039,0.596
1275383,3582.0,3476.0,6786.0,0.749,0.291,-0.041,0.594
1275409,3658.0,3054.0,6854.0,0.752,0.287,-0.043,0.592
1275426,3502.0,2556.0,6692.0,0.755,0.285,-0.043,0.589
1275443,3340.0,2314.0,6660.0,0.759,0.283,-0.042,0.585
1275459,3178.0,2794.0,6732.0,0.763,0.281,-0.04,0.581
1275475,3034.0,2576.0,6700.0,0.767,0.28,-0.038,0.577
1275492,2852.0,1598.0,6666.0,0.77,0.279,-0.036,0.572
1275509,2636.0,-656.0,8324.0,0.773,0.281,-0.031,0.569
1275525,2270.0,2962.0,6612.0,0.772,0.288,-0.023,0.567
1275551,2816.0,3274.0,6708.0,0.771,0.292,-0.019,0.565
1275567,2434.0,2556.0,6772.0,0.77,0.296,-0.014,0.565
1275583,2448.0,2422.0,6760.0,0.769,0.3,-0.011,0.565
1275599,2126.0,2718.0,6684.0,0.767,0.304,-0.007,0.565
1275615,2460.0,2926.0,6352.0,0.764,0.309,-0.005,0.567
1275631,2286.0,3364.0,5864.0,0.761,0.313,-0.004,0.568
1275657,2336.0,3554.0,5494.0,0.759,0.317,-0.005,0.569
1275673,2612.0,3954.0,5420.0,0.756,0.32,-0.007,0.571
1275690,2750.0,4098.0,5588.0,0.754,0.323,-0.009,0.572
1275707,3546.0,2318.0,7268.0,0.751,0.328,-0.01,0.573
1275723,2790.0,5008.0,7038.0,0.748,0.333,-0.011,0.574
1275739,3478.0,5386.0,7520.0,0.746,0.337,-0.012,0.575
1275755,3542.0,5150.0,7980.0,0.744,0.339,-0.013,0.576
1275772,3772.0,4320.0,7600.0,0.742,0.339,-0.014,0.578
1275798,3766.0,3898.0,6782.0,0.74,0.34,-0.016,0.58
1275814,3710.0,3982.0,6042.0,0.738,0.341,-0.017,0.583
1275830,3796.0,3876.0,5866.0,0.735,0.34,-0.018,0.586
1275846,3824.0,3966.0,6026.0,0.734,0.339,-0.019,0.588
1275862,3762.0,3752.0,6360.0,0.733,0.337,-0.021,0.591
1275878,3610.0,3832.0,6696.0,0.732,0.334,-0.022,0.593
1275904,3490.0,3800.0,6962.0,0.732,0.331,-0.023,0.595
1275920,3526.0,3706.0,7048.0,0.732,0.327,-0.024,0.597
1275936,3576.0,3554.0,7076.0,0.732,0.324,-0.025,0.599
1275952,3420.0,3418.0,6972.0,0.731,0.322,-0.026,0.601
1275968,3120.0,3138.0,6742.0,0.73,0.32,-0.025,0.603
1275984,3018.0,3304.0,6544.0,0.729,0.319,-0.024,0.605
1276010,2960.0,3636.0,6458.0,0.727,0.32,-0.023,0.607
1276026,2920.0,4310.0,6368.0,0.725,0.321,-0.021,0.609
1276043,2934.0,4610.0,6326.0,0.723,0.323,-0.02,0.611
1276060,2974.0,4476.0,6510.0,0.721,0.323,-0.019,0.612
1276076,3158.0,4456.0,6392.0,0.72,0.324,-0.019,0.613
1276092,3126.0,5092.0,6580.0,0.719,0.324,-0.02,0.615
1276108,3316.0,4756.0,7018.0,0.718,0.324,-0.023,0.616
1276134,3434.0,3616.0,7392.0,0.717,0.324,-0.025,0.616
1276150,3602.0,3540.0,6918.0,0.716,0.325,-0.026,0.617
1276166,3810.0,4116.0,6570.0,0.715,0.327,-0.026,0.617
1276182,3898.0,4430.0,6526.0,0.714,0.329,-0.027,0.617
1276198,3886.0,4174.0,6334.0,0.714,0.33,-0.028,0.617
1276214,4198.0,4640.0,6212.0,0.714,0.33,-0.03,0.616
1276240,4202.0,4394.0,6254.0,0.715,0.329,-0.032,0.615
1276257,4130.0,4266.0,6178.0,0.717,0.327,-0.035,0.614
1276273,4024.0,4116.0,6166.0,0.72,0.324,-0.037,0.613
1276289,4016.0,3812.0,6354.0,0.723,0.321,-0.04,0.611
1276305,3916.0,3572.0,6500.0,0.726,0.317,-0.042,0.609
1276321,3782.0,3514.0,6620.0,0.73,0.313,-0.044,0.606
1276347,3758.0,3414.0,6820.0,0.734,0.309,-0.045,0.603
1276363,3726.0,3194.0,7084.0,0.738,0.304,-0.046,0.601
1276379,3674.0,3132.0,7264.0,0.741,0.301,-0.046,0.598
1276395,3430.0,2938.0,7090.0,0.745,0.297,-0.046,0.595
1276411,3342.0,2734.0,6816.0,0.748,0.295,-0.046,0.593
1276427,3166.0,2588.0,6686.0,0.752,0.292,-0.045,0.59
1276453,3024.0,2652.0,6710.0,0.755,0.29,-0.044,0.587
1276469,2936.0,2808.0,6858.0,0.758,0.288,-0.044,0.584
