timestamp,ax,ay,az,q0,q1,q2,q3
7688301,8019.0,2113.0,686.0,0.359,0.66,-0.252,0.61
7688317,7715.0,1903.0,790.0,0.359,0.659,-0.256,0.61
7688333,7829.0,2289.0,902.0,0.359,0.658,-0.259,0.609
7688349,8139.0,2027.0,742.0,0.359,0.657,-0.263,0.608
7688365,8005.0,2025.0,702.0,0.359,0.656,-0.267,0.608
7688391,8089.0,2141.0,688.0,0.36,0.655,-0.271,0.607
7688407,8107.0,1835.0,760.0,0.361,0.653,-0.274,0.607
7688423,8323.0,1983.0,764.0,0.362,0.652,-0.277,0.606
7688439,8107.0,1905.0,752.0,0.363,0.65,-0.28,0.606
7688455,8281.0,2099.0,736.0,0.364,0.649,-0.282,0.605
7688481,8067.0,1969.0,792.0,0.365,0.648,-0.285,0.605
7688497,8155.0,1857.0,748.0,0.366,0.647,-0.286,0.605
7688513,8057.0,2039.0,684.0,0.367,0.646,-0.288,0.604
7688529,8025.0,1817.0,740.0,0.368,0.645,-0.289,0.604
7688545,8161.0,1975.0,658.0,0.368,0.644,-0.29,0.605
7688561,7933.0,2235.0,638.0,0.369,0.643,-0.29,0.605
7688577,7903.0,2195.0,704.0,0.37,0.642,-0.291,0.605
7688603,8031.0,1763.0,644.0,0.371,0.641,-0.291,0.606
7688619,8003.0,1979.0,614.0,0.371,0.64,-0.292,0.606
7688635,8023.0,2233.0,520.0,0.371,0.64,-0.291,0.607
7688651,7969.0,1901.0,610.0,0.372,0.639,-0.291,0.608
7688667,8025.0,1943.0,656.0,0.372,0.638,-0.291,0.608
7688683,7799.0,1515.0,682.0,0.372,0.637,-0.291,0.609
7688709,7919.0,1429.0,854.0,0.372,0.637,-0.289,0.61
7688726,8223.0,2097.0,498.0,0.372,0.637,-0.288,0.61
7688743,8081.0,1841.0,456.0,0.372,0.637,-0.287,0.611
7688759,8101.0,1683.0,516.0,0.372,0.637,-0.285,0.612
7688775,8005.0,1665.0,690.0,0.372,0.638,-0.282,0.613
7688791,8083.0,1903.0,580.0,0.372,0.638,-0.28,0.613
7688808,8119.0,1889.0,458.0,0.372,0.639,-0.277,0.613
7688834,8107.0,1883.0,400.0,0.372,0.64,-0.274,0.614
7688850,8063.0,1777.0,488.0,0.372,0.641,-0.272,0.614
7688867,7921.0,1937.0,516.0,0.372,0.642,-0.269,0.614
7688883,7983.0,1945.0,518.0,0.372,0.643,-0.266,0.614
