timestamp,ax,ay,az,q0,q1,q2,q3
716145,3462.0,5524.0,5634.0,0.633,0.398,0.114,0.653
716162,3516.0,5436.0,5622.0,0.634,0.397,0.112,0.654
716178,3534.0,5388.0,5594.0,0.635,0.394,0.11,0.655
716194,3540.0,5234.0,5668.0,0.637,0.391,0.107,0.655
716220,3434.0,5022.0,5680.0,0.638,0.388,0.104,0.657
716236,3414.0,4834.0,5704.0,0.64,0.384,0.101,0.658
716253,3270.0,4736.0,5772.0,0.642,0.38,0.097,0.659
716269,3246.0,4640.0,5728.0,0.643,0.377,0.093,0.66
716285,3220.0,4510.0,5850.0,0.644,0.373,0.09,0.662
716301,3118.0,4560.0,5814.0,0.645,0.371,0.087,0.662
716318,3108.0,4536.0,5846.0,0.646,0.369,0.084,0.663
716344,3030.0,4382.0,5906.0,0.646,0.368,0.083,0.664
716360,3026.0,4466.0,5760.0,0.646,0.367,0.083,0.664
716376,2900.0,4748.0,5624.0,0.645,0.368,0.084,0.664
716393,2804.0,4846.0,5714.0,0.644,0.37,0.086,0.664
716409,2726.0,5030.0,5886.0,0.643,0.373,0.088,0.664
716425,2764.0,5238.0,5956.0,0.641,0.376,0.092,0.663
716441,2842.0,5358.0,5902.0,0.639,0.38,0.096,0.662
716467,2974.0,5414.0,5914.0,0.637,0.384,0.101,0.661
716483,3092.0,5428.0,5974.0,0.635,0.388,0.106,0.66
716499,3140.0,5610.0,5948.0,0.633,0.39,0.11,0.659
716515,3080.0,5570.0,5884.0,0.631,0.392,0.114,0.659
716531,3048.0,5270.0,5748.0,0.629,0.394,0.118,0.66
716547,3134.0,5160.0,5588.0,0.628,0.394,0.121,0.66
716573,3276.0,5292.0,5458.0,0.626,0.395,0.123,0.661
716589,3350.0,5738.0,5294.0,0.625,0.395,0.125,0.662
716605,3378.0,6030.0,5154.0,0.625,0.394,0.126,0.663
716622,3196.0,5834.0,5106.0,0.625,0.392,0.125,0.663
716638,3154.0,5362.0,5082.0,0.626,0.389,0.122,0.664
716654,3034.0,5080.0,5232.0,0.628,0.387,0.12,0.665
