timestamp,ax,ay,az,q0,q1,q2,q3
3547293,-1082.0,7642.0,1685.0,0.7,0.596,0.284,0.273
3547309,-1330.0,6946.0,1015.0,0.697,0.595,0.291,0.276
3547325,-1262.0,6960.0,1091.0,0.692,0.595,0.299,0.279
3547341,-1280.0,6996.0,1055.0,0.686,0.596,0.308,0.283
3547358,-1306.0,7578.0,1141.0,0.679,0.598,0.316,0.285
3547384,-1526.0,8368.0,1263.0,0.672,0.6,0.324,0.288
3547400,-1588.0,8732.0,1147.0,0.666,0.602,0.33,0.291
3547416,-1700.0,8804.0,1141.0,0.66,0.604,0.336,0.294
3547432,-1746.0,8990.0,963.0,0.656,0.606,0.339,0.296
3547448,-1510.0,9630.0,643.0,0.652,0.607,0.341,0.299
3547464,-1486.0,9312.0,855.0,0.651,0.607,0.341,0.301
3547490,-1704.0,7886.0,1295.0,0.651,0.607,0.339,0.303
3547506,-840.0,7666.0,737.0,0.651,0.608,0.338,0.303
3547523,-454.0,7414.0,343.0,0.651,0.61,0.336,0.302
3547540,-264.0,8462.0,351.0,0.651,0.611,0.336,0.3
3547556,-552.0,8280.0,453.0,0.651,0.612,0.334,0.299
3547573,-532.0,8152.0,417.0,0.652,0.613,0.333,0.297
3547590,-404.0,8060.0,305.0,0.652,0.614,0.332,0.295
3547606,-510.0,7308.0,337.0,0.652,0.615,0.333,0.293
3547622,-552.0,8236.0,109.0,0.652,0.616,0.335,0.29
3547649,-644.0,8412.0,151.0,0.652,0.615,0.337,0.288
3547665,-716.0,7992.0,243.0,0.652,0.615,0.339,0.287
3547681,-1184.0,8026.0,605.0,0.652,0.613,0.341,0.286
3547697,-1330.0,7926.0,481.0,0.653,0.612,0.344,0.284
3547713,-1556.0,7972.0,529.0,0.653,0.611,0.347,0.283
3547729,-1552.0,7928.0,473.0,0.653,0.61,0.35,0.282
3547755,-1358.0,8270.0,75.0,0.652,0.609,0.353,0.281
3547771,-1598.0,7922.0,227.0,0.652,0.608,0.356,0.281
3547787,-1742.0,7782.0,435.0,0.651,0.607,0.359,0.281
3547803,-1802.0,7676.0,437.0,0.65,0.606,0.362,0.28
3547819,-1900.0,7576.0,301.0,0.649,0.606,0.365,0.279
3547836,-2032.0,7562.0,345.0,0.647,0.606,0.369,0.278
3547852,-2138.0,8002.0,193.0,0.645,0.607,0.372,0.277
3547879,-2296.0,8350.0,283.0,0.644,0.607,0.375,0.277
3547895,-2348.0,8116.0,225.0,0.643,0.607,0.378,0.276
3547911,-2336.0,8090.0,27.0,0.641,0.607,0.38,0.276
3547927,-2174.0,8062.0,-93.0,0.639,0.608,0.382,0.276
3547943,-1606.0,7812.0,-513.0,0.636,0.609,0.385,0.275
3547960,-1922.0,7520.0,-719.0,0.632,0.611,0.389,0.275
3547976,-1404.0,7686.0,-1265.0,0.627,0.613,0.395,0.273
3548002,-2076.0,8532.0,-613.0,0.62,0.616,0.402,0.272
3548018,-2672.0,10608.0,31.0,0.614,0.619,0.407,0.27
3548034,-1102.0,8964.0,-1177.0,0.612,0.62,0.411,0.269
3548051,-826.0,6932.0,-867.0,0.608,0.621,0.417,0.266
3548067,-1730.0,9686.0,-707.0,0.605,0.622,0.423,0.261
3548084,-2190.0,9504.0,-675.0,0.604,0.622,0.428,0.257
3548100,-2454.0,8306.0,-449.0,0.605,0.62,0.431,0.253
3548126,-2098.0,7164.0,-1335.0,0.608,0.617,0.434,0.249
3548142,-2088.0,6278.0,-1369.0,0.608,0.615,0.439,0.244
3548159,-2054.0,7106.0,-1749.0,0.607,0.614,0.444,0.239
3548176,-2268.0,6174.0,-1413.0,0.605,0.615,0.449,0.235
3548192,-2450.0,6332.0,-1635.0,0.601,0.616,0.454,0.23
3548208,-3222.0,6360.0,-1023.0,0.597,0.619,0.458,0.225
3548225,-3366.0,5542.0,-871.0,0.594,0.622,0.459,0.222
3548241,-3298.0,4914.0,-665.0,0.591,0.626,0.458,0.219
3548267,-2824.0,4794.0,-1125.0,0.587,0.632,0.456,0.217
3548284,-2680.0,5884.0,-1133.0,0.583,0.638,0.454,0.216
3548301,-2604.0,7320.0,-1091.0,0.58,0.642,0.452,0.217
3548318,-2832.0,8010.0,-787.0,0.579,0.645,0.449,0.22
3548334,-3672.0,9434.0,-575.0,0.578,0.646,0.446,0.223
3548350,-5002.0,12194.0,-1149.0,0.577,0.646,0.447,0.224
3548366,-4542.0,12684.0,-1489.0,0.578,0.644,0.448,0.225
3548392,-3516.0,9016.0,-1675.0,0.581,0.641,0.447,0.228
3548408,-2944.0,6196.0,-1981.0,0.583,0.64,0.445,0.23
3548425,-2676.0,5684.0,-2243.0,0.585,0.64,0.442,0.232
3548441,-2478.0,5738.0,-1623.0,0.586,0.642,0.437,0.233
3548458,-2690.0,6744.0,-891.0,0.587,0.644,0.43,0.235
3548474,-2436.0,7638.0,-1409.0,0.588,0.647,0.423,0.236
3548490,-2132.0,9442.0,-1517.0,0.589,0.65,0.417,0.237
3548517,-2368.0,9478.0,-1801.0,0.592,0.652,0.41,0.24
3548533,-2112.0,8364.0,-1711.0,0.594,0.652,0.404,0.242
3548550,-1960.0,7748.0,-1697.0,0.596,0.653,0.399,0.243
3548566,-1650.0,7728.0,-2033.0,0.598,0.654,0.394,0.244
3548583,-1108.0,7490.0,-2079.0,0.6,0.655,0.389,0.244
3548600,-1268.0,7028.0,-1865.0,0.603,0.655,0.385,0.245
3548617,-1320.0,7256.0,-1631.0,0.605,0.655,0.382,0.245
3548633,-1496.0,7682.0,-1369.0,0.607,0.654,0.379,0.244
3548650,-1458.0,7978.0,-1551.0,0.61,0.653,0.378,0.243
3548667,-1374.0,7990.0,-1563.0,0.613,0.651,0.377,0.242
3548693,-1576.0,7900.0,-1437.0,0.615,0.649,0.378,0.241
3548709,-1670.0,7812.0,-1235.0,0.617,0.647,0.379,0.24
3548726,-1800.0,7960.0,-1009.0,0.619,0.645,0.379,0.239
3548742,-1840.0,8062.0,-727.0,0.622,0.642,0.38,0.238
3548758,-1812.0,7996.0,-455.0,0.625,0.639,0.38,0.237
3548775,-1842.0,7230.0,-411.0,0.628,0.636,0.381,0.237
3548793,-1948.0,6738.0,-49.0,0.63,0.634,0.382,0.237
3548810,-2400.0,7582.0,165.0,0.631,0.632,0.384,0.236
3548826,-2352.0,9402.0,319.0,0.632,0.63,0.385,0.235
3548852,-2180.0,8750.0,153.0,0.636,0.626,0.385,0.235
3548868,-1984.0,7400.0,67.0,0.639,0.622,0.386,0.237
3548884,-1972.0,6774.0,-87.0,0.64,0.62,0.388,0.238
3548901,-1992.0,6868.0,-51.0,0.639,0.618,0.391,0.238
3548918,-2118.0,7294.0,-3.0,0.637,0.618,0.394,0.238
3548935,-2264.0,8228.0,-183.0,0.636,0.617,0.398,0.238
3548951,-2476.0,8228.0,119.0,0.635,0.617,0.4,0.239
3548967,-2604.0,8132.0,113.0,0.633,0.616,0.402,0.24
3548993,-2490.0,8680.0,-263.0,0.633,0.616,0.403,0.241
3549010,-2566.0,8662.0,-9.0,0.633,0.615,0.403,0.243
3549026,-2466.0,7686.0,-427.0,0.633,0.614,0.402,0.245
3549042,-2228.0,7898.0,-635.0,0.633,0.614,0.401,0.247
3549059,-2496.0,8384.0,-499.0,0.635,0.614,0.398,0.248
3549076,-2608.0,8614.0,15.0,0.637,0.614,0.394,0.249
3549092,-2296.0,8218.0,-545.0,0.641,0.614,0.388,0.249
3549109,-1956.0,7910.0,-731.0,0.645,0.613,0.382,0.249
3549136,-1954.0,7916.0,-485.0,0.65,0.613,0.375,0.248
3549153,-1880.0,7928.0,-429.0,0.654,0.613,0.368,0.247
3549170,-1782.0,7488.0,-321.0,0.659,0.613,0.361,0.245
3549187,-1674.0,7272.0,-147.0,0.662,0.614,0.355,0.242
3549204,-1600.0,7324.0,127.0,0.665,0.615,0.35,0.239
3549220,-1456.0,7722.0,331.0,0.668,0.616,0.345,0.236
3549239,-1446.0,8438.0,89.0,0.67,0.616,0.342,0.234
3549255,-1428.0,7806.0,195.0,0.673,0.614,0.34,0.233
3549271,-1504.0,6970.0,171.0,0.675,0.613,0.339,0.233
3549287,-1510.0,6964.0,407.0,0.675,0.612,0.34,0.232
3549303,-1688.0,7456.0,533.0,0.674,0.612,0.342,0.232
3549329,-1762.0,7888.0,465.0,0.673,0.612,0.345,0.231
3549345,-1794.0,8250.0,291.0,0.671,0.612,0.349,0.232
3549361,-1762.0,8066.0,197.0,0.669,0.611,0.354,0.233
3549377,-1824.0,7856.0,259.0,0.666,0.61,0.359,0.235
