timestamp,ax,ay,az,q0,q1,q2,q3
3904430,3346.0,5908.0,4602.0,0.773,0.467,-0.004,0.428
3904446,3328.0,5876.0,4610.0,0.773,0.467,-0.004,0.428
3904462,3342.0,5868.0,4578.0,0.773,0.467,-0.004,0.428
3904488,3368.0,5862.0,4620.0,0.773,0.467,-0.004,0.428
3904504,3328.0,5922.0,4584.0,0.773,0.467,-0.004,0.428
3904521,3304.0,5976.0,4598.0,0.773,0.467,-0.004,0.428
3904537,3358.0,5956.0,4546.0,0.773,0.467,-0.004,0.428
3904553,3318.0,5928.0,4606.0,0.773,0.467,-0.004,0.428
3904569,3364.0,5918.0,4602.0,0.773,0.467,-0.004,0.429
3904586,3318.0,5966.0,4614.0,0.773,0.467,-0.004,0.429
3904612,3306.0,5996.0,4608.0,0.773,0.468,-0.004,0.428
3904628,3284.0,5874.0,4622.0,0.773,0.467,-0.004,0.428
3904645,3318.0,5916.0,4610.0,0.773,0.467,-0.004,0.428
3904661,3358.0,5900.0,4610.0,0.773,0.467,-0.004,0.428
3904678,3344.0,5888.0,4626.0,0.773,0.467,-0.004,0.428
3904694,3380.0,5924.0,4652.0,0.773,0.467,-0.004,0.428
3904710,3338.0,5918.0,4574.0,0.773,0.468,-0.004,0.428
3904727,3336.0,5922.0,4574.0,0.773,0.468,-0.004,0.428
3904744,3344.0,5986.0,4584.0,0.773,0.468,-0.004,0.428
3904770,3352.0,5970.0,4610.0,0.773,0.468,-0.004,0.428
3904787,3338.0,5930.0,4604.0,0.773,0.468,-0.004,0.428
3904803,3318.0,5910.0,4558.0,0.773,0.468,-0.004,0.428
3904819,3318.0,5922.0,4602.0,0.773,0.468,-0.004,0.428
3904835,3348.0,5966.0,4604.0,0.773,0.468,-0.004,0.428
3904851,3316.0,5936.0,4602.0,0.773,0.468,-0.004,0.428
3904877,3356.0,5928.0,4634.0,0.773,0.468,-0.004,0.428
3904893,3362.0,5936.0,4558.0,0.773,0.468,-0.004,0.428
3904910,3370.0,5896.0,4610.0,0.773,0.468,-0.004,0.428
3904927,3312.0,5874.0,4616.0,0.773,0.468,-0.004,0.428
3904943,3400.0,5920.0,4596.0,0.773,0.468,-0.004,0.428
3904960,3308.0,5932.0,4590.0,0.773,0.468,-0.004,0.428
3904976,3338.0,5914.0,4620.0,0.773,0.468,-0.004,0.428
3904992,3324.0,5946.0,4624.0,0.773,0.468,-0.004,0.428
3905018,3340.0,5958.0,4582.0,0.773,0.468,-0.004,0.428
3905034,3352.0,5936.0,4598.0,0.773,0.468,-0.004,0.428
3905051,3344.0,5964.0,4636.0,0.773,0.468,-0.004,0.428
3905067,3342.0,5914.0,4586.0,0.773,0.468,-0.004,0.428
3905083,3306.0,5884.0,4564.0,0.773,0.468,-0.004,0.428
3905099,3302.0,5920.0,4634.0,0.773,0.468,-0.003,0.428
3905125,3260.0,5926.0,4632.0,0.773,0.468,-0.003,0.428
3905141,3312.0,5936.0,4584.0,0.773,0.468,-0.003,0.428
3905157,3294.0,5974.0,4566.0,0.773,0.469,-0.003,0.428
3905173,3310.0,5962.0,4558.0,0.773,0.469,-0.003,0.428
3905189,3312.0,5912.0,4602.0,0.773,0.469,-0.002,0.428
3905205,3304.0,5986.0,4564.0,0.773,0.469,-0.002,0.428
3905231,3334.0,6026.0,4554.0,0.773,0.469,-0.002,0.428
3905247,3348.0,5956.0,4572.0,0.773,0.469,-0.002,0.428
3905263,3316.0,5930.0,4624.0,0.773,0.469,-0.002,0.428
3905279,3330.0,6020.0,4602.0,0.773,0.47,-0.002,0.428
3905295,3278.0,6012.0,4580.0,0.773,0.47,-0.002,0.427
3905311,3238.0,6046.0,4602.0,0.773,0.47,-0.002,0.427
3905328,3220.0,6022.0,4596.0,0.773,0.47,-0.002,0.427
3905355,3272.0,5996.0,4544.0,0.773,0.47,-0.002,0.427
3905371,3316.0,5982.0,4564.0,0.773,0.47,-0.002,0.427
3905388,3392.0,5950.0,4590.0,0.773,0.469,-0.003,0.427
3905404,3424.0,5906.0,4566.0,0.773,0.469,-0.003,0.427
3905420,3390.0,5888.0,4644.0,0.773,0.469,-0.003,0.427
3905436,3358.0,5898.0,4594.0,0.773,0.469,-0.003,0.427
3905452,3386.0,5820.0,4570.0,0.773,0.469,-0.004,0.427
3905478,3360.0,5832.0,4610.0,0.773,0.469,-0.004,0.428
3905495,3324.0,5784.0,4624.0,0.773,0.469,-0.004,0.428
3905511,3344.0,5750.0,4556.0,0.772,0.469,-0.004,0.428
3905528,3376.0,5744.0,4604.0,0.772,0.469,-0.003,0.429
3905544,3442.0,5768.0,4588.0,0.772,0.469,-0.002,0.43
3905560,3526.0,5884.0,4604.0,0.771,0.469,-0.002,0.43
3905576,3484.0,6052.0,4544.0,0.77,0.47,-0.001,0.431
3905602,3458.0,6146.0,4482.0,0.77,0.471,0.001,0.431
3905618,3410.0,6270.0,4476.0,0.769,0.471,0.002,0.431
