timestamp,ax,ay,az,q0,q1,q2,q3
2873881,3729.0,2577.0,6582.0,0.924,0.229,-0.223,0.21
2873898,3761.0,2661.0,6558.0,0.924,0.23,-0.223,0.21
2873915,3721.0,2673.0,6622.0,0.924,0.23,-0.222,0.211
2873931,3671.0,2689.0,6644.0,0.924,0.231,-0.222,0.211
2873958,3733.0,2663.0,6618.0,0.923,0.231,-0.221,0.212
2873974,3601.0,2739.0,6660.0,0.923,0.231,-0.221,0.212
2873990,3607.0,2647.0,6732.0,0.923,0.231,-0.221,0.213
2874006,3563.0,2673.0,6698.0,0.923,0.232,-0.221,0.213
2874022,3565.0,2695.0,6742.0,0.923,0.232,-0.221,0.214
2874038,3693.0,2627.0,6682.0,0.923,0.233,-0.221,0.214
2874064,3729.0,2665.0,6534.0,0.922,0.233,-0.221,0.214
2874081,3795.0,2703.0,6500.0,0.922,0.233,-0.221,0.214
2874097,3755.0,2653.0,6542.0,0.922,0.233,-0.221,0.214
2874113,3761.0,2637.0,6586.0,0.923,0.233,-0.221,0.215
2874130,3747.0,2585.0,6602.0,0.923,0.233,-0.22,0.215
2874146,3721.0,2623.0,6670.0,0.923,0.233,-0.22,0.215
2874163,3743.0,2581.0,6666.0,0.923,0.232,-0.22,0.215
2874179,3749.0,2549.0,6630.0,0.922,0.232,-0.22,0.216
2874206,3769.0,2605.0,6644.0,0.922,0.232,-0.22,0.216
2874222,3761.0,2503.0,6656.0,0.922,0.232,-0.22,0.216
2874238,3741.0,2585.0,6638.0,0.922,0.232,-0.22,0.217
2874254,3795.0,2525.0,6614.0,0.922,0.232,-0.22,0.217
2874270,3847.0,2571.0,6598.0,0.922,0.232,-0.221,0.217
2874286,3867.0,2541.0,6624.0,0.922,0.231,-0.221,0.218
2874312,3877.0,2457.0,6664.0,0.922,0.231,-0.221,0.218
2874328,3867.0,2505.0,6598.0,0.922,0.231,-0.221,0.218
2874344,3887.0,2507.0,6628.0,0.922,0.231,-0.221,0.219
2874361,3879.0,2551.0,6666.0,0.922,0.231,-0.221,0.219
2874377,3833.0,2489.0,6666.0,0.922,0.231,-0.221,0.219
2874393,3851.0,2585.0,6660.0,0.922,0.231,-0.22,0.22
2874409,3809.0,2473.0,6612.0,0.922,0.231,-0.22,0.22
2874435,3827.0,2535.0,6588.0,0.922,0.231,-0.22,0.22
2874451,3729.0,2487.0,6618.0,0.922,0.232,-0.22,0.221
2874467,3689.0,2589.0,6558.0,0.922,0.232,-0.219,0.221
2874483,3735.0,2569.0,6624.0,0.922,0.232,-0.219,0.221
2874499,3725.0,2589.0,6618.0,0.922,0.232,-0.219,0.222
2874516,3711.0,2567.0,6658.0,0.922,0.232,-0.218,0.222
2874533,3667.0,2611.0,6664.0,0.922,0.232,-0.218,0.222
2874560,3667.0,2575.0,6648.0,0.921,0.232,-0.218,0.223
2874576,3715.0,2593.0,6686.0,0.921,0.232,-0.218,0.223
2874592,3757.0,2613.0,6650.0,0.921,0.232,-0.218,0.224
2874608,3755.0,2587.0,6558.0,0.921,0.231,-0.219,0.224
2874624,3819.0,2603.0,6620.0,0.921,0.231,-0.219,0.224
2874640,3833.0,2555.0,6622.0,0.921,0.231,-0.219,0.224
2874666,3797.0,2465.0,6656.0,0.921,0.231,-0.219,0.225
2874682,3795.0,2475.0,6652.0,0.921,0.231,-0.219,0.225
2874698,3813.0,2471.0,6642.0,0.921,0.231,-0.219,0.225
2874715,3787.0,2445.0,6618.0,0.921,0.231,-0.219,0.226
2874731,3815.0,2449.0,6650.0,0.921,0.23,-0.219,0.226
2874747,3833.0,2417.0,6588.0,0.921,0.23,-0.219,0.226
2874763,3887.0,2449.0,6588.0,0.921,0.231,-0.219,0.227
2874789,3883.0,2455.0,6680.0,0.92,0.231,-0.219,0.227
2874805,3895.0,2433.0,6630.0,0.92,0.231,-0.219,0.228
2874821,3911.0,2461.0,6508.0,0.92,0.231,-0.219,0.228
2874837,3849.0,2553.0,6544.0,0.92,0.231,-0.218,0.228
2874854,3749.0,2507.0,6616.0,0.92,0.231,-0.218,0.229
2874871,3705.0,2585.0,6616.0,0.92,0.231,-0.217,0.229
2874888,3685.0,2597.0,6650.0,0.92,0.231,-0.217,0.23
2874905,3671.0,2583.0,6720.0,0.92,0.231,-0.216,0.23
2874931,3655.0,2577.0,6678.0,0.92,0.231,-0.216,0.23
2874948,3681.0,2629.0,6648.0,0.92,0.231,-0.216,0.231
2874964,3693.0,2607.0,6634.0,0.92,0.231,-0.216,0.231
2874980,3731.0,2647.0,6660.0,0.92,0.231,-0.216,0.231
2874996,3815.0,2541.0,6794.0,0.92,0.231,-0.216,0.231
2875013,3823.0,2543.0,6754.0,0.92,0.231,-0.216,0.231
2875030,3841.0,2549.0,6608.0,0.92,0.231,-0.216,0.231
2875056,3849.0,2529.0,6602.0,0.92,0.232,-0.216,0.232
2875073,3863.0,2415.0,6560.0,0.92,0.232,-0.217,0.232
2875089,3925.0,2471.0,6496.0,0.919,0.232,-0.217,0.232
2875105,3919.0,2493.0,6428.0,0.919,0.232,-0.216,0.233
2875121,3895.0,2445.0,6534.0,0.919,0.231,-0.216,0.233
2875138,3869.0,2415.0,6656.0,0.92,0.231,-0.216,0.233
2875155,3767.0,2391.0,6692.0,0.92,0.231,-0.215,0.234
