timestamp,ax,ay,az,q0,q1,q2,q3
851191,2896.0,4524.0,6346.0,0.638,0.334,0.086,0.688
851207,2894.0,4486.0,6366.0,0.638,0.334,0.086,0.688
851223,2870.0,4462.0,6368.0,0.638,0.334,0.086,0.688
851249,2922.0,4492.0,6394.0,0.638,0.334,0.086,0.688
851265,2946.0,4540.0,6352.0,0.638,0.334,0.086,0.688
851281,2920.0,4500.0,6354.0,0.638,0.334,0.086,0.688
851297,2888.0,4558.0,6338.0,0.638,0.334,0.086,0.688
851313,2942.0,4536.0,6310.0,0.638,0.334,0.087,0.688
851339,2888.0,4510.0,6288.0,0.638,0.334,0.087,0.688
851355,2882.0,4548.0,6348.0,0.638,0.334,0.087,0.688
851371,2958.0,4544.0,6332.0,0.638,0.334,0.087,0.688
851387,2912.0,4532.0,6326.0,0.638,0.334,0.087,0.688
851403,2916.0,4574.0,6342.0,0.638,0.334,0.088,0.688
851419,2910.0,4548.0,6322.0,0.638,0.334,0.088,0.688
851445,2888.0,4560.0,6350.0,0.638,0.334,0.088,0.688
851461,2896.0,4590.0,6378.0,0.638,0.334,0.088,0.688
851477,2842.0,4556.0,6308.0,0.638,0.334,0.088,0.688
851493,2844.0,4604.0,6334.0,0.638,0.334,0.089,0.688
851509,2870.0,4572.0,6346.0,0.638,0.334,0.089,0.688
851525,2842.0,4544.0,6376.0,0.638,0.334,0.089,0.688
851551,2876.0,4540.0,6342.0,0.638,0.334,0.089,0.688
851567,2866.0,4560.0,6344.0,0.638,0.334,0.089,0.688
851583,2856.0,4552.0,6352.0,0.638,0.334,0.089,0.688
851599,2846.0,4510.0,6408.0,0.638,0.334,0.089,0.688
851615,2870.0,4552.0,6334.0,0.638,0.334,0.089,0.688
851632,2886.0,4598.0,6344.0,0.638,0.334,0.089,0.688
851648,2856.0,4568.0,6376.0,0.638,0.334,0.089,0.688
851674,2824.0,4536.0,6330.0,0.638,0.334,0.089,0.688
