timestamp,ax,ay,az,q0,q1,q2,q3
2319683,2482.0,3528.0,7252.0,0.895,0.322,-0.067,0.3
2319699,2150.0,3724.0,6524.0,0.896,0.322,-0.062,0.3
2319715,1932.0,4214.0,6142.0,0.896,0.322,-0.058,0.301
2319731,1938.0,4844.0,5992.0,0.896,0.321,-0.055,0.301
2319748,2106.0,4882.0,6316.0,0.897,0.319,-0.052,0.302
2319774,2428.0,4708.0,6294.0,0.898,0.315,-0.051,0.303
2319791,3056.0,4522.0,6084.0,0.899,0.312,-0.051,0.304
2319807,3354.0,4262.0,6238.0,0.899,0.31,-0.05,0.305
2319823,2970.0,3974.0,5634.0,0.9,0.309,-0.049,0.304
2319839,3026.0,-180.0,6794.0,0.899,0.312,-0.048,0.304
2319856,2022.0,1082.0,6182.0,0.895,0.323,-0.046,0.305
2319872,2202.0,4600.0,6030.0,0.89,0.335,-0.045,0.305
2319889,3062.0,7320.0,7560.0,0.887,0.344,-0.043,0.306
2319915,2644.0,9018.0,7188.0,0.885,0.349,-0.04,0.306
2319931,2318.0,7388.0,6492.0,0.886,0.347,-0.039,0.305
2319948,1568.0,4468.0,6254.0,0.886,0.345,-0.038,0.306
2319964,908.0,1986.0,5662.0,0.885,0.345,-0.039,0.31
2319980,980.0,1892.0,6488.0,0.883,0.347,-0.04,0.315
2319996,1336.0,2912.0,5744.0,0.878,0.353,-0.043,0.32
2320022,1634.0,4556.0,4338.0,0.873,0.361,-0.048,0.324
2320039,2002.0,5504.0,4678.0,0.868,0.371,-0.054,0.327
2320055,3306.0,6230.0,5774.0,0.863,0.378,-0.062,0.331
2320072,6066.0,10198.0,8416.0,0.86,0.382,-0.066,0.332
2320088,3390.0,9164.0,6612.0,0.861,0.381,-0.067,0.331
2320104,3118.0,5930.0,5784.0,0.863,0.375,-0.07,0.331
2320120,3136.0,4242.0,5482.0,0.865,0.369,-0.073,0.332
2320136,2876.0,4516.0,5456.0,0.867,0.363,-0.074,0.333
2320163,2600.0,4332.0,5584.0,0.869,0.358,-0.075,0.334
