timestamp,ax,ay,az,q0,q1,q2,q3
5303868,6204.0,3323.0,3996.0,0.836,0.327,-0.378,0.228
5303884,6300.0,3447.0,3934.0,0.835,0.327,-0.379,0.227
5303910,6300.0,3437.0,3988.0,0.835,0.327,-0.38,0.227
5303926,6330.0,3231.0,4000.0,0.835,0.326,-0.381,0.226
5303942,6400.0,3337.0,3980.0,0.835,0.326,-0.383,0.225
5303958,6412.0,3283.0,4000.0,0.835,0.325,-0.384,0.224
5303974,6492.0,3321.0,3960.0,0.835,0.324,-0.385,0.224
5303990,6568.0,3193.0,3936.0,0.835,0.324,-0.386,0.223
5304016,6476.0,3057.0,3984.0,0.835,0.323,-0.386,0.222
5304032,6458.0,3245.0,4006.0,0.835,0.323,-0.387,0.221
5304048,6498.0,3085.0,3994.0,0.835,0.322,-0.387,0.221
5304065,6420.0,3027.0,3982.0,0.835,0.322,-0.388,0.221
5304081,6420.0,3103.0,4020.0,0.835,0.322,-0.388,0.22
5304097,6474.0,2911.0,4048.0,0.835,0.322,-0.388,0.22
5304123,6464.0,2989.0,4072.0,0.835,0.322,-0.388,0.221
5304139,6468.0,3005.0,4052.0,0.835,0.322,-0.387,0.221
5304155,6504.0,2937.0,4092.0,0.835,0.322,-0.387,0.221
5304171,6494.0,3073.0,4060.0,0.835,0.322,-0.387,0.221
5304187,6454.0,3049.0,4066.0,0.835,0.322,-0.387,0.222
5304203,6468.0,3087.0,4036.0,0.835,0.322,-0.387,0.222
5304229,6396.0,3215.0,4012.0,0.835,0.322,-0.387,0.222
5304245,6370.0,3093.0,4076.0,0.835,0.322,-0.387,0.222
5304262,6332.0,3197.0,4058.0,0.835,0.322,-0.386,0.222
5304279,6362.0,3145.0,4064.0,0.835,0.322,-0.386,0.222
5304295,6358.0,3125.0,4012.0,0.835,0.322,-0.386,0.222
5304311,6376.0,3235.0,4000.0,0.835,0.322,-0.386,0.222
5304327,6396.0,3163.0,4050.0,0.835,0.322,-0.386,0.222
5304353,6406.0,3291.0,4000.0,0.835,0.322,-0.386,0.222
5304369,6392.0,3217.0,4048.0,0.835,0.322,-0.386,0.222
5304385,6344.0,3127.0,4060.0,0.835,0.322,-0.386,0.222
5304402,6400.0,3185.0,4038.0,0.836,0.321,-0.387,0.222
5304418,6376.0,3075.0,4060.0,0.836,0.321,-0.387,0.221
5304434,6364.0,3113.0,4020.0,0.836,0.321,-0.387,0.221
5304460,6372.0,2991.0,4046.0,0.836,0.32,-0.387,0.221
5304476,6408.0,3069.0,4076.0,0.836,0.32,-0.387,0.22
5304492,6332.0,3051.0,4132.0,0.836,0.32,-0.387,0.22
5304508,6376.0,2977.0,4200.0,0.836,0.32,-0.388,0.22
5304524,6392.0,2965.0,4244.0,0.836,0.32,-0.388,0.22
5304540,6226.0,3101.0,4164.0,0.835,0.321,-0.389,0.22
5304566,6282.0,3001.0,4172.0,0.835,0.321,-0.389,0.22
5304582,6588.0,2971.0,4008.0,0.834,0.321,-0.39,0.221
5304598,6518.0,2977.0,3910.0,0.834,0.321,-0.39,0.221
5304614,6530.0,3125.0,3898.0,0.834,0.321,-0.39,0.221
5304630,6486.0,3011.0,3828.0,0.834,0.322,-0.39,0.221
5304646,6502.0,3007.0,3850.0,0.834,0.322,-0.39,0.221
5304672,6448.0,2947.0,3878.0,0.834,0.322,-0.39,0.221
5304688,6438.0,2977.0,3926.0,0.834,0.322,-0.39,0.221
5304704,6420.0,3037.0,3994.0,0.834,0.322,-0.39,0.222
5304720,6478.0,3021.0,3948.0,0.834,0.322,-0.39,0.222
5304736,6480.0,3037.0,3964.0,0.833,0.322,-0.39,0.222
5304752,6452.0,3163.0,4034.0,0.833,0.322,-0.39,0.222
5304778,6498.0,3125.0,4000.0,0.833,0.322,-0.39,0.223
5304795,6486.0,3141.0,4054.0,0.833,0.322,-0.39,0.223
5304811,6438.0,3171.0,3982.0,0.833,0.322,-0.39,0.223
5304827,6422.0,3119.0,4046.0,0.833,0.322,-0.39,0.223
5304843,6432.0,3125.0,4042.0,0.833,0.322,-0.39,0.224
5304859,6364.0,3109.0,4028.0,0.833,0.322,-0.39,0.224
5304875,6354.0,3099.0,4042.0,0.833,0.322,-0.39,0.224
5304901,6376.0,3131.0,3994.0,0.833,0.322,-0.391,0.224
5304917,6428.0,3025.0,4026.0,0.833,0.322,-0.391,0.224
5304933,6470.0,3049.0,3940.0,0.833,0.321,-0.391,0.224
5304949,6482.0,3101.0,3912.0,0.833,0.321,-0.392,0.224
5304966,6554.0,3027.0,3916.0,0.833,0.321,-0.392,0.224
5304982,6472.0,3081.0,3942.0,0.833,0.32,-0.392,0.224
5305008,6500.0,2961.0,3958.0,0.833,0.32,-0.392,0.224
5305024,6514.0,2845.0,3948.0,0.833,0.319,-0.392,0.224
5305040,6486.0,2825.0,4026.0,0.833,0.319,-0.392,0.224
5305057,6434.0,2775.0,4028.0,0.834,0.318,-0.392,0.225
5305073,6420.0,2951.0,4048.0,0.834,0.318,-0.391,0.226
