timestamp,ax,ay,az,q0,q1,q2,q3
3489356,1563.0,2544.0,7576.0,0.957,0.173,-0.05,0.228
3489382,1563.0,2484.0,7604.0,0.957,0.173,-0.051,0.229
3489398,1515.0,2382.0,7562.0,0.957,0.173,-0.051,0.229
3489414,1525.0,2478.0,7592.0,0.957,0.173,-0.051,0.229
3489430,1485.0,2568.0,7578.0,0.957,0.173,-0.051,0.229
3489446,1461.0,2550.0,7638.0,0.957,0.173,-0.051,0.229
3489462,1431.0,2500.0,7732.0,0.957,0.173,-0.051,0.229
3489488,1359.0,2526.0,7722.0,0.957,0.173,-0.05,0.229
3489504,1337.0,2456.0,7608.0,0.957,0.173,-0.05,0.229
3489520,1247.0,2514.0,7588.0,0.957,0.173,-0.049,0.229
3489536,1191.0,2526.0,7554.0,0.957,0.173,-0.048,0.229
3489552,1219.0,2526.0,7566.0,0.957,0.174,-0.048,0.229
3489568,1189.0,2446.0,7550.0,0.957,0.174,-0.047,0.229
3489594,1211.0,2548.0,7520.0,0.957,0.174,-0.047,0.229
3489610,1281.0,2788.0,7430.0,0.957,0.174,-0.047,0.229
3489626,1363.0,2988.0,7482.0,0.957,0.174,-0.047,0.228
3489642,1337.0,2748.0,7606.0,0.957,0.173,-0.048,0.227
3489658,1279.0,2702.0,7742.0,0.957,0.172,-0.048,0.227
3489675,1243.0,2782.0,7832.0,0.958,0.171,-0.049,0.226
3489692,1309.0,2540.0,7846.0,0.958,0.17,-0.05,0.226
3489719,1181.0,2456.0,7832.0,0.958,0.17,-0.051,0.226
3489736,1155.0,2510.0,7704.0,0.958,0.169,-0.052,0.225
3489753,1275.0,2396.0,7818.0,0.958,0.168,-0.052,0.225
3489770,1449.0,2244.0,7864.0,0.958,0.168,-0.053,0.225
3489786,1491.0,2172.0,7782.0,0.958,0.168,-0.053,0.226
3489803,1613.0,2292.0,7670.0,0.958,0.168,-0.053,0.226
3489819,1695.0,2488.0,7596.0,0.958,0.169,-0.053,0.226
3489835,1813.0,2316.0,7696.0,0.958,0.17,-0.053,0.226
3489851,1951.0,2820.0,7744.0,0.957,0.173,-0.053,0.225
3489877,2001.0,2318.0,7802.0,0.957,0.176,-0.053,0.225
3489893,1969.0,2744.0,7914.0,0.956,0.181,-0.053,0.225
3489909,2143.0,2938.0,7766.0,0.955,0.186,-0.053,0.225
3489926,2195.0,3256.0,7846.0,0.954,0.192,-0.053,0.224
3489942,2281.0,3382.0,8056.0,0.953,0.198,-0.053,0.224
3489958,2289.0,3352.0,7630.0,0.951,0.206,-0.054,0.223
3489984,2169.0,3434.0,6876.0,0.95,0.212,-0.054,0.222
3490000,2073.0,3596.0,6290.0,0.949,0.217,-0.054,0.221
3490017,2247.0,3306.0,6306.0,0.949,0.221,-0.054,0.22
3490033,2001.0,3202.0,6576.0,0.948,0.223,-0.053,0.219
3490049,1589.0,2868.0,7234.0,0.948,0.225,-0.052,0.218
3490065,1147.0,2572.0,7876.0,0.948,0.228,-0.05,0.218
3490081,841.0,2814.0,8436.0,0.946,0.233,-0.049,0.218
3490108,673.0,2940.0,8420.0,0.945,0.239,-0.049,0.219
3490124,979.0,3358.0,8540.0,0.942,0.249,-0.049,0.221
3490140,1567.0,3480.0,8138.0,0.938,0.261,-0.049,0.224
3490157,1883.0,3192.0,7716.0,0.934,0.272,-0.048,0.226
3490174,1421.0,2918.0,7402.0,0.93,0.285,-0.047,0.227
3490191,747.0,1152.0,7244.0,0.927,0.295,-0.043,0.229
3490208,2071.0,5498.0,5634.0,0.922,0.309,-0.039,0.23
3490224,1621.0,6824.0,5080.0,0.918,0.322,-0.037,0.228
3490250,1433.0,5782.0,4980.0,0.916,0.329,-0.037,0.227
3490267,1009.0,5088.0,5590.0,0.915,0.33,-0.037,0.228
3490284,571.0,4310.0,5840.0,0.915,0.329,-0.036,0.229
3490300,699.0,3644.0,5752.0,0.916,0.328,-0.036,0.23
3490316,1009.0,4598.0,5658.0,0.916,0.326,-0.035,0.232
3490332,1189.0,5214.0,5728.0,0.916,0.323,-0.034,0.234
3490348,939.0,4938.0,5900.0,0.918,0.317,-0.033,0.237
3490374,989.0,4714.0,6336.0,0.919,0.311,-0.033,0.239
3490390,1099.0,4418.0,6574.0,0.921,0.305,-0.032,0.241
3490406,1365.0,4226.0,6806.0,0.922,0.299,-0.032,0.243
3490422,1565.0,4166.0,6924.0,0.923,0.295,-0.032,0.245
3490438,1863.0,3962.0,7000.0,0.924,0.291,-0.032,0.247
3490454,1781.0,4184.0,6986.0,0.924,0.289,-0.032,0.248
3490480,1979.0,4512.0,7136.0,0.924,0.287,-0.032,0.249
3490497,1481.0,4504.0,7002.0,0.925,0.284,-0.032,0.251
3490513,1731.0,4446.0,7096.0,0.925,0.282,-0.032,0.253
3490529,1569.0,4348.0,7286.0,0.926,0.279,-0.032,0.254
3490546,1315.0,3492.0,7402.0,0.926,0.278,-0.031,0.255
3490562,1319.0,3772.0,7336.0,0.925,0.279,-0.031,0.256
3490579,1577.0,4288.0,6770.0,0.923,0.283,-0.03,0.257
3490596,1711.0,4738.0,6560.0,0.922,0.288,-0.03,0.257
3490612,1913.0,4936.0,6530.0,0.92,0.293,-0.03,0.257
3490639,1599.0,4754.0,6370.0,0.919,0.298,-0.031,0.256
3490655,1643.0,4644.0,6628.0,0.918,0.303,-0.032,0.255
3490671,1673.0,4460.0,6544.0,0.917,0.306,-0.033,0.253
3490687,1809.0,4316.0,6368.0,0.916,0.31,-0.033,0.251
3490703,1891.0,4428.0,6384.0,0.916,0.313,-0.034,0.249
3490719,1851.0,4582.0,6236.0,0.916,0.315,-0.034,0.246
3490746,1795.0,4622.0,6154.0,0.916,0.316,-0.034,0.244
3490762,1761.0,4574.0,6032.0,0.917,0.316,-0.034,0.242
3490779,1729.0,4562.0,5936.0,0.918,0.314,-0.033,0.24
3490796,1661.0,4558.0,5936.0,0.919,0.311,-0.032,0.239
3490812,1555.0,4590.0,6014.0,0.921,0.306,-0.031,0.239
3490829,1469.0,4540.0,6232.0,0.923,0.299,-0.031,0.239
3490845,1517.0,4404.0,6330.0,0.925,0.292,-0.03,0.24
3490862,1601.0,4228.0,6440.0,0.928,0.284,-0.029,0.241
3490879,1559.0,4288.0,6572.0,0.93,0.275,-0.028,0.241
3490895,1513.0,4026.0,6820.0,0.933,0.265,-0.027,0.241
3490922,1359.0,4020.0,7898.0,0.936,0.256,-0.026,0.241
3490938,1205.0,2964.0,8782.0,0.938,0.25,-0.026,0.241
3490954,919.0,2420.0,8856.0,0.938,0.248,-0.026,0.241
3490971,1091.0,2668.0,8182.0,0.937,0.251,-0.025,0.242
3490988,1495.0,3622.0,7274.0,0.936,0.255,-0.025,0.242
3491004,1709.0,4622.0,6582.0,0.935,0.259,-0.024,0.243
3491020,1541.0,4416.0,6398.0,0.934,0.26,-0.024,0.243
3491046,1669.0,4144.0,6542.0,0.934,0.26,-0.024,0.243
3491063,1643.0,4010.0,6826.0,0.935,0.258,-0.024,0.243
3491080,1447.0,3938.0,7198.0,0.935,0.257,-0.024,0.243
3491097,1491.0,3878.0,7230.0,0.935,0.255,-0.025,0.244
3491114,1539.0,4066.0,7182.0,0.935,0.254,-0.025,0.245
3491131,1477.0,4136.0,7174.0,0.935,0.253,-0.025,0.246
3491148,1291.0,4218.0,7312.0,0.935,0.252,-0.025,0.246
3491164,1423.0,4268.0,7430.0,0.936,0.251,-0.026,0.247
3491180,1435.0,4098.0,7334.0,0.936,0.249,-0.026,0.247
3491196,1395.0,3782.0,7166.0,0.936,0.248,-0.026,0.247
3491222,1437.0,3718.0,6924.0,0.937,0.247,-0.026,0.247
3491238,1341.0,3466.0,6816.0,0.937,0.246,-0.026,0.246
3491254,1159.0,3164.0,6590.0,0.938,0.245,-0.026,0.245
3491271,1251.0,2888.0,6394.0,0.938,0.245,-0.026,0.244
3491288,1191.0,3160.0,6270.0,0.938,0.244,-0.027,0.243
3491305,1973.0,3940.0,6518.0,0.939,0.243,-0.029,0.242
3491321,1603.0,4008.0,6996.0,0.94,0.24,-0.03,0.24
3491338,1391.0,4428.0,7476.0,0.942,0.236,-0.03,0.238
3491364,1511.0,4090.0,7524.0,0.944,0.228,-0.029,0.235
3491381,1351.0,2500.0,7366.0,0.947,0.221,-0.028,0.232
3491397,939.0,2252.0,7294.0,0.949,0.215,-0.025,0.229
3491414,543.0,2558.0,7374.0,0.951,0.21,-0.023,0.226
3491430,119.0,2936.0,7398.0,0.952,0.207,-0.022,0.223
3491446,117.0,2778.0,7500.0,0.953,0.204,-0.022,0.222
3491462,203.0,2710.0,7626.0,0.954,0.202,-0.023,0.222
3491489,525.0,2674.0,7740.0,0.954,0.2,-0.024,0.223
3491505,881.0,2852.0,7914.0,0.954,0.199,-0.025,0.224
3491522,1077.0,3158.0,8018.0,0.954,0.198,-0.026,0.225
3491539,1383.0,3402.0,8002.0,0.954,0.197,-0.026,0.225
3491555,1525.0,3546.0,8032.0,0.954,0.196,-0.027,0.225
3491571,1627.0,3658.0,7980.0,0.954,0.195,-0.027,0.225
3491587,1611.0,3492.0,7854.0,0.955,0.193,-0.027,0.224
3491603,1593.0,3028.0,7472.0,0.955,0.192,-0.027,0.223
3491630,1481.0,2794.0,7162.0,0.956,0.192,-0.027,0.222
3491647,1471.0,2754.0,7046.0,0.956,0.191,-0.027,0.221
3491663,1283.0,2636.0,7014.0,0.956,0.19,-0.027,0.221
3491680,1165.0,2538.0,7144.0,0.956,0.19,-0.027,0.22
3491697,1033.0,2566.0,7380.0,0.957,0.189,-0.028,0.219
3491714,1033.0,2550.0,7644.0,0.957,0.188,-0.028,0.219
3491730,913.0,2660.0,7838.0,0.957,0.187,-0.028,0.218
3491747,933.0,2766.0,7970.0,0.958,0.187,-0.028,0.218
3491763,889.0,2842.0,7932.0,0.958,0.186,-0.028,0.218
3491789,865.0,2910.0,7898.0,0.958,0.186,-0.027,0.217
3491806,909.0,2844.0,7730.0,0.958,0.186,-0.027,0.217
3491822,871.0,2764.0,7554.0,0.958,0.186,-0.027,0.216
3491838,915.0,2784.0,7396.0,0.958,0.187,-0.027,0.216
3491854,945.0,2736.0,7400.0,0.958,0.187,-0.026,0.215
3491871,917.0,2652.0,7416.0,0.958,0.187,-0.026,0.215
3491887,1021.0,2642.0,7506.0,0.958,0.188,-0.026,0.215
3491913,1009.0,2678.0,7494.0,0.958,0.188,-0.026,0.215
3491929,1001.0,2700.0,7498.0,0.958,0.189,-0.026,0.215
3491945,1023.0,2704.0,7556.0,0.958,0.19,-0.025,0.215
3491961,987.0,2698.0,7494.0,0.957,0.192,-0.025,0.215
3491978,1005.0,2838.0,7458.0,0.957,0.193,-0.025,0.215
3491995,1067.0,3012.0,7512.0,0.957,0.195,-0.025,0.215
3492011,1061.0,2992.0,7564.0,0.956,0.196,-0.024,0.215
3492037,969.0,3026.0,7522.0,0.956,0.198,-0.024,0.216
3492053,951.0,2922.0,7500.0,0.956,0.2,-0.024,0.216
3492069,959.0,2898.0,7444.0,0.955,0.202,-0.023,0.216
3492086,1029.0,2864.0,7318.0,0.954,0.204,-0.023,0.217
3492102,991.0,2758.0,7270.0,0.954,0.206,-0.023,0.217
3492118,983.0,2702.0,7180.0,0.953,0.209,-0.023,0.218
3492135,969.0,2718.0,7102.0,0.952,0.212,-0.023,0.219
3492161,935.0,2712.0,7154.0,0.951,0.215,-0.023,0.22
3492177,963.0,2980.0,7186.0,0.95,0.219,-0.023,0.221
3492194,981.0,3180.0,7220.0,0.949,0.223,-0.024,0.221
3492210,1077.0,3464.0,7368.0,0.948,0.226,-0.024,0.222
3492227,1149.0,3770.0,7568.0,0.947,0.229,-0.024,0.223
3492243,1243.0,4046.0,7688.0,0.946,0.232,-0.024,0.224
3492259,1389.0,4198.0,7794.0,0.946,0.234,-0.024,0.224
3492285,1345.0,4398.0,7852.0,0.945,0.235,-0.025,0.225
3492301,1467.0,4420.0,7766.0,0.945,0.235,-0.025,0.225
3492318,1491.0,4208.0,7542.0,0.945,0.235,-0.024,0.226
3492334,1423.0,4014.0,7326.0,0.945,0.235,-0.024,0.226
3492350,1363.0,3644.0,7070.0,0.945,0.235,-0.024,0.226
3492366,1295.0,3374.0,6978.0,0.945,0.234,-0.024,0.226
3492382,1299.0,3200.0,6962.0,0.945,0.234,-0.024,0.227
3492409,1241.0,3302.0,7012.0,0.945,0.234,-0.024,0.227
3492425,1179.0,3442.0,7144.0,0.945,0.234,-0.024,0.227
3492442,1225.0,3618.0,7290.0,0.945,0.235,-0.025,0.228
3492458,1191.0,3744.0,7376.0,0.945,0.235,-0.025,0.228
3492475,1131.0,3790.0,7304.0,0.944,0.235,-0.024,0.229
3492491,1143.0,3850.0,7288.0,0.944,0.235,-0.024,0.229
3492507,1105.0,3884.0,7226.0,0.944,0.235,-0.024,0.23
3492524,1083.0,3696.0,7234.0,0.944,0.235,-0.024,0.23
3492550,1063.0,3596.0,7170.0,0.944,0.235,-0.024,0.23
3492567,1039.0,3538.0,7202.0,0.944,0.235,-0.024,0.23
3492584,1013.0,3500.0,7248.0,0.944,0.234,-0.025,0.23
3492600,1095.0,3526.0,7296.0,0.944,0.234,-0.025,0.231
3492617,1123.0,3466.0,7328.0,0.944,0.234,-0.025,0.231
3492634,1153.0,3466.0,7336.0,0.944,0.234,-0.025,0.231
3492650,1215.0,3540.0,7298.0,0.944,0.234,-0.025,0.231
3492666,1249.0,3618.0,7262.0,0.944,0.234,-0.026,0.231
3492692,1217.0,3558.0,7196.0,0.944,0.234,-0.026,0.231
3492708,1271.0,3588.0,7210.0,0.944,0.233,-0.026,0.231
3492724,1247.0,3616.0,7228.0,0.944,0.233,-0.026,0.231
3492740,1293.0,3582.0,7298.0,0.944,0.233,-0.027,0.232
3492758,1325.0,3566.0,7376.0,0.944,0.233,-0.027,0.232
3492774,1411.0,3480.0,7430.0,0.944,0.234,-0.028,0.232
3492791,1473.0,3450.0,7588.0,0.943,0.235,-0.029,0.232
3492807,1817.0,3258.0,7606.0,0.943,0.238,-0.03,0.233
3492833,1949.0,3534.0,7900.0,0.941,0.242,-0.03,0.234
3492850,2003.0,4000.0,7580.0,0.939,0.248,-0.031,0.235
3492866,2375.0,3370.0,7622.0,0.937,0.254,-0.032,0.235
3492883,2767.0,2722.0,8242.0,0.935,0.264,-0.031,0.235
3492900,2681.0,2692.0,8084.0,0.931,0.279,-0.028,0.234
3492916,3109.0,2904.0,8026.0,0.926,0.298,-0.023,0.233
3492932,2565.0,3508.0,7184.0,0.919,0.32,-0.016,0.231
3492958,2331.0,4616.0,6408.0,0.911,0.344,-0.01,0.229
3492975,2311.0,6154.0,5808.0,0.904,0.363,-0.006,0.228
3492991,3455.0,7188.0,6098.0,0.899,0.376,-0.002,0.225
3493007,3977.0,7256.0,6370.0,0.896,0.384,0.003,0.222
3493023,3633.0,6898.0,6592.0,0.895,0.389,0.011,0.218
3493039,3131.0,6288.0,7002.0,0.894,0.391,0.022,0.216
3493055,2217.0,5612.0,7128.0,0.893,0.394,0.034,0.216
3493081,987.0,5100.0,6878.0,0.891,0.396,0.047,0.217
3493097,267.0,4676.0,6474.0,0.889,0.399,0.058,0.219
3493113,233.0,4102.0,6174.0,0.886,0.402,0.067,0.222
3493129,-21.0,3714.0,5824.0,0.883,0.405,0.075,0.225
3493145,-51.0,3494.0,5592.0,0.88,0.408,0.084,0.229
3493161,377.0,3670.0,5490.0,0.876,0.412,0.092,0.233
3493187,225.0,4158.0,5148.0,0.871,0.415,0.102,0.24
3493203,-7.0,4586.0,5008.0,0.866,0.419,0.112,0.25
3493219,-267.0,4602.0,4740.0,0.86,0.42,0.121,0.262
3493235,-527.0,3972.0,4318.0,0.855,0.421,0.129,0.276
3493251,-859.0,3252.0,3768.0,0.848,0.421,0.136,0.291
3493267,-849.0,3438.0,3442.0,0.84,0.424,0.142,0.307
3493294,-431.0,4400.0,3390.0,0.831,0.428,0.147,0.325
3493310,121.0,5500.0,3010.0,0.821,0.432,0.149,0.343
3493326,287.0,5458.0,2476.0,0.811,0.435,0.15,0.362
3493342,29.0,4572.0,1928.0,0.802,0.436,0.149,0.38
3493358,-341.0,3500.0,1554.0,0.792,0.438,0.147,0.398
3493374,-281.0,2452.0,1316.0,0.78,0.444,0.143,0.417
3493400,355.0,2506.0,1266.0,0.766,0.453,0.138,0.435
3493416,1629.0,3828.0,930.0,0.748,0.467,0.13,0.453
3493432,2367.0,4046.0,708.0,0.729,0.481,0.121,0.472
3493448,3123.0,4276.0,270.0,0.711,0.495,0.11,0.488
3493464,3929.0,4676.0,138.0,0.693,0.508,0.098,0.503
3493480,5745.0,6494.0,374.0,0.673,0.522,0.085,0.517
3493506,6855.0,7912.0,660.0,0.653,0.534,0.07,0.533
3493522,7233.0,9060.0,690.0,0.636,0.542,0.05,0.548
3493538,7837.0,9048.0,920.0,0.622,0.545,0.028,0.561
3493554,8149.0,9466.0,1180.0,0.613,0.545,0.002,0.573
3493570,7789.0,8196.0,1366.0,0.606,0.541,-0.025,0.582
3493586,7399.0,6386.0,1496.0,0.601,0.536,-0.053,0.59
3493612,7247.0,4710.0,1608.0,0.596,0.533,-0.078,0.595
3493628,7119.0,3560.0,1868.0,0.589,0.533,-0.101,0.6
3493644,7237.0,3078.0,2144.0,0.578,0.535,-0.122,0.603
3493660,7537.0,2902.0,2204.0,0.566,0.541,-0.142,0.606
3493676,8173.0,3148.0,2208.0,0.552,0.548,-0.161,0.607
3493693,8771.0,3678.0,2228.0,0.538,0.555,-0.181,0.608
3493719,9267.0,4272.0,2334.0,0.524,0.561,-0.202,0.608
3493735,9659.0,4696.0,2538.0,0.512,0.564,-0.225,0.607
3493752,9979.0,4928.0,2762.0,0.503,0.564,-0.251,0.604
3493769,9869.0,4812.0,2744.0,0.498,0.56,-0.28,0.6
3493785,9993.0,4252.0,2242.0,0.496,0.554,-0.309,0.593
3493802,9743.0,4166.0,1322.0,0.497,0.545,-0.337,0.585
3493819,9153.0,4852.0,1106.0,0.5,0.535,-0.366,0.574
3493835,9217.0,5176.0,1574.0,0.509,0.522,-0.399,0.557
3493852,9631.0,4104.0,1788.0,0.522,0.504,-0.436,0.532
3493878,9803.0,1832.0,1672.0,0.539,0.481,-0.474,0.503
3493894,9489.0,-316.0,1438.0,0.556,0.454,-0.512,0.472
3493910,9199.0,-1486.0,1886.0,0.57,0.427,-0.544,0.442
3493926,9171.0,-1824.0,2396.0,0.581,0.402,-0.571,0.417
3493942,9279.0,-2090.0,2752.0,0.59,0.38,-0.592,0.396
3493958,9423.0,-2832.0,3202.0,0.597,0.364,-0.607,0.378
3493984,9529.0,-3118.0,3508.0,0.602,0.354,-0.615,0.366
3494001,9349.0,-3182.0,3608.0,0.606,0.35,-0.618,0.358
3494018,9449.0,-3034.0,3244.0,0.609,0.353,-0.615,0.356
3494035,9445.0,-2318.0,2786.0,0.61,0.359,-0.608,0.359
3494052,9183.0,-2092.0,2680.0,0.612,0.367,-0.599,0.364
3494068,8977.0,-2266.0,2610.0,0.612,0.377,-0.587,0.372
3494084,8851.0,-2326.0,2676.0,0.61,0.389,-0.573,0.384
3494101,8773.0,-2274.0,2360.0,0.607,0.403,-0.557,0.4
3494118,8973.0,-1698.0,1986.0,0.6,0.42,-0.536,0.419
3494134,9033.0,-658.0,1898.0,0.592,0.44,-0.511,0.441
3494161,9191.0,142.0,1766.0,0.582,0.462,-0.482,0.464
3494177,9315.0,646.0,1546.0,0.572,0.484,-0.451,0.486
3494193,9293.0,1070.0,1098.0,0.561,0.505,-0.417,0.506
3494209,9023.0,1744.0,764.0,0.551,0.525,-0.381,0.525
3494225,8691.0,2540.0,752.0,0.541,0.542,-0.347,0.541
3494241,8363.0,3256.0,892.0,0.533,0.556,-0.315,0.554
3494267,8121.0,3560.0,888.0,0.528,0.567,-0.287,0.564
3494284,7989.0,3396.0,798.0,0.525,0.574,-0.264,0.571
3494300,7697.0,3182.0,914.0,0.523,0.58,-0.243,0.576
3494316,7535.0,2858.0,994.0,0.521,0.585,-0.224,0.58
3494332,7317.0,2710.0,1168.0,0.519,0.59,-0.206,0.583
3494348,7269.0,2452.0,1350.0,0.515,0.597,-0.187,0.586
3494374,7525.0,2864.0,936.0,0.509,0.606,-0.166,0.588
3494390,7365.0,3550.0,798.0,0.502,0.616,-0.144,0.59
3494406,7439.0,4154.0,498.0,0.495,0.626,-0.121,0.591
3494422,7135.0,4682.0,250.0,0.489,0.635,-0.099,0.59
3494438,7083.0,5100.0,146.0,0.484,0.643,-0.077,0.588
3494454,7073.0,5622.0,150.0,0.481,0.65,-0.058,0.585
3494480,7051.0,5936.0,0.0,0.48,0.655,-0.042,0.582
3494496,6989.0,5736.0,-68.0,0.481,0.659,-0.027,0.577
3494512,7025.0,5458.0,2.0,0.483,0.663,-0.014,0.572
3494528,6987.0,5504.0,126.0,0.484,0.668,-0.001,0.566
3494544,6921.0,5956.0,-2.0,0.485,0.673,0.012,0.558
3494560,6957.0,6454.0,-22.0,0.487,0.678,0.025,0.55
3494586,6827.0,6844.0,190.0,0.49,0.683,0.038,0.54
3494602,6497.0,7140.0,466.0,0.495,0.686,0.05,0.531
3494618,6433.0,7264.0,288.0,0.502,0.688,0.061,0.521
3494634,6107.0,6966.0,480.0,0.511,0.687,0.072,0.511
3494650,5881.0,6928.0,590.0,0.52,0.686,0.082,0.503
3494676,6015.0,7830.0,728.0,0.529,0.683,0.092,0.495
3494692,6709.0,8224.0,1048.0,0.542,0.675,0.098,0.492
3494708,6397.0,7040.0,1800.0,0.555,0.662,0.103,0.493
3494724,4663.0,6288.0,1820.0,0.57,0.648,0.107,0.494
3494740,4481.0,5894.0,1674.0,0.583,0.638,0.115,0.49
3494756,4327.0,6064.0,1124.0,0.593,0.633,0.127,0.481
3494774,4731.0,5996.0,686.0,0.597,0.634,0.142,0.47
3494790,3499.0,8544.0,-144.0,0.601,0.638,0.159,0.455
3494816,3633.0,8818.0,-256.0,0.605,0.641,0.173,0.44
3494833,3615.0,9374.0,-342.0,0.612,0.64,0.186,0.425
3494850,3579.0,9136.0,-378.0,0.622,0.637,0.196,0.411
3494866,2757.0,8452.0,-304.0,0.632,0.632,0.206,0.398
3494883,2269.0,7720.0,-156.0,0.644,0.626,0.215,0.384
3494900,2231.0,7166.0,-160.0,0.654,0.621,0.223,0.369
3494917,1625.0,6402.0,-38.0,0.663,0.618,0.232,0.353
3494934,1415.0,6282.0,-282.0,0.669,0.619,0.241,0.334
3494951,1607.0,7524.0,-484.0,0.671,0.623,0.25,0.314
3494968,1129.0,7958.0,-760.0,0.672,0.629,0.259,0.292
3494985,773.0,8952.0,-880.0,0.674,0.634,0.268,0.269
3495002,625.0,9310.0,-802.0,0.678,0.636,0.275,0.245
3495028,1015.0,9932.0,-884.0,0.684,0.636,0.282,0.221
3495044,553.0,9540.0,-554.0,0.692,0.631,0.287,0.199
3495060,537.0,9434.0,-320.0,0.703,0.624,0.292,0.177
3495076,171.0,8620.0,162.0,0.715,0.614,0.296,0.156
3495092,-345.0,7222.0,856.0,0.728,0.602,0.3,0.134
3495108,-1153.0,5358.0,1846.0,0.741,0.589,0.304,0.111
