timestamp,ax,ay,az,q0,q1,q2,q3
3127585,2497.0,3253.0,6861.0,0.948,0.236,-0.169,0.132
3127601,2571.0,3279.0,6911.0,0.948,0.236,-0.169,0.132
3127617,2629.0,3301.0,6987.0,0.948,0.236,-0.169,0.132
3127634,2643.0,3253.0,6969.0,0.948,0.236,-0.169,0.132
3127651,2749.0,3187.0,6891.0,0.948,0.236,-0.169,0.132
3127668,2709.0,3185.0,6835.0,0.948,0.236,-0.169,0.132
3127685,2721.0,3107.0,6875.0,0.948,0.235,-0.169,0.132
3127702,2707.0,3103.0,6915.0,0.948,0.235,-0.168,0.132
3127728,2651.0,3015.0,6975.0,0.948,0.234,-0.168,0.132
3127744,2539.0,3069.0,6907.0,0.949,0.234,-0.167,0.133
3127760,2413.0,2989.0,6969.0,0.949,0.233,-0.166,0.134
3127776,2493.0,3009.0,6989.0,0.949,0.232,-0.165,0.135
3127792,2459.0,3323.0,6799.0,0.949,0.232,-0.164,0.136
3127808,2491.0,2885.0,7051.0,0.949,0.231,-0.163,0.137
3127825,2689.0,2895.0,7055.0,0.949,0.231,-0.162,0.139
3127852,2787.0,2799.0,6891.0,0.949,0.231,-0.162,0.14
3127868,2765.0,2895.0,6931.0,0.949,0.231,-0.162,0.141
3127885,2413.0,2937.0,7167.0,0.949,0.231,-0.161,0.142
3127902,2555.0,2679.0,7191.0,0.949,0.231,-0.162,0.143
3127918,2419.0,2717.0,7131.0,0.948,0.232,-0.163,0.143
3127934,2491.0,2777.0,7017.0,0.948,0.233,-0.163,0.144
3127950,2437.0,2947.0,6933.0,0.948,0.234,-0.164,0.143
3127967,2475.0,3133.0,6983.0,0.947,0.235,-0.164,0.143
3127993,2519.0,3169.0,6919.0,0.947,0.236,-0.165,0.143
3128009,2585.0,3249.0,6879.0,0.947,0.237,-0.165,0.143
3128025,2637.0,3395.0,6851.0,0.947,0.238,-0.165,0.142
3128042,2729.0,3373.0,6897.0,0.947,0.238,-0.165,0.143
3128060,2771.0,3451.0,6857.0,0.947,0.238,-0.164,0.143
3128077,2771.0,3467.0,6799.0,0.947,0.238,-0.164,0.144
3128094,2755.0,3401.0,6847.0,0.947,0.237,-0.164,0.144
3128110,2703.0,3247.0,6847.0,0.947,0.236,-0.163,0.145
3128126,2611.0,3075.0,6877.0,0.947,0.236,-0.163,0.145
3128152,2531.0,3069.0,6907.0,0.947,0.235,-0.163,0.146
3128168,2513.0,3007.0,6975.0,0.947,0.235,-0.162,0.146
3128185,2481.0,2943.0,7061.0,0.947,0.234,-0.162,0.146
3128202,2493.0,2927.0,7025.0,0.947,0.234,-0.162,0.145
3128219,2493.0,2933.0,7053.0,0.948,0.234,-0.162,0.145
3128236,2547.0,2951.0,6961.0,0.948,0.234,-0.163,0.145
3128253,2545.0,2947.0,6975.0,0.948,0.234,-0.163,0.145
3128270,2473.0,3011.0,6999.0,0.948,0.233,-0.163,0.145
3128287,2557.0,2947.0,6943.0,0.948,0.234,-0.163,0.145
3128304,2597.0,2969.0,6909.0,0.947,0.234,-0.163,0.145
3128321,2641.0,3097.0,6901.0,0.947,0.234,-0.164,0.145
3128338,2671.0,3063.0,6867.0,0.947,0.234,-0.164,0.145
3128364,2687.0,3053.0,6837.0,0.947,0.234,-0.164,0.145
3128380,2779.0,3143.0,6871.0,0.947,0.234,-0.164,0.146
3128396,2761.0,3141.0,6931.0,0.947,0.234,-0.164,0.146
3128412,2725.0,3237.0,6887.0,0.947,0.234,-0.164,0.146
