timestamp,ax,ay,az,q0,q1,q2,q3
4776916,3672.0,4023.0,550.0,0.834,0.482,-0.189,0.194
4776932,4028.0,4309.0,868.0,0.839,0.474,-0.202,0.176
4776949,4130.0,5073.0,784.0,0.844,0.466,-0.214,0.158
4776975,4278.0,4805.0,1400.0,0.848,0.457,-0.228,0.141
4776991,4750.0,4297.0,1450.0,0.851,0.449,-0.241,0.125
4777007,5026.0,3881.0,1352.0,0.854,0.441,-0.252,0.11
4777023,5656.0,3945.0,1416.0,0.856,0.435,-0.263,0.097
4777039,5598.0,4211.0,1656.0,0.857,0.429,-0.272,0.085
4777056,5376.0,3761.0,2016.0,0.858,0.424,-0.281,0.074
4777073,5510.0,3813.0,2118.0,0.858,0.42,-0.289,0.063
4777090,5574.0,4003.0,2220.0,0.858,0.416,-0.298,0.054
4777116,5616.0,3349.0,2348.0,0.857,0.413,-0.306,0.045
4777132,5440.0,2931.0,2358.0,0.854,0.413,-0.314,0.037
4777148,5674.0,4367.0,2670.0,0.851,0.413,-0.323,0.031
4777164,7188.0,6435.0,4316.0,0.85,0.41,-0.331,0.025
4777180,9332.0,9191.0,7330.0,0.851,0.402,-0.336,0.018
4777197,11170.0,8923.0,9884.0,0.858,0.387,-0.339,0.011
4777214,10300.0,4043.0,8932.0,0.865,0.37,-0.339,0.006
4777231,6894.0,-267.0,6622.0,0.872,0.354,-0.337,0.002
4777248,5546.0,-1461.0,5926.0,0.877,0.342,-0.336,0.001
4777274,4714.0,2157.0,5304.0,0.881,0.334,-0.335,0.0
4777290,4530.0,5099.0,4694.0,0.884,0.325,-0.336,-0.001
4777306,4536.0,4633.0,4518.0,0.888,0.312,-0.338,-0.002
4777322,4984.0,4429.0,5084.0,0.892,0.298,-0.341,-0.003
4777339,5462.0,3269.0,5586.0,0.896,0.284,-0.342,-0.005
4777356,5346.0,2117.0,5248.0,0.899,0.273,-0.343,-0.005
4777382,4908.0,2187.0,4676.0,0.9,0.267,-0.344,-0.005
4777398,4492.0,2853.0,4474.0,0.901,0.264,-0.343,-0.005
4777414,4288.0,3333.0,4592.0,0.902,0.261,-0.344,-0.004
4777430,4482.0,2785.0,5048.0,0.903,0.259,-0.344,-0.003
4777447,4834.0,3327.0,5670.0,0.903,0.259,-0.343,-0.001
4777464,5494.0,4115.0,6378.0,0.903,0.26,-0.343,0.002
4777480,5784.0,4107.0,6776.0,0.903,0.261,-0.341,0.005
4777497,5582.0,4045.0,6354.0,0.903,0.264,-0.339,0.007
4777514,5146.0,3935.0,5962.0,0.904,0.266,-0.336,0.01
4777540,4978.0,3281.0,5752.0,0.904,0.268,-0.332,0.012
4777557,4640.0,3531.0,5450.0,0.904,0.272,-0.33,0.014
4777574,4714.0,3739.0,5318.0,0.904,0.276,-0.327,0.017
4777591,4788.0,4085.0,5154.0,0.904,0.279,-0.325,0.019
4777608,4890.0,4501.0,5126.0,0.904,0.281,-0.322,0.021
4777624,4868.0,4441.0,5244.0,0.904,0.281,-0.32,0.022
4777640,4900.0,4055.0,5478.0,0.905,0.28,-0.319,0.023
4777656,4992.0,3619.0,5618.0,0.906,0.279,-0.318,0.023
4777673,4998.0,3507.0,5882.0,0.907,0.279,-0.316,0.023
4777700,4856.0,3727.0,5750.0,0.907,0.279,-0.315,0.023
4777716,4704.0,3801.0,5704.0,0.907,0.279,-0.313,0.022
4777732,4558.0,3683.0,5588.0,0.908,0.28,-0.312,0.021
4777749,4458.0,3467.0,5642.0,0.908,0.28,-0.31,0.021
4777765,4318.0,3531.0,5690.0,0.909,0.281,-0.309,0.02
4777781,4034.0,3943.0,5818.0,0.909,0.282,-0.307,0.02
4777797,3942.0,4231.0,5920.0,0.909,0.284,-0.306,0.02
4777823,3984.0,4277.0,5638.0,0.908,0.286,-0.304,0.021
4777839,4104.0,4313.0,5404.0,0.908,0.288,-0.304,0.021
4777856,4244.0,4115.0,5266.0,0.908,0.289,-0.303,0.022
4777873,4402.0,4227.0,5308.0,0.908,0.291,-0.302,0.022
4777890,4504.0,4155.0,5292.0,0.908,0.291,-0.301,0.022
4777907,4570.0,4005.0,5450.0,0.908,0.292,-0.3,0.022
4777923,4526.0,4029.0,5392.0,0.908,0.292,-0.299,0.022
4777940,4472.0,3933.0,5410.0,0.908,0.292,-0.299,0.022
4777966,4492.0,4005.0,5440.0,0.909,0.291,-0.298,0.023
4777982,4410.0,3995.0,5520.0,0.909,0.29,-0.298,0.023
4777998,4546.0,3801.0,5722.0,0.91,0.289,-0.298,0.024
4778014,4670.0,3751.0,5904.0,0.91,0.288,-0.298,0.024
4778031,4952.0,3741.0,6062.0,0.91,0.287,-0.298,0.025
4778048,5002.0,3849.0,6026.0,0.911,0.286,-0.298,0.026
4778064,4802.0,3811.0,6044.0,0.911,0.285,-0.297,0.026
4778080,4450.0,3737.0,5842.0,0.911,0.285,-0.296,0.027
4778106,4150.0,3637.0,5628.0,0.912,0.285,-0.295,0.028
4778122,4084.0,3627.0,5582.0,0.911,0.286,-0.294,0.029
4778139,4084.0,3809.0,5624.0,0.911,0.287,-0.294,0.03
4778155,4260.0,3987.0,5558.0,0.911,0.288,-0.293,0.031
4778171,4356.0,3999.0,5660.0,0.911,0.288,-0.293,0.033
4778187,4440.0,4013.0,5724.0,0.911,0.289,-0.292,0.034
4778213,4482.0,4069.0,5798.0,0.911,0.289,-0.291,0.036
4778229,4434.0,3955.0,5978.0,0.911,0.289,-0.291,0.037
4778246,4498.0,3857.0,5822.0,0.911,0.289,-0.29,0.038
4778262,4574.0,3731.0,5804.0,0.911,0.289,-0.29,0.039
4778279,4504.0,3801.0,5624.0,0.911,0.291,-0.29,0.039
4778295,4432.0,4049.0,5634.0,0.911,0.292,-0.289,0.039
4778311,4320.0,4077.0,5618.0,0.911,0.293,-0.288,0.039
4778337,4254.0,4319.0,5722.0,0.911,0.293,-0.287,0.039
4778353,3982.0,4375.0,5852.0,0.911,0.293,-0.286,0.039
4778369,3950.0,4229.0,5886.0,0.911,0.293,-0.286,0.039
4778385,4034.0,3963.0,5650.0,0.912,0.293,-0.286,0.04
4778401,4190.0,3695.0,5632.0,0.912,0.293,-0.285,0.04
4778417,4316.0,3779.0,5632.0,0.911,0.294,-0.285,0.041
4778434,4410.0,3715.0,5708.0,0.911,0.294,-0.285,0.042
4778461,4480.0,3685.0,5706.0,0.911,0.294,-0.285,0.042
4778477,4520.0,3649.0,5790.0,0.911,0.295,-0.285,0.042
4778493,4552.0,3713.0,5770.0,0.911,0.296,-0.284,0.043
4778509,4502.0,3857.0,5650.0,0.911,0.297,-0.284,0.043
4778525,4384.0,3921.0,5602.0,0.91,0.298,-0.284,0.044
4778541,4288.0,3997.0,5670.0,0.91,0.298,-0.283,0.044
4778567,4252.0,4229.0,5696.0,0.91,0.299,-0.283,0.045
4778583,4270.0,4233.0,5660.0,0.91,0.298,-0.283,0.046
4778599,4348.0,4137.0,5674.0,0.91,0.298,-0.283,0.047
4778616,4308.0,4115.0,5664.0,0.91,0.299,-0.283,0.048
4778632,4316.0,4155.0,5668.0,0.91,0.299,-0.282,0.049
4778648,4310.0,4119.0,5602.0,0.91,0.3,-0.282,0.05
4778674,4276.0,4083.0,5630.0,0.91,0.3,-0.282,0.05
4778691,4406.0,3813.0,5744.0,0.91,0.301,-0.281,0.05
4778707,4346.0,3903.0,5794.0,0.91,0.302,-0.281,0.051
4778723,4374.0,3959.0,5712.0,0.909,0.304,-0.28,0.051
4778739,4346.0,4115.0,5656.0,0.909,0.304,-0.279,0.052
4778756,4266.0,4189.0,5770.0,0.909,0.305,-0.279,0.052
4778772,4308.0,4109.0,5756.0,0.909,0.305,-0.279,0.053
4778789,4232.0,4051.0,5616.0,0.909,0.305,-0.279,0.053
4778815,4286.0,4037.0,5610.0,0.909,0.305,-0.278,0.054
4778831,4332.0,4125.0,5514.0,0.909,0.305,-0.278,0.054
4778847,4324.0,4241.0,5626.0,0.909,0.306,-0.278,0.055
4778863,4322.0,4155.0,5608.0,0.909,0.307,-0.277,0.055
4778879,4310.0,4137.0,5640.0,0.908,0.308,-0.277,0.056
4778905,4317.0,4101.0,5630.0,0.908,0.31,-0.276,0.056
4778921,4239.0,4193.0,5611.0,0.908,0.311,-0.276,0.056
4778937,4245.0,4380.0,5670.0,0.908,0.312,-0.275,0.056
4778953,4177.0,4276.0,5584.0,0.908,0.313,-0.274,0.056
4778970,4167.0,4486.0,5574.0,0.908,0.313,-0.274,0.057
4778986,4157.0,4288.0,5638.0,0.908,0.313,-0.274,0.057
4779002,4119.0,4318.0,5624.0,0.908,0.313,-0.274,0.058
4779028,4191.0,4266.0,5534.0,0.908,0.313,-0.274,0.058
4779044,4263.0,4262.0,5490.0,0.908,0.313,-0.274,0.058
4779061,4241.0,4304.0,5510.0,0.908,0.313,-0.274,0.058
4779077,4251.0,4182.0,5600.0,0.908,0.313,-0.274,0.058
4779093,4256.0,4162.0,5642.0,0.908,0.313,-0.274,0.058
4779109,4254.0,4222.0,5709.0,0.908,0.313,-0.274,0.058
4779135,4206.0,4071.0,5688.0,0.907,0.313,-0.274,0.058
4779151,4254.0,4107.0,5642.0,0.907,0.313,-0.274,0.058
4779167,4244.0,4165.0,5579.0,0.907,0.313,-0.274,0.058
4779183,4309.0,4136.0,5600.0,0.908,0.313,-0.274,0.058
4779199,4262.0,4153.0,5587.0,0.908,0.312,-0.274,0.058
4779215,4162.0,4215.0,5583.0,0.908,0.312,-0.275,0.058
4779231,4272.0,4165.0,5545.0,0.908,0.312,-0.275,0.059
4779257,4280.0,4191.0,5479.0,0.907,0.312,-0.275,0.059
4779274,4248.0,4221.0,5443.0,0.907,0.312,-0.276,0.059
4779291,4300.0,4261.0,5517.0,0.907,0.313,-0.276,0.059
4779308,4310.0,4119.0,5603.0,0.907,0.313,-0.276,0.059
4779324,4300.0,4011.0,5655.0,0.907,0.314,-0.275,0.059
4779340,4230.0,3683.0,5665.0,0.906,0.315,-0.275,0.059
4779356,4224.0,4067.0,5577.0,0.906,0.316,-0.275,0.06
4779382,4174.0,4329.0,5683.0,0.906,0.317,-0.274,0.061
4779398,4158.0,4363.0,5721.0,0.905,0.318,-0.274,0.062
4779414,4200.0,4239.0,5615.0,0.905,0.318,-0.275,0.063
4779430,4336.0,4321.0,5431.0,0.905,0.319,-0.276,0.063
4779447,4462.0,4269.0,5335.0,0.904,0.32,-0.276,0.064
4779463,4428.0,4353.0,5319.0,0.904,0.321,-0.277,0.064
4779480,4418.0,4463.0,5305.0,0.903,0.322,-0.277,0.065
4779496,4360.0,4583.0,5365.0,0.903,0.323,-0.277,0.065
4779522,4376.0,4483.0,5473.0,0.903,0.323,-0.277,0.065
4779538,4412.0,4441.0,5397.0,0.902,0.324,-0.277,0.065
4779555,4384.0,4487.0,5381.0,0.902,0.324,-0.276,0.065
4779572,4378.0,4465.0,5387.0,0.903,0.324,-0.276,0.065
4779589,4364.0,4385.0,5401.0,0.903,0.324,-0.275,0.066
4779605,4274.0,4413.0,5401.0,0.903,0.323,-0.275,0.066
4779621,4280.0,4403.0,5429.0,0.903,0.323,-0.275,0.066
4779647,4344.0,4323.0,5373.0,0.904,0.322,-0.275,0.066
4779663,4252.0,4211.0,5345.0,0.904,0.321,-0.275,0.066
4779679,4270.0,4313.0,5311.0,0.904,0.321,-0.275,0.066
4779695,4258.0,4403.0,5345.0,0.904,0.32,-0.275,0.066
4779712,4250.0,4431.0,5363.0,0.904,0.32,-0.275,0.065
4779728,4258.0,4397.0,5417.0,0.905,0.319,-0.275,0.064
4779744,4208.0,4379.0,5623.0,0.905,0.318,-0.275,0.063
4779770,4202.0,4171.0,5727.0,0.906,0.316,-0.275,0.062
4779786,4144.0,3983.0,5699.0,0.906,0.315,-0.275,0.061
4779802,4240.0,3887.0,5775.0,0.906,0.314,-0.276,0.061
4779819,4134.0,3923.0,5673.0,0.906,0.314,-0.277,0.06
4779836,4208.0,3935.0,5687.0,0.906,0.313,-0.278,0.06
4779852,4276.0,3881.0,5643.0,0.906,0.313,-0.279,0.06
4779868,4358.0,3941.0,5469.0,0.905,0.314,-0.279,0.06
4779895,4396.0,4187.0,5359.0,0.905,0.315,-0.28,0.06
4779911,4508.0,4111.0,5393.0,0.905,0.316,-0.28,0.061
4779927,4512.0,4157.0,5345.0,0.904,0.317,-0.28,0.061
4779943,4516.0,4243.0,5381.0,0.904,0.319,-0.279,0.062
4779959,4414.0,4337.0,5409.0,0.903,0.321,-0.278,0.063
4779975,4396.0,4345.0,5475.0,0.903,0.322,-0.277,0.064
4780001,4360.0,4525.0,5421.0,0.903,0.323,-0.277,0.064
4780017,4404.0,4423.0,5451.0,0.902,0.324,-0.276,0.066
4780033,4352.0,4363.0,5403.0,0.902,0.324,-0.276,0.067
4780049,4368.0,4331.0,5279.0,0.902,0.325,-0.276,0.068
4780065,4308.0,4279.0,5227.0,0.902,0.325,-0.275,0.069
4780081,4344.0,4359.0,5225.0,0.902,0.326,-0.275,0.07
4780107,4340.0,4429.0,5281.0,0.902,0.326,-0.274,0.07
4780123,4288.0,4441.0,5343.0,0.902,0.327,-0.274,0.07
4780139,4274.0,4363.0,5405.0,0.901,0.328,-0.273,0.071
4780155,4304.0,4333.0,5503.0,0.901,0.329,-0.273,0.071
4780171,4398.0,4261.0,5471.0,0.901,0.33,-0.272,0.071
4780187,4274.0,4319.0,5525.0,0.901,0.331,-0.271,0.071
4780213,4212.0,4361.0,5551.0,0.901,0.331,-0.271,0.071
4780229,4124.0,4375.0,5495.0,0.901,0.331,-0.271,0.072
4780245,4126.0,4353.0,5427.0,0.901,0.331,-0.271,0.073
4780261,4182.0,4435.0,5381.0,0.901,0.332,-0.271,0.074
4780277,4160.0,4273.0,5357.0,0.9,0.332,-0.271,0.074
4780294,4172.0,4461.0,5293.0,0.9,0.333,-0.272,0.075
4780320,4204.0,4565.0,5135.0,0.899,0.334,-0.272,0.075
4780336,4232.0,4555.0,5195.0,0.899,0.335,-0.272,0.076
4780352,4276.0,4503.0,5259.0,0.898,0.337,-0.272,0.076
4780368,4322.0,4669.0,5277.0,0.898,0.338,-0.272,0.076
4780384,4372.0,4651.0,5331.0,0.897,0.339,-0.272,0.076
4780400,4350.0,4537.0,5399.0,0.897,0.339,-0.272,0.076
4780426,4318.0,4553.0,5385.0,0.897,0.34,-0.272,0.076
4780442,4412.0,4519.0,5303.0,0.897,0.339,-0.272,0.076
4780458,4422.0,4409.0,5209.0,0.897,0.339,-0.272,0.077
4780474,4320.0,4455.0,5199.0,0.897,0.339,-0.273,0.077
4780490,4316.0,4579.0,5089.0,0.897,0.338,-0.273,0.077
4780506,4394.0,4517.0,5125.0,0.897,0.338,-0.274,0.077
4780532,4414.0,4475.0,5119.0,0.897,0.338,-0.274,0.077
4780548,4322.0,4555.0,5175.0,0.897,0.338,-0.274,0.077
4780564,4324.0,4589.0,5289.0,0.897,0.339,-0.274,0.077
4780581,4308.0,4551.0,5289.0,0.897,0.339,-0.274,0.077
4780597,4374.0,4509.0,5353.0,0.897,0.34,-0.274,0.077
4780614,4428.0,4401.0,5351.0,0.897,0.34,-0.273,0.077
4780630,4390.0,4463.0,5351.0,0.897,0.34,-0.273,0.077
4780656,4352.0,4427.0,5297.0,0.897,0.34,-0.273,0.078
4780672,4352.0,4395.0,5251.0,0.897,0.34,-0.273,0.078
4780688,4392.0,4441.0,5159.0,0.897,0.34,-0.272,0.079
4780704,4320.0,4375.0,5153.0,0.897,0.34,-0.272,0.079
4780720,4274.0,4547.0,5095.0,0.896,0.341,-0.272,0.08
4780737,4374.0,4561.0,5101.0,0.896,0.341,-0.272,0.08
4780753,4314.0,4661.0,5099.0,0.896,0.342,-0.272,0.08
4780779,4264.0,4753.0,5287.0,0.896,0.342,-0.271,0.08
4780795,4258.0,4619.0,5369.0,0.896,0.343,-0.271,0.08
4780811,4294.0,4619.0,5437.0,0.896,0.343,-0.271,0.08
4780827,4306.0,4561.0,5397.0,0.896,0.343,-0.271,0.08
4780844,4344.0,4475.0,5335.0,0.896,0.342,-0.271,0.08
4780861,4340.0,4449.0,5247.0,0.896,0.342,-0.271,0.08
4780878,4364.0,4455.0,5165.0,0.897,0.341,-0.271,0.08
4780904,4326.0,4511.0,5135.0,0.897,0.341,-0.271,0.08
4780921,4392.0,4501.0,5155.0,0.897,0.341,-0.271,0.08
4780937,4386.0,4513.0,5109.0,0.897,0.341,-0.271,0.08
4780953,4370.0,4689.0,5037.0,0.896,0.341,-0.271,0.08
4780969,4346.0,4593.0,5143.0,0.896,0.342,-0.271,0.08
4780985,4330.0,4735.0,5207.0,0.896,0.342,-0.271,0.08
4781002,4278.0,4671.0,5283.0,0.896,0.342,-0.27,0.08
4781028,4280.0,4527.0,5315.0,0.897,0.342,-0.27,0.079
4781045,4274.0,4381.0,5421.0,0.897,0.342,-0.269,0.08
4781062,4318.0,4447.0,5357.0,0.897,0.342,-0.269,0.08
4781079,4250.0,4387.0,5275.0,0.897,0.341,-0.269,0.08
4781095,4262.0,4551.0,5271.0,0.897,0.341,-0.269,0.081
4781111,4328.0,4445.0,5221.0,0.897,0.34,-0.27,0.081
4781128,4360.0,4351.0,5165.0,0.897,0.34,-0.27,0.081
4781144,4446.0,4477.0,5137.0,0.897,0.34,-0.27,0.081
4781160,4416.0,4555.0,5073.0,0.897,0.34,-0.271,0.081
4781187,4318.0,4647.0,5183.0,0.897,0.341,-0.27,0.081
4781203,4264.0,4631.0,5245.0,0.897,0.341,-0.27,0.081
4781219,4226.0,4659.0,5371.0,0.897,0.342,-0.27,0.081
4781236,4234.0,4539.0,5355.0,0.897,0.342,-0.269,0.081
4781253,4314.0,4551.0,5379.0,0.897,0.342,-0.269,0.081
4781269,4306.0,4423.0,5333.0,0.897,0.342,-0.269,0.081
4781285,4316.0,4445.0,5187.0,0.897,0.342,-0.269,0.082
4781311,4336.0,4593.0,5127.0,0.897,0.341,-0.269,0.082
4781328,4330.0,4511.0,5149.0,0.897,0.341,-0.269,0.082
4781344,4360.0,4469.0,5149.0,0.897,0.341,-0.269,0.082
4781361,4382.0,4525.0,5105.0,0.897,0.34,-0.269,0.082
4781377,4370.0,4571.0,5149.0,0.897,0.341,-0.269,0.082
4781393,4344.0,4605.0,5185.0,0.897,0.341,-0.269,0.082
4781409,4336.0,4685.0,5217.0,0.897,0.341,-0.269,0.082
4781435,4316.0,4615.0,5241.0,0.897,0.342,-0.268,0.081
4781451,4342.0,4551.0,5351.0,0.897,0.342,-0.268,0.081
4781467,4246.0,4453.0,5381.0,0.897,0.341,-0.267,0.081
4781483,4268.0,4521.0,5335.0,0.898,0.341,-0.267,0.082
4781499,4302.0,4485.0,5301.0,0.898,0.341,-0.267,0.082
4781515,4248.0,4453.0,5277.0,0.898,0.34,-0.267,0.083
4781541,4284.0,4449.0,5213.0,0.898,0.339,-0.267,0.083
4781557,4292.0,4515.0,5139.0,0.898,0.339,-0.267,0.083
4781573,4328.0,4621.0,5069.0,0.898,0.338,-0.268,0.083
4781589,4326.0,4597.0,5163.0,0.899,0.338,-0.268,0.083
4781605,4308.0,4613.0,5195.0,0.899,0.337,-0.268,0.083
4781621,4324.0,4467.0,5291.0,0.899,0.337,-0.267,0.083
4781647,4224.0,4505.0,5335.0,0.899,0.337,-0.267,0.082
4781663,4280.0,4477.0,5413.0,0.899,0.337,-0.266,0.082
4781679,4232.0,4411.0,5507.0,0.899,0.337,-0.266,0.082
4781695,4232.0,4377.0,5485.0,0.9,0.336,-0.266,0.083
4781711,4300.0,4301.0,5351.0,0.9,0.336,-0.266,0.083
4781727,4334.0,4261.0,5327.0,0.9,0.336,-0.266,0.083
4781753,4334.0,4369.0,5289.0,0.9,0.335,-0.267,0.083
4781769,4310.0,4391.0,5227.0,0.9,0.335,-0.267,0.083
4781785,4352.0,4493.0,5203.0,0.899,0.336,-0.267,0.083
4781801,4386.0,4531.0,5171.0,0.899,0.336,-0.267,0.083
4781817,4454.0,4551.0,5163.0,0.899,0.337,-0.267,0.083
4781833,4420.0,4599.0,5261.0,0.899,0.338,-0.266,0.083
4781859,4358.0,4533.0,5333.0,0.899,0.339,-0.266,0.083
4781875,4302.0,4415.0,5399.0,0.899,0.34,-0.265,0.084
4781891,4252.0,4613.0,5397.0,0.899,0.34,-0.264,0.084
4781907,4214.0,4591.0,5357.0,0.899,0.341,-0.263,0.085
4781923,4218.0,4449.0,5371.0,0.899,0.341,-0.263,0.085
