timestamp,ax,ay,az,q0,q1,q2,q3
7358115,5962.0,4826.0,2949.0,0.742,0.509,-0.279,0.335
7358131,6052.0,4502.0,2847.0,0.743,0.506,-0.282,0.335
7358157,6084.0,4450.0,2883.0,0.743,0.504,-0.284,0.336
7358173,6020.0,4638.0,3037.0,0.744,0.502,-0.287,0.336
7358189,6014.0,4462.0,3069.0,0.745,0.499,-0.29,0.336
7358205,6074.0,4180.0,2969.0,0.745,0.497,-0.292,0.336
7358221,6212.0,4028.0,2977.0,0.746,0.494,-0.295,0.335
7358237,6296.0,3972.0,3031.0,0.746,0.492,-0.298,0.335
7358263,6348.0,4050.0,3123.0,0.746,0.49,-0.3,0.335
7358279,6194.0,4156.0,3211.0,0.746,0.489,-0.303,0.335
7358300,6214.0,4292.0,3213.0,0.746,0.488,-0.306,0.335
7358316,6288.0,4162.0,3087.0,0.746,0.486,-0.309,0.335
7358333,6430.0,4046.0,3043.0,0.745,0.485,-0.312,0.336
7358350,6476.0,3896.0,2957.0,0.743,0.485,-0.315,0.337
7358366,6562.0,3866.0,2895.0,0.742,0.484,-0.318,0.338
7358382,6356.0,3830.0,2633.0,0.74,0.484,-0.32,0.34
7358398,6552.0,3836.0,3011.0,0.738,0.485,-0.322,0.342
7358415,6552.0,3996.0,2993.0,0.735,0.485,-0.324,0.345
7358431,6540.0,3984.0,2991.0,0.733,0.486,-0.326,0.347
7358458,6562.0,3764.0,3059.0,0.731,0.486,-0.327,0.351
7358475,6560.0,3618.0,3083.0,0.728,0.487,-0.328,0.354
7358492,6466.0,3374.0,2969.0,0.725,0.488,-0.329,0.359
7358508,6604.0,3822.0,2997.0,0.721,0.489,-0.329,0.363
7358525,6516.0,3942.0,2937.0,0.718,0.491,-0.329,0.368
7358541,6566.0,3860.0,2867.0,0.715,0.492,-0.329,0.373
7358557,6652.0,3834.0,2831.0,0.711,0.493,-0.329,0.378
7358573,6656.0,3850.0,2507.0,0.708,0.494,-0.329,0.383
7358600,6716.0,4092.0,2345.0,0.704,0.495,-0.329,0.388
7358616,6752.0,4640.0,2429.0,0.702,0.495,-0.33,0.393
7358632,6810.0,3972.0,2509.0,0.699,0.494,-0.331,0.397
7358648,6906.0,3740.0,2529.0,0.697,0.493,-0.332,0.401
7358664,6906.0,3770.0,2421.0,0.695,0.492,-0.334,0.405
7358680,6904.0,3544.0,2477.0,0.693,0.491,-0.335,0.409
7358697,6818.0,3546.0,2601.0,0.691,0.489,-0.337,0.413
7358723,6866.0,3454.0,2623.0,0.688,0.488,-0.338,0.416
7358739,7048.0,3382.0,2635.0,0.687,0.487,-0.34,0.42
7358755,7022.0,3486.0,2549.0,0.685,0.485,-0.341,0.423
7358771,7198.0,3050.0,2861.0,0.684,0.483,-0.342,0.426
7358787,7376.0,3438.0,2911.0,0.682,0.482,-0.343,0.43
7358803,7222.0,3080.0,2599.0,0.681,0.48,-0.343,0.433
7358829,7324.0,2816.0,2407.0,0.681,0.478,-0.343,0.437
7358845,7296.0,3168.0,2927.0,0.68,0.476,-0.342,0.441
7358861,7220.0,3518.0,2975.0,0.679,0.474,-0.341,0.444
7358877,7202.0,3250.0,2815.0,0.679,0.472,-0.341,0.447
7358893,7222.0,2522.0,2725.0,0.679,0.47,-0.341,0.449
7358909,7300.0,2554.0,2917.0,0.679,0.467,-0.341,0.452
7358935,7178.0,2832.0,2953.0,0.679,0.465,-0.34,0.455
7358951,7092.0,2730.0,3087.0,0.679,0.463,-0.34,0.458
7358967,7060.0,2408.0,2985.0,0.678,0.46,-0.34,0.461
7358983,7154.0,2170.0,3065.0,0.678,0.458,-0.339,0.464
7358999,7166.0,2344.0,3191.0,0.678,0.456,-0.338,0.467
7359015,7022.0,2270.0,3079.0,0.677,0.455,-0.337,0.47
7359041,7138.0,2030.0,3069.0,0.677,0.453,-0.336,0.473
