timestamp,ax,ay,az,q0,q1,q2,q3
3192965,2189.0,4057.0,6513.0,0.932,0.308,-0.137,0.136
3192981,2141.0,4121.0,6547.0,0.931,0.309,-0.136,0.137
3192997,2179.0,4137.0,6501.0,0.931,0.31,-0.136,0.137
3193023,2223.0,4245.0,6443.0,0.93,0.311,-0.135,0.138
3193039,2259.0,4283.0,6515.0,0.93,0.312,-0.135,0.139
3193056,2131.0,4225.0,6437.0,0.93,0.314,-0.135,0.139
3193073,2169.0,4315.0,6425.0,0.929,0.315,-0.134,0.14
3193090,2229.0,4425.0,6373.0,0.929,0.316,-0.134,0.14
3193106,2225.0,4461.0,6397.0,0.928,0.317,-0.134,0.141
3193122,2153.0,4435.0,6383.0,0.928,0.318,-0.134,0.141
3193148,2241.0,4485.0,6295.0,0.927,0.319,-0.134,0.141
3193164,2349.0,4507.0,6295.0,0.927,0.32,-0.134,0.141
3193180,2353.0,4575.0,6243.0,0.927,0.321,-0.134,0.141
3193196,2331.0,4385.0,6289.0,0.927,0.321,-0.134,0.142
3193212,2329.0,4447.0,6243.0,0.927,0.322,-0.134,0.142
3193228,2333.0,4409.0,6333.0,0.926,0.322,-0.133,0.142
3193254,2195.0,4437.0,6365.0,0.926,0.322,-0.133,0.143
3193270,2255.0,4535.0,6361.0,0.926,0.323,-0.133,0.143
3193286,2253.0,4573.0,6301.0,0.926,0.323,-0.133,0.143
3193302,2227.0,4489.0,6289.0,0.926,0.323,-0.133,0.144
3193318,2249.0,4419.0,6337.0,0.926,0.322,-0.132,0.144
3193334,2181.0,4441.0,6365.0,0.926,0.322,-0.132,0.144
3193351,2203.0,4427.0,6317.0,0.926,0.322,-0.132,0.144
3193377,2181.0,4497.0,6315.0,0.926,0.322,-0.132,0.145
3193393,2213.0,4357.0,6391.0,0.926,0.322,-0.132,0.145
3193409,2223.0,4259.0,6385.0,0.926,0.321,-0.132,0.145
3193426,2223.0,4307.0,6343.0,0.927,0.321,-0.132,0.145
3193443,2223.0,4329.0,6363.0,0.927,0.321,-0.132,0.145
3193459,2259.0,4315.0,6365.0,0.927,0.321,-0.132,0.145
3193475,2237.0,4307.0,6361.0,0.927,0.321,-0.132,0.145
3193501,2315.0,4305.0,6311.0,0.927,0.321,-0.132,0.146
3193518,2273.0,4303.0,6385.0,0.927,0.321,-0.132,0.146
3193534,2285.0,4299.0,6355.0,0.927,0.321,-0.131,0.146
3193550,2255.0,4343.0,6327.0,0.927,0.321,-0.131,0.146
3193567,2321.0,4333.0,6347.0,0.927,0.321,-0.131,0.146
3193583,2275.0,4351.0,6431.0,0.927,0.321,-0.131,0.146
3193599,2235.0,4331.0,6399.0,0.927,0.321,-0.13,0.146
3193625,2263.0,4357.0,6395.0,0.927,0.321,-0.13,0.146
3193641,2191.0,4347.0,6341.0,0.927,0.321,-0.13,0.146
3193658,2203.0,4369.0,6327.0,0.927,0.321,-0.129,0.147
3193674,2197.0,4391.0,6365.0,0.926,0.322,-0.129,0.147
3193690,2237.0,4409.0,6327.0,0.926,0.322,-0.129,0.147
3193707,2257.0,4389.0,6319.0,0.926,0.322,-0.129,0.147
3193723,2245.0,4323.0,6363.0,0.926,0.322,-0.129,0.148
3193750,2251.0,4393.0,6311.0,0.926,0.322,-0.128,0.148
3193766,2237.0,4391.0,6345.0,0.926,0.322,-0.128,0.148
3193782,2275.0,4353.0,6331.0,0.926,0.322,-0.128,0.148
3193798,2215.0,4413.0,6319.0,0.926,0.322,-0.128,0.148
3193814,2245.0,4405.0,6321.0,0.926,0.322,-0.128,0.149
3193831,2247.0,4333.0,6365.0,0.926,0.322,-0.127,0.149
3193847,2179.0,4351.0,6325.0,0.926,0.322,-0.127,0.149
3193874,2267.0,4391.0,6365.0,0.926,0.322,-0.127,0.149
3193890,2211.0,4389.0,6365.0,0.926,0.322,-0.127,0.149
3193906,2207.0,4399.0,6351.0,0.926,0.322,-0.127,0.149
3193922,2259.0,4425.0,6315.0,0.926,0.322,-0.127,0.149
3193938,2241.0,4363.0,6327.0,0.926,0.322,-0.126,0.149
3193955,2251.0,4411.0,6353.0,0.926,0.322,-0.126,0.149
3193972,2265.0,4427.0,6327.0,0.926,0.322,-0.126,0.149
3193998,2271.0,4363.0,6367.0,0.926,0.322,-0.126,0.149
3194014,2245.0,4347.0,6359.0,0.926,0.322,-0.126,0.15
3194030,2245.0,4365.0,6311.0,0.926,0.322,-0.126,0.15
3194046,2229.0,4343.0,6307.0,0.926,0.322,-0.125,0.15
3194062,2203.0,4361.0,6335.0,0.926,0.322,-0.125,0.15
3194079,2211.0,4367.0,6323.0,0.926,0.322,-0.125,0.15
3194095,2223.0,4367.0,6351.0,0.926,0.322,-0.125,0.151
3194121,2271.0,4429.0,6297.0,0.926,0.322,-0.124,0.151
3194137,2215.0,4445.0,6327.0,0.926,0.322,-0.124,0.151
3194153,2229.0,4423.0,6337.0,0.926,0.322,-0.124,0.151
3194169,2235.0,4387.0,6281.0,0.926,0.322,-0.124,0.151
3194186,2201.0,4411.0,6323.0,0.926,0.322,-0.124,0.151
3194203,2155.0,4379.0,6291.0,0.926,0.322,-0.124,0.151
3194219,2199.0,4429.0,6339.0,0.926,0.322,-0.123,0.152
3194245,2179.0,4393.0,6323.0,0.926,0.322,-0.123,0.152
3194261,2177.0,4405.0,6349.0,0.926,0.322,-0.123,0.152
3194277,2195.0,4369.0,6343.0,0.926,0.322,-0.123,0.152
3194293,2213.0,4415.0,6313.0,0.926,0.322,-0.123,0.152
3194309,2177.0,4449.0,6343.0,0.926,0.322,-0.123,0.152
3194325,2169.0,4413.0,6345.0,0.926,0.322,-0.122,0.152
3194351,2233.0,4415.0,6333.0,0.926,0.322,-0.122,0.152
3194367,2207.0,4375.0,6371.0,0.926,0.322,-0.122,0.152
3194383,2181.0,4399.0,6315.0,0.926,0.322,-0.122,0.152
3194399,2223.0,4381.0,6357.0,0.926,0.322,-0.122,0.153
3194415,2239.0,4373.0,6337.0,0.926,0.322,-0.122,0.153
3194431,2201.0,4459.0,6363.0,0.926,0.322,-0.122,0.153
3194457,2223.0,4389.0,6339.0,0.926,0.322,-0.121,0.153
3194474,2201.0,4421.0,6343.0,0.926,0.322,-0.121,0.153
3194490,2217.0,4399.0,6293.0,0.926,0.322,-0.121,0.154
3194506,2201.0,4369.0,6307.0,0.926,0.322,-0.121,0.154
3194522,2207.0,4393.0,6325.0,0.926,0.322,-0.121,0.154
3194538,2221.0,4439.0,6347.0,0.926,0.322,-0.121,0.154
3194564,2147.0,4395.0,6315.0,0.926,0.322,-0.121,0.154
