timestamp,ax,ay,az,q0,q1,q2,q3
4010737,-1258.0,7628.0,357.0,0.682,0.656,0.256,0.2
4010754,-1328.0,7812.0,557.0,0.683,0.657,0.251,0.196
4010770,-1422.0,7972.0,561.0,0.684,0.659,0.246,0.193
4010786,-1356.0,8260.0,493.0,0.684,0.661,0.242,0.191
4010812,-1068.0,8612.0,471.0,0.685,0.663,0.237,0.189
4010828,-840.0,8756.0,461.0,0.685,0.664,0.232,0.189
4010844,-460.0,8350.0,363.0,0.685,0.666,0.228,0.189
4010861,-594.0,7620.0,111.0,0.684,0.667,0.225,0.189
4010877,-614.0,7520.0,-381.0,0.682,0.669,0.224,0.19
4010893,-650.0,6762.0,-441.0,0.679,0.672,0.226,0.191
4010909,-640.0,6542.0,-203.0,0.673,0.676,0.229,0.191
4010936,-794.0,8264.0,-321.0,0.667,0.681,0.234,0.192
4010953,-690.0,8324.0,-97.0,0.662,0.684,0.239,0.192
4010970,-492.0,8282.0,-1.0,0.657,0.687,0.244,0.194
4010987,-406.0,8016.0,-117.0,0.652,0.689,0.25,0.195
4011003,-198.0,8564.0,-249.0,0.647,0.69,0.256,0.197
4011020,-308.0,8460.0,-189.0,0.644,0.691,0.262,0.199
4011036,-584.0,7994.0,-251.0,0.641,0.691,0.268,0.202
4011053,-774.0,8338.0,-347.0,0.637,0.691,0.274,0.204
4011069,-760.0,8208.0,-203.0,0.635,0.69,0.279,0.206
4011086,-780.0,8084.0,-13.0,0.632,0.69,0.285,0.208
4011113,-678.0,7768.0,-55.0,0.629,0.69,0.291,0.209
4011129,-642.0,7836.0,-271.0,0.626,0.69,0.297,0.211
4011146,-676.0,7890.0,-487.0,0.623,0.689,0.303,0.212
4011163,-930.0,8684.0,-785.0,0.62,0.688,0.309,0.214
4011179,-954.0,8782.0,-961.0,0.618,0.687,0.316,0.216
4011195,-986.0,9126.0,-1177.0,0.618,0.683,0.321,0.22
4011211,-1058.0,8404.0,-899.0,0.618,0.679,0.327,0.224
4011237,-1114.0,7484.0,-1079.0,0.617,0.676,0.332,0.228
4011253,-1506.0,8128.0,-1131.0,0.615,0.674,0.336,0.232
4011269,-1846.0,9700.0,-1193.0,0.615,0.671,0.339,0.237
4011285,-2080.0,9864.0,-289.0,0.618,0.667,0.339,0.242
4011302,-2128.0,8520.0,659.0,0.623,0.662,0.337,0.247
