timestamp,ax,ay,az,q0,q1,q2,q3
7430739,10454.0,20867.0,-1683.0,0.635,0.625,0.028,0.453
7430755,14738.0,17125.0,303.0,0.67,0.615,0.002,0.416
7430781,14240.0,12755.0,3417.0,0.712,0.587,-0.025,0.384
7430797,12828.0,6849.0,5127.0,0.755,0.548,-0.05,0.357
7430813,10552.0,2607.0,5681.0,0.793,0.504,-0.067,0.337
7430829,6960.0,-883.0,5855.0,0.823,0.463,-0.077,0.32
7430845,3322.0,-2559.0,6325.0,0.845,0.432,-0.081,0.305
7430861,578.0,-2493.0,7753.0,0.858,0.415,-0.083,0.291
7430888,310.0,-1509.0,9409.0,0.861,0.417,-0.086,0.278
7430904,1356.0,1411.0,9885.0,0.857,0.433,-0.089,0.267
7430920,2638.0,4243.0,9487.0,0.848,0.455,-0.092,0.258
7430937,3336.0,7565.0,8193.0,0.838,0.476,-0.092,0.251
7430954,3166.0,9501.0,7195.0,0.832,0.49,-0.088,0.246
7430971,3008.0,10199.0,6435.0,0.83,0.496,-0.081,0.243
7430988,2372.0,9283.0,5927.0,0.832,0.493,-0.07,0.243
7431004,1346.0,7561.0,5429.0,0.837,0.487,-0.058,0.243
7431021,130.0,4847.0,5051.0,0.842,0.48,-0.044,0.243
7431048,-1198.0,1991.0,4527.0,0.843,0.479,-0.028,0.243
7431065,-2494.0,67.0,4143.0,0.838,0.488,-0.009,0.243
7431082,-3848.0,355.0,2945.0,0.826,0.51,0.013,0.242
7431099,-5148.0,1565.0,1641.0,0.807,0.539,0.034,0.239
7431116,-5988.0,2377.0,687.0,0.785,0.571,0.053,0.234
7431133,-6762.0,3547.0,-39.0,0.76,0.605,0.07,0.228
7431149,-6504.0,4805.0,-219.0,0.734,0.636,0.082,0.221
7431165,-5448.0,7201.0,-15.0,0.711,0.663,0.085,0.218
7431181,-4806.0,8867.0,-235.0,0.695,0.681,0.081,0.217
7431198,-3338.0,9757.0,-477.0,0.688,0.688,0.071,0.221
7431225,-1998.0,9455.0,-1343.0,0.691,0.684,0.055,0.229
7431242,-1864.0,7001.0,-2731.0,0.702,0.67,0.033,0.239
