timestamp,ax,ay,az,q0,q1,q2,q3
7941127,-164.0,8065.0,-134.0,0.664,0.657,0.26,0.244
7941143,-326.0,8521.0,156.0,0.665,0.65,0.272,0.25
7941169,-840.0,8121.0,490.0,0.665,0.642,0.283,0.255
7941185,-432.0,8005.0,286.0,0.665,0.635,0.295,0.261
7941201,-868.0,7579.0,-98.0,0.664,0.628,0.306,0.266
7941217,-1322.0,8111.0,-232.0,0.662,0.622,0.317,0.271
7941233,-1900.0,8171.0,324.0,0.661,0.617,0.327,0.277
7941249,-2864.0,9481.0,1004.0,0.66,0.611,0.334,0.281
7941275,-3350.0,8337.0,1552.0,0.661,0.607,0.337,0.284
7941292,-3530.0,7945.0,1614.0,0.663,0.605,0.337,0.285
7941308,-3280.0,7933.0,1550.0,0.665,0.605,0.334,0.283
7941325,-2896.0,8285.0,1340.0,0.669,0.605,0.328,0.28
7941341,-2354.0,8193.0,1050.0,0.674,0.606,0.321,0.275
7941358,-1916.0,8079.0,1008.0,0.678,0.607,0.312,0.27
7941374,-1144.0,8601.0,1020.0,0.682,0.609,0.304,0.266
7941400,-806.0,8085.0,798.0,0.686,0.611,0.295,0.263
7941416,-888.0,7939.0,1276.0,0.689,0.613,0.288,0.26
7941432,-538.0,7521.0,1272.0,0.691,0.614,0.281,0.258
7941448,-666.0,7461.0,1208.0,0.692,0.615,0.276,0.257
7941465,-832.0,7807.0,1166.0,0.693,0.616,0.273,0.256
7941482,-496.0,7505.0,1390.0,0.694,0.616,0.271,0.256
7941498,-598.0,7297.0,1338.0,0.693,0.617,0.27,0.256
7941514,-664.0,7369.0,1256.0,0.692,0.618,0.271,0.257
7941541,-886.0,7827.0,1304.0,0.69,0.619,0.274,0.257
7941557,-1110.0,8047.0,1236.0,0.688,0.619,0.276,0.258
7941573,-1044.0,7735.0,1246.0,0.685,0.62,0.28,0.259
7941590,-1422.0,8191.0,1144.0,0.683,0.621,0.284,0.26
7941606,-1734.0,8451.0,1254.0,0.68,0.621,0.288,0.261
7941622,-1298.0,8033.0,980.0,0.678,0.622,0.292,0.262
7941639,-1216.0,7951.0,804.0,0.675,0.622,0.297,0.262
7941665,-1014.0,8291.0,406.0,0.672,0.623,0.302,0.263
7941681,-1276.0,8123.0,626.0,0.668,0.624,0.308,0.263
7941697,-1364.0,7957.0,628.0,0.665,0.625,0.313,0.264
7941714,-1456.0,8107.0,528.0,0.661,0.626,0.318,0.264
7941730,-1378.0,8045.0,368.0,0.657,0.628,0.322,0.264
7941746,-1196.0,8361.0,88.0,0.653,0.629,0.327,0.265
7941762,-1274.0,8779.0,86.0,0.65,0.63,0.331,0.266
7941789,-1458.0,8497.0,126.0,0.648,0.63,0.335,0.267
7941805,-1616.0,8219.0,152.0,0.646,0.63,0.338,0.269
7941821,-1546.0,7395.0,172.0,0.644,0.63,0.341,0.27
7941837,-1522.0,7651.0,2.0,0.641,0.631,0.344,0.271
7941854,-1534.0,7983.0,-94.0,0.638,0.631,0.347,0.271
7941871,-1604.0,8207.0,-156.0,0.636,0.632,0.35,0.271
7941888,-1520.0,8211.0,-110.0,0.634,0.632,0.353,0.272
7941905,-1570.0,8187.0,-126.0,0.632,0.633,0.356,0.272
7941922,-1536.0,8359.0,-238.0,0.63,0.633,0.358,0.273
7941948,-1582.0,8301.0,-230.0,0.629,0.633,0.36,0.274
7941965,-1604.0,8001.0,-242.0,0.628,0.632,0.362,0.274
7941981,-1710.0,8187.0,-408.0,0.627,0.632,0.364,0.275
7941998,-1798.0,8511.0,-392.0,0.626,0.631,0.365,0.276
7942014,-1782.0,8155.0,-238.0,0.626,0.631,0.366,0.277
7942031,-1742.0,7821.0,-208.0,0.626,0.63,0.367,0.277
7942047,-1650.0,7809.0,-318.0,0.626,0.63,0.367,0.278
7942063,-1938.0,7831.0,-206.0,0.625,0.63,0.368,0.278
