timestamp,ax,ay,az,q0,q1,q2,q3
5003105,1502.0,6888.0,4131.0,0.86,0.49,-0.039,0.133
5003131,1640.0,6858.0,4195.0,0.861,0.49,-0.039,0.133
5003147,1635.0,6847.0,4316.0,0.861,0.489,-0.039,0.134
5003163,1649.0,6797.0,4278.0,0.861,0.488,-0.039,0.134
5003179,1726.0,6796.0,4345.0,0.862,0.488,-0.039,0.135
5003196,1639.0,6807.0,4255.0,0.861,0.488,-0.038,0.135
5003212,1596.0,6828.0,4244.0,0.861,0.489,-0.038,0.136
5003228,1603.0,6872.0,4184.0,0.861,0.489,-0.037,0.136
5003255,1546.0,6853.0,4170.0,0.861,0.489,-0.037,0.136
5003271,1584.0,6877.0,4176.0,0.86,0.49,-0.036,0.137
5003287,1622.0,6899.0,4154.0,0.86,0.49,-0.036,0.137
5003303,1620.0,6939.0,4134.0,0.86,0.491,-0.035,0.138
5003319,1574.0,6963.0,4118.0,0.859,0.491,-0.035,0.138
5003335,1524.0,6915.0,4146.0,0.859,0.492,-0.035,0.138
5003351,1530.0,6959.0,4100.0,0.859,0.492,-0.034,0.139
5003377,1554.0,6933.0,4076.0,0.859,0.492,-0.034,0.139
5003393,1566.0,6891.0,4082.0,0.859,0.492,-0.034,0.14
5003409,1584.0,6935.0,4116.0,0.859,0.491,-0.034,0.14
5003425,1586.0,6919.0,4144.0,0.859,0.491,-0.033,0.141
5003441,1548.0,6833.0,4196.0,0.859,0.491,-0.033,0.141
5003462,1516.0,6895.0,4240.0,0.859,0.49,-0.033,0.142
5003478,1544.0,6877.0,4180.0,0.859,0.49,-0.033,0.142
5003494,1568.0,6877.0,4218.0,0.86,0.49,-0.033,0.143
5003511,1596.0,6853.0,4200.0,0.86,0.489,-0.033,0.143
5003537,1592.0,6897.0,4164.0,0.86,0.489,-0.033,0.144
5003553,1658.0,6877.0,4200.0,0.86,0.489,-0.033,0.144
5003569,1622.0,6855.0,4234.0,0.86,0.488,-0.033,0.145
5003585,1626.0,6837.0,4224.0,0.86,0.488,-0.033,0.145
5003601,1656.0,6859.0,4222.0,0.86,0.488,-0.033,0.146
5003617,1654.0,6837.0,4232.0,0.86,0.487,-0.033,0.146
5003643,1624.0,6861.0,4272.0,0.86,0.487,-0.033,0.147
5003660,1598.0,6801.0,4298.0,0.86,0.487,-0.032,0.147
5003677,1652.0,6787.0,4250.0,0.86,0.487,-0.032,0.148
5003694,1580.0,6795.0,4254.0,0.86,0.487,-0.032,0.148
5003710,1618.0,6877.0,4270.0,0.86,0.487,-0.032,0.149
5003726,1570.0,6811.0,4242.0,0.86,0.486,-0.031,0.149
5003742,1628.0,6819.0,4218.0,0.86,0.486,-0.031,0.15
5003759,1612.0,6829.0,4278.0,0.86,0.486,-0.031,0.15
5003785,1638.0,6837.0,4312.0,0.86,0.486,-0.031,0.151
5003802,1650.0,6845.0,4236.0,0.86,0.486,-0.031,0.151
5003818,1636.0,6827.0,4226.0,0.86,0.486,-0.031,0.152
5003835,1626.0,6809.0,4262.0,0.86,0.486,-0.03,0.152
5003851,1650.0,6819.0,4288.0,0.86,0.486,-0.03,0.152
5003867,1602.0,6807.0,4278.0,0.86,0.486,-0.03,0.153
5003884,1632.0,6777.0,4252.0,0.86,0.486,-0.03,0.153
5003900,1652.0,6851.0,4228.0,0.86,0.485,-0.03,0.154
5003926,1640.0,6827.0,4278.0,0.86,0.485,-0.029,0.154
5003942,1650.0,6787.0,4280.0,0.86,0.485,-0.029,0.155
5003962,1678.0,6889.0,4250.0,0.86,0.485,-0.029,0.155
5003978,1626.0,6827.0,4246.0,0.86,0.485,-0.029,0.155
5003994,1638.0,6835.0,4244.0,0.86,0.485,-0.029,0.156
5004011,1640.0,6803.0,4282.0,0.86,0.485,-0.028,0.156
5004027,1632.0,6879.0,4244.0,0.86,0.485,-0.028,0.157
5004043,1636.0,6825.0,4292.0,0.86,0.485,-0.028,0.157
5004059,1632.0,6749.0,4324.0,0.86,0.485,-0.028,0.157
5004085,1626.0,6843.0,4330.0,0.86,0.485,-0.028,0.157
5004101,1566.0,6805.0,4262.0,0.86,0.485,-0.028,0.158
5004117,1622.0,6811.0,4220.0,0.86,0.485,-0.028,0.158
5004133,1680.0,6805.0,4330.0,0.86,0.485,-0.027,0.159
5004149,1638.0,6755.0,4298.0,0.86,0.485,-0.027,0.159
5004165,1660.0,6761.0,4314.0,0.86,0.485,-0.027,0.16
5004191,1696.0,6799.0,4292.0,0.859,0.485,-0.027,0.16
5004207,1678.0,6831.0,4262.0,0.859,0.485,-0.027,0.161
5004223,1626.0,6815.0,4306.0,0.859,0.485,-0.026,0.161
5004240,1614.0,6841.0,4266.0,0.859,0.485,-0.026,0.161
5004257,1626.0,6845.0,4262.0,0.859,0.485,-0.026,0.162
5004274,1620.0,6821.0,4256.0,0.859,0.485,-0.026,0.163
5004291,1680.0,6849.0,4244.0,0.859,0.485,-0.026,0.163
5004307,1626.0,6827.0,4268.0,0.859,0.485,-0.025,0.163
5004333,1582.0,6775.0,4282.0,0.859,0.484,-0.025,0.164
5004349,1616.0,6819.0,4322.0,0.859,0.484,-0.025,0.164
5004365,1606.0,6777.0,4250.0,0.859,0.484,-0.025,0.164
