timestamp,ax,ay,az,q0,q1,q2,q3
3614764,1148.0,703.0,7190.0,0.918,0.111,-0.066,0.374
3614780,1016.0,681.0,7250.0,0.918,0.111,-0.066,0.374
3614796,896.0,599.0,7408.0,0.918,0.11,-0.066,0.374
3614812,840.0,521.0,7470.0,0.918,0.11,-0.067,0.375
3614828,988.0,713.0,7892.0,0.918,0.111,-0.067,0.376
3614854,1114.0,937.0,8558.0,0.917,0.112,-0.066,0.376
3614870,1120.0,997.0,9014.0,0.917,0.113,-0.066,0.377
3614886,1168.0,1023.0,8974.0,0.916,0.113,-0.065,0.379
3614902,1258.0,1101.0,8710.0,0.916,0.114,-0.064,0.38
3614918,1258.0,1201.0,8282.0,0.915,0.115,-0.064,0.381
3614934,1248.0,1229.0,7914.0,0.915,0.115,-0.063,0.382
3614960,1114.0,1267.0,7576.0,0.915,0.115,-0.063,0.382
3614977,1092.0,1267.0,7560.0,0.915,0.115,-0.063,0.382
3614993,1078.0,1307.0,7602.0,0.915,0.115,-0.063,0.382
3615010,1190.0,1323.0,7764.0,0.915,0.116,-0.064,0.382
3615026,1158.0,1215.0,7932.0,0.915,0.117,-0.064,0.382
3615043,1322.0,1217.0,8128.0,0.915,0.118,-0.064,0.381
3615060,1430.0,1179.0,8504.0,0.915,0.12,-0.064,0.381
3615076,1606.0,1081.0,8472.0,0.915,0.122,-0.063,0.38
3615102,1534.0,1149.0,8258.0,0.914,0.124,-0.062,0.38
3615118,1516.0,1089.0,7956.0,0.914,0.126,-0.06,0.381
3615134,1356.0,1183.0,7714.0,0.913,0.128,-0.058,0.382
3615150,1250.0,1133.0,7562.0,0.913,0.13,-0.055,0.383
3615166,1068.0,1213.0,7544.0,0.913,0.132,-0.052,0.383
3615182,804.0,1375.0,7696.0,0.912,0.134,-0.049,0.384
3615208,506.0,1565.0,7928.0,0.912,0.136,-0.046,0.385
3615224,300.0,1697.0,8206.0,0.911,0.138,-0.044,0.386
3615240,248.0,1727.0,8262.0,0.911,0.139,-0.042,0.387
3615256,406.0,1645.0,8258.0,0.91,0.141,-0.041,0.388
3615272,508.0,1609.0,8152.0,0.909,0.142,-0.04,0.389
3615288,704.0,1667.0,7990.0,0.909,0.142,-0.04,0.39
3615305,802.0,1727.0,7894.0,0.909,0.143,-0.04,0.39
3615331,912.0,1725.0,7834.0,0.908,0.142,-0.041,0.391
3615348,1004.0,1835.0,7794.0,0.908,0.142,-0.041,0.391
3615365,1188.0,1903.0,7842.0,0.908,0.14,-0.042,0.392
3615381,1172.0,1901.0,7892.0,0.908,0.139,-0.043,0.392
3615397,1264.0,1889.0,7978.0,0.908,0.137,-0.044,0.392
3615413,1344.0,1783.0,8068.0,0.909,0.135,-0.045,0.393
3615429,1360.0,1707.0,8038.0,0.909,0.134,-0.046,0.393
3615455,1344.0,1549.0,8034.0,0.909,0.132,-0.047,0.393
3615471,1300.0,1543.0,8008.0,0.909,0.131,-0.047,0.394
3615487,1140.0,1523.0,8068.0,0.909,0.13,-0.048,0.394
3615503,1080.0,1479.0,8024.0,0.909,0.129,-0.048,0.394
3615520,934.0,1449.0,7992.0,0.909,0.129,-0.048,0.394
3615536,924.0,1397.0,7994.0,0.909,0.128,-0.048,0.394
3615553,824.0,1343.0,7934.0,0.909,0.128,-0.048,0.394
3615579,844.0,1389.0,7906.0,0.909,0.129,-0.048,0.395
3615595,884.0,1501.0,7882.0,0.908,0.129,-0.048,0.395
3615611,870.0,1517.0,7952.0,0.908,0.13,-0.047,0.395
3615628,968.0,1549.0,8012.0,0.908,0.131,-0.047,0.395
3615644,982.0,1593.0,8000.0,0.908,0.131,-0.046,0.396
3615661,1102.0,1583.0,8006.0,0.908,0.132,-0.046,0.396
3615677,962.0,1547.0,8004.0,0.907,0.132,-0.046,0.396
3615703,992.0,1613.0,7890.0,0.907,0.132,-0.046,0.396
3615719,1040.0,1665.0,7904.0,0.908,0.132,-0.046,0.396
3615735,1084.0,1681.0,7878.0,0.908,0.132,-0.046,0.396
3615751,1124.0,1705.0,8024.0,0.908,0.132,-0.046,0.395
