timestamp,ax,ay,az,q0,q1,q2,q3
4578828,8145.0,1314.0,-885.0,0.468,0.605,-0.443,0.468
4578855,8063.0,1208.0,-893.0,0.468,0.604,-0.444,0.468
4578871,8109.0,1224.0,-925.0,0.468,0.604,-0.444,0.469
4578887,8041.0,1156.0,-923.0,0.468,0.603,-0.444,0.469
4578903,8037.0,1198.0,-903.0,0.468,0.603,-0.444,0.47
4578919,7991.0,1228.0,-883.0,0.468,0.602,-0.444,0.47
4578935,7933.0,1250.0,-953.0,0.468,0.602,-0.444,0.471
4578961,7975.0,1340.0,-933.0,0.468,0.601,-0.444,0.471
4578978,8029.0,1352.0,-915.0,0.469,0.601,-0.444,0.472
4578995,8065.0,1306.0,-889.0,0.469,0.6,-0.444,0.472
4579012,8097.0,1256.0,-843.0,0.469,0.599,-0.444,0.473
4579028,8105.0,1360.0,-863.0,0.469,0.599,-0.445,0.473
4579044,8183.0,1218.0,-885.0,0.468,0.599,-0.445,0.474
4579061,8137.0,1322.0,-965.0,0.468,0.598,-0.445,0.474
4579078,8127.0,1284.0,-919.0,0.468,0.598,-0.445,0.475
4579095,8045.0,1154.0,-1021.0,0.468,0.598,-0.445,0.475
4579112,7987.0,1198.0,-973.0,0.468,0.597,-0.444,0.475
4579138,8017.0,1300.0,-999.0,0.469,0.597,-0.444,0.476
4579154,7973.0,1290.0,-933.0,0.469,0.597,-0.444,0.476
4579170,7941.0,1334.0,-881.0,0.469,0.597,-0.444,0.477
4579186,7963.0,1274.0,-831.0,0.469,0.597,-0.444,0.477
4579203,8009.0,1214.0,-869.0,0.469,0.597,-0.444,0.477
4579219,8025.0,1250.0,-951.0,0.469,0.597,-0.444,0.477
4579245,8111.0,1318.0,-877.0,0.469,0.597,-0.443,0.477
4579262,8129.0,1384.0,-809.0,0.469,0.597,-0.443,0.477
4579279,8059.0,1196.0,-959.0,0.469,0.597,-0.443,0.477
4579295,8087.0,1140.0,-941.0,0.469,0.597,-0.443,0.477
4579312,8057.0,1184.0,-931.0,0.469,0.597,-0.443,0.477
4579329,7997.0,1222.0,-917.0,0.469,0.597,-0.442,0.477
4579345,8011.0,1200.0,-957.0,0.469,0.598,-0.442,0.477
4579361,7999.0,1274.0,-927.0,0.469,0.598,-0.441,0.477
4579378,7983.0,1236.0,-849.0,0.469,0.599,-0.44,0.478
4579404,7965.0,1310.0,-895.0,0.469,0.599,-0.44,0.478
4579420,7983.0,1308.0,-869.0,0.469,0.599,-0.439,0.477
4579436,8005.0,1206.0,-925.0,0.469,0.6,-0.439,0.477
4579452,8033.0,1226.0,-893.0,0.469,0.6,-0.439,0.477
4579468,8033.0,1344.0,-915.0,0.469,0.601,-0.438,0.477
4579484,8011.0,1400.0,-887.0,0.469,0.601,-0.438,0.476
4579510,8027.0,1382.0,-873.0,0.468,0.601,-0.438,0.476
4579526,7999.0,1296.0,-877.0,0.469,0.602,-0.439,0.475
4579543,8045.0,1246.0,-907.0,0.469,0.602,-0.439,0.475
4579560,7943.0,1242.0,-907.0,0.469,0.602,-0.439,0.475
4579577,8069.0,1116.0,-887.0,0.469,0.602,-0.439,0.474
4579593,8077.0,1258.0,-853.0,0.468,0.603,-0.439,0.474
4579609,8033.0,1258.0,-919.0,0.468,0.603,-0.439,0.473
4579625,8079.0,1254.0,-913.0,0.468,0.603,-0.439,0.473
4579651,7957.0,1160.0,-909.0,0.468,0.604,-0.439,0.473
4579668,8099.0,1092.0,-795.0,0.468,0.604,-0.439,0.473
4579684,8145.0,1178.0,-775.0,0.468,0.605,-0.438,0.473
4579700,8077.0,1122.0,-923.0,0.467,0.605,-0.438,0.473
4579716,8043.0,1282.0,-947.0,0.467,0.606,-0.437,0.473
4579733,8041.0,1264.0,-927.0,0.466,0.607,-0.437,0.473
4579749,8063.0,1318.0,-919.0,0.466,0.607,-0.436,0.473
