timestamp,ax,ay,az,q0,q1,q2,q3
4423037,3591.0,3950.0,6319.0,0.858,0.312,-0.142,0.384
4423053,3467.0,3892.0,6335.0,0.857,0.312,-0.141,0.384
4423069,3381.0,3798.0,6321.0,0.857,0.312,-0.141,0.384
4423085,3361.0,3718.0,6267.0,0.857,0.312,-0.141,0.385
4423101,3469.0,3682.0,6295.0,0.858,0.311,-0.142,0.385
4423118,3563.0,3604.0,6417.0,0.858,0.31,-0.142,0.385
4423145,3675.0,3462.0,6551.0,0.858,0.309,-0.143,0.385
4423162,3679.0,3360.0,6599.0,0.858,0.308,-0.144,0.385
4423178,3745.0,3282.0,6565.0,0.858,0.307,-0.145,0.385
4423194,3813.0,3190.0,6529.0,0.858,0.306,-0.146,0.385
4423210,3805.0,3186.0,6585.0,0.858,0.306,-0.146,0.385
4423226,3781.0,3112.0,6511.0,0.858,0.306,-0.146,0.385
4423243,3781.0,3162.0,6529.0,0.858,0.306,-0.146,0.386
4423259,3779.0,3196.0,6547.0,0.858,0.306,-0.146,0.386
4423285,3761.0,3206.0,6513.0,0.858,0.306,-0.146,0.386
4423301,3777.0,3254.0,6435.0,0.858,0.306,-0.146,0.387
4423318,3825.0,3208.0,6441.0,0.858,0.306,-0.147,0.387
4423334,3829.0,3302.0,6435.0,0.857,0.306,-0.147,0.387
4423350,3789.0,3258.0,6541.0,0.857,0.306,-0.147,0.388
4423366,3799.0,3286.0,6505.0,0.857,0.306,-0.147,0.388
4423392,3815.0,3264.0,6459.0,0.857,0.305,-0.147,0.388
4423408,3811.0,3266.0,6505.0,0.857,0.305,-0.147,0.389
4423424,3837.0,3300.0,6493.0,0.857,0.305,-0.147,0.389
4423440,3841.0,3266.0,6515.0,0.856,0.306,-0.147,0.389
4423456,3813.0,3278.0,6515.0,0.856,0.306,-0.147,0.39
4423472,3785.0,3364.0,6511.0,0.856,0.306,-0.146,0.39
4423498,3785.0,3286.0,6545.0,0.856,0.306,-0.146,0.39
4423514,3757.0,3320.0,6513.0,0.856,0.307,-0.146,0.39
4423530,3751.0,3396.0,6429.0,0.856,0.307,-0.145,0.39
4423547,3773.0,3376.0,6373.0,0.856,0.307,-0.145,0.391
4423563,3745.0,3354.0,6447.0,0.855,0.307,-0.145,0.391
4423579,3683.0,3326.0,6449.0,0.855,0.307,-0.145,0.391
4423605,3737.0,3400.0,6455.0,0.855,0.307,-0.144,0.391
4423622,3765.0,3392.0,6415.0,0.855,0.307,-0.144,0.391
4423638,3731.0,3376.0,6521.0,0.855,0.307,-0.144,0.392
