timestamp,ax,ay,az,q0,q1,q2,q3
3945176,384.0,5588.0,-1233.0,0.62,0.635,0.358,0.29
3945192,-128.0,5542.0,-1781.0,0.614,0.628,0.379,0.292
3945208,-750.0,6714.0,-1617.0,0.604,0.622,0.403,0.294
3945224,-1592.0,10434.0,-735.0,0.593,0.615,0.428,0.295
3945250,-3578.0,13124.0,-1079.0,0.585,0.604,0.45,0.3
3945266,-4776.0,10600.0,-753.0,0.58,0.595,0.463,0.309
3945282,-4818.0,7624.0,47.0,0.576,0.59,0.47,0.316
3945298,-5290.0,7130.0,1375.0,0.574,0.59,0.471,0.317
3945315,-4724.0,7040.0,757.0,0.574,0.597,0.466,0.312
3945331,-3624.0,8538.0,-175.0,0.575,0.607,0.456,0.305
3945347,-2514.0,10544.0,-801.0,0.579,0.617,0.441,0.299
3945373,-1660.0,10576.0,-1097.0,0.586,0.625,0.422,0.296
3945389,-878.0,9368.0,-813.0,0.595,0.631,0.401,0.294
3945405,-286.0,8442.0,-1031.0,0.603,0.638,0.379,0.293
3945421,-268.0,7788.0,-517.0,0.609,0.643,0.36,0.293
3945437,-638.0,7584.0,-1217.0,0.616,0.646,0.342,0.293
3945463,6.0,6624.0,-931.0,0.621,0.649,0.327,0.294
3945479,710.0,6734.0,-579.0,0.624,0.652,0.316,0.293
3945495,654.0,7784.0,-969.0,0.625,0.655,0.308,0.293
3945511,508.0,7812.0,-1107.0,0.626,0.656,0.302,0.294
3945527,216.0,6762.0,-1409.0,0.628,0.654,0.3,0.296
3945543,162.0,6894.0,-1035.0,0.63,0.651,0.3,0.298
3945569,-66.0,7060.0,-1155.0,0.632,0.648,0.302,0.3
3945585,-166.0,7782.0,-787.0,0.632,0.645,0.307,0.301
3945601,-290.0,7916.0,-973.0,0.632,0.641,0.313,0.302
3945617,-382.0,7726.0,-1073.0,0.632,0.637,0.322,0.302
3945633,-444.0,8190.0,-735.0,0.632,0.633,0.331,0.302
3945649,-764.0,7964.0,-693.0,0.632,0.628,0.34,0.302
3945675,-794.0,8106.0,-357.0,0.632,0.623,0.35,0.302
3945691,-820.0,8856.0,149.0,0.632,0.617,0.359,0.302
3945707,-1044.0,9028.0,-43.0,0.633,0.611,0.367,0.302
3945723,-1170.0,7690.0,-21.0,0.635,0.604,0.375,0.304
3945739,-1438.0,8180.0,189.0,0.636,0.597,0.383,0.304
3945755,-1526.0,8266.0,611.0,0.637,0.59,0.39,0.305
3945781,-1616.0,8226.0,891.0,0.638,0.584,0.397,0.307
3945797,-1834.0,8102.0,897.0,0.64,0.577,0.402,0.308
3945813,-2048.0,7596.0,327.0,0.641,0.572,0.408,0.31
3945829,-2646.0,7846.0,645.0,0.642,0.567,0.413,0.311
3945845,-2866.0,8060.0,1037.0,0.643,0.563,0.415,0.312
3945861,-2900.0,7908.0,1363.0,0.645,0.56,0.416,0.312
3945887,-2712.0,7640.0,1379.0,0.646,0.559,0.415,0.312
3945903,-2556.0,7790.0,931.0,0.648,0.56,0.413,0.31
3945919,-2416.0,7802.0,1127.0,0.649,0.562,0.41,0.309
3945935,-2090.0,7900.0,1063.0,0.65,0.565,0.405,0.307
3945952,-1682.0,8364.0,649.0,0.651,0.568,0.4,0.306
3945968,-1640.0,8276.0,881.0,0.652,0.571,0.394,0.305
3945984,-1540.0,7928.0,675.0,0.653,0.575,0.388,0.304
3946010,-1238.0,8398.0,547.0,0.654,0.578,0.382,0.304
3946026,-1214.0,8426.0,463.0,0.655,0.58,0.377,0.305
3946042,-956.0,8056.0,463.0,0.656,0.581,0.371,0.306
3946058,-782.0,7636.0,453.0,0.658,0.582,0.367,0.307
3946074,-868.0,7458.0,347.0,0.658,0.583,0.363,0.308
3946100,-858.0,7902.0,317.0,0.659,0.584,0.36,0.309
3946116,-806.0,7960.0,365.0,0.659,0.584,0.358,0.31
3946132,-934.0,7866.0,413.0,0.66,0.584,0.356,0.311
3946148,-968.0,7984.0,403.0,0.661,0.583,0.355,0.312
3946164,-886.0,8014.0,321.0,0.662,0.582,0.355,0.312
3946180,-888.0,7844.0,149.0,0.663,0.58,0.355,0.313
3946206,-1024.0,7944.0,457.0,0.663,0.579,0.356,0.314
3946222,-1170.0,8008.0,661.0,0.664,0.577,0.357,0.315
3946238,-1226.0,8086.0,761.0,0.665,0.575,0.358,0.315
3946254,-1208.0,8082.0,907.0,0.665,0.574,0.359,0.316
3946270,-1222.0,7846.0,561.0,0.665,0.573,0.36,0.317
3946286,-1202.0,8102.0,475.0,0.665,0.571,0.362,0.317
3946312,-1290.0,8194.0,703.0,0.665,0.569,0.364,0.318
3946328,-1348.0,8012.0,1089.0,0.665,0.567,0.366,0.32
3946344,-1474.0,8044.0,1219.0,0.666,0.565,0.367,0.321
3946361,-1372.0,8028.0,1157.0,0.666,0.564,0.368,0.322
3946377,-1560.0,7994.0,1031.0,0.666,0.562,0.369,0.323
3946393,-1730.0,8030.0,1061.0,0.666,0.561,0.369,0.324
3946409,-1362.0,7762.0,1169.0,0.667,0.56,0.369,0.325
3946435,-1242.0,7760.0,1271.0,0.668,0.559,0.369,0.325
3946451,-1074.0,7992.0,1179.0,0.668,0.559,0.368,0.325
3946467,-1002.0,8046.0,719.0,0.669,0.559,0.368,0.324
3946483,-1018.0,8358.0,635.0,0.669,0.558,0.368,0.325
3946499,-1116.0,7918.0,1021.0,0.67,0.557,0.368,0.325
3946515,-1346.0,7820.0,1301.0,0.67,0.557,0.368,0.325
3946541,-1468.0,7976.0,1441.0,0.671,0.556,0.367,0.325
3946557,-1430.0,7884.0,1225.0,0.672,0.556,0.366,0.325
3946573,-1358.0,7936.0,945.0,0.672,0.556,0.365,0.325
3946589,-1332.0,7962.0,1121.0,0.673,0.556,0.364,0.325
3946606,-1380.0,7886.0,1283.0,0.673,0.556,0.364,0.326
3946623,-1562.0,7860.0,1433.0,0.673,0.556,0.363,0.326
3946639,-1298.0,7954.0,1243.0,0.673,0.556,0.362,0.326
3946665,-1216.0,8026.0,1035.0,0.673,0.557,0.361,0.326
3946682,-1276.0,7918.0,1111.0,0.673,0.557,0.36,0.327
3946698,-1248.0,7820.0,1223.0,0.673,0.557,0.359,0.328
3946715,-1140.0,7814.0,1143.0,0.673,0.557,0.359,0.328
3946732,-1204.0,7974.0,1105.0,0.673,0.557,0.359,0.329
3946749,-1400.0,7722.0,1245.0,0.672,0.557,0.36,0.329
3946765,-1120.0,7766.0,1089.0,0.671,0.557,0.36,0.33
3946781,-1132.0,7920.0,1083.0,0.671,0.558,0.361,0.33
3946807,-1056.0,7962.0,1105.0,0.67,0.558,0.362,0.33
3946823,-1086.0,7572.0,1285.0,0.668,0.559,0.364,0.33
3946839,-1208.0,7764.0,1181.0,0.666,0.561,0.365,0.329
3946855,-1040.0,8188.0,933.0,0.665,0.562,0.367,0.328
3946871,-896.0,8264.0,823.0,0.663,0.564,0.368,0.327
3946887,-832.0,8000.0,823.0,0.662,0.565,0.37,0.326
3946913,-998.0,8020.0,907.0,0.661,0.566,0.371,0.325
3946929,-990.0,7954.0,893.0,0.66,0.567,0.372,0.324
3946945,-1116.0,8168.0,859.0,0.659,0.568,0.373,0.324
3946961,-1074.0,8182.0,839.0,0.658,0.569,0.374,0.323
3946977,-1026.0,7930.0,735.0,0.657,0.569,0.375,0.323
3947003,-1182.0,8132.0,833.0,0.656,0.57,0.376,0.322
3947019,-1266.0,7884.0,823.0,0.655,0.571,0.377,0.322
3947035,-1084.0,8086.0,591.0,0.654,0.571,0.378,0.322
3947051,-1030.0,8234.0,459.0,0.653,0.571,0.379,0.322
3947067,-1278.0,8164.0,521.0,0.652,0.571,0.38,0.322
3947083,-1206.0,7920.0,583.0,0.651,0.571,0.382,0.323
3947099,-1328.0,7894.0,585.0,0.65,0.571,0.383,0.323
3947126,-1324.0,7938.0,555.0,0.649,0.571,0.385,0.323
3947142,-1364.0,8014.0,431.0,0.648,0.571,0.386,0.323
3947159,-1444.0,8104.0,341.0,0.647,0.571,0.388,0.323
3947176,-1374.0,8400.0,211.0,0.646,0.571,0.39,0.323
3947193,-1588.0,8246.0,297.0,0.645,0.571,0.391,0.325
3947210,-1422.0,7998.0,277.0,0.644,0.57,0.392,0.326
3947227,-1428.0,7946.0,281.0,0.643,0.569,0.394,0.327
3947244,-1450.0,7744.0,389.0,0.643,0.569,0.395,0.327
3947261,-1526.0,7776.0,411.0,0.642,0.569,0.397,0.328
