timestamp,ax,ay,az,q0,q1,q2,q3
963938,3442.0,3380.0,6798.0,0.67,0.306,-0.002,0.676
963954,3422.0,3358.0,6824.0,0.67,0.306,-0.002,0.676
963971,3404.0,3354.0,6750.0,0.67,0.306,-0.003,0.676
963997,3456.0,3434.0,6786.0,0.67,0.306,-0.003,0.676
964013,3548.0,3312.0,6788.0,0.67,0.306,-0.004,0.676
964029,3532.0,3296.0,6756.0,0.67,0.306,-0.004,0.676
964045,3626.0,3346.0,6722.0,0.67,0.306,-0.004,0.676
964061,3632.0,3328.0,6708.0,0.67,0.306,-0.005,0.676
964077,3642.0,3328.0,6756.0,0.67,0.306,-0.005,0.676
964095,3584.0,3304.0,6722.0,0.67,0.306,-0.004,0.676
964121,3536.0,3200.0,6796.0,0.67,0.306,-0.004,0.676
964137,3498.0,3186.0,6818.0,0.67,0.306,-0.003,0.676
964154,3488.0,3108.0,6844.0,0.67,0.307,-0.002,0.676
964171,3456.0,3102.0,6880.0,0.67,0.308,-0.0,0.676
964188,3442.0,3358.0,6760.0,0.669,0.309,0.002,0.676
964205,3450.0,3656.0,6562.0,0.669,0.31,0.004,0.676
964221,3332.0,3922.0,6662.0,0.669,0.31,0.005,0.676
964237,3372.0,3426.0,6802.0,0.668,0.311,0.005,0.676
964254,3408.0,3332.0,6778.0,0.668,0.311,0.006,0.676
964280,3414.0,3628.0,6716.0,0.667,0.312,0.007,0.676
964296,3384.0,3682.0,6714.0,0.667,0.313,0.008,0.676
964312,3418.0,3640.0,6720.0,0.666,0.314,0.009,0.676
964328,3482.0,3638.0,6648.0,0.666,0.315,0.009,0.676
964344,3500.0,3666.0,6564.0,0.666,0.315,0.01,0.676
964360,3516.0,3756.0,6600.0,0.666,0.316,0.01,0.676
964386,3484.0,3722.0,6586.0,0.665,0.316,0.01,0.676
964402,3460.0,3662.0,6642.0,0.665,0.316,0.011,0.676
964419,3480.0,3696.0,6600.0,0.665,0.316,0.011,0.676
964436,3540.0,3676.0,6612.0,0.665,0.316,0.011,0.676
964453,3522.0,3670.0,6650.0,0.665,0.316,0.011,0.676
964469,3482.0,3694.0,6634.0,0.665,0.316,0.012,0.676
964485,3470.0,3688.0,6624.0,0.666,0.316,0.012,0.676
964511,3446.0,3706.0,6640.0,0.666,0.316,0.013,0.676
964527,3414.0,3620.0,6676.0,0.666,0.316,0.013,0.676
964543,3350.0,3634.0,6690.0,0.666,0.316,0.013,0.675
964559,3334.0,3712.0,6676.0,0.666,0.316,0.014,0.675
964575,3356.0,3636.0,6674.0,0.666,0.317,0.014,0.675
964591,3406.0,3646.0,6658.0,0.666,0.317,0.014,0.675
964617,3410.0,3710.0,6628.0,0.666,0.317,0.015,0.675
964633,3428.0,3742.0,6620.0,0.666,0.317,0.015,0.675
964649,3404.0,3694.0,6624.0,0.666,0.317,0.015,0.675
964666,3454.0,3654.0,6606.0,0.666,0.317,0.015,0.675
964682,3432.0,3662.0,6662.0,0.666,0.317,0.015,0.675
964698,3424.0,3676.0,6626.0,0.666,0.318,0.015,0.674
964714,3436.0,3710.0,6632.0,0.666,0.318,0.015,0.675
964740,3476.0,3704.0,6594.0,0.666,0.318,0.015,0.675
964756,3450.0,3718.0,6602.0,0.666,0.318,0.015,0.675
964772,3370.0,3710.0,6640.0,0.666,0.318,0.015,0.675
964788,3454.0,3764.0,6660.0,0.666,0.318,0.015,0.675
964805,3434.0,3714.0,6644.0,0.666,0.318,0.015,0.675
964821,3386.0,3758.0,6592.0,0.666,0.318,0.015,0.675
964838,3470.0,3706.0,6640.0,0.665,0.319,0.015,0.675
964865,3434.0,3680.0,6622.0,0.665,0.319,0.015,0.675
964881,3414.0,3750.0,6640.0,0.665,0.319,0.015,0.675
964897,3452.0,3694.0,6624.0,0.665,0.319,0.015,0.675
964913,3422.0,3734.0,6580.0,0.665,0.319,0.015,0.675
964930,3438.0,3724.0,6608.0,0.665,0.319,0.015,0.675
964946,3448.0,3756.0,6614.0,0.665,0.319,0.015,0.675
964962,3432.0,3788.0,6552.0,0.665,0.319,0.015,0.675
964988,3396.0,3736.0,6634.0,0.665,0.319,0.015,0.675
965004,3378.0,3752.0,6698.0,0.665,0.319,0.015,0.675
965020,3428.0,3720.0,6650.0,0.666,0.319,0.015,0.675
965036,3450.0,3644.0,6608.0,0.666,0.319,0.014,0.675
965052,3398.0,3718.0,6594.0,0.666,0.319,0.014,0.675
965069,3472.0,3694.0,6644.0,0.665,0.319,0.014,0.675
965095,3482.0,3654.0,6614.0,0.665,0.319,0.014,0.675
965112,3508.0,3658.0,6584.0,0.665,0.319,0.014,0.675
965128,3518.0,3658.0,6618.0,0.665,0.319,0.014,0.675
965144,3484.0,3648.0,6624.0,0.665,0.319,0.014,0.675
965160,3466.0,3650.0,6610.0,0.665,0.319,0.014,0.675
965176,3464.0,3632.0,6620.0,0.666,0.319,0.014,0.675
965192,3466.0,3648.0,6650.0,0.666,0.319,0.014,0.675
965218,3412.0,3690.0,6672.0,0.665,0.319,0.014,0.675
965234,3392.0,3714.0,6624.0,0.665,0.319,0.015,0.675
965250,3380.0,3666.0,6634.0,0.665,0.319,0.015,0.675
965266,3428.0,3722.0,6660.0,0.665,0.319,0.015,0.675
965282,3382.0,3710.0,6656.0,0.665,0.319,0.015,0.675
965298,3386.0,3698.0,6654.0,0.665,0.32,0.015,0.675
965324,3400.0,3750.0,6574.0,0.665,0.32,0.015,0.675
965341,3428.0,3758.0,6572.0,0.665,0.32,0.015,0.674
965358,3466.0,3782.0,6576.0,0.665,0.32,0.015,0.674
965375,3438.0,3696.0,6612.0,0.665,0.32,0.015,0.674
965391,3480.0,3744.0,6540.0,0.665,0.32,0.015,0.674
965407,3486.0,3796.0,6608.0,0.665,0.32,0.015,0.674
965423,3468.0,3754.0,6618.0,0.665,0.32,0.015,0.674
965449,3498.0,3740.0,6598.0,0.665,0.32,0.015,0.674
965466,3460.0,3724.0,6600.0,0.666,0.32,0.015,0.674
965483,3434.0,3714.0,6602.0,0.666,0.32,0.015,0.674
965499,3436.0,3704.0,6574.0,0.666,0.32,0.015,0.674
965515,3454.0,3676.0,6626.0,0.666,0.32,0.015,0.674
965531,3406.0,3698.0,6628.0,0.666,0.32,0.015,0.674
965547,3464.0,3682.0,6612.0,0.666,0.32,0.015,0.674
965573,3432.0,3674.0,6630.0,0.666,0.32,0.015,0.674
965589,3418.0,3686.0,6606.0,0.666,0.321,0.015,0.674
965606,3470.0,3710.0,6598.0,0.666,0.321,0.015,0.674
965624,3458.0,3714.0,6594.0,0.666,0.321,0.015,0.673
965640,3446.0,3652.0,6600.0,0.666,0.321,0.015,0.673
965656,3458.0,3750.0,6598.0,0.666,0.321,0.016,0.673
965672,3440.0,3728.0,6596.0,0.666,0.321,0.016,0.673
965688,3418.0,3748.0,6580.0,0.666,0.321,0.016,0.673
965714,3444.0,3840.0,6598.0,0.666,0.321,0.016,0.673
965730,3406.0,3730.0,6632.0,0.666,0.321,0.016,0.673
965747,3400.0,3792.0,6572.0,0.666,0.322,0.017,0.673
965764,3422.0,3834.0,6562.0,0.666,0.322,0.017,0.673
965781,3454.0,3832.0,6596.0,0.666,0.322,0.017,0.673
965797,3474.0,3764.0,6598.0,0.666,0.322,0.017,0.673
965813,3450.0,3796.0,6562.0,0.666,0.322,0.017,0.673
965829,3454.0,3782.0,6564.0,0.666,0.322,0.017,0.673
965855,3438.0,3812.0,6596.0,0.666,0.322,0.017,0.673
965871,3454.0,3816.0,6648.0,0.666,0.322,0.017,0.673
965887,3510.0,3764.0,6612.0,0.666,0.322,0.016,0.673
965904,3452.0,3738.0,6592.0,0.666,0.322,0.016,0.673
965920,3490.0,3808.0,6578.0,0.666,0.322,0.016,0.673
965936,3508.0,3688.0,6522.0,0.666,0.322,0.016,0.673
965953,3398.0,3718.0,6590.0,0.666,0.322,0.016,0.673
965979,3416.0,3746.0,6572.0,0.666,0.322,0.017,0.673
965995,3340.0,3742.0,6600.0,0.666,0.322,0.016,0.673
966011,3410.0,3734.0,6622.0,0.666,0.322,0.016,0.673
966027,3374.0,3680.0,6642.0,0.666,0.322,0.016,0.673
966043,3376.0,3730.0,6632.0,0.666,0.322,0.017,0.673
966059,3356.0,3764.0,6604.0,0.666,0.322,0.017,0.673
966085,3458.0,3738.0,6558.0,0.666,0.322,0.017,0.673
