timestamp,ax,ay,az,q0,q1,q2,q3
2200313,1678.0,1926.0,8002.0,0.905,0.265,-0.145,0.301
2200329,1692.0,2160.0,7680.0,0.903,0.268,-0.14,0.306
2200345,1776.0,2388.0,7232.0,0.9,0.271,-0.135,0.313
2200361,1740.0,2836.0,7014.0,0.897,0.276,-0.13,0.319
2200377,1834.0,3128.0,6980.0,0.894,0.282,-0.125,0.326
2200403,1936.0,3490.0,6876.0,0.89,0.288,-0.12,0.333
2200419,2088.0,3902.0,6796.0,0.886,0.294,-0.115,0.339
2200435,2324.0,4154.0,6568.0,0.882,0.3,-0.111,0.347
2200451,2494.0,4798.0,6448.0,0.878,0.305,-0.108,0.354
2200468,2508.0,4822.0,6696.0,0.874,0.309,-0.105,0.36
2200485,2680.0,4608.0,6850.0,0.871,0.312,-0.104,0.366
2200502,2758.0,4638.0,6688.0,0.868,0.314,-0.103,0.371
2200519,2838.0,5450.0,6356.0,0.865,0.316,-0.103,0.376
2200535,3040.0,6060.0,6270.0,0.864,0.314,-0.105,0.379
2200562,3324.0,5412.0,6626.0,0.864,0.311,-0.108,0.382
2200578,3450.0,4578.0,6714.0,0.864,0.307,-0.111,0.384
2200595,3510.0,4224.0,6786.0,0.864,0.304,-0.115,0.385
2200612,3726.0,3990.0,6670.0,0.864,0.301,-0.118,0.385
2200629,3924.0,3800.0,6410.0,0.865,0.298,-0.121,0.385
2200645,4038.0,3858.0,6238.0,0.866,0.296,-0.123,0.384
2200661,4118.0,4134.0,6164.0,0.867,0.293,-0.125,0.382
2200680,3988.0,3932.0,6364.0,0.869,0.291,-0.127,0.381
2200696,3804.0,3908.0,6576.0,0.87,0.287,-0.129,0.379
2200722,3618.0,3676.0,6622.0,0.872,0.284,-0.131,0.377
2200739,3524.0,3414.0,6764.0,0.874,0.28,-0.132,0.375
2200755,3470.0,3182.0,6932.0,0.876,0.275,-0.133,0.373
2200772,3348.0,3024.0,7100.0,0.878,0.271,-0.135,0.371
2200789,3308.0,2750.0,7204.0,0.88,0.267,-0.136,0.369
2200806,3188.0,2650.0,7306.0,0.882,0.264,-0.136,0.367
2200823,3190.0,2616.0,7364.0,0.883,0.261,-0.137,0.366
2200840,3114.0,2612.0,7326.0,0.884,0.259,-0.137,0.365
2200856,3044.0,2488.0,7314.0,0.884,0.257,-0.137,0.364
2200873,3036.0,2486.0,7262.0,0.885,0.256,-0.136,0.364
2200899,3078.0,2370.0,7264.0,0.885,0.256,-0.136,0.364
2200915,3070.0,2466.0,7212.0,0.885,0.256,-0.135,0.365
2200931,3130.0,2458.0,7208.0,0.884,0.257,-0.135,0.365
2200947,3182.0,2596.0,7262.0,0.884,0.258,-0.134,0.366
